timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.06915408  0.01270454 -0.09214095  0.07782684]
 [ 0.00134269 -0.00299409  0.          0.        ]]",[ 2.96460428 -1.08788665],[-0.92365056 -0.76827866],[ 2.30453753 -1.44875109],-1.76329,"[ 1.2501448   1.36972448  0.12270413 -0.08272943 -0.78887052  0.66237473
  0.22951297 -0.05918327  1.64982852 -0.3780464   0.        ]",-0.307826101312
1,"[[ 0.10888662 -0.02709804 -0.09214095  0.07782684]
 [ 3.95872924 -3.96405669  0.          0.        ]]",[ 2.48264445 -1.14873004],[-0.92365056 -0.76827866],[ 2.44019294 -1.13460839],-1.94068,"[ 1.24526436  1.36915318  0.18059687 -0.13231704 -0.78887021  0.6623745
  0.28639538 -0.88759184  1.64774154 -0.35264514  0.        ]",-0.30671022936
2,"[[ 0.22698133 -0.14533463 -0.09214095  0.07782684]
 [ 7.837828   -7.84665074  0.          0.        ]]",[ 2.1352609  0.7158788],[-0.92365056 -0.76827866],[ 2.47972894 -0.20042118],-2.15179,"[ 1.21800958  1.34889071  0.35083421 -0.27900176 -0.7888699   0.66237427
  0.3421525  -1.69958846  1.636074   -0.27787461  0.        ]",-0.302779143125
3,"[[  0.42186237  -0.27228264  -0.09214095   0.07782684]
 [ 11.63764967  -4.85808124   0.           0.        ]]",[ 1.72630373 -0.84087791],[-0.92365056 -0.76827866],[ 2.3464663  -0.68998194],-2.04124,"[ 1.13232397  1.29652449  0.62063591 -0.43363356 -0.78886959  0.66237404
  0.3967701  -1.07456453  1.59427216 -0.11148617  0.        ]",-0.292864439313
4,"[[  0.69201099  -0.40189744  -0.09214095   0.07782684]
 [ 15.36483926  -8.09256803   0.           0.        ]]",[ 2.44885999  0.01060344],[-0.92365056 -0.76827866],[ 2.25565958  0.33238009],-2.02938,"[ 0.93564525  1.21122114  0.95510526 -0.58593224 -0.78886928  0.66237381
  0.4503437  -1.7510168   1.49008593  0.13262128  0.        ]",-0.275095520762
5,"[[  1.03595384  -0.56172817  -0.09214095   0.07782684]
 [ 19.01734475  -7.89108937   0.           0.        ]]",[ 2.34976468 -0.04514172],[-0.92365056 -0.76827866],[ 2.0381794   0.54271829],-1.89969,"[ 0.57609192  1.06390007  1.28026322 -0.76221511 -0.78886897  0.66237358
  0.5028438  -1.70887836  1.29143707  0.39635258  0.        ]",-0.247959123524
6,"[[  1.45222658  -0.71977811  -0.09214095   0.07782684]
 [ 22.5980798   -7.91370741   0.           0.        ]]",[ 1.23239627  0.42998428],[-0.92365056 -0.76827866],[ 1.75683761  0.69080174],-1.64231,"[ 0.03534588  0.87595948  1.47429328 -0.91991311 -0.78886866  0.66237335
  0.55431227 -1.71360701  0.96469002  0.63176502  0.        ]",-0.208656274644
7,"[[  1.93940106  -0.85939233  -0.09214095   0.07782684]
 [ 26.10772768  -6.05376595   0.           0.        ]]",[ 0.87308026 -0.42612357],[-0.92365056 -0.76827866],[ 1.39834654  0.25048   ],-1.14727,"[-0.62585903  0.67871934  1.38629891 -1.04230047 -0.78886835  0.66237311
  0.60475893 -1.3246223   0.50425037  0.74401066  0.        ]",-0.155900042766
8,"[[  2.49104785  -0.99617805  -0.09214095   0.07782684]
 [ 29.04725843  -7.61943385   0.           0.        ]]",[ 0.90567082  0.96374025],[-0.92365056 -0.76827866],[ 1.14664972  0.82929587],-0.747973,"[-1.22742786  0.46091123  0.90760482 -1.14441074 -0.78886804  0.66237288
  0.64701085 -1.65206088 -0.01089373  0.6149933   0.        ]",-0.0947552812046
9,"[[  3.10218288  -1.10874049  -0.09214095   0.07782684]
 [ 32.05617163  -3.64987152   0.           0.        ]]",[ 1.33774213 -0.28987505],[-0.92365056 -0.76827866],[ 1.06875074 -0.06149119],-0.671478,"[-1.50852431  0.26631764  0.07925185 -1.21385719 -0.78886773  0.66237265
  0.69026003 -0.82187604 -0.44768959  0.19045756  0.        ]",-0.0591358767895
