timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.0885219   0.05621897 -0.16154822  0.15374798]
 [-0.00099645  0.00400817  0.          0.        ]]",-1.59877,"[ 1.23997688  1.31579139 -0.11080967 -0.04133706 -1.38849021  1.34014615
  0.2402656  -0.06771278  2.06573758 -1.07380617  0.        ]",[ 3.10699534 -1.08349359],[ 3.39307203 -1.17168931],[-0.81927896 -0.57810593],-0.406592686189
1,"[[-0.04883568  0.01655505 -0.16154822  0.15374798]
 [ 3.95643621 -3.95719328  0.          0.        ]]",-1.88507,"[ 1.24373609  1.31844084 -0.05279623 -0.0918283  -1.38848887  1.34014492
  0.2991763  -0.86022161  2.06735202 -1.04798462  0.        ]",[ 3.12857914 -0.27107114],[ 2.72428273 -0.93467042],[-0.81927896 -0.57810593],-0.405240313446
2,"[[ 0.06921255 -0.0989503  -0.16154822  0.15374798]
 [ 7.83547102 -7.5812542   0.          0.        ]]",-1.8333,"[ 1.24207534  1.30970505  0.12007671 -0.23876445 -1.38848753  1.34014368
  0.35691996 -1.58527816  2.06668692 -0.96923411  0.        ]",[ 3.15702319  0.46332198],[ 3.51398196  0.16134175],[-0.81927896 -0.57810593],-0.40045673032
3,"[[  0.26405516  -0.24267388  -0.16154822   0.15374798]
 [ 11.63615912  -6.79370026   0.           0.        ]]",-1.81835,"[ 1.19752182  1.26486116  0.40119004 -0.41903471 -1.38848619  1.34014245
  0.41349734 -1.42771252  2.04765411 -0.80749009  0.        ]",[ 3.10975528  0.37002274],[ 3.18493302  0.06222204],[-0.81927896 -0.57810593],-0.388801277948
4,"[[  0.53416041  -0.37473856  -0.16154822   0.15374798]
 [ 15.36199477  -6.41398469   0.           0.        ]]",-1.7924,"[ 1.05303197  1.19120044  0.76477526 -0.57920287 -1.38848486  1.34014122
  0.46896043 -1.35174241  1.97734273 -0.54716265  0.        ]",[ 3.03449726  0.35954797],[ 2.44774478  1.33552423],[-0.81927896 -0.57810593],-0.366312473783
5,"[[  0.87803071  -0.46202513  -0.16154822   0.15374798]
 [ 19.01288364  -2.32822469   0.           0.        ]]",-1.63174,"[ 0.74645897  1.12607104  1.14630005 -0.68077431 -1.38848352  1.34013998
  0.52330784 -0.53431354  1.79797685 -0.20139924  0.        ]",[ 2.89401627 -0.65139443],[ 2.06464774 -0.76433941],[-0.81927896 -0.57810593],-0.327636914613
6,"[[  1.29422091  -0.53849751  -0.16154822   0.15374798]
 [ 22.59426536  -5.30899675   0.           0.        ]]",-1.14595,"[ 0.24163907  1.05870109  1.4283992  -0.76623374 -1.38848218  1.34013875
  0.57662054 -1.13066907  1.45857241  0.12621907  0.        ]",[ 2.70227218  0.0603587 ],[ 2.96012906  0.38421789],[-0.81927896 -0.57810593],-0.269505906543
7,"[[  1.78131423  -0.62835788  -0.16154822   0.15374798]
 [ 26.1033969   -3.68234992   0.           0.        ]]",-0.640624,"[-0.42393711  0.96778891  1.45173585 -0.86173845 -1.38848084  1.34013752
  0.62885768 -0.80522908  0.9617474   0.30025317  0.        ]",[ 2.41529036 -0.42796814],[ 1.73997368 -1.11734437],[-0.81927896 -0.57810593],-0.190579159196
8,"[[  2.33791554  -0.74099328  -0.16154822   0.15374798]
 [ 29.54539038  -7.56808946   0.           0.        ]]",-0.241316,"[-1.09374989  0.83699501  1.07365968 -0.97282753 -1.3884795   1.34013628
  0.68009537 -1.58263847  0.39123063  0.19348703  0.        ]",[ 2.04802489  0.55403686],[ 2.44245604  0.40612237],[-0.81927896 -0.57810593],-0.0936193691909
9,"[[  2.96266075  -0.87469931  -0.16154822   0.15374798]
 [ 32.91793433  -5.80818626   0.           0.        ]]",-0.0742923,"[-1.49413339  0.65958401  0.27953413 -1.09044604 -1.38847817  1.34013505
  0.73029919 -1.23053773 -0.08710576 -0.25344218  0.        ]",[ 1.74859476  0.20699775],[ 2.20947666 -0.10243917],[-0.81927896 -0.57810593],-0.0412734771127
