timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.0901495   0.01948577 -0.10645889  0.06208278]
 [-0.00195781 -0.00343995  0.          0.        ]]",[ 1.51280453 -1.48775815],[-0.65461129 -0.40138361],[ 1.77860844 -1.49382269],-1.25372,"[ 1.22773538  1.23791246  0.15023271 -0.15174989 -0.91266097  0.52357726
  0.26223672 -0.08677136  1.74316701 -0.25071695  0.        ]",-0.318051865921
1,"[[ 0.12981667 -0.02032564 -0.10645889  0.06208278]
 [ 3.95549388 -3.96449389  0.          0.        ]]",[ 2.69598992 -0.41868114],[-0.65461129 -0.40138361],[ 1.79815829 -0.76886868],-1.23839,"[ 1.22173237  1.23788352  0.20820346 -0.20541945 -0.91266014  0.52357693
  0.32471673 -0.82828487  1.74056959 -0.22482747  0.        ]",-0.317138750289
2,"[[ 0.24783832 -0.11547637 -0.10645889  0.06208278]
 [ 7.83376157 -5.54529987  0.          0.        ]]",[ 2.03497595  0.11122747],[-0.65461129 -0.40138361],[ 1.80301952 -0.40254739],-1.36339,"[ 1.19121001  1.22731418  0.37856009 -0.33335641 -0.91265931  0.5235766
  0.38594656 -1.12421249  1.72550092 -0.13194392  0.        ]",-0.313289887204
3,"[[  0.44264794  -0.2208762   -0.10645889   0.06208278]
 [ 11.63456147  -4.99648855   0.           0.        ]]",[ 0.98542414  0.17382812],[-0.65461129 -0.40138361],[ 1.78603935 -0.49436364],-1.43049,"[ 1.10046999  1.19843595  0.6476816  -0.4733853  -0.91265848  0.52357627
  0.44595331 -1.02147329  1.67574167  0.05260744  0.        ]",-0.304168247799
4,"[[  0.71214082  -0.31291989  -0.10645889   0.06208278]
 [ 15.3025315   -4.21046152   0.           0.        ]]",[ 1.88001416  0.186324  ],[-0.65461129 -0.40138361],[ 1.72592628 -0.62798965],-1.20729,"[ 0.89830405  1.15869606  0.97870311 -0.59304126 -0.91265764  0.52357593
  0.50386292 -0.87432729  1.55232598  0.32352798  0.        ]",-0.28721747986
5,"[[  1.05484459  -0.38890033  -0.10645889   0.06208278]
 [ 18.95569756  -3.39026079   0.           0.        ]]",[ 0.78664999 -1.28963875],[-0.65461129 -0.40138361],[ 1.61029565 -0.78001118],-1.08919,"[ 0.53492882  1.11593484  1.29685137 -0.68921119 -0.91265681  0.5235756
  0.56153877 -0.72078413  1.30567221  0.63246962  0.        ]",-0.259477835823
6,"[[  1.46143768  -0.49576312  -0.10645889   0.06208278]
 [ 21.69454865  -7.28297313   0.           0.        ]]",[ 1.63078189 -0.49812222],[-0.65461129 -0.40138361],[ 1.43072212  0.08051902],-0.91861,"[ 0.00527863  1.04106403  1.4794783  -0.81935385 -0.91265598  0.52357527
  0.60477938 -1.44950273  0.93253988  0.86287798  0.        ]",-0.22070601024
7,"[[  1.93072942  -0.65976595  -0.10645889   0.06208278]
 [ 25.22296768  -9.1110814    0.           0.        ]]",[ 1.46393566  1.27937472],[-0.65461129 -0.40138361],[ 1.22914302  0.54053724],-0.581973,"[-0.63069554  0.8945514   1.39403665 -1.00436345 -0.91265515  0.52357494
  0.66048566 -1.79172305  0.47638012  0.9210156   0.        ]",-0.171522328941
8,"[[  2.46987322  -0.80044172  -0.10645889   0.06208278]
 [ 28.67991142  -4.97013357   0.           0.        ]]",[ 1.56019161 -0.77715231],[-0.65461129 -0.40138361],[ 1.0606302  -0.32320884],-0.135764,"[-1.22419546  0.74103734  0.93293313 -1.14556049 -0.91265432  0.52357461
  0.71506343 -1.01653246 -0.04055432  0.74302702  0.        ]",-0.110982773248
9,"[[  3.07749511  -0.9297137   -0.10645889   0.06208278]
 [ 32.07111912  -7.94695691   0.           0.        ]]",[ 0.49927875 -0.24201069],[-0.65461129 -0.40138361],[ 0.9272387   0.45021486],0.0522267,"[-1.52083761  0.58002284  0.11203324 -1.2585169  -0.91265349  0.52357428
  0.76860331 -1.57379403 -0.46366051  0.26086036  0.        ]",-0.064642465423
