timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.08528197  0.07993184  0.05479092 -0.13569827]
 [ 0.00088123  0.00086133  0.          0.        ]]",[-2.49525764  0.94394185],[-0.72654271 -0.44181985],[-2.27000904  0.80229521],-0.975712,"[ 1.23249481  1.25494014 -0.10644804 -0.04623079  0.48434442 -1.18454483
  0.25381522 -0.07867959  0.7815927   0.85001732  0.        ]",-0.200005491965
1,"[[-0.12496964  0.11746507  0.05479092 -0.13569827]
 [-3.95646924  3.73999328  0.          0.        ]]",[-2.3690041   1.63549269],[-0.72654271 -0.44181985],[-2.24990821  0.86570323],-0.960977,"[ 1.2267506   1.24865005 -0.16441731  0.00306647  0.48434416 -1.18454359
  0.19261249  0.63881918  0.77909912  0.8225588   0.        ]",-0.197057644873
2,"[[-0.2430198   0.23126471  0.05479092 -0.13569827]
 [-7.83563703  7.62700065  0.          0.        ]]",[-2.38707362  0.05210847],[-0.72654271 -0.44181985],[-2.22074437  0.72623825],-0.876348,"[ 1.19698064  1.21509599 -0.33478858  0.1509167   0.4843439  -1.18454234
  0.13261891  1.38469248  0.76619065  0.74332829  0.        ]",-0.188042035699
3,"[[ -0.43786991   0.38437333   0.05479092  -0.13569827]
 [-11.636753     7.68363442   0.           0.        ]]",[-1.999003   -0.19169151],[-0.72654271 -0.44181985],[-2.22484875  0.62665308],-0.822146,"[ 1.10739541  1.13628949 -0.60413976  0.34332237  0.48434364 -1.1845411
  0.07383244  1.39555809  0.72653177  0.59280352  0.        ]",-0.169842986847
4,"[[ -0.70798676   0.52891497   0.05479092  -0.13569827]
 [-15.36257305   6.77349952   0.           0.        ]]",[-2.18744524  0.81591583],[-0.72654271 -0.44181985],[-2.22847414  0.60307717],-0.742309,"[ 0.90606911  1.0280061  -0.93653029  0.51440987  0.48434338 -1.18453986
  0.01621047  1.22091177  0.62985484  0.35419324  0.        ]",-0.139133743332
5,"[[ -1.05189832   0.69546041   0.05479092  -0.13569827]
 [-19.01649685   9.87062344   0.           0.        ]]",[-2.81399562 -0.35384754],[-0.72654271 -0.44181985],[-2.19934726 -0.37828454],-0.641942,"[ 0.54233471  0.86544822 -1.25682593  0.69410787  0.48434312 -1.18453862
 -0.04029959  1.81521265  0.44168689  0.08762192  0.        ]",-0.0984481958388
6,"[[ -1.46815255   0.87685414   0.05479092  -0.13569827]
 [-22.59708682   8.27393287   0.           0.        ]]",[-2.29319979 -0.75918746],[-0.72654271 -0.44181985],[-2.23214507 -0.75612068],-0.579179,"[ -2.82489160e-04   6.47472995e-01  -1.44244265e+00   8.63047684e-01
   4.84342857e-01  -1.18453738e+00  -9.56754916e-02   1.50882331e+00
   1.36686523e-01  -1.45937460e-01   0.00000000e+00]",-0.0530863646314
7,"[[ -1.95530686   1.01051934   0.05479092  -0.13569827]
 [-26.10667743   5.10300267   0.           0.        ]]",[-2.65933674 -0.64133618],[-0.72654271 -0.44181985],[-2.30709505 -0.73226535],-0.735451,"[-0.65889388  0.46356546 -1.34292008  0.96649963  0.4843426  -1.18453613
 -0.14995335  0.90035665 -0.30869381 -0.28413875  0.        ]",-0.0538917785436
8,"[[ -2.51195779   1.08606866   0.05479092  -0.13569827]
 [-29.54692513   2.460582     0.           0.        ]]",[-2.47650012 -1.28856395],[-0.72654271 -0.44181985],[-2.48806787 -0.53468716],-0.882906,"[-1.25622862  0.35226457 -0.84625588  1.01625221  0.48434234 -1.18453489
 -0.20315877  0.39330551 -0.85702868 -0.19152459  0.        ]",-0.123939058594
9,"[[ -3.13672269   1.09503645   0.05479092  -0.13569827]
 [-32.91818612  -1.55057782   0.           0.        ]]",[-2.53375633  1.49813028],[-0.72654271 -0.44181985],[-2.7317183   0.19798952],-0.693673,"[-1.52066124  0.33874007  0.01151886  1.02171987  0.48434207 -1.18453365
 -0.25529727 -0.37639124 -1.36408488  0.26293977  0.        ]",-0.208040744346
