timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.09221727 -0.06641033  0.11974523 -0.18687369]
 [ 0.00437407  0.00443279  0.          0.        ]]",[-3.0678008   1.72231326],[-0.78843212 -0.53341091],[-2.9759202   2.07232451],-0.930959,"[ 1.2378733   1.29748818  0.15516465 -0.20808362  1.04755302 -1.62801077
  0.24328107 -0.06814638  0.39363418  1.31644677  0.        ]",-0.218248278765
1,"[[ 0.05259793 -0.02657928  0.11974523 -0.18687369]
 [-3.95312552  3.96546696  0.          0.        ]]",[-2.91752398  1.46930915],[-0.78843212 -0.53341091],[-2.96467614  1.87890506],-0.901627,"[ 1.2418273   1.30083283  0.09721674 -0.15699147  1.04755225 -1.62800869
  0.1839068   0.71867119  0.39533382  1.29086765  0.        ]",-0.214795449262
2,"[[-0.06538574  0.09168532  0.11974523 -0.18687369]
 [-7.83232434  7.84804391  0.          0.        ]]",[-3.59312386  1.09018888],[-0.78843212 -0.53341091],[-2.9221499   1.48952222],-0.814109,"[ 1.24078578  1.29387841 -0.07570887 -0.00528579  1.04755148 -1.6280066
  0.12570728  1.48990288  0.39488178  1.21425445  0.        ]",-0.204145216002
3,"[[ -0.2601839    0.28682928   0.11974523  -0.18687369]
 [-11.63485418  11.65363497   0.           0.        ]]",[-2.22626508  0.55711106],[-0.78843212 -0.53341091],[-2.80894732  0.56156027],-0.939757,"[ 1.19728705  1.22762645 -0.35716872  0.24045169  1.0475507  -1.62800452
  0.06865802  2.24583873  0.37613818  1.08947692  0.        ]",-0.185648186204
4,"[[ -0.53027368   0.53973126   0.11974523  -0.18687369]
 [-15.36179159  13.62989841   0.           0.        ]]",[-2.66107566 -0.84936775],[-0.78843212 -0.53341091],[-2.69474864 -0.35683718],-0.79499,"[ 1.05421776  1.04453187 -0.72162386  0.53709128  1.04754993 -1.62800244
  0.01274287  2.63839474  0.31470772  0.91527572  0.        ]",-0.157216340653
5,"[[ -0.87414828   0.77588394   0.11974523  -0.18687369]
 [-19.01362665   9.99735586   0.           0.        ]]",[-2.295467   -0.49062183],[-0.78843212 -0.53341091],[-2.70382166 -0.43318805],-0.757138,"[ 0.74921551  0.78417652 -1.10472823  0.77651839  1.04754916 -1.62800035
 -0.04204553  1.91682779  0.18018832  0.66803668  0.        ]",-0.113057005988
6,"[[ -1.2903457    0.95435196   0.11974523  -0.18687369]
 [-22.59427032   7.85644057   0.           0.        ]]",[-2.78705862 -0.57982058],[-0.78843212 -0.53341091],[-2.65625691 -0.92517722],-0.69517,"[ 0.24571197  0.5389678  -1.38914117  0.92496034  1.04754839 -1.62799827
 -0.09576583  1.49155771 -0.07013439  0.37572951  0.        ]",-0.0557749431595
7,"[[ -1.77744805   1.08687457   0.11974523  -0.18687369]
 [-26.10430585   5.40384039   0.           0.        ]]",[-3.04669878 -1.83940843],[-0.78843212 -0.53341091],[-2.66505289 -1.22443759],-0.767604,"[-0.419403    0.33493519 -1.41523352  1.01387451  1.04754762 -1.62799619
 -0.14842681  1.00437616 -0.4699357   0.1439454   0.        ]",-0.0586068064319
8,"[[ -2.33404955   1.1541303    0.11974523  -0.18687369]
 [-29.54430314   1.33513885   0.           0.        ]]",[-2.99069064 -2.22521766],[-0.78843212 -0.53341091],[-2.84592199 -0.93373752],-0.993674,"[-1.0902018   0.22551098 -1.03960047  1.05145723  1.04754685 -1.6279941
 -0.200037    0.1961753  -1.01388459  0.10470397  0.        ]",-0.147524747325
9,"[[ -2.95876127   1.14081133   0.11974523  -0.18687369]
 [-32.91546804  -2.65387926   0.           0.        ]]",[-3.01031388 -1.12270442],[-0.78843212 -0.53341091],[-3.18344593 -0.12605512],-0.935789,"[-1.49323448  0.24745924 -0.246522    1.04443023  1.04754608 -1.62799202
 -0.25061449 -0.59619728 -1.59666708  0.42469792  0.        ]",-0.252717521811
10,"[[ -3.65021538   1.04849671   0.11974523  -0.18687369]
 [-36.21870534  -6.56465395   0.           0.        ]]",[-2.70250576  0.72759699],[-0.78843212 -0.53341091],[-3.53043246  1.31831002],-1.04165,"[-1.34154964  0.39570235  0.73429408  0.990111    1.04754531 -1.62798994
 -0.30017286 -1.37302677 -1.93229551  1.18682689  0.        ]",-0.35059406765
11,"[[ -4.40709117   0.94737162   0.11974523  -0.18687369]
 [-39.45822609  -3.55796067   0.           0.        ]]",[-2.74864343  1.96743333],[-0.78843212 -0.53341091],[-3.67570758  1.52245045],-0.9476,"[-0.5510408   0.54923632  1.41885537  0.91974883  1.04754454 -1.62798785
 -0.34877528 -0.77578112 -1.65194481  2.08341186  0.        ]",-0.406117648123
12,"[[ -5.22812695   0.91659936   0.11974523  -0.18687369]
 [-42.63496229   0.46718967   0.           0.        ]]",[-3.25229038  1.18279864],[-0.78843212 -0.53341091],[-3.52702904  1.0479629 ],-0.824816,"[ 0.54432758  0.59388611  1.29591509  0.89618718  1.04754377 -1.62798577
 -0.39643574  0.02376903 -0.8140804   2.46444311  0.        ]",-0.391897916382
13,"[[ -6.11207841   0.96552129   0.11974523  -0.18687369]
 [-45.75001608   4.41164711   0.           0.        ]]",[-3.20819197 -0.27842358],[-0.78843212 -0.53341091],[-3.19145727 -0.10372069],-0.851313,"[ 1.22358265  0.5224297   0.26983143  0.93318267  1.047543   -1.62798369
 -0.44317077  0.80729028  0.00883225  1.99898081  0.        ]",-0.304729051719
14,"[[ -7.05770561   1.04174593   0.11974523  -0.18687369]
 [-48.80251693   3.21455188   0.           0.        ]]",[-2.61696341 -0.38739271],[-0.78843212 -0.53341091],[-2.8045702  -0.69388604],-0.727467,"[ 0.85010265  0.40625566 -1.00555242  0.98575833  1.04754223 -1.6279816
 -0.48896729  0.5695006   0.20359312  0.97159046  0.        ]",-0.15702114412
