timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.00417313 -0.00825141  0.04573158  0.1252135 ]
 [-0.0015493   0.00050972  0.          0.        ]]",[ 0.17521728  1.45924809],[-1.01584446 -0.85006708],[-0.01142073  1.34332228],-1.77325,"[ 1.25671671  1.40126027  0.02870635 -0.10151309  0.40494356  1.07269184
  0.22048374 -0.05335168  0.83658099 -0.78093882  0.        ]",-0.206566666797
1,"[[ 0.01108147  0.03148382  0.04573158  0.1252135 ]
 [ 0.69008592  3.95981871  0.          0.        ]]",[-0.27038678  0.92401843],[-1.01584446 -0.85006708],[-0.28739434  1.33943772],-1.76005,"[ 1.25664323  1.40029929  0.03880368 -0.05249445  0.40494347  1.07269137
  0.23026802  0.79392757  0.83596797 -0.74366796  0.        ]",-0.20300793903
2,"[[ 0.01400058  0.1466071   0.04573158  0.1252135 ]
 [-0.39455298  7.54057385  0.          0.        ]]",[-0.21281778  0.61966244],[-1.01584446 -0.85006708],[-0.32307598  1.16455984],-1.74709,"[ 1.25659197  1.37901251  0.0430701   0.08890336  0.40494337  1.07269091
  0.21492396  1.56019674  0.82818508 -0.65907921  0.        ]",-0.194425432229
3,"[[ -2.26747216e-03   3.20541791e-01   4.57315757e-02   1.25213499e-01]
 [ -1.22945726e+00   9.84521165e+00   0.00000000e+00   0.00000000e+00]]",[-0.57262192  0.56563082],[-1.01584446 -0.85006708],[-0.26761147  0.87430435],-1.74314,"[ 1.25672322  1.29536682  0.01929237  0.29741284  0.40494328  1.07269044
  0.2031128   2.0533796   0.80400857 -0.56167228  0.        ]",-0.182986238367
4,"[[ -0.04934753   0.53796997   0.04573158   0.1252135 ]
 [ -3.47108454  11.89077514   0.           0.        ]]",[-0.40589028 -0.37787088],[-1.01584446 -0.85006708],[-0.18672928  0.21482366],-1.67351,"[ 1.25504355  1.10748298 -0.0494935   0.5408568   0.40494318  1.07268997
  0.17140121  2.49111964  0.75995699 -0.48153948  0.        ]",-0.170434227426
5,"[[ -0.1341846    0.75841649   0.04573158   0.1252135 ]
 [ -5.00755337  10.1596283    0.           0.        ]]",[ 0.48250299  0.66391597],[-1.01584446 -0.85006708],[-0.19485369  0.36548132],-1.57092,"[ 1.24430085  0.83116378 -0.17293787  0.75723868  0.40494309  1.0726895
  0.14966525  2.12065807  0.70893932 -0.45455316  0.        ]",-0.160815967149
6,"[[ -0.21419515   0.98595989   0.04573158   0.1252135 ]
 [ -3.00009363  12.58664477   0.           0.        ]]",[-0.18745607 -0.58459245],[-1.01584446 -0.85006708],[ 0.05833786 -0.83416456],-1.51765,"[ 1.22513936  0.46947134 -0.28808579  0.93740921  0.40494299  1.07268903
  0.1780641   2.64002621  0.63931907 -0.42546834  0.        ]",-0.148256018447
7,"[[ -0.28103394   1.21196948   0.04573158   0.1252135 ]
 [ -3.68157919  10.02284991   0.           0.        ]]",[ 0.33899263 -1.2260912 ],[-1.01584446 -0.85006708],[ 0.15743548 -0.79951936],-1.47221,"[ 1.20250087  0.05156019 -0.38278413  1.06388167  0.40494289  1.07268856
  0.1684233   2.09138211  0.55205776 -0.39311514  0.        ]",-0.132847700327
8,"[[-0.34046514  1.37070393  0.04573158  0.1252135 ]
 [-2.26627775  5.86446876  0.          0.        ]]",[ 0.55913265  0.0443589 ],[-1.01584446 -0.85006708],[ 0.42524853 -0.18451542],-1.48429,"[ 1.17738675 -0.26551568 -0.46547967  1.11784592  0.4049428   1.07268809
  0.18844508  1.20150523  0.48783923 -0.39043701  0.        ]",-0.123233273661
9,"[[-0.36313983  1.48858589  0.04573158  0.1252135 ]
 [-0.00867176  5.92354472  0.          0.        ]]",[ 0.74938292 -0.72109553],[-1.01584446 -0.85006708],[ 0.71165466 -0.72465181],-1.47519,"[ 1.16658692 -0.5081695  -0.49659176  1.13829484  0.4049427   1.07268762
  0.22038267  1.21414663  0.42885172 -0.37234408  0.        ]",-0.113261819419
10,"[[-0.33354897  1.57722709  0.04573158  0.1252135 ]
 [ 2.95787718  2.95048826  0.          0.        ]]",[ 1.19094264 -1.38329037],[-1.01584446 -0.85006708],[ 1.20046151 -0.42941165],-1.49552,"[ 1.18054651 -0.69237964 -0.45593899  1.14243579  0.40494261  1.07268715
  0.26234945  0.57792487  0.3637919  -0.32315736  0.        ]",-0.0998305503533
11,"[[-0.23526319  1.59591555  0.04573158  0.1252135 ]
 [ 6.85768181 -1.0682717   0.          0.        ]]",[ 2.0446495   0.53795207],[-1.01584446 -0.85006708],[ 1.67087615  0.32544872],-1.5439,"[ 1.2186475  -0.73125219 -0.31810468  1.14207154  0.40494251  1.07268668
  0.3175187  -0.28207295  0.30692681 -0.24088238  0.        ]",-0.0849745928503
12,"[[ -0.05976676   1.59612466   0.04573158   0.1252135 ]
 [ 10.67926004   1.0819704    0.           0.        ]]",[ 1.72230555  0.33525233],[-1.01584446 -0.85006708],[ 1.61645579  0.02823323],-1.60543,"[ 1.25425338 -0.73168686 -0.06469919  1.1420645   0.40494241  1.07268621
  0.3715813   0.17806994  0.20914731 -0.11473248  0.        ]",-0.0616588013972
13,"[[  0.19140605   1.6308556    0.04573158   0.1252135 ]
 [ 14.42559059   2.38671348   0.           0.        ]]",[ 1.6568421  -1.07340005],[-1.01584446 -0.85006708],[ 1.63429964 -0.39380568],-1.65854,"[ 1.23147917 -0.80386899  0.30067402  1.14023514  0.40494232  1.07268574
  0.42457939  0.45727952  0.01566962  0.02366669  0.        ]",-0.0250766069957
14,"[[  0.5167704    1.6383715    0.04573158   0.1252135 ]
 [ 18.09851329  -1.62184822   0.           0.        ]]",[ 1.52782004  0.43049321],[-1.01584446 -0.85006708],[ 1.45189655  0.91225702],-1.55964,"[ 1.07623653 -0.8194724   0.74477934  1.13964323  0.40494222  1.07268527
  0.476539   -0.40053635 -0.24704192  0.12354675  0.        ]",-0.0251638423993
15,"[[  0.91485167   1.62333732   0.04573158   0.1252135 ]
 [ 21.69766467   0.11254531   0.           0.        ]]",[ 1.51650845 -0.18476192],[-1.01584446 -0.85006708],[ 1.27784812  0.37491757],-1.46518,"[ 0.71754972 -0.78825274  1.18093567  1.14075604  0.40494213  1.0726848
  0.52745497 -0.02938309 -0.57638065  0.12683652  0.        ]",-0.077089633024
16,"[[  1.38420659   1.61819724   0.04573158   0.1252135 ]
 [ 25.22604564  -0.62421768   0.           0.        ]]",[ 1.37046973  0.61434728],[-1.01584446 -0.85006708],[ 1.0422374   0.54667091],-1.32291,"[ 0.13096114 -0.77757277  1.45890024  1.14107228  0.40494203  1.07268433
  0.57736976 -0.18704741 -0.93497034 -0.05344494  0.        ]",-0.136616018222
17,"[[  1.92342416   1.6302077    0.04573158   0.1252135 ]
 [ 28.68429792   1.81699572   0.           0.        ]]",[ 0.25857995 -0.94506375],[-1.01584446 -0.85006708],[ 0.95238554 -0.4526763 ],-1.69011,"[-0.60279287 -0.80252247  1.39433155  1.14028073  0.40494193  1.07268386
  0.62629245  0.33536259 -1.20004773 -0.46171934  0.        ]",-0.196139974525
18,"[[  2.50169032   1.62860455   0.04573158   0.1252135 ]
 [ 29.14063717  -1.96472617   0.           0.        ]]",[ 0.77232329  0.08018158],[-1.01584446 -0.85006708],[ 0.747123    0.80853301],-1.65852,"[-1.23414885 -0.79919285  0.89539019  1.14039606  0.40494184  1.07268339
  0.63274796 -0.47391106 -1.23165432 -0.98685262  0.        ]",-0.2439740629
19,"[[  3.10937999   1.59284268   0.04573158   0.1252135 ]
 [ 31.62007271  -1.61274649   0.           0.        ]]",[ 0.67650995  0.78913284],[-1.01584446 -0.85006708],[ 0.81778759  0.63431579],-1.60179,"[-1.50688602 -0.7248593   0.06968129  1.14215666  0.40494174  1.07268293
  0.66782361 -0.39858867 -0.99797958 -1.46476137  0.        ]",-0.274531513501
20,"[[  3.76235966   1.5922098    0.04573158   0.1252135 ]
 [ 33.67121326   1.53885843   0.           0.        ]]",[ 0.98015892 -0.78446943],[-1.01584446 -0.85006708],[ 1.09059811 -0.29804766],-1.75567,"[-1.24973596 -0.72354279 -0.82758521  1.1421731   0.40494165  1.07268246
  0.69684029  0.27584268 -0.49310568 -1.71769105  0.        ]",-0.27827884555
21,"[[  4.46802584   1.59145816   0.04573158   0.1252135 ]
 [ 36.88453663  -1.60371261   0.           0.        ]]",[ 1.81810568  1.0906495 ],[-1.01584446 -0.85006708],[ 1.61579514  0.39644155],-1.29794,"[-0.4598384  -0.72197925 -1.39563464  1.14219207  0.40494155  1.07268199
  0.742298   -0.39665555  0.08796669 -1.55866845  0.        ]",-0.249454158877
22,"[[  5.23809404   1.59936217   0.04573158   0.1252135 ]
 [ 40.11176671   2.38065672   0.           0.        ]]",[ 1.60630365 -0.21453538],[-1.01584446 -0.85006708],[ 2.00226641 -0.15027219],-1.14989,"[ 0.56816038 -0.73841698 -1.24168964  1.14195153  0.40494145  1.07268152
  0.78795243  0.45598446  0.44566128 -0.96398849  0.        ]",-0.182375164043
23,"[[  6.07208304   1.63790058   0.04573158   0.1252135 ]
 [ 43.27654965   1.47601487   0.           0.        ]]",[ 2.18151499  0.73421829],[-1.01584446 -0.85006708],[ 1.9764353   0.12801974],-1.38523,"[ 1.22603803 -0.81849276 -0.28366719  1.13967751  0.40494136  1.07268105
  0.83272342  0.2623944   0.26785695 -0.21757535  0.        ]",-0.0774165897484
24,"[[  6.96873606e+00   1.69620668e+00   4.57315757e-02   1.25213499e-01]
 [  4.63786496e+01   4.34484811e+00   0.00000000e+00   0.00000000e+00]]",[ 2.0625445 -0.2055836],[-1.01584446 -0.85006708],[ 1.71638739 -0.83422738],-1.64446,"[ 0.94444967 -0.93920992  0.94798555  1.13276411  0.40494126  1.07268058
  0.87660761  0.87631388 -0.4156862   0.11025675  0.        ]",-0.0500262347963
25,"[[  7.92682925e+00   1.77397242e+00   4.57315757e-02   1.25213499e-01]
 [  4.94204962e+01   3.43458212e+00   0.00000000e+00   0.00000000e+00]]",[ 1.07854947 -0.60000607],[-1.01584446 -0.85006708],[ 1.29466236 -0.87849718],-1.55345,"[-0.2260395  -1.09876941  1.48039356  1.11707493  0.40494117  1.07268011
  0.9196394   0.68152008 -1.06902192 -0.33384426  0.        ]",-0.168247237084
26,"[[  8.94515238e+00   1.81803335e+00   4.57315757e-02   1.25213499e-01]
 [  5.24017121e+01   9.79502108e-01   0.00000000e+00   0.00000000e+00]]",[ 1.42044614 -0.22559337],[-1.01584446 -0.85006708],[ 1.1159004  -0.17826667],-1.58907,"[-1.35165056 -1.18810839  0.69708632  1.10493591  0.40494107  1.07267964
  0.96181343  0.15614185 -1.07454339 -1.17086443  0.        ]",-0.245290165994
27,"[[  1.00224979e+01   1.82834306e+00   4.57315757e-02   1.25213499e-01]
 [  5.53230380e+01   5.43374574e-02   0.00000000e+00   0.00000000e+00]]",[ 1.38448726 -0.53384239],[-1.01584446 -0.85006708],[ 1.46887887 -0.21675545],-1.67214,"[-1.2679643  -1.20887581 -0.79995928  1.10175896  0.40494098  1.07267917
  1.00314018 -0.04184005 -0.39980079 -1.60355127  0.        ]",-0.257677210473
28,"[[  1.11576851e+01   1.80807394e+00   4.57315757e-02   1.25213499e-01]
 [  5.81859738e+01  -2.07439780e+00   0.00000000e+00   0.00000000e+00]]",[ 2.34191016 -0.32078357],[-1.01584446 -0.85006708],[ 2.02950072  0.23632124],-1.17515,"[ 0.09764316 -1.16799342 -1.41989366  1.1078827   0.40494088  1.0726787
  1.04364087 -0.49738172  0.29095387 -1.13894757  0.        ]",-0.194822481131
29,"[[  1.23495522e+01   1.75410221e+00   4.57315757e-02   1.25213499e-01]
 [  6.09912613e+01  -3.31889932e+00   0.00000000e+00   0.00000000e+00]]",[ 2.07822985  0.64674304],[-1.01584446 -0.85006708],[ 1.97157133  1.1416564 ],-1.3818,"[ 1.22436073 -1.05820064 -0.29183204  1.12178086  0.40494078  1.07267823
  1.08332599 -0.76370042  0.19578246 -0.21425256  0.        ]",-0.0666802655133
30,"[[  1.35969618e+01   1.71390905e+00   4.57315757e-02   1.25213499e-01]
 [  6.37407470e+01  -7.09381569e-01   0.00000000e+00   0.00000000e+00]]",[ 1.67876172  1.04461183],[-1.01584446 -0.85006708],[ 1.47446358  0.82554299],-1.30685,"[ 0.5854217  -0.97570182  1.2761341   1.12983748  0.40494069  1.07267776
  1.12222166 -0.20527271 -0.696845    0.04122425  0.        ]",-0.095789131487
