timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.0141783   0.06815323  0.10055484 -0.05575107]
 [-0.00070302  0.00303195  0.          0.        ]]",[-1.96047768  2.12523824],[-1.0498265  -0.90864956],[-2.3321383   2.08226562],-2.2356,"[ 1.25774325  1.41650741  0.04442927 -0.00778429  0.87630585 -0.49281049
  0.21509829 -0.05023182  0.51247565  0.44475998  0.        ]",-0.127589452843
1,"[[-0.0255416   0.10795652  0.10055484 -0.05575107]
 [-3.9581069   3.96408912  0.          0.        ]]",[-2.57399006  2.12188154],[-1.0498265  -0.90864956],[-2.13014078  1.96805716],-2.25067,"[ 1.25743068  1.40902563 -0.01360084  0.04089297  0.87630557 -0.49281038
  0.15957182  0.80876596  0.51233845  0.41944783  0.        ]",-0.125559312831
2,"[[-0.14362415  0.22619359  0.10055484 -0.05575107]
 [-7.83723862  7.84666184  0.          0.        ]]",[-1.48460922  1.69067354],[-1.0498265  -0.90864956],[-1.81818855  1.23116922],-2.14398,"[ 1.24364624  1.36702309 -0.18541495  0.18395769  0.87630529 -0.49281027
  0.10514359  1.65074272  0.50646002  0.34440815  0.        ]",-0.119265720189
3,"[[ -0.33852034   0.42130946   0.10055484  -0.05575107]
 [-11.63975264  11.65219876   0.           0.        ]]",[-1.90239603 -0.25338441],[-1.0498265  -0.90864956],[-1.49638867  0.24253869],-1.89271,"[ 1.17941819  1.23456397 -0.46150626  0.41071217  0.87630501 -0.49281016
  0.05179039  2.47601109  0.47909237  0.22380527  0.        ]",-0.108126409844
4,"[[ -0.60869685   0.64198249   0.10055484  -0.05575107]
 [-15.36558167  10.41913143   0.           0.        ]]",[-1.90187192  0.47981043],[-1.0498265  -0.90864956],[-1.61289692  0.38280529],-1.71892,"[  1.00957015e+00   9.95940014e-01  -8.11742916e-01   6.43780614e-01
   8.76304728e-01  -4.92810047e-01  -4.86846211e-04   2.20860507e+00
   4.08607659e-01   3.58960527e-02   0.00000000e+00]",-0.0914517504773
5,"[[ -0.95266624   0.86736171   0.10055484  -0.05575107]
 [-19.01930172  12.11302271   0.           0.        ]]",[-1.4541408  -0.02995995],[-1.0498265  -0.90864956],[-1.43185747 -0.44714573],-1.5707,"[ 0.67654513  0.66663766 -1.16703123  0.84494129  0.87630445 -0.49280994
 -0.05175232  2.57593942  0.26476293 -0.20279735  0.        ]",-0.075642598808
6,"[[ -1.36898581   1.10602204   0.10055484  -0.05575107]
 [-22.60086466  11.75404508   0.           0.        ]]",[-1.00540283 -1.25135797],[-1.0498265  -0.90864956],[-1.46495986 -1.26475894],-1.51575,"[ 0.15247288  0.24211515 -1.40773526  1.0061462   0.87630416 -0.49280982
 -0.10200535  2.49808818  0.02162693 -0.43091101  0.        ]",-0.0753341748587
7,"[[ -1.85622243   1.29902653   0.10055484  -0.05575107]
 [-26.11116409   7.56020953   0.           0.        ]]",[-1.65506313 -2.10919181],[-1.0498265  -0.90864956],[-1.86408222 -1.51142836],-1.67477,"[-0.51391779 -0.14214922 -1.37827356  1.09132278  0.87630388 -0.49280971
 -0.15125848  1.58861215 -0.33792547 -0.60702248  0.        ]",-0.104527200891
8,"[[ -2.4129694    1.40897725   0.10055484  -0.05575107]
 [-29.55201892   3.44840037   0.           0.        ]]",[-2.04169024 -2.41843346],[-1.0498265  -0.90864956],[-2.29051042 -1.66947687],-2.0993,"[-1.15613567 -0.37153719 -0.94914915  1.12034531  0.8763036  -0.4928096
 -0.19953723  0.69692543 -0.8134494  -0.64064512  0.        ]",-0.155620776915
9,"[[ -3.03784518   1.43749879   0.10055484  -0.05575107]
 [-32.92417452  -0.58297199   0.           0.        ]]",[-3.04054417 -1.95057093],[-1.0498265  -0.90864956],[-2.83765483 -1.32214832],-2.13368,"[-1.49973559 -0.43183348 -0.12759763  1.12549318  0.87630332 -0.49280949
 -0.24685205 -0.17731762 -1.32675888 -0.39095269  0.        ]",-0.213269573557
10,"[[ -3.72948374   1.38618419   0.10055484  -0.05575107]
 [-36.22843624  -4.53546946   0.           0.        ]]",[-3.08176512  0.57329016],[-1.0498265  -0.90864956],[-3.34455419  0.40204877],-1.7857,"[-1.27505955 -0.32355     0.83405494  1.11552127  0.87630304 -0.49280938
 -0.29321425 -1.03445568 -1.66402939  0.22885651  0.        ]",-0.262547344843
11,"[[ -4.48655718   1.31909916   0.10055484  -0.05575107]
 [-39.46823049  -2.18103402   0.           0.        ]]",[-3.27775634  0.74084542],[-1.0498265  -0.90864956],[-3.34059334  0.47158951],-1.71607,"[-0.43421457 -0.18358952  1.44771877  1.09769785  0.87630276 -0.49280927
 -0.3386719  -0.52387279 -1.50134566  1.01889282  0.        ]",-0.280358828641
