timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.403426763735,[ 2.12732797  1.83904798],-3.58685,"[[-0.01817253 -0.04341052 -0.1935991  -0.0151074 ]
 [-0.00399049  0.00193864  0.          0.        ]]","[ 0.96516109  2.2248586  -0.14614421 -1.06992181 -1.66265359 -0.12993955
 -0.41999814 -0.34149439  2.93286211 -0.16097402  0.        ]",[ 2.41224313  2.86457992],[-0.32443872 -0.27480146]
1,-0.404015289501,[ 2.51390739  3.31824253],-3.52058,"[[  2.14235120e-02  -3.65973017e-03  -1.93599099e-01  -1.51073965e-02]
 [  3.95043272e+00   3.95995477e+00   0.00000000e+00   0.00000000e+00]]","[ 0.96506331  2.2262035  -0.0851392  -0.95752186 -1.66264836 -0.12993944
 -0.25416284  0.19350508  2.93427883 -0.04695846  0.        ]",[ 2.0847342   2.60848141],[-0.32443872 -0.27480146]
2,-0.403102230522,[ 1.91620894  2.42019154],-3.50163,"[[ 0.13932372  0.11446542 -0.1935991  -0.0151074 ]
 [ 7.82670363  7.83963163  0.          0.        ]]","[ 0.95091748  2.21671589  0.09582845 -0.62410524 -1.66264314 -0.12993933
 -0.091605    0.71791521  2.89957066  0.28947739  0.        ]",[ 1.69555652  2.3379159 ],[-0.32443872 -0.27480146]
3,-0.392945196659,[ 1.95379995  1.34005232],-3.39623,"[[  0.33398259   0.30941327  -0.1935991   -0.0151074 ]
 [ 11.62662691  11.64246519   0.           0.        ]]","[ 0.88279019  2.15735307  0.38693638 -0.0858772  -1.66263791 -0.12993922
  0.06775107  1.23193705  2.72013556  0.80449609  0.        ]",[ 1.22769523  1.94826972],[-0.32443872 -0.27480146]
4,-0.361891824092,[-0.33618112  0.58268015],-3.17809,"[[  6.03894139e-01   5.79661023e-01  -1.93599099e-01  -1.51073965e-02]
 [  1.53523657e+01   1.53698437e+01   0.00000000e+00   0.00000000e+00]]","[ 0.7009632   1.98938659  0.7567925   0.60214019 -1.66263268 -0.12993911
  0.22399609  1.73575629  2.26328398  1.34292693  0.        ]",[ 0.46778908  1.3705622 ],[-0.32443872 -0.27480146]
5,-0.305675753785,[ 0.23201494  0.58755185],-2.73842,"[[  8.94563223e-01   9.07153036e-01  -1.93599099e-01  -1.51073965e-02]
 [  1.37201350e+01   1.73726538e+01   0.00000000e+00   0.00000000e+00]]","[ 0.40602049  1.66951375  1.08356673  1.28102618 -1.66262745 -0.129939
  0.15554552  2.00646472  1.58965629  1.58067499  0.        ]",[-0.05961672  0.82001895],[-0.32443872 -0.27480146]
6,-0.230755027462,[ 0.35082503  1.35446609],-2.1035,"[[  1.17547838e+00   1.27448833e+00  -1.93599099e-01  -1.51073965e-02]
 [  1.43694618e+01   1.93542435e+01   0.00000000e+00   0.00000000e+00]]","[ 0.04606015  1.19983807  1.30380168  1.75810553 -1.66262222 -0.12993889
  0.18277603  2.27430085  0.93805343  1.37716142  0.        ]",[-0.60511327  0.18393649],[-0.32443872 -0.27480146]
7,-0.145288350268,[-2.06273072  0.25073035],-1.44802,"[[  1.47398100e+00   1.69744494e+00  -1.93599099e-01  -1.51073965e-02]
 [  1.54774478e+01   2.29294902e+01   0.00000000e+00   0.00000000e+00]]","[-0.38518652  0.59346396  1.41541727  1.85870924 -1.662617   -0.12993878
  0.22924123  2.75753889  0.51670655  0.78187051  0.        ]",[-1.22533083 -0.28034064],[-0.32443872 -0.27480146]
8,-0.104113891872,[-1.45061053 -1.27022669],-1.0757,"[[  1.74079280e+00   2.16143753e+00  -1.93599099e-01  -1.51073965e-02]
 [  1.12175556e+01   2.34680037e+01   0.00000000e+00   0.00000000e+00]]","[-0.78265148 -0.03071388  1.40041935  1.40215966 -1.66261177 -0.12993867
  0.05059477  2.83030683  0.54539876  0.12061284  0.        ]",[-1.38867593 -0.5662092 ],[-0.32443872 -0.27480146]
9,-0.136938046309,[-1.1537864  -1.99149209],-1.35609,"[[  1.92322764e+00   2.58640603e+00  -1.93599099e-01  -1.51073965e-02]
 [  7.03930327e+00   1.90436039e+01   0.00000000e+00   0.00000000e+00]]","[-1.04579279 -0.45531658  1.32792368  0.54374933 -1.66260654 -0.12993856
 -0.12462797  2.23226653  0.8565874  -0.20871574  0.        ]",[-1.29897285 -0.65298307],[-0.32443872 -0.27480146]
10,-0.175461485344,[-0.89024288  0.12218389],-1.73735,"[[  2.02290078   2.92376582  -0.1935991   -0.0151074 ]
 [  2.9414165   14.70682692   0.           0.        ]]","[-1.18286088 -0.6387893   1.2678203  -0.33590778 -1.66260131 -0.12993845
 -0.29648041  1.64607789  1.15672953 -0.23702182  0.        ]",[-1.06531441 -0.53850019],[-0.32443872 -0.27480146]
11,-0.199060103837,[-0.18799926 -0.66496187],-1.96121,"[[ 2.04577793  3.13749145 -0.1935991  -0.0151074 ]
 [-0.64200303  2.59206402  0.          0.        ]]","[-1.21345227 -0.67303152  1.25205753 -0.93557716 -1.66259609 -0.12993834
 -0.44675761  0.00857967  1.33983907 -0.16010359  0.        ]",[-0.47008216 -0.41023108],[-0.32443872 -0.27480146]
12,-0.195972085871,[ 0.08857953 -1.43372909],-1.98428,"[[ 2.02559392  3.11899987 -0.1935991  -0.0151074 ]
 [-1.37388372 -2.7906526   0.          0.        ]]","[-1.18647562 -0.67267294  1.26599706 -0.88327705 -1.66259086 -0.12993823
 -0.47744998 -0.71897771  1.31610754 -0.17348424  0.        ]",[-0.16511978 -0.23532125],[-0.32443872 -0.27480146]
13,-0.185743649816,[-0.44127644 -0.22870306],-1.92409,"[[ 2.00190624  3.02401348 -0.1935991  -0.0151074 ]
 [-0.99613681 -6.69497416  0.          0.        ]]","[-1.15447633 -0.66303328  1.28163708 -0.61536372 -1.66258563 -0.12993812
 -0.46160794 -1.24670535  1.23688896 -0.20774656  0.        ]",[-0.0564778   0.02755058],[-0.32443872 -0.27480146]
14,-0.169995043243,[ 0.10552229  0.17879005],-1.76706,"[[ 1.96465194  2.88235725 -0.1935991  -0.0151074 ]
 [-2.72351957 -7.46807223  0.          0.        ]]","[-1.10344942 -0.62460432  1.30464391 -0.22210228 -1.6625804  -0.12993801
 -0.53404866 -1.35119845  1.11415072 -0.23359781  0.        ]",[ 0.09131476  0.12559268],[-0.32443872 -0.27480146]
15,-0.153718191273,[-1.03686847  0.62435237],-1.6019,"[[ 1.91491574  2.74158228 -0.1935991  -0.0151074 ]
 [-2.25167284 -6.61227779  0.          0.        ]]","[-1.03409855 -0.55860374  1.33227714  0.1543383  -1.66257518 -0.1299379
 -0.51426026 -1.23552193  0.98736221 -0.2248704   0.        ]",[ 0.06837292  0.11098388],[-0.32443872 -0.27480146]
16,-0.141176477211,[ 1.5690831   0.25528621],-1.38412,"[[ 1.83060815  2.63545311 -0.1935991  -0.0151074 ]
 [-6.16603118 -4.00931863  0.          0.        ]]","[-0.91378664 -0.49129122  1.37089416  0.42411493 -1.66256995 -0.12993779
 -0.67841617 -0.88369042  0.88893118 -0.17401706  0.        ]",[ 0.36689776 -0.03300679],[-0.32443872 -0.27480146]
