timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.164674357608,[-0.62550467 -0.46518803],[-3.04790831 -0.46036768],-2.2418,"[ 0.94879246  1.76156178 -0.02266503  0.33522774  1.55521635 -1.54518893
 -0.73294732  0.01333314 -0.0658053   1.90138206  0.        ]","[[-0.07986637 -0.00348591  0.18052943 -0.179278  ]
 [ 0.00156824  0.00278002  0.          0.        ]]",[-2.71049554 -0.37565156]
1,-0.154744000571,[-0.62550467 -0.46518803],[-2.16609216  0.04225244],-2.17205,"[ 0.94287689  1.76134221 -0.08367057  0.30826322  1.55521417 -1.54518678
 -0.83686331 -0.18439833 -0.07485968  1.79982029  0.        ]","[[-0.11952002 -0.01833924  0.18052943 -0.179278  ]
 [-3.95376527 -1.48316585  0.          0.        ]]",[-1.77387335 -0.1044994 ]
2,-0.126315414552,[-0.62550467 -0.46518803],[-0.93652534  0.37279224],-2.04878,"[ 0.91149637  1.75976842 -0.26309239  0.24747493  1.55521198 -1.54518463
 -0.93873511 -0.23535011 -0.12307357  1.51387071  0.        ]","[[-0.23749973 -0.0518443   0.18052943 -0.179278  ]
 [-7.83129654 -1.8660674   0.          0.        ]]",[-0.57445422  0.72747272]
3,-0.0890244703736,[-0.62550467 -0.46518803],[ 0.12023388  0.00237255],-1.89806,"[ 0.82611314  1.75916544 -0.52327393  0.23289864  1.55520979 -1.54518247
 -0.99439804  0.15297895 -0.23726894  1.1468354   0.        ]","[[-0.41538332 -0.0598856   0.18052943 -0.179278  ]
 [-9.95000204  1.05221058  0.          0.        ]]",[ 1.24826219  1.26773068]
4,-0.0656512067073,[-0.62550467 -0.46518803],[ 0.03219402 -0.96104801],-1.97137,"[ 0.71439408  1.76155773 -0.73725879  0.34275674  1.55520761 -1.54518032
 -0.88533582  0.67688808 -0.3468637   0.91024826  0.        ]","[[ -5.72733525e-01   6.61397237e-04   1.80529428e-01  -1.79278004e-01]
 [ -5.79883743e+00   4.98936831e+00   0.00000000e+00   0.00000000e+00]]",[-0.50919364 -1.13485634]
5,-0.0507480723089,[-0.62550467 -0.46518803],[ 1.17436552 -0.06819648],-1.81615,"[ 0.5935929   1.75917136 -0.90455726  0.44994434  1.55520542 -1.54517817
 -0.9352015   0.13694622 -0.45697097  0.72910119  0.        ]","[[-0.70775384  0.0597372   0.18052943 -0.179278  ]
 [-7.69688118  0.93172968  0.          0.        ]]",[ 1.19785101  0.19192267]
6,-0.0446407942938,[-0.62550467 -0.46518803],[ 1.04285049 -0.38825279],-1.86329,"[ 0.47675967  1.75663681 -1.03033075  0.49712605  1.55520323 -1.54517602
 -0.8272778   0.2354015  -0.57596818  0.57027801  0.        ]","[[-0.82047639  0.08579525  0.18052943 -0.179278  ]
 [-3.58904912  1.67161718  0.          0.        ]]",[ 0.85275773 -0.75074278]
7,-0.0451358873867,[-0.62550467 -0.46518803],[ 0.92411423  0.11648585],-1.74181,"[ 0.43526649  1.7562533  -1.06877043  0.50302437  1.55520105 -1.54517386
 -0.73675368 -0.16474231 -0.6215629   0.51680493  0.        ]","[[-0.85768699  0.08905671  0.18052943 -0.179278  ]
 [-0.14348624 -1.33544392  0.          0.        ]]",[ 2.08034434  0.55601107]
8,-0.0446291071536,[-0.62550467 -0.46518803],[ 0.01188484 -0.56227553],-1.84637,"[ 0.47635356  1.75675702 -1.03071893  0.49512043  1.55519886 -1.54517171
 -0.63277026  0.13153115 -0.57713843  0.56877733  0.        ]","[[-0.82084635  0.08468679  0.18052943 -0.179278  ]
 [ 3.81437504  0.89103575  0.          0.        ]]",[ 0.62745446 -0.54276019]
9,-0.0506312691316,[-0.62550467 -0.46518803],[-0.69254756 -0.26854953],-1.82337,"[ 0.5811754   1.75718784 -0.91933462  0.48801249  1.55519668 -1.54516956
 -0.56951806 -0.15691918 -0.45935855  0.72681202  0.        ]","[[-0.72040336  0.08075836  0.18052943 -0.179278  ]
 [ 6.22190347 -1.2766527   0.          0.        ]]",[-0.7019041  -0.05191893]
