timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.310951851892,"[[-0.07046466 -0.03761255 -0.09536613 -0.08203541]
 [ 0.00228467 -0.00441861  0.          0.        ]]",[-2.5305171  -2.09928012],-3.43968,"[  9.46994859e-01   1.70212128e+00  -2.47946946e-04   3.22937883e-01
  -8.21803337e-01  -7.19246569e-01  -7.10841839e-01   1.34921542e-02
   2.34285031e+00   9.66051401e-01   0.00000000e+00]",[-0.72371757 -0.60128504],[-3.16135648 -1.96527608]
1,-0.307023207419,"[[-0.11009452 -0.07741244 -0.09536613 -0.08203541]
 [-3.95211253 -3.96238453  0.          0.        ]]",[-2.15618205 -1.9324019 ],-3.45227,"[ 0.94155865  1.69907703 -0.06097454  0.25141325 -0.82180285 -0.71924619
 -0.81424937 -0.52408456  2.32831033  0.83236395  0.        ]",[-0.72371757 -0.60128504],[-2.23632705 -2.78508355]
2,-0.293401090143,"[[-0.22802843 -0.19558565 -0.09536613 -0.08203541]
 [-7.82840638 -7.84200674  0.          0.        ]]",[-1.50847673 -1.83375728],-3.23747,"[ 0.91138537  1.67770403 -0.23974998  0.04077927 -0.82180237 -0.7192458
 -0.91561439 -1.0510201   2.24179574  0.44631967  0.        ]",[-0.72371757 -0.60128504],[-0.8907793  -1.38755636]
3,-0.265431266139,"[[ -0.41838719  -0.39058208  -0.09536613  -0.08203541]
 [-11.19636478 -11.64494658   0.           0.        ]]",[-0.45106307 -1.37400341],-3.04134,"[ 0.81953806  1.60290782 -0.51707167 -0.29475209 -0.82180189 -0.71924542
 -1.00368626 -1.56753939  1.97293225 -0.11049636  0.        ]",[-0.72371757 -0.60128504],[-0.32052461 -2.16143347]
4,-0.21990614195,"[[ -0.65281054  -0.66088922  -0.09536613  -0.08203541]
 [-12.24268261 -15.37331547   0.           0.        ]]",[ 0.70999146 -0.20269614],-2.40958,"[ 0.63793075  1.42306858 -0.82655889 -0.71436472 -0.82180141 -0.71924504
 -1.03104687 -2.07392811  1.44297759 -0.60893282  0.        ]",[-0.72371757 -0.60128504],[ 1.16515892  0.65334459]
5,-0.169624518532,"[[ -0.85556402  -0.93935619  -0.09536613  -0.08203541]
 [ -8.04648792 -12.48300879   0.           0.        ]]",[ 0.87412393 -0.10646614],-2.09001,"[ 0.42707957  1.15826102 -1.05354825 -1.06244922 -0.82180092 -0.71924466
 -0.92131521 -1.68136058  0.85648959 -0.77488408  0.        ]",[-0.72371757 -0.60128504],[ 0.97687498  0.03708219]
6,-0.128932012469,"[[ -0.97612874  -1.18507338  -0.09536613  -0.08203541]
 [ -4.023271   -12.09001251   0.           0.        ]]",[ 0.64180315  0.42920837],-1.83262,"[ 0.28169206  0.87358752 -1.16647937 -1.27729924 -0.82180044 -0.71924427
 -0.81610706 -1.62798126  0.44643278 -0.68422902  0.        ]",[-0.72371757 -0.60128504],[ 0.25494821  0.70495285]
7,-0.0971162766489,"[[-1.04568908 -1.39646787 -0.09536613 -0.08203541]
 [-2.93627511 -9.05953219  0.          0.        ]]",[ 0.59392959  0.570463  ],-1.6361,"[ 0.19203738  0.60393586 -1.22331129 -1.38227932 -0.82179996 -0.71924389
 -0.78768151 -1.21637686  0.19136494 -0.50497158  0.        ]",[-0.72371757 -0.60128504],[ 0.71145431 -0.17330015]
8,-0.0729726301065,"[[-1.07558703 -1.58274925 -0.09536613 -0.08203541]
 [-0.06302542 -9.56689957  0.          0.        ]]",[ 0.18254973  1.1133287 ],-1.48943,"[ 0.15234308  0.35739923 -1.24577397 -1.40943444 -0.82179948 -0.71924351
 -0.71254524 -1.28528687  0.05121082 -0.31112582  0.        ]",[-0.72371757 -0.60128504],[-0.09335907  0.38100151]
9,-0.054181029197,"[[-1.08054853 -1.75704993 -0.09536613 -0.08203541]
 [-0.4318707  -7.8688306   0.          0.        ]]",[ 0.14125718  1.29618955],-1.40348,"[ 0.14569237  0.12705041 -1.24938412 -1.37842698 -0.82179899 -0.71924313
 -0.72219022 -1.05465249 -0.01947248 -0.12036715  0.        ]",[-0.72371757 -0.60128504],[ 0.35014396  1.12999526]
10,-0.0442136741887,"[[-1.07520224 -1.87313735 -0.09536613 -0.08203541]
 [ 0.96193048 -3.7536193   0.          0.        ]]",[-0.11724952  0.90734786],-1.4888,"[ 0.15285802 -0.02265024 -1.24549027 -1.32790703 -0.82179851 -0.71924274
 -0.68574175 -0.49571976 -0.0418225   0.00773453  0.        ]",[-0.72371757 -0.60128504],[-0.59281731  0.11825476]
11,-0.0384539529857,"[[-1.07969838 -1.94276368 -0.09536613 -0.08203541]
 [-1.4036814  -3.21082816  0.          0.        ]]",[ 0.21110401  1.19709206],-1.39448,"[ 0.1468331  -0.11000623 -1.24876547 -1.28645099 -0.82179803 -0.71924236
 -0.74760247 -0.42199707 -0.05652891  0.09100935  0.        ]",[-0.72371757 -0.60128504],[ 1.1867307   1.28416972]
12,-0.0383484867515,"[[-1.06778291 -1.96661816 -0.09536613 -0.08203541]
 [ 2.58197009  0.81198009  0.          0.        ]]",[-0.47307596  0.25378695],-1.46994,"[ 0.16276785 -0.13941738 -1.24002182 -1.27036665 -0.82179755 -0.71924198
 -0.64337671  0.12438542 -0.04859884  0.11094672  0.        ]",[-0.72371757 -0.60128504],[ 0.02402499  0.56255364]
13,-0.0471148078047,"[[-1.01570451 -1.92819058 -0.09536613 -0.08203541]
 [ 2.62570861  3.02340815  0.          0.        ]]",[-0.6826793  -0.64353353],-1.59119,"[ 0.23116171 -0.09190196 -1.19958067 -1.29580506 -0.82179706 -0.7192416
 -0.64223263  0.4247441   0.00456363  0.03432761  0.        ]",[-0.72371757 -0.60128504],[-1.03016318 -0.7641852 ]
14,-0.0509029843549,"[[-1.00342264 -1.89867833 -0.09536613 -0.08203541]
 [-1.38413588 -0.06190132  0.          0.        ]]",[-0.00901833  0.18509239],-1.45665,"[ 0.24698117 -0.05494024 -1.18952151 -1.31365269 -0.82179658 -0.71924121
 -0.74709035  0.00569348  0.02260593 -0.00644697  0.        ]",[-0.72371757 -0.60128504],[ 0.27503099  0.8610586 ]
15,-0.0516474042458,"[[-1.01991167 -1.86569717 -0.09536613 -0.08203541]
 [-0.26849587  3.34864848  0.          0.        ]]",[-0.2904959  -0.80000973],-1.6029,"[ 0.22571458 -0.01319422 -1.20297877 -1.33184134 -0.8217961  -0.71924083
 -0.71791578  0.46891861  0.01414643 -0.0343863   0.        ]",[-0.72371757 -0.60128504],[-0.4516519  -0.98523641]
