timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.331123345956,[-0.74726778 -0.62749696],[ 0.56947637  0.71259797],-3.31893,"[ 0.94949995  1.68269188  0.2127037   0.48673085 -1.05795675  0.1447246
 -0.7062593   0.01226652  2.6052447   0.31869602  0.        ]","[[ 0.06262448  0.05079999 -0.12201522  0.01601217]
 [ 0.00467301 -0.00240344  0.          0.        ]]",[ 0.22232252  0.8848252 ]
1,-0.330505766827,[-0.74726778 -0.62749696],[ 1.52898145  1.97855353],-3.22572,"[ 0.94858788  1.67951201  0.2263466   0.5496953  -1.057956    0.14472455
 -0.68335197  0.48988867  2.59887707  0.37920819  0.        ]","[[ 0.07152746  0.08590116 -0.12201522  0.01601217]
 [ 0.88270809  3.50084657  0.          0.        ]]",[ 1.54393661  1.0974295 ]
2,-0.327029120246,[-0.74726778 -0.62749696],[ 2.20304465  3.38900399],-2.87357,"[ 0.93986381  1.65929109  0.31367708  0.74372285 -1.05795525  0.1447245
 -0.58064013  1.02006869  2.55496772  0.62861405  0.        ]","[[ 0.12868221  0.19493518 -0.12201522  0.01601217]
 [ 4.8196856   7.38959909  0.          0.        ]]",[ 2.02987579  3.156576  ]
3,-0.315798272156,[-0.74726778 -0.62749696],[ 2.27804446  4.08674955],-2.53834,"[ 0.89965279  1.58935493  0.51705856  1.06399902 -1.05795451  0.14472445
 -0.47995108  1.53975154  2.38536438  1.10122158  0.        ]","[[  0.26379793   0.3809719   -0.12201522   0.01601217]
 [  8.67913038  11.20136492   0.           0.        ]]",[ 2.42990835  3.33498414]
4,-0.289259180879,[-0.74726778 -0.62749696],[ 2.12407184  4.39584541],-2.09023,"[ 0.78315129  1.42008036  0.81946375  1.47282154 -1.05795376  0.1447244
 -0.38122924  2.04913219  1.96235404  1.66022083  0.        ]","[[  0.47534466   0.64248614  -0.12201522   0.01601217]
 [ 12.46317215  14.93758164   0.           0.        ]]",[ 1.62405997  4.48837686]
5,-0.238737439813,[-0.74726778 -0.62749696],[ 1.92099905  4.45002508],-1.94871,"[ 0.5302559   1.0994029   1.17671734  1.88670998 -1.05795301  0.14472435
 -0.28441052  2.54839277  1.21989733  2.00943123  0.        ]","[[  7.61838485e-01   9.77980486e-01  -1.22015219e-01   1.60121721e-02]
 [  1.61742673e+01   1.85995945e+01   0.00000000e+00   0.00000000e+00]]",[ 1.33904276  4.16897995]
6,-0.158989598085,[-0.74726778 -0.62749696],[ 1.6504674   3.84553885],-1.83638,"[ 0.0879857   0.60238553  1.50024601  2.16289323 -1.05795226  0.14472431
 -0.18943015  3.03771175  0.3356401   1.77272364  0.        ]","[[  1.12184574e+00   1.38598400e+00  -1.22015219e-01   1.60121721e-02]
 [  1.98148980e+01   2.21887238e+01   0.00000000e+00   0.00000000e+00]]",[ 1.74792501  3.94382029]
7,-0.0567470611534,[-0.74726778 -0.62749696],[ 1.58671665  3.04883099],-1.71487,"[-0.54926913 -0.02567329  1.65222619  2.11622376 -1.05795151  0.14472426
 -0.09624264  3.51728798 -0.18977199  0.86348403  0.        ]","[[  1.55397669e+00   1.86505326e+00  -1.22015219e-01   1.60121721e-02]
 [  2.33868078e+01   2.57064407e+01   0.00000000e+00   0.00000000e+00]]",[ 1.72361906  3.23883728]
8,-0.0598367963936,[-0.74726778 -0.62749696],[ 1.78061342  2.72608519],-1.33155,"[-1.28850549 -0.63094522  1.47455604  1.59157813 -1.05795077  0.14472421
 -0.0048508   3.98737528  0.08740117 -0.0763356   0.        ]","[[  2.05685983e+00   2.41377791e+00  -1.22015219e-01   1.60121721e-02]
 [  2.68898889e+01   2.91546210e+01   0.00000000e+00   0.00000000e+00]]",[ 2.52827578  2.64431108]
9,-0.128033479867,[-0.74726778 -0.62749696],[ 1.73152494  2.78713942],-1.29637,"[-1.90616415 -0.95868411  0.86969603  0.59424195 -1.05795002  0.14472416
  0.08466818  3.65539997  0.75858281 -0.04217684  0.        ]","[[  2.62909584e+00   3.03079060e+00  -1.22015219e-01   1.60121721e-02]
 [  3.03211830e+01   2.67197514e+01   0.00000000e+00   0.00000000e+00]]",[ 1.19703683  3.32682482]
