timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.183609927704,"[[-0.01312462  0.00394581  0.08865415 -0.14012993]
 [-0.00222556 -0.00321055  0.          0.        ]]",[-2.8896873  -1.35720682],-2.2756,"[ 0.96135491  1.82869464  0.06677079  0.30345618  0.7703505  -1.22323353
 -0.75168285  0.01601985  0.71161253  1.57731523  0.        ]",[-0.5437246  -0.40346882],[-2.45052118 -1.94316301]
1,-0.173895009675,"[[-0.05284375 -0.03583016  0.08865415 -0.14012993]
 [-3.95652748 -3.9612003   0.          0.        ]]",[-1.94985461 -0.48290679],-2.11534,"[ 0.95942412  1.82783914  0.00518955  0.22956397  0.7703499  -1.22323204
 -0.85682242 -0.50074551  0.70697647  1.45177989  0.        ]",[-0.5437246  -0.40346882],[-2.47689081 -0.60411941]
2,-0.145570178436,"[[-0.17087088 -0.13825246  0.08865415 -0.14012993]
 [-7.83329562 -6.27332522  0.          0.        ]]",[-0.62605965  0.20858499],-1.65401,"[ 0.94002226  1.81588124 -0.17666349  0.04005981  0.7703493  -1.22323056
 -0.95990029 -0.80262215  0.65633053  1.1012965   0.        ]",[-0.5437246  -0.40346882],[-1.35137882  1.11930295]
3,-0.105533718315,"[[ -0.36568962  -0.22272964   0.08865415  -0.14012993]
 [-11.63590954  -2.18799894   0.           0.        ]]",[ 0.76290739 -0.21274699],-1.37197,"[ 0.86405081  1.79551462 -0.467626   -0.11430872  0.77034871 -1.22322907
 -1.06100629 -0.26923066  0.50315263  0.64301457  0.        ]",[-0.5437246  -0.40346882],[ 0.94085299 -0.04690564]
4,-0.0709105646223,"[[-0.5587552  -0.26793256  0.08865415 -0.14012993]
 [-7.68380357 -2.3318172   0.          0.        ]]",[ 1.2492919  -0.29226875],-1.26865,"[ 0.73738979  1.78076579 -0.73529449 -0.19577686  0.77034811 -1.22322758
 -0.95592349 -0.28800782  0.2905764   0.27589771  0.        ]",[-0.5437246  -0.40346882],[ 1.16971454 -0.59360882]
5,-0.0505804064689,"[[-0.67120698 -0.33770368  0.08865415 -0.14012993]
 [-3.57505866 -4.63761095  0.          0.        ]]",[ 1.44095373  0.10463384],-1.23173,"[ 0.64184465  1.75282107 -0.87770982 -0.31949255  0.77034751 -1.2232261
 -0.84667602 -0.58905843  0.10467347  0.06488616  0.        ]",[-0.5437246  -0.40346882],[ 1.13742058 -1.11373618]
6,-0.0399134520681,"[[-0.70229342 -0.46927755  0.08865415 -0.14012993]
 [ 0.45299728 -8.50687121  0.          0.        ]]",[ 1.37927842  0.95740205],-1.04607,"[ 0.61280416  1.68347943 -0.91500151 -0.54417132  0.77034691 -1.22322461
 -0.73957411 -1.09423906 -0.04332396 -0.04057117  0.        ]",[-0.5437246  -0.40346882],[ 1.51374556  1.82327984]
7,-0.035615359743,"[[-0.65364609 -0.59801152  0.08865415 -0.14012993]
 [ 4.39866056 -4.38025642  0.          0.        ]]",[ 0.49829304  0.14624305],-1.12674,"[ 0.65775763  1.59558125 -0.8562271  -0.74996718  0.77034632 -1.22322312
 -0.63466302 -0.55545601 -0.08649328 -0.03373319  0.        ]",[-0.5437246  -0.40346882],[ 1.06637876  0.95790257]
8,-0.0419677175926,"[[-0.52686514 -0.64670384  0.08865415 -0.14012993]
 [ 8.26656768 -0.5018708   0.          0.        ]]",[-0.71787465 -0.72729605],-1.29785,"[ 0.76165861  1.55745597 -0.69293152 -0.82346977  0.77034572 -1.22322164
 -0.53181946 -0.04908264  0.03887699  0.10010813  0.        ]",[-0.5437246  -0.40346882],[-0.72136214 -1.02451174]
9,-0.0550107254943,"[[-0.39179409 -0.69635759  0.08865415 -0.14012993]
 [ 5.25057364 -4.45036843  0.          0.        ]]",[-0.68327808  0.21737042],-1.27314,"[ 0.84982626  1.51596201 -0.50524858 -0.89568932  0.77034512 -1.22322015
 -0.61201091 -0.5646099   0.15922469  0.25933601  0.        ]",[-0.5437246  -0.40346882],[-1.10453703 -0.14219741]
