timestep,human_obs,obs,original_rewards,actions,rewards,avg_action_dist,logstd_action_dist
0,"[[-0.01097905 -0.06908183  0.09166137 -0.09900792]
 [ 0.00283615  0.00214593  0.          0.        ]]","[ 1.0244485   1.17542972  0.02499108 -0.53270084  0.7967113  -0.85527559
 -0.09319683 -0.22743072  0.70034089  1.40840953  0.        ]",-0.14785270525,[-4.04631702 -0.205799  ],-3.31263,[-3.882195   -0.83100331],[-0.73065239 -0.62792009]
1,"[[-0.05061026 -0.07719986  0.09166137 -0.09900792]
 [-3.95278833 -0.81124202  0.          0.        ]]","[ 1.02263654  1.17464565 -0.0340868  -0.54631185  0.79671108 -0.85527534
 -0.48699757 -0.37424941  0.69289339  1.27520507  0.        ]",-0.14195646319,[-2.91654429 -0.21021697],-3.22048,[-2.64417553 -0.51544201],[-0.73065239 -0.62792009]
2,"[[-0.16856901 -0.1015998   0.09166137 -0.09900792]
 [-7.8301805  -1.62603881  0.          0.        ]]","[ 1.00349248  1.17176775 -0.20886497 -0.58716698  0.79671086 -0.85527509
 -0.87300981 -0.52132238  0.64393402  0.88264802  0.        ]",-0.124697610666,[-0.58827049 -0.03127683],-2.88411,[-0.63340807 -0.20965943],[-0.73065239 -0.62792009]
3,"[[ -0.34696731  -0.13503133   0.09166137  -0.09900792]
 [-10.00241893  -1.71680938   0.           0.        ]]","[ 0.93605924  1.16655495 -0.46581326 -0.64297488  0.79671064 -0.85527484
 -1.0892659  -0.5377066   0.49774364  0.31880043  0.        ]",-0.100826684979,[ 0.92476052  0.25147038],-2.44485,[ 1.26585782 -0.05166146],[-0.73065239 -0.62792009]
4,"[[-0.50833046 -0.15905061  0.09166137 -0.09900792]
 [-6.14672852 -0.68854534  0.          0.        ]]","[ 0.83680466  1.16190623 -0.68457395 -0.68291814  0.79671042 -0.85527458
 -0.70541372 -0.35210197  0.29934314 -0.14206525  0.        ]",-0.0839882499362,[ 0.30478694 -0.49198849],-2.10854,[ 0.76341426 -0.39062175],[-0.73065239 -0.62792009]
5,"[[-0.61794061 -0.19223529  0.09166137 -0.09900792]
 [-4.81871375 -2.62347348  0.          0.        ]]","[ 0.74996985  1.15424661 -0.82274349 -0.73784569  0.7967102  -0.85527433
 -0.57320351 -0.70136184  0.11593816 -0.44477432  0.        ]",-0.076186555382,[ 1.34367386  0.27719624],-2.11155,[ 1.47035325 -0.27594247],[-0.73065239 -0.62792009]
6,"[[-0.67367233 -0.23318674  0.09166137 -0.09900792]
 [-0.76793812 -1.47549424  0.          0.        ]]","[ 0.7001756   1.14282746 -0.88911841 -0.80513488  0.79670998 -0.85527408
 -0.16992976 -0.49414819 -0.01146951 -0.61018901  0.        ]",-0.0738039619235,[-0.21899496 -0.03246492],-2.2186,[ 0.47632855 -0.68135381],[-0.73065239 -0.62792009]
7,"[[-0.6975705  -0.26369002  0.09166137 -0.09900792]
 [-1.61904611 -1.57450411  0.          0.        ]]","[ 0.67771014  1.13292008 -0.91670687 -0.85483901  0.79670976 -0.85527383
 -0.25466152 -0.51201965 -0.08208987 -0.68859601  0.        ]",-0.0732847532947,[ 0.54470029 -0.28673991],-2.15052,[ 1.1004684  -0.64549959],[-0.73065239 -0.62792009]
8,"[[-0.7080062  -0.30626724  0.09166137 -0.09900792]
 [ 0.56819416 -2.67953255  0.          0.        ]]","[ 0.66769536  1.1171097  -0.92858314 -0.92352553  0.79670954 -0.85527358
 -0.03691142 -0.71148032 -0.14403005 -0.74674691  0.        ]",-0.0730068586835,[ 1.55133176  0.49482961],-2.14198,[ 0.8431915  -0.48674235],[-0.73065239 -0.62792009]
9,"[[-0.65707129 -0.33968202  0.09166137 -0.09900792]
 [ 4.51217331 -0.66863573  0.          0.        ]]","[ 0.71539148  1.10310122 -0.8696391  -0.97679364  0.79670932 -0.85527333
  0.35573034 -0.34850749 -0.08997874 -0.67445578  0.        ]",-0.0720858726052,[-0.70629785 -0.73716216],-2.17707,[-0.72188848 -1.04910457],[-0.73065239 -0.62792009]
10,"[[-0.59574628 -0.38219671  0.09166137 -0.09900792]
 [ 1.62991437 -3.57316246  0.          0.        ]]","[ 0.76876074  1.08327015 -0.79555037 -1.04365667  0.79670909 -0.85527308
  0.06878774 -0.87278288 -0.03045257 -0.58576815  0.        ]",-0.0714140607295,[-0.02140322 -0.75091146],-2.10917,[ 0.12691772 -0.33897236],[-0.73065239 -0.62792009]
11,"[[-0.56431033 -0.4827818   0.09166137 -0.09900792]
 [ 1.51405131 -6.47567362  0.          0.        ]]","[ 0.79433905  1.02760642 -0.7563336  -1.19712088  0.79670887 -0.85527283
  0.05725301 -1.39669403 -0.08329226 -0.60609413  0.        ]",-0.0690104803761,[ 0.63612382  1.02736979],-2.17821,[ 0.71092367  0.48570353],[-0.73065239 -0.62792009]
12,"[[-0.50909512 -0.57128997  0.09166137 -0.09900792]
 [ 3.99922723 -2.38875175  0.          0.        ]]","[ 0.83625021  0.96882268 -0.68556804 -1.32568293  0.79670865 -0.85527258
  0.30466412 -0.6589925  -0.08757002 -0.56310056  0.        ]",-0.066633377128,[-0.90183476 -0.59821167],-2.13972,[-0.4559947  -0.47640511],[-0.73065239 -0.62792009]
13,"[[-0.46569285 -0.64234308  0.09166137 -0.09900792]
 [ 0.35310999 -4.70884211  0.          0.        ]]","[ 0.86642682  0.91531313 -0.62837593 -1.42378693  0.79670843 -0.85527233
 -0.05832436 -1.07777525 -0.09498673 -0.52763789  0.        ]",-0.0644576712655,[ 0.33656702  0.57190715],-2.13001,[ 0.71815169 -0.02946502],[-0.73065239 -0.62792009]
14,"[[-0.44534931 -0.71286845  0.09166137 -0.09900792]
 [ 1.676856   -2.35154646  0.          0.        ]]","[ 0.87971431  0.85692238 -0.60112788 -1.51613737  0.79670821 -0.85527207
  0.07346093 -0.6522763  -0.14089926 -0.53512694  0.        ]",-0.0619119826384,[ 0.58224027 -0.25679453],-2.02776,[ 0.18603367 -0.31887695],[-0.73065239 -0.62792009]
15,"[[-0.38902962 -0.76964158  0.09166137 -0.09900792]
 [ 3.94756271 -3.32251851  0.          0.        ]]","[ 0.91359165  0.80629376 -0.52434186 -1.58652884  0.79670799 -0.85527182
  0.29952071 -0.82753939 -0.11590554 -0.46071967  0.        ]",-0.0599622583661,[-0.2127079  0.0063193],-2.08513,[-0.46216244  0.0796366 ],[-0.73065239 -0.62792009]
16,"[[-0.31930533 -0.83517751  0.09166137 -0.09900792]
 [ 3.02792263 -3.23138387  0.          0.        ]]","[ 0.9494865   0.74406089 -0.42682224 -1.66308378  0.79670777 -0.85527157
  0.20796604 -0.81108909 -0.08416506 -0.36313976  0.        ]",-0.0580505159823,[-0.55753735  0.13957231],-2.09677,[-0.45854315  0.13413981],[-0.73065239 -0.62792009]
17,"[[-0.2814819  -0.89361108  0.09166137 -0.09900792]
 [ 0.76195392 -2.61404118  0.          0.        ]]","[ 0.96610205  0.68535459 -0.37293801 -1.7268385   0.79670755 -0.85527132
 -0.01762218 -0.69965672 -0.09492678 -0.32370302  0.        ]",-0.0557390493488,[-0.15724577  0.23676422],-2.06128,[ 0.10596532  0.03375873],[-0.73065239 -0.62792009]
18,"[[-0.27263939 -0.93596456  0.09166137 -0.09900792]
 [ 0.12442138 -1.62460598  0.          0.        ]]","[ 0.96969283  0.64102549 -0.36025236 -1.77026471  0.79670733 -0.85527107
 -0.08109164 -0.52106059 -0.13049915 -0.33116205  0.        ]",-0.0533885939928,[-0.03027476 -0.33495861],-1.99774,[ 0.27784652 -0.0354192 ],[-0.73065239 -0.62792009]
19,"[[ -2.71373768e-01  -9.81440785e-01   9.16613673e-02  -9.90079177e-02]
 [  2.53961001e-03  -2.91870392e+00   0.00000000e+00   0.00000000e+00]]","[ 0.97019736  0.59186606 -0.35843402 -1.81418784  0.79670711 -0.85527082
 -0.09322555 -0.75464897 -0.18133252 -0.35292721  0.        ]",-0.0506827116642,[ 0.28785835  0.32107718],-2.02827,[ 0.56655383  0.38560021],[-0.73065239 -0.62792009]
20,"[[-0.25989998 -1.02648269  0.09166137 -0.09900792]
 [ 1.14105944 -1.58991175  0.          0.        ]]","[ 0.97466925  0.54167938 -0.34192115 -1.85484318  0.79670689 -0.85527057
  0.02011969 -0.51479785 -0.21738568 -0.3527716   0.        ]",-0.0482318680418,[-0.23973037  0.572113  ],-2.0786,[ 0.09477866  0.33616978],[-0.73065239 -0.62792009]
21,"[[-0.24682882 -1.03523351  0.09166137 -0.09900792]
 [ 0.16929439  0.70717239  0.          0.        ]]","[ 0.97953354  0.53176475 -0.323048   -1.86240465  0.79670667 -0.85527032
 -0.0766243  -0.10016713 -0.20862328 -0.3324485   0.        ]",-0.0479030516233,[-0.82954677  0.55511753],-2.11586,[ 0.11362523 -0.04331884],[-0.73065239 -0.62792009]
22,"[[-0.27641474 -0.99916749  0.09166137 -0.09900792]
 [-3.11692925  2.89215426  0.          0.        ]]","[ 0.96817197  0.57228641 -0.36567217 -1.83052758  0.79670645 -0.85527007
 -0.40378406  0.29422878 -0.20953068 -0.37091764  0.        ]",-0.0495932785041,[ 1.08282496 -0.03762221],-1.92892,[ 1.03444493 -0.35477534],[-0.73065239 -0.62792009]
23,"[[-0.29843582 -0.94340521  0.09166137 -0.09900792]
 [ 0.90141285  2.684757    0.          0.        ]]","[ 0.95890321  0.63308979 -0.3971685  -1.77763883  0.79670623 -0.85526982
 -0.00373815  0.25679288 -0.17707432 -0.38507601  0.        ]",-0.0524083509921,[-0.37289906  0.40260772],-2.08233,[-0.30580282 -0.49437806],[-0.73065239 -0.62792009]
24,"[[-0.2953947  -0.87424408  0.09166137 -0.09900792]
 [-0.59232212  4.22621944  0.          0.        ]]","[ 0.96022393  0.70513411 -0.39283107 -1.70618378  0.796706   -0.85526956
 -0.15244688  0.53503157 -0.0931788  -0.33968629  0.        ]",-0.056474876445,[-0.24105893 -1.00265803],-1.94858,[-0.25339505 -0.87645459],[-0.73065239 -0.62792009]
25,"[[-0.31668014 -0.83028402  0.09166137 -0.09900792]
 [-1.53307831  0.18326183  0.          0.        ]]","[ 0.95070231  0.74884138 -0.42310249 -1.65753748  0.79670578 -0.85526931
 -0.24610382 -0.19473502 -0.07479057 -0.35461574  0.        ]",-0.0584149529516,[ 0.51102429  0.01608397],-2.00327,[ 0.52797091 -0.57780027],[-0.73065239 -0.62792009]
