timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
16,-0.23545466788,"[[  6.02997871  -3.00941966  -0.15988728   0.17175065]
 [ 39.3421858    0.23259441   0.           0.        ]]",[ 1.30530143 -1.56945944],-1.49296,"[ 1.06432089 -0.60595481 -0.3667253   0.22650478 -1.4278356   1.4840019
  1.31722509  0.37827974  0.85545027 -1.46441708  0.        ]",[-0.13879825 -0.09410618],[ 1.6093767  -1.38250204]
17,-0.247867932508,"[[  6.84873282  -3.00627725  -0.15988728   0.17175065]
 [ 42.52262735   0.09969445   0.           0.        ]]",[ 1.26103354 -1.58701193],-1.45008,"[ 0.89215452 -0.60538937  0.8166766   0.21715097 -1.42782142  1.48398637
  1.46812726  0.3603072   0.94733672 -1.51025244  0.        ]",[-0.13879825 -0.09410618],[ 0.54955095 -2.25026317]
18,-0.25196170831,"[[  7.71257010e+00  -3.00494220e+00  -1.59887285e-01   1.71750651e-01]
 [  4.38566559e+01   4.19131203e-02   0.00000000e+00   0.00000000e+00]]",[ 1.23115969 -1.56202292],-1.49676,"[-0.08580998 -0.60514361  1.50008002  0.21317776 -1.42780724  1.48397083
  1.53141218  0.35249248  1.04259205 -1.45798265  0.        ]",[-0.13879825 -0.09410618],[ 0.60367916 -1.91767165]
19,-0.244064278988,"[[  8.60497325e+00  -3.00438464e+00  -1.59887285e-01   1.71750651e-01]
 [  4.53785881e+01   1.73640461e-02   0.00000000e+00   0.00000000e+00]]",[ 1.16233349 -1.53217828],-1.51834,"[-1.23055041 -0.60503869  1.11030518  0.21151824 -1.42779306  1.4839553
  1.60361112  0.34917157  1.0681488  -1.33699885  0.        ]",[-0.13879825 -0.09410618],[ 0.98658303 -1.45791631]
20,-0.228354224059,"[[  9.54272357e+00  -3.00415481e+00  -1.59887285e-01   1.71750651e-01]
 [  4.83864201e+01   7.11421580e-03   0.00000000e+00   0.00000000e+00]]",[ 1.05011916 -1.55366993],-1.55957,"[-1.66252098 -0.60499374 -0.16684456  0.21083379 -1.42777888  1.48393977
  1.74631281  0.34778427  0.9961117  -1.23576561  0.        ]",[-0.13879825 -0.09410618],[ 1.76068038 -0.25563696]
21,-0.21731140872,"[[ 10.54056611  -3.00327159  -0.15988728   0.17175065]
 [ 51.38782992   0.05743787   0.           0.        ]]",[ 1.04309654 -1.57678401],-1.53381,"[-0.89280128 -0.60482801 -1.34150575  0.2082057  -1.4277647   1.48392424
  1.88870372  0.35458798  0.87487402 -1.24659218  0.        ]",[-0.13879825 -0.09410618],[ 1.87265397 -1.17325922]
22,-0.22399390186,"[[  1.15978406e+01  -3.00304311e+00  -1.59887285e-01   1.71750651e-01]
 [  5.43298191e+01  -1.32124860e-02   0.00000000e+00   0.00000000e+00]]",[ 1.18191397 -1.58468974],-1.5327,"[ 0.50593724 -0.60478297 -1.2298297   0.20752537 -1.42775052  1.48390871
  2.0282682   0.34503299  0.81788543 -1.37766704  0.        ]",[-0.13879825 -0.09410618],[ 1.44426513 -1.61150659]
23,-0.242590234078,"[[  1.27133706e+01  -3.00339298e+00  -1.59887285e-01   1.71750651e-01]
 [  5.72135721e+01  -1.75033546e-02   0.00000000e+00   0.00000000e+00]]",[ 1.23483455 -1.60052538],-1.42156,"[ 1.09366791 -0.60484508  0.2306702   0.20856539 -1.42773634  1.48389317
  2.16506162  0.34445149  0.89686601 -1.50154704  0.        ]",[-0.13879825 -0.09410618],[ 0.47669129 -2.66632276]
24,-0.252226820858,"[[  1.38652146e+01  -3.00368152e+00  -1.59887285e-01   1.71750651e-01]
 [  5.79683067e+01  -1.10991391e-02   0.00000000e+00   0.00000000e+00]]",[ 1.15924692 -1.59994853],-1.43962,"[ 0.09172281 -0.60489571  1.45979131  0.20942298 -1.42772216  1.48387764
  2.2008312   0.34531625  1.03238482 -1.47181504  0.        ]",[-0.13879825 -0.09410618],[ 1.99537845 -1.17544322]
25,-0.241548837177,"[[  1.50527916e+01  -3.00384655e+00  -1.59887285e-01   1.71750651e-01]
 [  6.07800304e+01  -5.79797234e-03   0.00000000e+00   0.00000000e+00]]",[ 1.13405037 -1.54318666],-1.44089,"[-1.38428452 -0.60492346  0.92713764  0.2099132  -1.42770798  1.48386212
  2.33419461  0.34603184  1.06226697 -1.31384758  0.        ]",[-0.13879825 -0.09410618],[ 2.14847797 -1.54148178]
