timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.176420256044,[-0.1906969  -0.02163666],[ 1.30647659 -4.37368679],-1.07823,"[ 1.06718222  2.48362454  0.10201156  0.88948096  0.37264043  0.54009966
 -0.67418162  0.36504122  1.05129891 -0.45426471  0.        ]","[[ 0.00144169  0.03440832  0.04371292  0.06321592]
 [ 0.00410891  0.00177737  0.          0.        ]]",[ 2.58964548 -3.18485038]
1,-0.175044224505,[-0.1906969  -0.02163666],[ 1.13737261 -4.43436718],-1.03807,"[ 1.06596091  2.48446626  0.16166354  0.73673439  0.37263995  0.54009888
 -0.54482114 -0.14463327  1.05066426 -0.41945397  0.        ]","[[ 0.041229   -0.00529977  0.04371292  0.06321592]
 [ 3.96144047 -3.95937998  0.          0.        ]]",[ 0.80362877 -3.77624399]
2,-0.171125512748,[-0.1906969  -0.02163666],[ 0.93937218 -4.54212952],-0.8788,"[ 1.05071315  2.47312189  0.32631139  0.28340736  0.37263948  0.5400981
 -0.44341328 -0.64417288  1.04298141 -0.33101542  0.        ]","[[ 0.15158328 -0.12344077  0.04371292  0.06321592]
 [ 7.06365767 -7.84177209  0.          0.        ]]",[ 1.47789449 -4.37792683]
3,-0.163493329223,[-0.1906969  -0.02163666],[ 0.70561618 -4.66167831],-0.839078,"[ 0.98915573  2.40947718  0.58746785 -0.44750542  0.372639    0.54009732
 -0.31861612 -1.13384522  1.01140208 -0.19372763  0.        ]","[[  0.33116069  -0.31846055   0.04371292   0.06321592]
 [ 10.88139543 -11.64748862   0.           0.        ]]",[ 0.15822283 -4.51795102]
4,-0.15202257149,[-0.1906969  -0.02163666],[ 0.58234334 -4.72962952],-0.50192,"[ 0.85320872  2.23333457  0.88746702 -1.37963722  0.37263853  0.54009654
 -0.30513883 -1.61363138  0.94062426 -0.06564083  0.        ]","[[  0.55292512  -0.58882397   0.04371292   0.06321592]
 [ 11.293676   -15.37639972   0.           0.        ]]",[ 1.26447253 -5.74588964]
5,-0.13407122239,[-0.1906969  -0.02163666],[ 0.44028214 -4.74642277],-0.670105,"[ 0.61477478  1.88115076  1.19253113 -2.33394694  0.37263806  0.54009576
 -0.18305873 -2.08401228  0.81227305  0.03458173  0.        ]","[[  0.8162681   -0.93303365   0.04371292   0.06321592]
 [ 15.02829221 -19.03226661   0.           0.        ]]",[ 0.58308907 -3.74003423]
6,-0.105929353198,[-0.1906969  -0.02163666],[ 0.44408438 -4.64063835],-0.364122,"[ 0.23476414  1.32048399  1.46065999 -2.99646875  0.37263758  0.54009498
 -0.11729731 -2.54491762  0.60289356  0.09996911  0.        ]","[[  1.13701769  -1.34962246   0.04371292   0.06321592]
 [ 17.04003151 -22.61457199   0.           0.        ]]",[ 0.80054816 -4.92348954]
7,-0.0667771784129,[-0.1906969  -0.02163666],[ 0.54464483 -4.33627605],-0.142295,"[-0.27613201  0.60094099  1.59642768 -2.95449652  0.37263711  0.5400942
 -0.02469062 -2.99661728  0.31272894  0.0696159   0.        ]","[[  1.50624143  -1.83714091   0.04371292   0.06321592]
 [ 19.87300917 -26.12544712   0.           0.        ]]",[ 0.02010006 -6.23427227]
8,-0.0293417817808,[-0.1906969  -0.02163666],[ 0.59545887 -3.82739949],-0.592087,"[-0.83376148 -0.10019729  1.51873501 -1.8580469   0.37263663  0.54009342
 -0.0349016  -3.43929504 -0.0288881  -0.1187263   0.        ]","[[  1.90056933  -2.3941727    0.04371292   0.06321592]
 [ 19.56063901 -29.566358     0.           0.        ]]",[ 0.7480851  -3.00464253]
9,-0.0668202042372,[-0.1906969  -0.02163666],[ 0.63427246 -3.26750517],-1.01306,"[-1.34420933 -0.48651032  1.20039485  0.2879829   0.37263616  0.54009264
  0.0492821  -3.12254625 -0.38840104 -0.46920303  0.        ]","[[  2.31761925  -3.01934518   0.04371292   0.06321592]
 [ 22.13594149 -27.10482225   0.           0.        ]]",[ 0.31714926 -1.67871361]
10,-0.0844281177312,[-0.1906969  -0.02163666],[ 0.95826697 -3.05680847],-0.779287,"[-1.70593585 -0.4937372   0.64639075  1.03520785  0.37263568  0.54009186
  0.07604498  0.39569323 -0.46637542 -0.5957686   0.        ]","[[  2.76855619  -3.2139349    0.04371292   0.06321592]
 [ 22.95465819   0.23982503   0.           0.        ]]",[ 1.21624195 -2.02503496]
11,-0.0722112477853,[-0.1906969  -0.02163666],[ 0.99123096 -3.06870604],-0.645165,"[-1.79414598 -0.49747057 -0.08152987  0.81450478  0.37263521  0.54009108
  0.19062189  0.85980967 -0.43248543 -0.49624429  0.        ]","[[  3.26281761  -3.15650672   0.04371292   0.06321592]
 [ 26.45973008   3.84706451   0.           0.        ]]",[ 0.78592487 -3.26003466]
12,-0.0658101015904,[-0.1906969  -0.02163666],[ 0.96982157 -3.09332228],-0.840897,"[-1.48854497 -0.49548446 -0.83895858  0.55053602  0.37263474  0.5400903
  0.27521545  0.72512891 -0.47806422 -0.39619789  0.        ]","[[  3.81797705  -3.08786871   0.04371292   0.06321592]
 [ 29.04757074   2.80030258   0.           0.        ]]",[ 0.00478629 -1.19948817]
13,-0.07190399809,[-0.1906969  -0.02163666],[ 0.98774552 -3.10829544],-0.714526,"[-0.81913348 -0.4906996  -1.32420139  0.38648414  0.37263426  0.54008952
  0.25703391  0.56310702 -0.56050887 -0.38220441  0.        ]","[[  4.39334802  -3.04510404   0.04371292   0.06321592]
 [ 28.49138294   1.5410363    0.           0.        ]]",[ 1.27232182 -3.51395976]
14,-0.0826216017143,[-0.1906969  -0.02163666],[ 1.10722792 -3.07485151],-0.702821,"[ 0.03477427 -0.48714547 -1.33944428  0.30158892  0.37263379  0.54008874
  0.36801934  0.46204122 -0.61999147 -0.44462547  0.        ]","[[  4.99724077  -3.02290909   0.04371292   0.06321592]
 [ 31.88658323   0.75553434   0.           0.        ]]",[ 1.85318363 -4.06036241]
15,-0.091417460915,[-0.1906969  -0.02163666],[ 1.38615513 -3.08244324],-0.879642,"[ 0.80423383 -0.48519945 -0.76521714  0.26130295  0.37263331  0.54008796
  0.47680843  0.40956169 -0.62368255 -0.54542151  0.        ]","[[  5.66836345  -3.01235689   0.04371292   0.06321592]
 [ 35.21459733   0.34765577   0.           0.        ]]",[ 2.328652   -1.61291944]
16,-0.0938800360038,[-0.1906969  -0.02163666],[ 1.46981573 -3.22334337],-0.890889,"[ 1.05647712 -0.48426645  0.28264695  0.24313055  0.37263284  0.54008718
  0.58344431  0.3846044  -0.56095659 -0.62702667  0.        ]","[[  6.40538557  -3.00759233   0.04371292   0.06321592]
 [ 38.47674565   0.15368607   0.           0.        ]]",[ 0.03567472 -2.45036876]
