timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.102658272238,[-0.70630592  0.0026118 ],[ -1.25401807 -11.17585087],-1.21216,"[ 1.38495943  2.68141097  0.27559475  0.70853991  0.92440016 -0.32083717
 -0.60400336  0.37079088  0.61867587  0.15260788  0.        ]","[[-0.09147742 -0.02785116  0.10716708 -0.03670557]
 [ 0.00322616  0.00451909  0.          0.        ]]",[ -1.70462541 -10.22602652]
1,-0.0998333566695,[-0.70630592  0.0026118 ],[ -0.72602755 -11.36129475],-0.973877,"[ 1.37883502  2.67844222  0.21426595  0.53700282  0.92439957 -0.32083705
 -0.71426333 -0.12808029  0.60486065  0.04513492  0.        ]","[[-0.13108862 -0.06747407  0.10716708 -0.03670557]
 [-3.95118774 -3.95362361  0.          0.        ]]",[ -1.12276481 -10.94337784]
2,-0.0958533295863,[-0.70630592  0.0026118 ],[ -0.43504098 -11.73170853],-0.604321,"[ 1.34784485  2.65510041  0.033965    0.02991944  0.92439897 -0.32083693
 -0.82234529 -0.61707685  0.52671622 -0.2650488   0.        ]","[[-0.24900415 -0.18547381  0.10716708 -0.03670557]
 [-7.82749187 -7.83341978  0.          0.        ]]",[  0.18776878 -11.60540264]
3,-0.101391985249,[-0.70630592  0.0026118 ],[ -0.71222341 -12.23266888],-0.242799,"[ 1.28276178  2.56991346 -0.18382269 -0.77976464  0.92439837 -0.3208368
 -0.79728428 -1.09661806  0.32905392 -0.6491111   0.        ]","[[ -0.39653562  -0.38031688   0.10716708  -0.03670557]
 [ -6.92871189 -11.63819895   0.           0.        ]]",[ -0.80093692 -12.49917892]
4,-0.121021070865,[-0.70630592  0.0026118 ],[ -0.51355124 -12.95105076],-0.142741,"[ 1.17405254  2.36166131 -0.41694623 -1.79557029  0.92439777 -0.32083668
 -0.88179909 -1.56647211 -0.0359607  -1.0006115   0.        ]","[[ -0.56551955  -0.6504845    0.10716708  -0.03670557]
 [ -9.95979776 -15.36612681   0.           0.        ]]",[ -1.29432389 -12.77767358]
5,-0.155442809307,[-0.70630592  0.0026118 ],[ -0.08024763 -13.67175198],0.0060873,"[ 0.96614478  1.96818184 -0.70237348 -2.80503608  0.92439717 -0.32083656
 -0.98665148 -2.02697102 -0.6272066  -1.19243452  0.        ]","[[ -0.8024415   -0.99446632   0.10716708  -0.03670557]
 [-13.72028163 -19.01984471   0.           0.        ]]",[ -0.35453763 -14.02905347]
6,-0.189798095162,[-0.70630592  0.0026118 ],[  0.17880318 -14.08056736],-0.0288224,"[ 0.64473227  1.36325637 -0.96217211 -3.44980998  0.92439658 -0.32083643
 -1.0182891  -2.47841896 -1.28444006 -0.98146493  0.        ]","[[ -1.08822781  -1.41080216   0.10716708  -0.03670557]
 [-14.8549692  -22.6017747    0.           0.        ]]",[  0.28241631 -14.11193738]
7,-0.202060898849,[-0.70630592  0.0026118 ],[  0.05760432 -13.88584995],0.0342135,"[ 0.27474367  0.60909807 -1.10915854 -3.27509488  0.92439598 -0.32083631
 -0.97906441 -2.92098317 -1.64631882 -0.37707552  0.        ]","[[ -1.37121169  -1.89806939   0.10716708  -0.03670557]
 [-13.44822646 -26.11325369   0.           0.        ]]",[ -0.16879974 -14.44090461]
8,-0.179844900727,[-0.70630592  0.0026118 ],[ -0.1844618  -13.09737873],-0.439861,"[-0.10341506 -0.09971127 -1.13588294 -1.91879476  0.92439538 -0.32083619
 -0.99041867 -3.35477487 -1.50476329  0.25939327  0.        ]","[[ -1.64426315  -2.45486796   0.10716708  -0.03670557]
 [-13.85546365 -29.55517544   0.           0.        ]]",[ -0.8727009  -12.32194972]
9,-0.11997577229,[-0.70630592  0.0026118 ],[  0.50374156 -11.59339523],-0.606756,"[-0.52083241 -0.45228669 -1.02747858  0.56168761  0.92439478 -0.32083606
 -1.07918727 -3.01307209 -0.98802758  0.44281976  0.        ]","[[ -1.95332386  -3.07982474   0.10716708  -0.03670557]
 [-17.0391184  -26.84409751   0.           0.        ]]",[  0.35840904 -12.05131454]
