timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.04080711  1.15931101  0.1339969   0.05721954  1.05016904 -0.17638216
  0.16825145 -0.03328186  0.2277684   0.27463365  0.        ]",[ 0.12727601 -0.29072054],-0.0801009428015,-0.0801009428015,[-0.01499652  0.09493404],"[[ 0.04546294  0.04748673  0.1391663  -0.02372046]
 [ 0.00375911  0.00178797  0.          0.        ]]",[ 0.01594361 -0.00976906]
1,"[ 1.04034108  1.15976073  0.14198757  0.03830865  1.05003944 -0.17637148
  0.21529025 -0.18820527  0.22798577  0.27332218  0.        ]",[ 0.29835663 -1.6364008 ],-0.0800449138289,-0.0800449138289,[-0.0149097   0.09471187],"[[ 0.05059352  0.03597047  0.1391663  -0.02372046]
 [ 0.50761925 -1.14957611  0.          0.        ]]",[ 0.01594361 -0.00976906]
2,"[ 1.0383605   1.15997534  0.17611152 -0.06437768  1.04990989 -0.17636081
  0.32469671 -0.71799708  0.22894338  0.25761883  0.        ]",[ 1.08412212 -0.83566421],-0.0791288172617,-0.0791288172617,[-0.01436099  0.09357531],"[[ 0.07250244 -0.02652512  0.1391663  -0.02372046]
 [ 1.67936677 -5.08685862  0.          0.        ]]",[ 0.01594361 -0.00976906]
3,"[ 1.0273222   1.14397164  0.28928556 -0.28337202  1.04978038 -0.17635014
  0.69110367 -1.14979297  0.2247658   0.261351    0.        ]",[-0.18854054 -0.66811147],-0.0787657511371,-0.0787657511371,[-0.01374476  0.09224095],"[[ 0.14545955 -0.16046623  0.1391663  -0.02372046]
 [ 5.60327984 -8.2965457   0.          0.        ]]",[ 0.01594361 -0.00976906]
4,"[ 0.99932548  1.08267053  0.44760336 -0.58629444  1.04965093 -0.17633947
  0.61113196 -1.48337362  0.20910604  0.26520073  0.        ]",[-1.25229817  0.45413915],-0.0767498673489,-0.0767498673489,[-0.01342229  0.09112231],"[[  0.24893946  -0.35128819   0.1391663   -0.02372046]
 [  4.74754313 -10.7773828    0.           0.        ]]",[ 0.01594361 -0.00976906]
5,"[ 0.97884842  0.97519038  0.52913199 -0.87501743  1.04952152 -0.1763288
  0.2327769  -1.21230763  0.18403923  0.19566576  0.        ]",[-0.44445366 -0.28027285],-0.0685980488933,-0.0685980488933,[-0.01309035  0.09040479],"[[ 0.30324804 -0.54663782  0.1391663  -0.02372046]
 [ 0.69676572 -8.76431261  0.          0.        ]]",[ 0.01594361 -0.00976906]
6,"[ 0.98030502  0.83561792  0.52336209 -1.11818631  1.04939216 -0.17631813
  0.06725539 -1.33798987  0.14327836  0.0578962   0.        ]",[-0.10541931  0.98771559],-0.0567388161193,-0.0567388161193,[-0.01259919  0.08875138],"[[ 0.29940438 -0.73131154  0.1391663  -0.02372046]
 [-1.07528162 -9.69994986  0.          0.        ]]",[ 0.01594361 -0.00976906]
7,"[ 0.99010624  0.69559844  0.48514773 -1.29143517  1.04926284 -0.17630747
  0.03013542 -0.78581702  0.08869481 -0.07664338  0.        ]",[ 0.26770309 -1.19625372],-0.0488178112473,-0.0488178112473,[-0.01156943  0.08746801],"[[ 0.27391137 -0.8841426   0.1391663  -0.02372046]
 [-1.47264954 -5.59683248  0.          0.        ]]",[ 0.01594361 -0.00976906]
8,"[ 0.99665563  0.53933176  0.45719811 -1.43308375  1.04913358 -0.17629681
  0.13187728 -1.30354123  0.01976656 -0.18777818  0.        ]",[-0.40374579 -0.71628743],-0.0456849028958,-0.0456849028958,[-0.01189822  0.08598379],"[[ 0.25538725 -1.0346986   0.1391663  -0.02372046]
 [-0.38343426 -9.44593381  0.          0.        ]]",[ 0.01594361 -0.00976906]
9,"[ 1.00437386  0.29114569  0.42137673 -1.57958759  1.04900436 -0.17628615
 -0.01664772 -1.65957656 -0.10088478 -0.31668951  0.        ]",[-0.381287   -0.13374866],-0.0495617484641,-0.0495617484641,[-0.0124382   0.08450395],"[[  0.23176823  -1.25019315   0.1391663   -0.02372046]
 [ -1.97329046 -12.09470363   0.           0.        ]]",[ 0.01594361 -0.00976906]
10,"[ 1.01941    -0.01254997  0.33846041 -1.65824147  1.04887519 -0.17627549
 -0.15403711 -1.69817833 -0.27640583 -0.44235369  0.        ]",[ 0.4159291   1.14229482],-0.0664237435209,-0.0664237435209,[-0.01278313  0.08308735],"[[  0.17754751  -1.49499472   0.1391663   -0.02372046]
 [ -3.44395086 -12.38449636   0.           0.        ]]",[ 0.01594361 -0.00976906]
11,"[ 1.03003176 -0.27268178  0.25864896 -1.64879814  1.04874607 -0.17626483
  0.00599877 -1.13241484 -0.4408707  -0.50200538  0.        ]",[-0.65276823  0.28218626],-0.0840627001944,-0.0840627001944,[-0.01255436  0.08264436],"[[ 0.12585257 -1.70049936  0.1391663  -0.02372046]
 [-1.73108478 -8.17997232  0.          0.        ]]",[ 0.01594361 -0.00976906]
12,"[ 1.03782278 -0.4597277   0.16505588 -1.59806795  1.04861699 -0.17625418
 -0.23224784 -0.96016492 -0.57649497 -0.525942    0.        ]",[ 2.50013433 -0.21439894],-0.0995285091816,-0.0995285091816,[-0.01255536  0.0821469 ],"[[ 0.06564663 -1.8512596   0.1391663  -0.02372046]
 [-4.28103986 -6.90032099  0.          0.        ]]",[ 0.01594361 -0.00976906]
13,"[ 1.04036758 -0.63232985  0.09474336 -1.51539283  1.04848796 -0.17624353
  0.14549692 -1.05590632 -0.69553728 -0.51296756  0.        ]",[ 0.85885618  0.11952811],-0.111737719193,-0.111737719193,[-0.01329836  0.08211848],"[[ 0.02058612 -1.99641669  0.1391663  -0.02372046]
 [-0.23840957 -7.61300435  0.          0.        ]]",[ 0.01594361 -0.00976906]
14,"[ 1.03881503 -0.79479685  0.14060598 -1.40055292  1.04835898 -0.17623288
  0.46358466 -0.9718826  -0.76541656 -0.45292297  0.        ]",[ 0.00225506  0.70097137],-0.115321002387,-0.115321002387,[-0.01395242  0.08277161],"[[ 0.04997321 -2.14241836  0.1391663  -0.02372046]
 [ 3.16584988 -6.98921868  0.          0.        ]]",[ 0.01594361 -0.00976906]
15,"[ 1.03167251 -0.90823348  0.23831037 -1.29387512  1.04823005 -0.17622223
  0.45851982 -0.5798431  -0.79557221 -0.3906921   0.        ]",[-0.92260254 -1.63581073],-0.114666459731,-0.114666459731,[-0.0140282   0.08354788],"[[ 0.11274975 -2.25296595  0.1391663  -0.02372046]
 [ 3.11200072 -4.07525247  0.          0.        ]]",[ 0.01594361 -0.00976906]
16,"[ 1.02725665 -1.02063019  0.2770049  -1.16007012  1.04810117 -0.17621158
  0.11142329 -1.10150662 -0.84908819 -0.33146245  0.        ]",[-0.89855668 -0.20840869],-0.118623647035,-0.118623647035,[-0.01461358  0.08367757],"[[ 0.13772761 -2.3733881   0.1391663  -0.02372046]
 [-0.60191953 -7.95405325  0.          0.        ]]",[ 0.01594361 -0.00976906]
17,"[ 1.03457633 -1.15344965  0.20310018 -0.94937971  1.04797233 -0.17620094
 -0.21994987 -1.19116186 -0.94724064 -0.25107151  0.        ]",[-0.14014437 -0.47742701],-0.129770665994,-0.129770665994,[-0.01499351  0.08422536],"[[ 0.09011472 -2.53916843  0.1391663  -0.02372046]
 [-4.14760718 -8.62176059  0.          0.        ]]",[ 0.01594361 -0.00976906]
18,"[ 1.04002752 -1.2700627   0.0662743  -0.67743107  1.04784354 -0.17619029
 -0.26415572 -1.42224729 -1.041369   -0.13257062  0.        ]",[ 0.52434439  0.77932151],-0.14130332996,-0.14130332996,[-0.01564107  0.08534545],"[[  2.41556045e-03  -2.72885782e+00   1.39166297e-01  -2.37204563e-02]
 [ -4.62074050e+00  -1.03414493e+01   0.00000000e+00   0.00000000e+00]]",[ 0.01594361 -0.00976906]
19,"[ 1.03670239 -1.34034215 -0.04405354 -0.4072529   1.0477148  -0.17617965
 -0.06156216 -0.97949759 -1.0894633  -0.00358193  0.        ]",[-1.16683489  1.35838852],-0.147812216643,-0.147812216643,[-0.01602759  0.08680993],"[[-0.0682538  -2.90267089  0.1391663  -0.02372046]
 [-2.45335866 -7.05082593  0.          0.        ]]",[ 0.01594361 -0.00976906]
20,"[ 1.02295811 -1.36391002 -0.1811     -0.24613502  1.0475861  -0.17616902
 -0.42708482 -0.40368375 -1.10485898  0.07840987  0.        ]",[ 0.05039721 -1.14915277],-0.150708156228,-0.150708156228,[-0.0157857   0.08717331],"[[-0.15655728 -3.0025605   0.1391663  -0.02372046]
 [-6.36394299 -2.77036509  0.          0.        ]]",[ 0.01594361 -0.00976906]
21,"[ 0.98587707 -1.36704814 -0.37012091 -0.21241984  1.04745746 -0.17615838
 -0.39661716 -0.03512271 -1.11220495  0.10517548  0.        ]",[ 1.38483609 -0.25770852],-0.152249470114,-0.152249470114,[-0.01580812  0.08712925],"[[-0.28056869 -3.02324684  0.1391663  -0.02372046]
 [-6.03831095 -0.03059024  0.          0.        ]]",[ 0.01594361 -0.00976906]
22,"[ 0.95117797 -1.36594988 -0.48846584 -0.22164845  1.04732886 -0.17614774
 -0.01529782  0.02374859 -1.11757281  0.10743696  0.        ]",[-0.28898885 -0.95782762],-0.153188147783,-0.153188147783,[-0.01645108  0.08736969],"[[-0.36041039 -3.01757974  0.1391663  -0.02372046]
 [-1.95946027  0.40702899  0.          0.        ]]",[ 0.01594361 -0.00976906]
23,"[ 0.92506741 -1.36465338 -0.56122073 -0.23243764  1.04720031 -0.17613711
 -0.11863769  0.00296495 -1.12148733  0.10709208  0.        ]",[ 0.85164335  0.49751488],-0.153852855487,-0.153852855487,[-0.01626523  0.08698493],"[[-0.4106905  -3.01095055  0.1391663  -0.02372046]
 [-3.064867    0.252548    0.          0.        ]]",[ 0.01594361 -0.00976906]
24,"[ 0.9097664  -1.35994869 -0.59942395 -0.27269911  1.0470718  -0.17612648
  0.20229556  0.26734359 -1.12763403  0.0916592   0.        ]",[ 0.5529985  -0.85964908],-0.154701861475,-0.154701861475,[-0.01673728  0.08728278],"[[-0.43754681 -2.98618304  0.1391663  -0.02372046]
 [ 0.36779391  2.21765202  0.          0.        ]]",[ 0.01594361 -0.00976906]
25,"[ 0.92618011 -1.35774663 -0.55769848 -0.28851497  1.04694334 -0.17611585
  0.40629565 -0.19653676 -1.12696555  0.08140657  0.        ]",[ 1.12176396 -0.37397946],-0.154508783247,-0.154508783247,[-0.01686154  0.08716194],"[[-0.40829775 -2.97642157  0.1391663  -0.02372046]
 [ 2.54984269 -1.23001402  0.          0.        ]]",[ 0.01594361 -0.00976906]
26,"[ 0.97014667 -1.36346009 -0.42591387 -0.23736929  1.04681493 -0.17610522
  0.77172854 -0.1455177  -1.11664437  0.09036938  0.        ]",[-1.39958537  0.28553468],-0.152923777786,-0.152923777786,[-0.01755654  0.08815583],"[[-0.31808278 -3.00788906  0.1391663  -0.02372046]
 [ 6.45867614 -0.85092437  0.          0.        ]]",[ 0.01594361 -0.00976906]
27,"[ 1.00283856 -1.3636397  -0.29327635 -0.23338964  1.04668657 -0.1760946
  0.38951984  0.03254187 -1.10921073  0.09018987  0.        ]",[ 0.52544158  0.16060864],-0.151719533304,-0.151719533304,[-0.01702392  0.08814113],"[[-0.22991631 -3.01032329  0.1391663  -0.02372046]
 [ 2.37158465  0.47228537  0.          0.        ]]",[ 0.01594361 -0.00976906]
28,"[ 1.0208872  -1.36064552 -0.18928614 -0.25898044  1.04655825 -0.17608398
  0.57963112  0.11687206 -1.10424322  0.07270545  0.        ]",[-1.45702981 -0.41406133],-0.15074815002,-0.15074815002,[-0.01720579  0.08831605],"[[-0.16208234 -2.99458982  0.1391663  -0.02372046]
 [ 4.40503444  1.09897439  0.          0.        ]]",[ 0.01594361 -0.00976906]
29,"[ 1.02977311 -1.35941506 -0.1157455  -0.26759286  1.04642998 -0.17607335
  0.20119275 -0.10672381 -1.09974253  0.06504293  0.        ]",[-1.53245589 -0.19571697],-0.149964369296,-0.149964369296,[-0.01659809  0.08806753],"[[-0.11458214 -2.98928008  0.1391663  -0.02372046]
 [ 0.35847154 -0.56246422  0.          0.        ]]",[ 0.01594361 -0.00976906]
30,"[ 1.02379213 -1.36193818 -0.16630044 -0.24312709  1.04630176 -0.17606273
 -0.16974535 -0.08527072 -1.10263442  0.07604907  0.        ]",[ 0.9576968  -1.10151046],-0.150560027136,-0.150560027136,[-0.016094    0.08760543],"[[-0.14720891 -3.00431362  0.1391663  -0.02372046]
 [-3.60790738 -0.40310717  0.          0.        ]]",[ 0.01594361 -0.00976906]
31,"[ 1.0161746  -1.36220365 -0.21779541 -0.23843656  1.04617359 -0.17605212
  0.19156604 -0.03031828 -1.10508472  0.08388742  0.        ]",[-1.4658342   0.72044182],-0.151065420355,-0.151065420355,[-0.0166778   0.08804078],"[[-0.18060586 -3.00718472  0.1391663  -0.02372046]
 [ 0.25533312  0.00514728  0.          0.        ]]",[ 0.01594361 -0.00976906]
