timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.167137553903,[ 5.26113727  0.69495873],-0.167137553903,"[ 1.05522059  1.42193842  0.08255463 -1.22404331  1.56438815  1.46056896
  0.27964574 -0.31914085 -0.12240629 -2.33210789  0.        ]","[[-0.00100818  0.02415766  0.18000424  0.16687467]
 [ 0.00280579  0.00030425  0.          0.        ]]",[-0.74280471 -0.61606807],[ 5.20636511  1.29478323]
1,-0.155879230371,[ 3.26510178  0.65134705],-0.155879230371,"[ 1.05412492  1.42057385  0.1417007  -1.15303273  1.56438554  1.46056674
  0.74221879  0.14397012 -0.12735183 -2.1801417   0.        ]","[[ 0.03872716  0.05175745  0.18000424  0.16687467]
 [ 3.95756567  2.75051375  0.          0.        ]]",[-0.74280471 -0.61606807],[ 3.00431991 -0.02018708]
2,-0.122351425341,[ 0.74363919 -1.63843684],-0.122351425341,"[ 1.03730363  1.41098259  0.3165158  -0.9471423   1.56438293  1.46056453
  1.19565587  0.56883706 -0.17987199 -1.73693538  0.        ]","[[ 0.15677399  0.13208276  0.18000424  0.16687467]
 [ 7.83422423  5.2736096   0.          0.        ]]",[-0.74280471 -0.61606807],[ 0.10403544 -1.47319508]
3,-0.0774926880861,[-2.71417928 -2.0130397 ],-0.0774926880861,"[ 0.97089122  1.39720882  0.58258713 -0.7828674   1.56438032  1.46056232
  1.52180448 -0.11569569 -0.33510161 -1.16279602  0.        ]","[[  0.34143562   0.19676822   0.18000424   0.16687467]
 [ 10.62264331   1.20847845   0.           0.        ]]",[-0.74280471 -0.61606807],[-2.17248344 -1.35191107]
4,-0.048292015582,[-2.44794917  0.30634016],-0.048292015582,"[ 0.86781371  1.40106183  0.81361841 -0.82278093  1.56437771  1.46056011
  1.03469734 -0.78622585 -0.5037958  -0.76932824  0.        ]","[[ 0.51210492  0.18098525  0.18000424  0.16687467]
 [ 6.45814094 -2.77349906  0.          0.        ]]",[-0.74280471 -0.61606807],[-1.1729368  -0.09554869]
5,-0.0397584771426,[-1.21410801 -0.03431063],-0.0397584771426,"[ 0.79982069  1.40989503  0.92508731 -0.93140072  1.56437511  1.46055789
  0.55699093 -0.57246123 -0.58304269 -0.6187623   0.        ]","[[ 0.60029031  0.13825205  0.18000424  0.16687467]
 [ 2.37400391 -1.50405052  0.          0.        ]]",[-0.74280471 -0.61606807],[-0.13665527  0.04616398]
6,-0.0404968906257,[ 1.37822951  0.40391981],-0.0404968906257,"[ 0.79374841  1.4148488   0.93405541 -1.01094568  1.5643725   1.46055568
  0.08879759 -0.59006343 -0.56981642 -0.63688192  0.        ]","[[ 0.60760903  0.10712226  0.18000424  0.16687467]
 [-1.62880258 -1.60858425  0.          0.        ]]",[-0.74280471 -0.61606807],[ 1.4996227   0.68680751]
7,-0.0405217827616,[ 0.57615361 -0.46352495],-0.0405217827616,"[ 0.78751689  1.41688529  0.94311506 -1.05147866  1.56436989  1.46055347
  0.55519731 -0.31564242 -0.56801596 -0.63818016  0.        ]","[[ 0.61504047  0.09130144  0.18000424  0.16687467]
 [ 2.35867091  0.02107506  0.          0.        ]]",[-0.74280471 -0.61606807],[-0.25246754 -0.23702365]
8,-0.0360304366084,[-1.52790479  0.69950488],-0.0360304366084,"[ 0.72602781  1.41880882  1.02557901 -1.0976817   1.56436728  1.46055125
  0.81641199 -0.62491908 -0.64795432 -0.50763576  0.        ]","[[ 0.6846208   0.07329517  0.18000424  0.16687467]
 [ 4.59192287 -1.81557864  0.          0.        ]]",[-0.74280471 -0.61606807],[-1.34577751 -0.23300308]
9,-0.0359293159922,[-0.26418024 -1.37038232],-0.0359293159922,"[ 0.67724099  1.41953967  1.08339886 -1.11860252  1.56436467  1.46054904
  0.34295598 -0.15219962 -0.71460395 -0.41057848  0.        ]","[[ 0.73584649  0.06514981  0.18000424  0.16687467]
 [ 0.54412841  0.99168256  0.          0.        ]]",[-0.74280471 -0.61606807],[-0.27555478 -0.48864454]
