timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.156706924036,[-0.36119396  2.61187251],-0.156706924036,"[ 1.04722199  1.44173412  0.12884542 -1.22798775  0.52720923 -0.33842733
  0.28795402 -0.32018172  1.04758161  0.48563636  0.        ]","[[ 0.02742662  0.0126606   0.06047755 -0.04015418]
 [-0.00273645  0.0002186   0.          0.        ]]",[-0.67426962 -0.54062819],[-1.41296947  2.85110235]
1,-0.157005231495,[-1.46768531  2.14323629],-0.157005231495,"[ 1.04764793  1.44005867  0.10737134 -1.12572681  0.52720888 -0.33842714
  0.12388404  0.3380119   1.04641989  0.50318646  0.        ]","[[ 0.01302102  0.05239835  0.06047755 -0.04015418]
 [-1.43305569  3.96035612  0.          0.        ]]",[-0.67426962 -0.54062819],[-1.47219837  2.2885952 ]
2,-0.155991486467,[-1.64599602  2.32464327],-0.155991486467,"[ 1.04554934  1.42304677  0.00590316 -0.82353206  0.52720853 -0.33842695
 -0.32681146  0.98333321  1.04010291  0.48595484  0.        ]","[[-0.05506138  0.1705619   0.06047755 -0.04015418]
 [-5.36210256  7.84304823  0.          0.        ]]",[-0.67426962 -0.54062819],[-1.5058682   1.78614974]
3,-0.150943566617,[-1.13435208  2.67637671],-0.150943566617,"[ 1.01827127  1.35626092 -0.20963755 -0.34001765  0.52720819 -0.33842675
 -0.76859784  1.61585778  1.01431858  0.36689917  0.        ]","[[ -0.20094529   0.3656071    0.06047755  -0.04015418]
 [ -9.2134842   11.64875849   0.           0.        ]]",[-0.67426962 -0.54062819],[-1.33094549  1.35033798]
4,-0.140015402278,[-0.82960589  0.72420598],-0.140015402278,"[ 0.91849962  1.18868246 -0.52421903  0.26887386  0.52720784 -0.33842656
 -1.20167209  2.23580566  0.93741007  0.15910763  0.        ]","[[ -0.42309444   0.63600799   0.06047755  -0.04015418]
 [-12.98892264  15.37882542   0.           0.        ]]",[-0.67426962 -0.54062819],[-0.40626279  0.71926421]
5,-0.121588679612,[ 0.00574956 -0.20806218],-0.121588679612,"[ 0.69042007  0.87976645 -0.88757857  0.86239693  0.5272075  -0.33842637
 -1.548867    2.66184308  0.77316485 -0.09928037  0.        ]","[[ -0.71324036   0.96930504   0.06047755  -0.04015418]
 [-16.01569903  17.94222628   0.           0.        ]]",[-0.67426962 -0.54062819],[ 0.98041213  0.11686456]
6,-0.0976060857665,[ 2.81461447 -0.20316985],-0.0976060857665,"[ 0.33629048  0.47307199 -1.19038308  1.2313777   0.52720715 -0.33842617
 -1.50998476  2.46569145  0.52627799 -0.32322256  0.        ]","[[ -1.03015335   1.31630906   0.06047755  -0.04015418]
 [-15.67675598  16.7620932    0.           0.        ]]",[-0.67426962 -0.54062819],[ 1.97161734 -0.30615789]
7,-0.0726177292944,[ 1.81502359 -0.36885256],-0.0726177292944,"[-0.02733227  0.05743607 -1.34904435  1.30811993  0.52720681 -0.33842598
 -1.0205114   2.27655649  0.26403364 -0.38975417  0.        ]","[[ -1.30087716   1.64013239   0.06047755  -0.04015418]
 [-11.40966082  15.62416401   0.           0.        ]]",[-0.67426962 -0.54062819],[ 1.50341725 -0.76807696]
8,-0.0485133588933,[ 0.48084474 -1.24895662],-0.0485133588933,"[-0.2956874  -0.31386087 -1.39780756  1.14555124  0.52720646 -0.33842579
 -0.54060132  1.98225199  0.03848374 -0.28841958  0.        ]","[[ -1.48709513   1.93484838   0.06047755  -0.04015418]
 [ -7.22592961  13.85344177   0.           0.        ]]",[-0.67426962 -0.54062819],[ 0.57914186 -1.16465926]
9,-0.0288262843325,[ 0.051896   -0.35213168],-0.0288262843325,"[-0.47729099 -0.58245078 -1.40181569  0.86654055  0.52720611 -0.33842559
 -0.30583239  1.27852279 -0.14143295 -0.15256153  0.        ]","[[-1.61107899  2.16943426  0.06047755 -0.04015418]
 [-5.17927589  9.6192932   0.          0.        ]]",[-0.67426962 -0.54062819],[ 0.20608285 -1.20443726]
10,-0.0154499535155,[ 0.04641993 -1.35883564],-0.0154499535155,"[-0.62395411 -0.75889915 -1.38827296  0.57874749  0.52720577 -0.3384254
 -0.27050509  1.01511808 -0.28631883 -0.05024746  0.        ]","[[-1.71157444  2.34591893  0.06047755 -0.04015418]
 [-4.87130296  8.03446015  0.          0.        ]]",[-0.67426962 -0.54062819],[ 0.27952355 -1.31056809]
