timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.336888186119,[-1.44396162  0.60432257],-0.336888186119,"[ 1.0743579   2.0510425   0.07480903 -0.96648563 -1.07563052 -0.1674528
  0.37531818 -0.36085541  2.1444518   0.07973501  0.        ]","[[ 0.018231   -0.07184666 -0.12676523 -0.01823018]
 [-0.00030244  0.00217279  0.          0.        ]]",[-0.04941257 -0.15881872],[ 0.01613362  1.5807569 ]
1,-0.336585241178,[ 0.18492106  0.0966063 ],-0.336585241178,"[ 1.07426152  2.05294443  0.01444897 -0.89265717 -1.07562399 -0.16745231
  0.05836072 -0.02850418  2.14361772  0.03260241  0.        ]","[[-0.02147484 -0.04777977 -0.12676523 -0.01823018]
 [-3.95710353  2.39653196  0.          0.        ]]",[-0.04941257 -0.15881872],[ 0.19162279  1.59671021]
2,-0.335903406285,[ 1.32260159  2.16725951],-0.335903406285,"[ 1.06861141  2.05443864 -0.09332122 -0.73509647 -1.07561747 -0.16745183
  0.12321837  0.01796285  2.1394666  -0.0441319   0.        ]","[[-0.09249329  0.00350964 -0.12676523 -0.01823018]
 [-3.14743764  2.73129404  0.          0.        ]]",[-0.04941257 -0.15881872],[ 0.26850978  1.60365677]
3,-0.336119224163,[-0.2253468   1.37734911],-0.336119224163,"[  1.06532941e+00   2.04806427e+00  -1.27567539e-01  -4.47330770e-01
  -1.07561094e+00  -1.67451345e-01   4.44968390e-01   5.59855971e-01
   2.14073972e+00   1.93355154e-03   0.00000000e+00]","[[-0.11514213  0.09730513 -0.12676523 -0.01823018]
 [ 0.8691906   6.6352505   0.          0.        ]]",[-0.04941257 -0.15881872],[ 0.09568816  1.54838729]
4,-0.335713826068,[-0.29615889  1.38634266],-0.335713826068,"[ 1.06659901  2.00629815 -0.11509781  0.06912279 -1.07560442 -0.16745086
  0.37206776  1.09128168  2.13125344  0.17171285  0.        ]","[[ -0.10688934   0.26842349  -0.12676523  -0.01823018]
 [ -0.04085731  10.46382309   0.           0.        ]]",[-0.04941257 -0.15881872],[-0.02831824  1.48144388]
5,-0.331150076159,[-0.29452969  0.00038003],-0.331150076159,"[ 1.06461043  1.8799425  -0.13409469  0.76863816 -1.07559789 -0.16745038
  0.27818652  1.61218803  2.07963382  0.3663654   0.        ]","[[ -0.11946562   0.51535368  -0.12676523  -0.01823018]
 [ -1.21282034  14.21668266   0.           0.        ]]",[-0.04941257 -0.15881872],[-0.14502373  1.36757159]
6,-0.321098932312,[-1.1666444   0.92318489],-0.321098932312,"[ 1.05778407  1.650046   -0.187858    1.45187947 -1.07559137 -0.16744989
  0.18680516  1.57336591  1.98051715  0.53125873  0.        ]","[[ -0.15516749   0.79688237  -0.12676523  -0.01823018]
 [ -2.35357675  13.93710781   0.           0.        ]]",[-0.04941257 -0.15881872],[-0.18315645  1.26865649]
7,-0.305162252605,[-2.40300017  2.52206904],-0.305162252605,"[ 1.03405353  1.30911114 -0.3164596   2.00596576 -1.07558484 -0.16744941
 -0.12646074  2.04258194  1.84666836  0.61116409  0.        ]","[[ -0.24147537   1.10954377  -0.12676523  -0.01823018]
 [ -6.26423902  17.31770288   0.           0.        ]]",[-0.04941257 -0.15881872],[-0.05803459  1.1316762 ]
8,-0.280384385938,[ 0.51170311 -0.2902438 ],-0.280384385938,"[ 0.96151522  0.816867   -0.55224266  2.3175782  -1.07557832 -0.16744892
 -0.43356973  2.54462961  1.66710304  0.59396655  0.        ]","[[ -4.05224955e-01   1.49219270e+00  -1.26765227e-01  -1.82301847e-02]
 [ -1.00980446e+01   2.09350311e+01   0.00000000e+00   0.00000000e+00]]",[-0.04941257 -0.15881872],[ 0.16445348  0.97576368]
9,-0.248339925394,[ 1.33352679  0.50814949],-0.248339925394,"[ 0.84257317  0.28337678 -0.79222873  2.16675195 -1.0755718  -0.16744844
 -0.25529588  2.32744756  1.44292152  0.53698819  0.        ]","[[ -5.84857872e-01   1.89519670e+00  -1.26765227e-01  -1.82301847e-02]
 [ -7.87258198e+00   1.93706473e+01   0.00000000e+00   0.00000000e+00]]",[-0.04941257 -0.15881872],[ 0.16759399  0.87467659]
10,-0.210087924521,[ 0.89551607  0.51434983],-0.210087924521,"[ 0.74542128 -0.18227611 -0.93349432  1.54774271 -1.07556527 -0.16744796
  0.07432448  2.55338413  1.1693921   0.49036701  0.        ]","[[ -7.01026840e-01   2.29894470e+00  -1.26765227e-01  -1.82301847e-02]
 [ -3.75779211e+00   2.09988148e+01   0.00000000e+00   0.00000000e+00]]",[-0.04941257 -0.15881872],[ 0.02747308  0.72868961]
