timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.212751364928,[-3.35279612  0.73716364],-0.212751364928,"[ 1.00337347  2.08050811  0.26529444 -0.82594172  1.23087486 -1.5623162
  0.43619705 -0.36551753  0.22238078  1.73983042  0.        ]","[[ 0.09849856  0.00931852  0.13965251 -0.17950363]
 [-0.0031271   0.00431013  0.          0.        ]]",[-0.19501799 -0.13659027],[-2.85238576  0.12805706]
1,-0.208081392871,[-2.75151672 -0.45532784],-0.208081392871,"[ 1.00784702  2.07953415  0.20418729 -0.73306175  1.2308703  -1.56230828
  0.10259345  0.04389143  0.22565566  1.69358416  0.        ]","[[ 0.05873475  0.03870523  0.13965251 -0.17950363]
 [-3.96007558  2.92462249  0.          0.        ]]",[-0.19501799 -0.13659027],[-2.67801499  0.07869798]
2,-0.189172437142,[-2.08672742 -0.15828917],-0.189172437142,"[ 1.00779077  2.07635003  0.02223052 -0.60733609  1.23086574 -1.56230035
 -0.22425621 -0.21677336  0.22945699  1.50859355  0.        ]","[[-0.05936419  0.07854259  0.13965251 -0.17950363]
 [-7.83691413  1.06530228  0.          0.        ]]",[-0.19501799 -0.13659027],[-2.44012046  0.14593577]
3,-0.151707780661,[-1.95673326  1.53500986],-0.151707780661,"[ 0.96423274  2.07460694 -0.27403002 -0.5606523   1.23086117 -1.56229243
 -0.54468059 -0.30739654  0.19558209  1.15529773  0.        ]","[[ -0.25423531   0.09336304   0.13965251  -0.17950363]
 [-11.63754401   0.41888597   0.           0.        ]]",[-0.19501799 -0.13659027],[-1.92726731  0.22219729]
4,-0.100983924527,[-0.30825188  0.20648417],-0.100983924527,"[ 0.81768797  2.06695602 -0.65815811 -0.40984077  1.23085661 -1.5622845
 -0.85891855  0.24674083  0.0675616   0.71620869  0.        ]","[[ -0.52438284   0.14139914   0.13965251  -0.17950363]
 [-15.36480552   4.37153096   0.           0.        ]]",[-0.19501799 -0.13659027],[-1.10624731  0.07786226]
5,-0.0459198422751,[-0.09948078 -0.66637354],-0.0459198422751,"[ 0.53267016  2.04281101 -1.03514707 -0.11565877  1.23085204 -1.56227658
 -0.93613354  0.34924938 -0.17227435  0.29997502  0.        ]","[[ -0.84086825   0.23616629   0.13965251  -0.17950363]
 [-16.28069733   5.10272396   0.           0.        ]]",[-0.19501799 -0.13659027],[-0.20855413  0.02644759]
6,-0.0286596705975,[ 0.34046166  0.81481567],-0.0286596705975,"[ 0.13975985  2.0154715  -1.30404358  0.11127253  1.23084748 -1.56226865
 -0.94208305 -0.03486643 -0.52217781 -0.04484514  0.        ]","[[ -1.16719056   0.31073083   0.13965251  -0.17950363]
 [-16.35129667   2.36284641   0.           0.        ]]",[-0.19501799 -0.13659027],[ 0.72848088  0.14946541]
7,-0.0811310449067,[ 0.85186446  0.97281728],-0.0811310449067,"[-0.28966092  1.97859968 -1.42119612  0.3462496   1.23084292 -1.56226073
 -0.8013751   0.41075263 -0.91081854 -0.2434979   0.        ]","[[ -1.47747143   0.38987942   0.13965251  -0.17950363]
 [-14.68235752   5.54142328   0.           0.        ]]",[-0.19501799 -0.13659027],[ 1.04691064 -0.10756689]
8,-0.117680610975,[ 1.80432067  0.44966041],-0.117680610975,"[-0.65675759  1.88854325 -1.40731071  0.76530986  1.23083835 -1.5622528
 -0.49290326  0.93516261 -1.18917373 -0.28036491  0.        ]","[[ -1.73440871   0.53823824   0.13965251  -0.17950363]
 [-11.02353054   9.28201945   0.           0.        ]]",[-0.19501799 -0.13659027],[ 0.96352398 -0.35672855]
9,-0.131603731344,[ 1.72454747 -0.21564631],-0.131603731344,"[-0.90431239  1.72557312 -1.33850349  1.27614672  1.23083379 -1.56224488
 -0.14103776  1.15877798 -1.30305647 -0.23121499  0.        ]","[[ -1.91300579   0.73988193   0.13965251  -0.17950363]
 [ -6.85000036  10.87707965   0.           0.        ]]",[-0.19501799 -0.13659027],[ 0.82701439 -0.48390555]
