timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.61400884 -0.36221173],[-2.44631004 -1.58974826],"[ 0.80318592  1.1565818   0.27937212  0.0265436   1.08304698 -0.80466547
  0.44948181 -0.18753636  0.09968429  1.42132491  0.        ]",-0.120891543948,-1.51764,[-2.2630741  -1.80037103],"[[-0.00218248 -0.05165281  0.12551704 -0.09276485]
 [-0.00111984 -0.00088107  0.          0.        ]]"
1,[-0.61400884 -0.36221173],[-0.9776997   0.09335972],"[ 0.80176176  1.15322964  0.21120033 -0.04863031  1.08304634 -0.80466511
  0.22307257 -0.82418551  0.09016482  1.25391923  0.        ]",-0.111490923461,-1.59977,[-0.50936184  0.42181182],"[[-0.04187978 -0.09138266  0.12551704 -0.09276485]
 [-3.95545271 -3.95891743  0.          0.        ]]"
2,[-0.61400884 -0.36221173],[-0.18526801 -0.16673148],"[ 0.78716121  1.14436201  0.04268378 -0.1646521   1.0830457  -0.80466474
  0.11214253 -0.54280407  0.04141178  0.8966807   0.        ]",-0.0917248512029,-1.27375,[ 0.36394359 -0.01063523],"[[-0.14042775 -0.1530093   0.12551704 -0.09276485]
 [-5.89289206 -2.20957645  0.          0.        ]]"
3,[-0.61400884 -0.36221173],[ 0.30096203 -0.43262181],"[ 0.75548111  1.13527554 -0.12966448 -0.24717948  1.08304505 -0.80466438
  0.20124791 -0.54263416 -0.03993792  0.56533088  0.        ]",-0.0743771625597,-1.02196,[ 0.59755225 -0.72071782],"[[-0.24267115 -0.19719025  0.12551704 -0.09276485]
 [-4.33662848 -2.2085213   0.          0.        ]]"
4,[-0.61400884 -0.36221173],[ 0.4702456   0.23245236],"[ 0.7281313   1.11551921 -0.2324253  -0.38072829  1.08304441 -0.80466402
  0.34156431 -0.99477437 -0.13336256  0.31532185  0.        ]",-0.0622929622943,-1.00024,[ 0.07008609  1.02411967],"[[-0.30481519 -0.26956386  0.12551704 -0.09276485]
 [-1.88594276 -5.01946927  0.          0.        ]]"
5,[-0.61400884 -0.36221173],[ 0.63880605 -0.91492867],"[ 0.71030885  1.0947457  -0.28876731 -0.48886855  1.08304377 -0.80466366
  0.35948552 -0.34190887 -0.20853767  0.16052981  0.        ]",-0.0557772223306,-1.00549,[ 1.06754327  0.18094995],"[[-0.33939375 -0.3292295   0.12551704 -0.09276485]
 [-1.57293959 -0.96062115  0.          0.        ]]"
6,[-0.61400884 -0.36221173],[-0.33942688 -1.60053158],"[ 0.71488279  1.0901444  -0.2749099  -0.51009438  1.08304312 -0.80466329
  0.58775431 -0.22384337 -0.20796369  0.16740766  0.        ]",-0.0557521324412,-0.898912,[-0.18392928 -1.41266061],"[[-0.33085172 -0.34107743  0.12551704 -0.09276485]
 [ 2.41387084 -0.22661139  0.          0.        ]]"
7,[-0.61400884 -0.36221173],[-0.14768258 -0.0926114 ],"[ 0.7350414   1.07160254 -0.20865042 -0.58849154  1.08304248 -0.80466293
  0.54344446 -0.85997336 -0.19755079  0.21427761  0.        ]",-0.0563262193915,-0.920728,[-0.2789145  -0.68946072],"[[-0.29033884 -0.38528949  0.12551704 -0.09276485]
 [ 1.63998488 -4.18141647  0.          0.        ]]"
8,[-0.61400884 -0.36221173],[ 0.30219436  1.22496784],"[ 0.74466383  1.01617813 -0.1732959  -0.77748273  1.08304184 -0.80466257
  0.47846431 -1.28570658 -0.25919054  0.14444539  0.        ]",-0.0512596602566,-0.947127,[-0.62337023  1.00068575],"[[-0.2689257  -0.49547376  0.12551704 -0.09276485]
 [ 0.5050835  -6.82819373  0.          0.        ]]"
9,[-0.61400884 -0.36221173],[ 1.0755806   0.60009563],"[ 0.73810859  0.9579409  -0.19768467 -0.93247021  1.08304119 -0.80466221
  0.33660382 -0.62692021 -0.35683847  0.01626998  0.        ]",-0.0454801410415,-1.0159,[ 0.57941914  1.33553444],"[[-0.2836831  -0.59094452  0.12551704 -0.09276485]
 [-1.97256393 -2.73253814  0.          0.        ]]"
10,[-0.61400884 -0.36221173],[ 0.61743927 -0.82964611],"[ 0.73058084  0.94837524 -0.22413146 -0.95502661  1.08304055 -0.80466184
  0.47000433  0.0185507  -0.38918923 -0.03202483  0.        ]",-0.0445287641598,-0.891524,[-0.32361188 -2.05534382],"[[-0.29975799 -0.60533282  0.12551704 -0.09276485]
 [ 0.35733057  1.28033639  0.          0.        ]]"
11,[-0.61400884 -0.36221173],[ 1.02063072  0.50813293],"[ 0.72778749  0.93862055 -0.23356921 -0.97733265  1.08303991 -0.80466148
  0.39637552 -0.6223538  -0.40945183 -0.05707576  0.        ]",-0.043959134915,-0.992323,[ 1.47095969 -0.7846058 ],"[[-0.30551363 -0.61970373  0.12551704 -0.09276485]
 [-0.92862277 -2.70414925  0.          0.        ]]"
12,[-0.61400884 -0.36221173],[ 0.15828842  1.10863769],"[ 0.73787303  0.87714432 -0.19853275 -1.10407497  1.08303926 -0.80466112
  0.62400444 -1.11367521 -0.46306341 -0.08328086  0.        ]",-0.0411764508623,-1.02208,[ 0.343997    1.43039149],"[[-0.28419751 -0.70443402  0.12551704 -0.09276485]
 [ 3.04700735 -5.75868355  0.          0.        ]]"
13,[-0.61400884 -0.36221173],[-0.45629627  0.22796015],"[ 0.76734026  0.81790335 -0.07534463 -1.20799828  1.08303862 -0.80466076
  0.69840185 -0.45849899 -0.44431353  0.01128284  0.        ]",-0.0383599666732,-0.927624,[-0.71922774 -0.17973316],"[[-0.21022048 -0.77873993  0.12551704 -0.09276485]
 [ 4.34639124 -1.68547387  0.          0.        ]]"
14,[-0.61400884 -0.36221173],[-0.06946566  0.9555558 ],"[ 0.78423863  0.78363512  0.02182457 -1.26158594  1.08303797 -0.80466039
  0.53056739 -0.56744697 -0.41693873  0.09990921  0.        ]",-0.0377484652169,-1.03171,[ 0.50933084  1.81393682],"[[-0.15270302 -0.81924511  0.12551704 -0.09276485]
 [ 1.41510246 -2.36280127  0.          0.        ]]"
15,[-0.61400884 -0.36221173],[-0.88807714 -0.32755914],"[ 0.79430689  0.7775206   0.10397788 -1.27070166  1.08303733 -0.80466003
  0.64427016  0.07687926 -0.37158989  0.19784599  0.        ]",-0.0400640088854,-0.90356,[-1.05735828 -0.72454413],"[[-0.10447616 -0.82631016  0.12551704 -0.09276485]
 [ 3.40096821  1.64295384  0.          0.        ]]"
16,[-0.61400884 -0.36221173],[-0.06298798  1.0702697 ],"[ 0.79838292  0.78078026  0.15129204 -1.26585596  1.08303669 -0.80465967
  0.41394079 -0.38960689 -0.34001563  0.26221257  0.        ]",-0.0426346564277,-0.960311,[-0.22393486  0.89395523],"[[-0.07681865 -0.82254893  0.12551704 -0.09276485]
 [-0.6218173  -1.25717521  0.          0.        ]]"
17,[-0.61400884 -0.36221173],[ 0.14991164  0.05257744],"[ 0.79536673  0.78992657  0.11499046 -1.25206449  1.08303604 -0.80465931
  0.36385215  0.18380247 -0.35166283  0.22469613  0.        ]",-0.0416971970875,-1.02233,[ 1.53418657  0.34967742],"[[-0.09803233 -0.81192497  0.12551704 -0.09276485]
 [-1.49663169  2.30769048  0.          0.        ]]"
18,[-0.61400884 -0.36221173],[-1.04237652 -1.10242176],"[ 0.7968869   0.83948913  0.1321893  -1.17189911  1.0830354  -0.80465894
  0.59204713  0.39895599 -0.28870677  0.3027943   0.        ]",-0.0475321430733,-0.838004,[-1.53730213 -2.27285386],"[[-0.08797684 -0.75235056  0.12551704 -0.09276485]
 [ 2.48888015  3.6452926   0.          0.        ]]"
