timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.6499517  -0.36530817],[-2.97158456 -1.76581955],"[ 0.79427383  1.14768141  0.17290794  0.15016737 -0.94321681 -0.72029937
  0.4367481  -0.17962546  2.61226189  1.24444345  0.        ]",-0.325966040196,-3.11678,[-2.56240066 -0.38594313],"[[-0.0629143   0.00285511 -0.10880147 -0.08268903]
 [ 0.00245002 -0.00408322  0.          0.        ]]"
1,[-0.6499517  -0.36530817],[-2.47618604 -1.48607516],"[ 0.78886646  1.14759194  0.10508394  0.12144392 -0.94321637 -0.7202991
  0.21392919 -0.42785332  2.60304641  1.10821651  0.        ]",-0.323134847533,-3.02663,[-2.94400532 -2.61774427],"[[-0.10255033 -0.01254298 -0.10880147 -0.08268903]
 [-3.95288502 -1.53064371  0.          0.        ]]"
2,[-0.6499517  -0.36530817],[-1.53642964 -0.89145112],"[ 0.75756871  1.14362869 -0.09469974 -0.00900184 -0.94321592 -0.72029883
 -0.00443094 -1.06653271  2.53658196  0.67353484  0.        ]",-0.31262451566,-2.90899,[-1.45892146 -1.48420923],"[[-0.22049882 -0.08256447 -0.10880147 -0.08268903]
 [-7.82907084 -5.45841736  0.          0.        ]]"
3,[-0.6499517  -0.36530817],[-0.3218559  -0.24586202],"[ 0.65726973  1.11622979 -0.41178878 -0.28109034 -0.94321548 -0.72029856
 -0.21848251 -1.69256324  2.28711887 -0.0341172   0.        ]",-0.289154562232,-2.57284,[-0.72530972  0.40678862],"[[ -0.41520321  -0.23036116  -0.10880147  -0.08268903]
 [-11.62877387  -9.30840938   0.           0.        ]]"
4,[-0.6499517  -0.36530817],[ 0.58928353 -0.47680521],"[ 0.43626186  1.05437896 -0.79119619 -0.57902538 -0.94321504 -0.72029829
 -0.36722323 -1.40048458  1.76333318 -0.75182168  0.        ]",-0.251350746505,-2.24504,[ 0.80413423 -1.78257441],"[[ -0.67426978  -0.39850746  -0.10880147  -0.08268903]
 [-14.2691221   -7.51218044   0.           0.        ]]"
5,[-0.6499517  -0.36530817],[ 1.97443366 -0.0909446 ],"[ 0.14034828  0.94836347 -1.09037595 -0.88834928 -0.9432146  -0.72029802
 -0.17207242 -2.02030398  1.07513452 -1.16964283  0.        ]",-0.205507017371,-2.01728,[ 2.05644422 -0.08995259],"[[ -0.92489433  -0.58699618  -0.10880147  -0.08268903]
 [-10.80493613 -11.32398335   0.           0.        ]]"
6,[-0.6499517  -0.36530817],[ 2.05016947  0.33057624],"[-0.10328647  0.7737974  -1.24881765 -1.21243742 -0.94321416 -0.72029774
  0.06279212 -2.04195648  0.44873925 -1.21065154  0.        ]",-0.160735541675,-1.69405,[ 1.64034065  0.86622229],"[[ -1.09916309  -0.81481207  -0.10880147  -0.08268903]
 [ -6.63577854 -11.4571588    0.           0.        ]]"
7,[-0.6499517  -0.36530817],[ 1.47341204  0.07125494],"[-0.24113978  0.59299395 -1.3138445  -1.43215463 -0.94321372 -0.72029747
  0.2929774  -1.44754215  0.06257392 -1.06388699  0.        ]",-0.128290165991,-1.46336,[ 1.9147037   0.43290575],"[[-1.19088322 -1.007278   -0.10880147 -0.08268903]
 [-2.54968406 -7.80160971  0.          0.        ]]"
8,[-0.6499517  -0.36530817],[ 0.64008665 -0.10229285],"[-0.25772759  0.44923713 -1.32062542 -1.55369113 -0.94321328 -0.7202972
  0.51867899 -1.14387627 -0.08192386 -0.92586092  0.        ]",-0.112026975553,-1.31406,[ 0.63263331 -0.78700577],"[[-1.20167939 -1.1445732  -0.10880147 -0.08268903]
 [ 1.45681966 -5.93411517  0.          0.        ]]"
9,[-0.6499517  -0.36530817],[-0.11088255  0.84080845],"[-0.17553647  0.28308955 -1.28487225 -1.64924427 -0.94321284 -0.72029693
  0.65811534 -1.63158022 -0.10460193 -0.79308941  0.        ]",-0.10310052805,-1.21707,[ 0.1253844   2.08460025],"[[-1.14770886 -1.29334884 -0.10880147 -0.08268903]
 [ 3.93200256 -8.93342897  0.          0.        ]]"
10,[-0.6499517  -0.36530817],[-0.50197506  0.01367126],"[-0.05331802  0.12343497 -1.22117396 -1.70225627 -0.94321239 -0.72029666
  0.68163589 -0.95897242 -0.06507636 -0.67860108  0.        ]",-0.0993256012328,-1.15499,[-0.0092858  -1.33573439],"[[-1.06488013 -1.43051527 -0.10880147 -0.08268903]
 [ 4.34952754 -4.79699491  0.          0.        ]]"
