timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.87430114 -0.55410475],-1.9197,"[ 0.77721486  1.10129517  0.24411995  0.25184628  0.76595852  0.32783782
  0.37910316 -0.14184898  0.51968121 -0.22895928  0.        ]",-0.125719431919,[ 0.92892075  0.24978951],[ 0.83287291 -0.10356503],"[[ 0.00320968  0.0323476   0.08901153  0.03864233]
 [ 0.0031719   0.00227863  0.          0.        ]]"
1,[-0.87430114 -0.55410475],-1.86569,"[ 0.77605851  1.10144867  0.30040343  0.24472657  0.76595831  0.32783776
  0.56452108 -0.21268901  0.51705306 -0.12747992  0.        ]",-0.123878685253,[-0.06957178 -0.36267722],[-0.4166546  -0.96010843],"[[ 0.03633123  0.02826544  0.08901153  0.03864233]
 [ 3.29801266 -0.40911927  0.          0.        ]]"
2,[-0.87430114 -0.55410475],-1.87973,"[ 0.77083137  1.10174433  0.38315992  0.16405512  0.76595811  0.3278377
  0.46817781 -0.86579668  0.51337961 -0.04699699  0.        ]",-0.122510700888,[ 0.27220899  0.08800198],[-0.40866041  0.5122548 ],"[[ 0.08511455 -0.01797203  0.08901153  0.03864233]
 [ 1.58601433 -4.20198923  0.          0.        ]]"
3,[-0.87430114 -0.55410475],-1.88935,"[ 0.76835034  1.09788345  0.40884596  0.05454372  0.7659579   0.32783764
  0.375391   -0.5020983   0.51439079 -0.10523923  0.        ]",-0.123342721704,[ 0.72950202  0.13979693],[ 0.9957994   0.42078822],"[[ 0.1002919  -0.08081993  0.08901153  0.03864233]
 [-0.06278671 -2.08984186  0.          0.        ]]"
4,[-0.87430114 -0.55410475],-1.84113,"[ 0.76029847  1.0950265   0.47343322  0.01166738  0.7659577   0.32783758
  0.59710718 -0.20833588  0.50861623 -0.02263631  0.        ]",-0.121828500437,[-0.50820625 -0.75399739],[-0.21419145 -0.6370456 ],"[[ 0.13856583 -0.10549997  0.08901153  0.03864233]
 [ 3.87706544 -0.38384152  0.          0.        ]]"
5,[-0.87430114 -0.55410475],-1.85548,"[ 0.73958303  1.09004566  0.58774127 -0.04532016  0.7659575   0.32783752
  0.5451633  -0.64131253  0.49261824  0.1431529   0.        ]",-0.119070113964,[-0.54201102 -0.49919373],[-0.58291689 -0.5711235 ],"[[ 0.20684615 -0.13840535  0.08901153  0.03864233]
 [ 2.95403589 -2.89831745  0.          0.        ]]"
6,[-0.87430114 -0.55410475],-1.883,"[ 0.72567942  1.07236651  0.64634228 -0.18278064  0.76595729  0.32783745
  0.41215373 -1.02067574  0.48607286  0.12030774  0.        ]",-0.118650959698,[ 0.04356507  0.57326955],[ 0.2328345   0.09524091],"[[ 0.24221277 -0.21847628  0.08901153  0.03864233]
 [ 0.59048598 -5.10143888  0.          0.        ]]"
7,[-0.87430114 -0.55410475],-1.85441,"[ 0.71643922  1.04044736  0.6807901  -0.34636574  0.76595709  0.32783739
  0.46331932 -0.93840673  0.47855965  0.02087481  0.        ]",-0.118829229889,[-0.05137059  0.45274317],[ 0.42340044  1.18192571],"[[ 0.26314475 -0.31571148  0.08901153  0.03864233]
 [ 1.49968908 -4.62367036  0.          0.        ]]"
8,[-0.87430114 -0.55410475],-1.78569,"[ 0.69325336  1.01884278  0.75657824 -0.43157327  0.76595688  0.32783733
  0.5558239  -0.24093298  0.46285931  0.08129445  0.        ]",-0.116956273214,[-0.71614504 -0.91991526],[-0.80240895 -0.91565429],"[[ 0.30963102 -0.36754476  0.08901153  0.03864233]
 [ 3.14347715 -0.57315153  0.          0.        ]]"
9,[-0.87430114 -0.55410475],-1.82852,"[ 0.67611613  0.99619668  0.80556174 -0.50852567  0.76595668  0.32783727
  0.37376353 -0.86307848  0.45005452  0.09675947  0.        ]",-0.115747345663,[ 0.08525406  0.83602101],[ 0.02058904  0.79516226],"[[ 0.34004131 -0.41525869  0.08901153  0.03864233]
 [-0.09169385 -4.18620912  0.          0.        ]]"
