timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.84865034 -0.53587872],[-3.25590372 -2.13727427],"[ 0.78383503  1.11026351  0.31148448  0.25382656 -0.4085169  -0.86927456
  0.39442568 -0.14887591  2.07648769  1.994232    0.        ]",-0.279001574212,-3.48262,[-3.98630122 -1.94504764],"[[ 0.02929127  0.03485072 -0.04668713 -0.09998264]
 [-0.00117211  0.00145088  0.          0.        ]]"
1,[-0.84865034 -0.53587872],[-2.14197016 -1.72690248],"[ 0.78448497  1.11099816  0.24382101  0.18387826 -0.40851681 -0.86927429
  0.17680906 -0.82390412  2.07936747  1.80120474  0.        ]",-0.274482452467,-3.47173,[-2.13352936 -2.2034029 ],"[[-0.010407   -0.00483295 -0.04668713 -0.09998264]
 [-3.9554932  -3.95663201  0.          0.        ]]"
2,[-0.84865034 -0.53587872],[-0.94811153 -1.46626234],"[ 0.77029733  1.10170317  0.04327447 -0.02371082 -0.40851673 -0.86927402
 -0.03650702 -1.48557113  2.03046226  1.23173865  0.        ]",-0.259403680463,-3.16724,[-0.28765253 -2.08966989],"[[-0.12840745 -0.1228923  -0.04668713 -0.09998264]
 [-7.83166908 -7.83637374  0.          0.        ]]"
3,[-0.84865034 -0.53587872],[ 0.0877675  -0.43410629],"[ 0.70969961  1.04920837 -0.23386557 -0.35846462 -0.40851664 -0.86927375
 -0.09053903 -2.13431988  1.80029847  0.43834537  0.        ]",-0.232490499241,-2.75059,[-0.47583367  0.16385564],"[[ -0.29489096  -0.31778667  -0.04668713  -0.09998264]
 [ -8.81348725 -11.64037645   0.           0.        ]]"
4,[-0.84865034 -0.53587872],[ 0.74343032 -0.19495374],"[ 0.58184482  0.93425658 -0.53813564 -0.7166695  -0.40851656 -0.86927348
 -0.18459113 -1.98422964  1.33252405 -0.30541492  0.        ]",-0.196010683064,-2.34421,[ 0.41705944  0.37207435],"[[ -0.48830727  -0.54176447  -0.04668713  -0.09998264]
 [-10.52251201 -10.76031993   0.           0.        ]]"
5,[-0.84865034 -0.53587872],[ 1.5205164  -0.00356084],"[ 0.39860145  0.78815045 -0.81046892 -0.9964168  -0.40851647 -0.86927321
 -0.08240634 -1.69670969  0.75056707 -0.76816927  0.        ]",-0.158111641995,-2.14049,[ 1.57946896  0.30257768],"[[-0.68012802 -0.74005582 -0.04668713 -0.09998264]
 [-8.66570904 -9.07442855  0.          0.        ]]"
6,[-0.84865034 -0.53587872],[ 1.37472463 -0.09306794],"[ 0.24339949  0.63645591 -0.97547312 -1.19700797 -0.40851639 -0.86927294
  0.14470496 -1.4619437   0.27085351 -0.91580129  0.        ]",-0.128270770994,-1.88009,[ 1.96323617 -0.3681042 ],"[[-0.81203719 -0.90773282 -0.04668713 -0.09998264]
 [-4.53886224 -7.69786207  0.          0.        ]]"
7,[-0.84865034 -0.53587872],[ 0.6641537   0.53684086],"[ 0.17875714  0.46411594 -1.03274182 -1.35811217 -0.4085163  -0.86927266
  0.36739033 -1.68472174 -0.036723   -0.87448633  0.        ]",-0.106882010482,-1.65275,[ 0.30949609  0.05705949],"[[-0.86221594 -1.07479659 -0.04668713 -0.09998264]
 [-0.49243885 -9.00414796  0.          0.        ]]"
8,[-0.84865034 -0.53587872],[ 0.38781646  1.11496198],"[ 0.18208827  0.26492808 -1.02992867 -1.48108107 -0.40851622 -0.86927239
  0.43529999 -1.61584157 -0.23128631 -0.74509308  0.        ]",-0.0893998451849,-1.60328,[ 1.13885237  0.02224783],"[[-0.85968405 -1.25082738 -0.04668713 -0.09998264]
 [ 0.74155101 -8.60026883  0.          0.        ]]"
9,[-0.84865034 -0.53587872],[-0.69070369  1.20766973],"[ 0.25185431  0.06181004 -0.96754146 -1.55061836 -0.40851613 -0.86927212
  0.65225825 -1.57192156 -0.30520216 -0.58125688  0.        ]",-0.0769739353107,-1.44881,[-0.61272144  1.64197627],"[[-0.80529914 -1.42024936 -0.04668713 -0.09998264]
 [ 4.68390722 -8.34274542  0.          0.        ]]"
10,[-0.84865034 -0.53587872],[-0.23962826  0.69913173],"[ 0.33454275 -0.09235567 -0.88392581 -1.57000335 -0.40851605 -0.86927185
  0.51367157 -0.86837951 -0.30631118 -0.44637916  0.        ]",-0.0702931782914,-1.38837,[-0.98515875  0.89281152],"[[-0.73688739 -1.54571369 -0.04668713 -0.09998264]
 [ 2.16564802 -4.21746114  0.          0.        ]]"
11,[-0.84865034 -0.53587872],[ 0.7140162   0.30383641],"[ 0.33891446 -0.15164081 -0.87917311 -1.57009256 -0.40851596 -0.86927158
  0.29671346 -0.25112355 -0.34492604 -0.3925281   0.        ]",-0.0654101106977,-1.49994,[ 2.07582717 -0.62696104],"[[-0.73312916 -1.5937488  -0.04668713 -0.09998264]
 [-1.77670068 -0.59812246  0.          0.        ]]"
12,[-0.84865034 -0.53587872],[-0.3181864   0.69329971],"[ 0.34416089 -0.19697078 -0.87342181 -1.56741412 -0.40851588 -0.86927131
  0.51647045 -0.67259029 -0.37064311 -0.3498085   0.        ]",-0.0618354001725,-1.41632,[-0.07278308  1.55369055],"[[-0.72859817 -1.63050681 -0.04668713 -0.09998264]
 [ 2.21650896 -3.06943333  0.          0.        ]]"
13,[-0.84865034 -0.53587872],[-0.29503584 -0.47266507],"[ 0.39040747 -0.22288923 -0.82034501 -1.56480883 -0.40851579 -0.86927104
  0.49817036  0.01306866 -0.32209059 -0.32584615  0.        ]",-0.0638039831015,-1.42256,[-0.08861204  0.1526232 ],"[[-0.68760434 -1.65155721 -0.04668713 -0.09998264]
 [ 1.88397992  0.95099202  0.          0.        ]]"
14,[-0.84865034 -0.53587872],[-0.28215072 -0.77310598],"[ 0.42683246 -0.19223306 -0.77523038 -1.56780366 -0.40851571 -0.86927076
  0.47681216  0.11293407 -0.24319532 -0.35172795  0.        ]",-0.0701354634738,-1.39746,[-0.46517582 -1.15530453],"[[-0.65381864 -1.62666215 -0.04668713 -0.09998264]
 [ 1.49588168  1.53656222  0.          0.        ]]"
15,[-0.84865034 -0.53587872],[ 0.0444914   0.59159213],"[ 0.43851617 -0.20368967 -0.76007173 -1.56681126 -0.40851562 -0.86927049
  0.37390126 -0.56748618 -0.23365284 -0.3402448   0.        ]",-0.0703120307012,-1.42322,[ 0.15119634 -0.39114615],"[[-0.64266318 -1.63596091 -0.04668713 -0.09998264]
 [-0.37411166 -2.45314495  0.          0.        ]]"
16,[-0.84865034 -0.53587872],[-0.21015111  1.20091474],"[ 0.43705695 -0.2824423  -0.76198388 -1.55584008 -0.40851554 -0.86927022
  0.40724994 -0.82335327 -0.29571039 -0.26799549  0.        ]",-0.0631278464766,-1.39328,[-0.41091563  0.95956884],"[[-0.64406536 -1.70007684 -0.04668713 -0.09998264]
 [ 0.23186892 -3.95344627  0.          0.        ]]"
17,[-0.84865034 -0.53587872],[ 0.27878347  0.46915099],"[ 0.42474175 -0.33145722 -0.77790514 -1.54530443 -0.40851545 -0.86926995
  0.31746423 -0.1619848  -0.34955678 -0.21994518  0.        ]",-0.0574879070364,-1.41559,[-0.07122458 -0.29439052],"[[-0.65579741 -1.74023657 -0.04668713 -0.09998264]
 [-1.39962638 -0.07545266  0.          0.        ]]"
18,[-0.84865034 -0.53587872],[ 0.36252707  0.9674778 ],"[ 0.39179912 -0.34748513 -0.81867612 -1.54123151 -0.40851537 -0.86926968
  0.30348273 -0.36051965 -0.40792214 -0.20152759  0.        ]",-0.0527933767773,-1.42161,[ 0.13477882  1.00485093],"[[-0.68633892 -1.75342569 -0.04668713 -0.09998264]
 [-1.65368311 -1.23957987  0.          0.        ]]"
