timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.88805699 -0.54501009],-1.59654,"[ 0.77161832  1.0970112   0.1017737   0.05108827  1.24120613 -0.43496395
  0.37715884 -0.1401769  -0.13970922  0.67757408  0.        ]",-0.0685832728149,[-1.16216755 -1.92373347],[-1.57018177 -1.3168942 ],"[[ -8.03840449e-02  -8.37299473e-02   1.43772132e-01  -4.95137824e-02]
 [  1.35463420e-04   4.42573630e-03   0.00000000e+00   0.00000000e+00]]"
1,[-0.88805699 -0.54501009],-1.70967,"[ 0.76459632  1.09190601  0.03472391 -0.01750587  1.2412056  -0.43496386
  0.15432904 -0.82295038 -0.1649765   0.4819077   0.        ]",-0.0632359670307,[ 0.87086654  0.67893666],[ 1.03776275  0.8067609 ],"[[-0.12005656 -0.12335473  0.14377213 -0.04951378]
 [-3.95423101 -3.95371716  0.          0.        ]]"
2,[-0.88805699 -0.54501009],-1.51409,"[ 0.75510491  1.08349098 -0.03024383 -0.09714246  1.24120508 -0.43496378
  0.38158083 -0.25867929 -0.20205908  0.28142227  0.        ]",-0.0591219426265,[-0.24833512 -1.42817819],[-0.2023749  -0.71030771],"[[-0.15867861 -0.16960846  0.14377213 -0.04951378]
 [ 0.07860963 -0.68255241  0.          0.        ]]"
3,[-0.88805699 -0.54501009],-1.51094,"[ 0.75326094  1.07364286 -0.04108243 -0.1684582   1.24120456 -0.43496369
  0.33644061 -0.74145152 -0.22465225  0.19353201  0.        ]",-0.057636531214,[ 0.38624018  0.02324487],[ 0.07116537 -0.76118156],"[[-0.16514364 -0.21133981  0.14377213 -0.04951378]
 [-0.72245331 -3.48125685  0.          0.        ]]"
4,[-0.88805699 -0.54501009],-1.5575,"[ 0.74981016  1.04176368 -0.06028288 -0.33516352  1.24120404 -0.4349636
  0.35317099 -1.24948609 -0.28647669  0.00260864  0.        ]",-0.0554373558585,[ 0.8318876   1.37386119],[ 0.49561693  0.67609394],"[[-0.17661368 -0.31051467  0.14377213 -0.04951378]
 [-0.42555259 -6.42641269  0.          0.        ]]"
5,[-0.88805699 -0.54501009],-1.55821,"[ 0.75319192  0.99761125 -0.04147753 -0.49859678  1.24120351 -0.43496352
  0.46406819 -0.76587784 -0.34240257 -0.11257579  0.        ]",-0.054233153917,[ 0.38923615  0.21058914],[ 1.44053378 -0.00604212],"[[-0.16537946 -0.41091405  0.14377213 -0.04951378]
 [ 1.54244416 -3.62286387  0.          0.        ]]"
6,[-0.88805699 -0.54501009],-1.43879,"[ 0.76932828  0.95883567  0.0767965  -0.61156989  1.24120299 -0.43496343
  0.68527377 -0.75787571 -0.33296636 -0.00597816  0.        ]",-0.0519459263835,[-0.99247873 -0.20467649],[-1.00145366 -0.00427332],"[[-0.09514462 -0.48290609  0.14377213 -0.04951378]
 [ 5.46798754 -3.57647551  0.          0.        ]]"
7,[-0.88805699 -0.54501009],-1.50131,"[ 0.77670546  0.91500903  0.19305957 -0.71884895  1.24120247 -0.43496335
  0.45625128 -0.74832355 -0.32974773  0.09795975  0.        ]",-0.0500233796512,[-0.04396141  0.91019011],[-0.11781736  0.45923198],"[[-0.02656258 -0.55387982  0.14377213 -0.04951378]
 [ 1.40372925 -3.52110133  0.          0.        ]]"
8,[-0.88805699 -0.54501009],-1.46226,"[ 0.77731881  0.87986844  0.2323162  -0.79380319  1.24120194 -0.43496326
  0.42838383 -0.42260184 -0.34979944  0.09361741  0.        ]",-0.0484521458572,[-0.04835275  0.32984504],[-0.3383516 -0.4784731],"[[-0.00344988 -0.60535633  0.14377213 -0.04951378]
 [ 0.90919183 -1.63284435  0.          0.        ]]"
9,[-0.88805699 -0.54501009],-1.57733,"[ 0.777328    0.84211892  0.24009523 -0.86594043  1.24120142 -0.43496318
  0.35197581 -0.74375241 -0.38531977  0.03579007  0.        ]",-0.0467929229109,[ 0.5879277   1.61888123],[ 0.49081439  1.95624549],"[[  1.12950677e-03  -6.56692815e-01   1.43772132e-01  -4.95137824e-02]
 [ -4.46752452e-01  -3.49460306e+00   0.00000000e+00   0.00000000e+00]]"
10,[-0.88805699 -0.54501009],-1.45814,"[ 0.77720677  0.81926127  0.25813883 -0.90610712  1.2412009  -0.43496309
  0.4618166  -0.04890864 -0.40039731  0.02678326  0.        ]",-0.0458216876637,[-0.19586135 -0.44722009],[-0.72173045 -0.4529743 ],"[[ 0.01175169 -0.68616955  0.14377213 -0.04951378]
 [ 1.50249603  0.5335093   0.          0.        ]]"
11,[-0.88805699 -0.54501009],-1.55566,"[ 0.77718241  0.81337319  0.26002285 -0.9160704   1.24120038 -0.434963
  0.29927542 -0.35995375 -0.40546854  0.02013312  0.        ]",-0.0455930560459,[ 0.73389488  0.94432902],[ 0.40903589  1.37746526],"[[ 0.01286089 -0.69359117  0.14377213 -0.04951378]
 [-1.38197637 -1.26966545  0.          0.        ]]"
12,[-0.88805699 -0.54501009],-1.47853,"[ 0.7773259   0.82489042  0.2410957  -0.89643726  1.24119985 -0.43496292
  0.39192914  0.32731017 -0.40262975  0.00719385  0.        ]",-0.0461533476478,[ 0.13228419 -1.10515153],[ 0.0828851  -1.40360652],"[[  1.71854772e-03  -6.79010000e-01   1.43772132e-01  -4.95137824e-02]
 [  2.62267682e-01   2.71450456e+00   0.00000000e+00   0.00000000e+00]]"
13,[-0.88805699 -0.54501009],-1.53105,"[ 0.77723599  0.83577143  0.25552945 -0.87733787  1.24119933 -0.43496283
  0.41019165 -0.36500273 -0.38475826  0.05110622  0.        ]",-0.046482748677,[ 0.09874941  0.46402121],[ 0.71134644  0.24493788],"[[ 0.01021559 -0.66498806  0.14377213 -0.04951378]
 [ 0.5863574  -1.29893458  0.          0.        ]]"
14,[-0.88805699 -0.54501009],-1.4355,"[ 0.7751119   0.82334005  0.32317757 -0.89911296  1.24119881 -0.43496275
  0.56810424 -0.19343067 -0.36779677  0.14638173  0.        ]",-0.0461065511689,[-0.98539829 -0.44193804],[-1.44898169  0.22721451],"[[ 0.05005935 -0.68098742  0.14377213 -0.04951378]
 [ 3.38869224 -0.30430669  0.          0.        ]]"
15,[-0.88805699 -0.54501009],-1.51092,"[ 0.77202268  0.82570142  0.36963292 -0.89503059  1.24119828 -0.43496266
  0.34137264 -0.03696134 -0.34721898  0.23215543  0.        ]",-0.0469405700598,[-0.07665813 -0.05138116],[-0.29088605  0.12590558],"[[ 0.07746321 -0.67797248  0.14377213 -0.04951378]
 [-0.63490787  0.60276851  0.          0.        ]]"
16,[-0.88805699 -0.54501009],-1.50332,"[ 0.77481129  0.83880671  0.32874783 -0.87190877  1.24119776 -0.43496258
  0.27722212  0.04704433 -0.35062742  0.18420474  0.        ]",-0.0470705276278,[ 0.33299246 -0.15690757],[-0.05136081 -0.51325753],"[[ 0.05334291 -0.66103095  0.14377213 -0.04951378]
 [-1.77332824  1.08976144  0.          0.        ]]"
17,[-0.88805699 -0.54501009],-1.52033,"[ 0.77709544  0.83971555  0.26568849 -0.87027444  1.24119724 -0.43496249
  0.26778821 -0.30723304 -0.37620125  0.07575967  0.        ]",-0.0466425100865,[ 0.7651639   0.79924256],[ 0.46356998  0.08046707],"[[ 0.01619669 -0.65984214  0.14377213 -0.04951378]
 [-1.94074235 -0.96403509  0.          0.        ]]"
18,[-0.88805699 -0.54501009],-1.51707,"[ 0.77731428  0.82744299  0.2316645  -0.89200203  1.24119672 -0.4349624
  0.37329117 -0.24908935 -0.40446771 -0.00455602  0.        ]",-0.0463291675413,[ 0.3658649   0.29452077],[ 0.5144868   0.01482251],"[[-0.00383319 -0.67574095  0.14377213 -0.04951378]
 [-0.06847615 -0.62696821  0.          0.        ]]"
19,[-0.88805699 -0.54501009],-1.48516,"[ 0.77712182  0.81814916  0.26405133 -0.90799469  1.24119619 -0.43496232
  0.48806435 -0.23694266 -0.39877229  0.03506035  0.        ]",-0.0457451462073,[-0.32020101 -0.0739342 ],[-0.00213366 -0.39551912],"[[ 0.01523286 -0.68757385  0.14377213 -0.04951378]
 [ 1.96830054 -0.55655237  0.          0.        ]]"
20,[-0.88805699 -0.54501009],-1.49899,"[ 0.77473578  0.79665796  0.33008088 -0.94355337  1.24119567 -0.43496223
  0.48542455 -0.50518651 -0.39066658  0.11251547  0.        ]",-0.0447596577891,[-0.3936263   0.81797296],[-0.40800304  0.86729584],"[[ 0.05412888 -0.7143072   0.14377213 -0.04951378]
 [ 1.92145618 -2.11159994  0.          0.        ]]"
21,[-0.88805699 -0.54501009],-1.50431,"[ 0.77222398  0.7906295   0.36710261 -0.95318932  1.24119515 -0.43496215
  0.39225734  0.09450492 -0.38101433  0.166516    0.        ]",-0.0447274758548,[-0.23045595 -0.42285365],[-0.44871394  0.22336996],"[[ 0.07596943 -0.72165835  0.14377213 -0.04951378]
 [ 0.26810458  1.36489451  0.          0.        ]]"
