timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-2.49784,"[ 0.99624209  1.34462359 -0.31604678  1.48295357 -0.85134937  1.0898634
 -0.2565089   0.30021628  2.72985024 -2.05781232  0.        ]",[ 2.09368427 -0.74420873],-0.341473168648,[ 2.87783456  0.13853128],[-0.5434444  -0.58521205],"[[-0.08984108 -0.00979248 -0.09908484  0.1272466 ]
 [ 0.00163188  0.00407085  0.          0.        ]]"
1,-2.34972,"[ 1.00044737  1.34365708 -0.25598702  1.40203563 -0.85134829  1.08986165
  0.27603544 -0.20128319  2.7339841  -1.9809762   0.        ]",[ 2.47449599  0.49639449],-0.339662702418,[ 2.48890281  0.08157241],[-0.5434444  -0.58521205],"[[-0.05010677 -0.03929312 -0.09908484  0.1272466 ]
 [ 3.95862082 -2.94430308  0.          0.        ]]"
2,-2.21586,"[ 0.99885054  1.34064578 -0.07718284  1.29632506 -0.85134721  1.0898599
  0.79778785  0.14270016  2.73752124 -1.67065652  0.        ]",[ 3.56963933  0.39300046],-0.331907075006,[ 2.42229533  0.10360731],[-0.5434444  -0.58521205],"[[ 0.06796273 -0.0778887  -0.09908484  0.1272466 ]
 [ 7.8354249  -0.92198622  0.          0.        ]]"
3,-2.20152,"[ 0.95035161  1.340363    0.21357367  1.28905245 -0.85134613  1.08985815
  1.30924199  0.41024659  2.68324796 -1.06266431  0.        ]",[ 1.84066128  0.27256722],-0.31452869496,[ 2.12332249 -0.10302609],[-0.5434444  -0.58521205],"[[  0.26280072  -0.08054674  -0.09908484   0.1272466 ]
 [ 11.63572052   0.65094984   0.           0.        ]]"
4,-2.10806,"[ 0.79236571  1.34252625  0.58974192  1.35393288 -0.85134505  1.08985639
  1.81060127  0.59139244  2.45790825 -0.22668883  0.        ]",[ 1.60218357 -1.64684693],-0.284185400007,[ 1.54492474 -0.47520363],[-0.5434444  -0.58521205],"[[  0.53289229  -0.05684253  -0.09908484   0.1272466 ]
 [ 15.36103287   1.71592842   0.           0.        ]]"
5,-1.97521,"[ 0.45662584  1.34206549  0.98471478  1.33814414 -0.85134397  1.08985464
  2.3023032  -0.08811735  1.97754367  0.61453003  0.        ]",[-0.21553146 -0.45997985],-0.240392158919,[ 0.43809241 -0.67708325],[-0.5434444  -0.58521205],"[[  0.87677057  -0.06260628  -0.09908484   0.1272466 ]
 [ 19.01463079  -2.27897814   0.           0.        ]]"
6,-1.64896,"[-0.02695295  1.33411711  1.25540744  1.16500519 -0.85134289  1.08985289
  2.13702868 -0.39013681  1.33532534  1.17130428  0.        ]",[-0.09992009 -1.10068584],-0.191084606902,[-0.1305905  -0.82388532],[-0.5434444  -0.58521205],"[[  1.24474239  -0.12600115  -0.09908484   0.1272466 ]
 [ 17.78664385  -4.05458142   0.           0.        ]]"
7,-1.36651,"[-0.54562746  1.30458638  1.33486904  0.84160494 -0.85134182  1.08985114
  2.03669508 -1.04989604  0.70945522  1.37614003  0.        ]",[-1.05536297  0.89040144],-0.145278311241,[-0.63642865 -0.53957433],[-0.5434444  -0.58521205],"[[  1.59299567  -0.24601021  -0.09908484   0.1272466 ]
 [ 17.04118271  -7.93337635   0.           0.        ]]"
8,-0.981596,"[-0.98828829  1.25567566  1.2583441   0.52349015 -0.85134074  1.08984939
  1.45876514 -0.42316655  0.18624187  1.33935828  0.        ]",[-0.43044802 -0.87162748],-0.106426757936,[-1.14907956 -0.77298594],[-0.5434444  -0.58521205],"[[  1.89073417  -0.36770875  -0.09908484   0.1272466 ]
 [ 12.74694963  -4.24877776   0.           0.        ]]"
9,-0.735285,"[-1.31034487  1.19022959  1.10756609  0.227112   -0.85133966  1.08984764
  1.19584662 -0.9957374  -0.18228433  1.18689446  0.        ]",[-1.82745444  0.63638674],-0.0778290246324,[-0.93605191 -0.15699749],[-0.5434444  -0.58521205],"[[  2.12607237  -0.48645844  -0.09908484   0.1272466 ]
 [ 10.79337072  -7.6149814    0.           0.        ]]"
