timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.98942811  1.33296371 -0.17482614  1.0789797   1.30939057 -0.73070455
 -0.19360356  0.28970054  0.04507479  1.09228374  0.        ]",-1.32871,[-1.09115388 -1.52826105],-0.0933893623387,[-1.47856414 -1.71328187],[-0.52635711 -0.58011121],"[[-0.01835236 -0.08047584  0.15053109 -0.08514928]
 [ 0.00448598  0.00479075  0.          0.        ]]"
1,"[ 0.98712294  1.32774632 -0.23461959  0.98033039  1.30938817 -0.73070379
 -0.73885817 -0.36882511  0.03165486  0.92827974  0.        ]",-1.05881,[-0.0740701  -0.96586725],-0.083063665405,[-0.30029398 -0.60496616],[-0.52635711 -0.58011121],"[[-0.05793871 -0.12009339  0.15053109 -0.08514928]
 [-3.94996552 -3.95335916  0.          0.        ]]"
2,"[ 0.97494589  1.30053781 -0.35664916  0.69317505  1.30938578 -0.73070304
 -0.76829713 -0.99206639 -0.03520763  0.55051208  0.        ]",-0.652787,[ 1.67564386  0.18580911],-0.059489218175,[ 0.67437595  0.30360329],[-0.52635711 -0.58011121],"[[-0.13908    -0.23674617  0.15053109 -0.08514928]
 [-4.16347682 -7.69943213  0.          0.        ]]"
3,"[ 0.96451987  1.2425168  -0.42044716  0.34757868  1.30938338 -0.73070228
 -0.2115389  -0.84455249 -0.13470797  0.25550092  0.        ]",-0.522497,[-0.18410066  0.45753832],-0.0416349435146,[ 0.11819119  0.06918904],[-0.52635711 -0.58011121],"[[-0.1818366  -0.38183891  0.15053109 -0.08514928]
 [-0.12560455 -6.81278837  0.          0.        ]]"
4,"[ 0.96174123  1.17715323 -0.43500714  0.08345059  1.30938099 -0.73070152
 -0.31172701 -0.52065695 -0.21748773  0.09611192  0.        ]",-0.471804,[ 0.48523332  0.43342605],-0.0326984403075,[ 0.38418603  0.17332962],[-0.52635711 -0.58011121],"[[-0.19163907 -0.49856168  0.15053109 -0.08514928]
 [-0.85221723 -4.86597921  0.          0.        ]]"
5,"[ 0.96242702  1.12383141 -0.4314769  -0.08658111  1.30937859 -0.73070077
 -0.04480796 -0.21921758 -0.27283709  0.01699926  0.        ]",-0.481909,[ 0.77477453 -0.50692493],-0.0286841141947,[-0.01792589 -0.07345276],[-0.52635711 -0.58011121],"[[-0.18926096 -0.57770259  0.15053109 -0.08514928]
 [ 1.08360299 -3.05414462  0.          0.        ]]"
6,"[ 0.97536859  1.06242108 -0.35359857 -0.25099834  1.30937619 -0.73070001
  0.37496857 -0.54327546 -0.28624902  0.05524934  0.        ]",-0.452691,[ 0.46164318 -0.22078189],-0.0264929937385,[-0.55914074  0.08297144],[-0.52635711 -0.58011121],"[[-0.13704352 -0.65832844  0.15053109 -0.08514928]
 [ 4.1280167  -5.00193283  0.          0.        ]]"
7,"[ 0.98863307  0.96981313 -0.20296291 -0.45514915  1.3093738  -0.73069926
  0.61558573 -0.67232836 -0.28368701  0.17744375  0.        ]",-0.429575,[-1.36830728  0.75673898],-0.0258936785432,[-1.07203531  0.14502299],[-0.52635711 -0.58011121],"[[-0.03697455 -0.76615001  0.15053109 -0.08514928]
 [ 5.87308561 -5.77762306  0.          0.        ]]"
8,"[ 0.98847739  0.88965654 -0.08721152 -0.60088199  1.3093714  -0.7306985
  0.05390764 -0.154558   -0.28988137  0.26965647  0.        ]",-0.490121,[-1.45778339  0.22008708],-0.026856349851,[-0.85159326  0.01932885],[-0.52635711 -0.58011121],"[[ 0.03961633 -0.85047734  0.15053109 -0.08514928]
 [ 1.79954328 -2.66551081  0.          0.        ]]"
9,"[  9.88709230e-01   8.45322068e-01  -9.33533763e-02  -6.71714513e-01
   1.30936901e+00  -7.30697747e-01  -4.96581468e-01  -5.85245522e-04
  -3.28635656e-01   2.18067532e-01   0.00000000e+00]",-0.435672,[ 0.02077326  1.08528527],-0.0219418571363,[ 0.04431959  0.36718088],[-0.52635711 -0.58011121],"[[ 0.03555044 -0.89450194  0.15053109 -0.08514928]
 [-2.19285206 -1.7400421   0.          0.        ]]"
