timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.01713247  1.21888617  0.02465554  1.37062075  0.33488523 -0.89200354
 -0.16384951  0.28447987  1.37642205  2.01242287  0.        ]",-3.19563,[-2.13289578 -2.42201544],-0.205929101113,[-1.90346217 -2.6113236 ],[-0.75090951 -0.88723665],"[[ 0.09069101 -0.05872436  0.03842227 -0.10200493]
 [-0.00472588  0.00464306  0.          0.        ]]"
1,"[ 1.02136227  1.21449811 -0.0344621   1.26663926  0.3348851  -0.89200294
 -0.80581854 -0.45965269  1.37884976  1.80626761  0.        ]",-3.08493,[-1.74963563 -1.38321322],-0.199330867511,[-1.27076983 -1.67556083],[-0.75090951 -0.88723665],"[[ 0.05092229 -0.09834483  0.03842227 -0.10200493]
 [-3.95898909 -3.95350293  0.          0.        ]]"
2,"[ 1.01992194  1.18841557 -0.21032233  0.96000318  0.33488496 -0.89200235
 -1.43510895 -1.18905502  1.32932695  1.1995284   0.        ]",-2.84062,[-0.47942809 -0.66760012],-0.179000029863,[-0.24353909 -1.05592573],[-0.75090951 -0.88723665],"[[-0.06714792 -0.21634218  0.03842227 -0.10200493]
 [-7.83516377 -7.83330021  0.          0.        ]]"
3,"[ 0.97973708  1.1110146  -0.46649534  0.50484577  0.33488482 -0.89200176
 -1.71775563 -1.65671864  1.10220661  0.35404001  0.        ]",-2.477,[ 1.37050632 -0.39945408],-0.147487880885,[ 1.13909996 -0.46092695],[-0.75090951 -0.88723665],"[[ -0.24131846  -0.39796699   0.03842227  -0.10200493]
 [ -9.57616476 -10.32088012   0.           0.        ]]"
4,"[  9.09676268e-01   9.60079250e-01  -6.78665261e-01  -7.33498309e-04
   3.34884684e-01  -8.92001167e-01  -1.04475230e+00  -1.91591476e+00
   7.11805252e-01  -3.23828610e-01   0.00000000e+00]",-1.99716,[ 0.22280023 -1.35940483],-0.116312083909,[ 1.07093871 -0.41760898],[-0.75090951 -0.88723665],"[[ -0.39124954  -0.6182178    0.03842227  -0.10200493]
 [ -5.43074719 -11.69959877   0.           0.        ]]"
5,"[ 0.84641091  0.69868018 -0.8116473  -0.52002291  0.33488455 -0.89200057
 -0.88415877 -2.61681166  0.23665051 -0.71033344  0.        ]",-1.84165,[ 0.11105716 -0.54818135],-0.0884069865119,[ 1.20792532  0.24447475],[-0.75090951 -0.88723665],"[[ -0.48993851  -0.88961624   0.03842227  -0.10200493]
 [ -4.44156095 -15.42781315   0.           0.        ]]"
6,"[ 0.78272931  0.29904663 -0.91894434 -0.94439926  0.33488441 -0.89199998
 -0.79871474 -2.96746056 -0.32086315 -0.81695015  0.        ]",-1.72747,[ 1.68854033  0.97612701],-0.0634101460174,[ 1.4276073   1.09070861],[-0.75090951 -0.88723665],"[[ -0.57348828  -1.21688686   0.03842227  -0.10200493]
 [ -3.91526405 -17.29302766   0.           0.        ]]"
7,"[ 0.75095212 -0.11920578 -0.96573642 -1.10423594  0.33488427 -0.89199939
 -0.14402719 -2.17662121 -0.73741958 -0.63688886  0.        ]",-1.56646,[ 0.07885903  1.65253927],-0.0508115006763,[ 0.81411558  1.37639117],[-0.75090951 -0.88723665],"[[ -0.61133633  -1.5205417    0.03842227  -0.10200493]
 [  0.11733977 -13.08643986   0.           0.        ]]"
8,"[ 0.75563049 -0.4277078  -0.95908133 -1.06998676  0.33488413 -0.8919988
 -0.09392359 -1.38352333 -0.94322881 -0.39325866  0.        ]",-1.49883,[ 0.76838821  1.75761283],-0.0471809267121,[ 0.97630131  1.59207714],[-0.75090951 -0.88723665],"[[-0.6058942  -1.73994369  0.03842227 -0.10200493]
 [ 0.42595688 -8.86781606  0.          0.        ]]"
9,"[ 0.78803339 -0.6139707  -0.91074276 -0.98603696  0.33488399 -0.89199821
  0.39836055 -0.60618374 -1.00102035 -0.21358511  0.        ]",-1.40919,[ 0.7991528   0.89240645],-0.0443908905797,[ 0.066971    1.11291552],[-0.75090951 -0.88723665],"[[-0.56695249 -1.87581435  0.03842227 -0.10200493]
 [ 3.45822214 -4.73300574  0.          0.        ]]"
