timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.9772216   1.39739725 -0.1053509   1.20650928  0.96094039  1.02076249
 -0.20743235  0.29018765  0.42478283 -1.17261597  0.        ]",-1.28018,[ 1.87794467 -0.37048098],-0.148352256678,[ 2.39832425 -0.66760528],[-0.46577454 -0.46717492],"[[ 0.02791711  0.0072244   0.10987832  0.11622542]
 [-0.00309093 -0.0007338   0.          0.        ]]"
1,"[ 0.97432595  1.39739097 -0.04520277  1.16992103  0.96093885  1.02076075
  0.30449402  0.05573808  0.42175196 -1.09155972  0.        ]",-1.17401,[ 2.46204141 -0.41452139],-0.143259602932,[ 1.79460144 -0.70468092],[-0.46577454 -0.46717492],"[[ 0.06755212 -0.00752398  0.10987832  0.11622542]
 [ 3.95341719 -1.46920555  0.          0.        ]]"
2,"[ 0.95155119  1.39560595  0.13251813  1.05692213  0.96093731  1.02075902
  0.80630211 -0.20190517  0.40035852 -0.85382083  0.        ]",-1.01579,[ 1.61158041 -0.95023923],-0.1281664154,[ 0.93609381 -0.74205816],[-0.46577454 -0.46717492],"[[ 0.18553271 -0.0530994   0.10987832  0.11622542]
 [ 7.83172807 -3.08295065  0.          0.        ]]"
3,"[ 0.86846498  1.38256519  0.41625601  0.81318417  0.96093577  1.02075728
  1.29829216 -0.79310074  0.33082504 -0.50178367  0.        ]",-0.753691,[-0.9585469  -0.33920765],-0.105162255666,[-0.14334042 -0.4747079 ],[-0.46577454 -0.46717492],"[[  0.38031824  -0.15191148   0.10987832   0.11622542]
 [ 11.6341714   -6.78589765   0.           0.        ]]"
4,"[ 0.733671    1.33990272  0.67553411  0.45610001  0.96093423  1.02075555
  0.77795309 -0.98582793  0.23563723 -0.2375247   0.        ]",-0.562797,[ 1.13400955 -1.24803964],-0.0863955697368,[ 0.08192311 -0.23107836],[-0.46577454 -0.46717492],"[[ 0.57265274 -0.29974106  0.10987832  0.11622542]
 [ 7.61265643 -7.99304984  0.          0.        ]]"
5,"[ 0.55343954  1.24088849  0.90238166  0.00416261  0.96093269  1.02075381
  1.27053252 -1.59292977  0.12593206 -0.06641775  0.        ]",-0.508213,[-0.31041016  0.11553678],-0.0709338407951,[-0.74074346  0.2182896 ],[-0.46577454 -0.46717492],"[[  0.76310223  -0.49775524   0.10987832   0.11622542]
 [ 11.4196548  -11.79564676   0.           0.        ]]"
6,"[ 0.30382777  1.07151226  1.11145348 -0.45966039  0.96093115  1.02075208
  1.08241335 -1.48247672 -0.02492681  0.08077152  0.        ]",-0.483252,[-1.21630596  0.19317353],-0.0530090661315,[-1.04678667  0.52466756],[-0.46577454 -0.46717492],"[[  0.97690805  -0.7267271    0.10987832   0.11622542]
 [  9.96576084 -11.10385062   0.           0.        ]]"
7,"[ 0.09409934  0.86939764  1.22931309 -0.81312595  0.96092962  1.02075034
  0.54496821 -1.32501591 -0.14248016  0.10389184  0.        ]",-0.482169,[-1.062079 -0.050155],-0.0404945583621,[-0.86374998  0.71693152],[-0.46577454 -0.46717492],"[[  1.13454847  -0.93890832   0.10987832   0.11622542]
 [  5.81203403 -10.11761545   0.           0.        ]]"
8,"[-0.01220328  0.64469683  1.27375242 -1.06673387  0.96092808  1.02074861
  0.01812243 -1.32454756 -0.19097672 -0.02824202  0.        ]",-0.460552,[ 0.09493312  1.10456588],-0.0382777010824,[-0.20437969  1.02104509],[-0.46577454 -0.46717492],"[[  1.2099365   -1.14123091   0.10987832   0.11622542]
 [  1.74022407 -10.11470095   0.           0.        ]]"
9,"[-0.06730132  0.45030057  1.29320795 -1.20289287  0.96092654  1.02074687
  0.06212292 -0.66041791 -0.22418566 -0.17571735  0.        ]",-0.458753,[ 0.08987656  0.80544586],-0.0418031904582,[-0.34292078  0.89158338],[-0.46577454 -0.46717492],"[[ 1.24815229 -1.30178863  0.10987832  0.11622542]
 [ 2.08028888 -5.95493137  0.          0.        ]]"
10,"[-0.13272042  0.34232389  1.31331543 -1.25064539  0.960925    1.02074514
  0.10272202 -0.13242482 -0.26796576 -0.21437987  0.        ]",-0.463682,[-1.19303795  0.55343254],-0.0407559723404,[-0.56170893  0.58888996],[-0.46577454 -0.46717492],"[[ 1.29290602 -1.38770625  0.10987832  0.11622542]
 [ 2.39406558 -2.64785015  0.          0.        ]]"
11,"[-0.14405921  0.3036163   1.31647711 -1.26325746  0.96092346  1.0207434
 -0.41549897  0.22594074 -0.27753222 -0.24195358  0.        ]",-0.481639,[ 0.84801063 -0.84117298],-0.041850239109,[ 0.36206499  0.56543392],[-0.46577454 -0.46717492],"[[ 1.30060258 -1.41814215  0.10987832  0.11622542]
 [-1.61107966 -0.40322994  0.          0.        ]]"
12,"[-0.14667809  0.25066827  1.3171918  -1.2767688   0.96092192  1.02074167
  0.02292437 -0.3046568  -0.28479782 -0.29371962  0.        ]",-0.462607,[-0.40423049  0.41983068],-0.044836364631,[-0.36253795  0.83874279],[-0.46577454 -0.46717492],"[[ 1.30237794 -1.4595515   0.10987832  0.11622542]
 [ 1.77733315 -3.72662126  0.          0.        ]]"
13,"[-0.17499264  0.17726081  1.32463239 -1.2884659   0.96092038  1.02073993
 -0.18865644 -0.02742292 -0.30933588 -0.33759346  0.        ]",-0.445451,[ 0.22639505  1.15042656],-0.0465570371337,[-0.01878564  0.78496271],[-0.46577454 -0.46717492],"[[ 1.32151787 -1.5166615   0.10987832  0.11622542]
 [ 0.14210302 -1.99017254  0.          0.        ]]"
14,"[-0.19251238  0.17767038  1.32894836 -1.28842022  0.96091885  1.0207382
 -0.07318753  0.61101249 -0.3178222  -0.31832227  0.        ]",-0.459432,[-0.2133614   0.06308156],-0.044732531033,[-0.40768674  0.20217617],[-0.46577454 -0.46717492],"[[ 1.33331382 -1.51634341  0.10987832  0.11622542]
 [ 1.0345178   2.00865591  0.          0.        ]]"
15,"[-0.21040509  0.2320519   1.33313238 -1.28049663  0.96091731  1.02073646
 -0.18509743  0.6445672  -0.32012324 -0.24347979  0.        ]",-0.448036,[-0.64125646  0.56711795],-0.0393207172212,[-0.28657401  0.14898317],[-0.46577454 -0.46717492],"[[ 1.34532623 -1.47406155  0.10987832  0.11622542]
 [ 0.16960826  2.21882961  0.          0.        ]]"
16,"[-0.17751493  0.31705754  1.32525859 -1.25912669  0.96091577  1.02073473
 -0.51393997  0.9961498  -0.29479395 -0.19097253  0.        ]",-0.454339,[-0.06637766  0.0222905 ],-0.0374445514067,[ 0.27750871 -0.10051378],[-0.46577454 -0.46717492],"[[ 1.32321861 -1.40759028  0.10987832  0.11622542]
 [-2.37189063  4.42096644  0.          0.        ]]"
17,"[-0.1044113   0.42864303  1.30498291 -1.21396461  0.96091423  1.02073299
 -0.5418528   0.99627712 -0.24679259 -0.15551193  0.        ]",-0.412133,[ 1.29927779  1.18550486],-0.0389119575825,[ 0.39216524 -0.18268266],[-0.46577454 -0.46717492],"[[ 1.27361627 -1.31916286  0.10987832  0.11622542]
 [-2.58762225  4.42177426  0.          0.        ]]"
18,"[-0.08754665  0.58462483  1.29974641 -1.11612826  0.96091269  1.02073126
 -0.02336297  1.61431683 -0.23779781 -0.00560292  0.        ]",-0.494395,[-1.05082215 -0.94834924],-0.0330103627142,[-0.86097151 -1.08872306],[-0.46577454 -0.46717492],"[[ 1.26207043 -1.19188716  0.10987832  0.11622542]
 [ 1.41957677  8.29287679  0.          0.        ]]"
19,"[-0.07069053  0.73206256  1.29429938 -0.9818866   0.96091115  1.02072952
 -0.538856    0.98875355 -0.24265799  0.14203446  0.        ]",-0.468047,[-0.70506242 -0.19511825],-0.0297442070748,[ 0.14581679 -0.54543698],[-0.46577454 -0.46717492],"[[ 1.25048778 -1.06534227  0.10987832  0.11622542]
 [-2.56446255  4.37468598  0.          0.        ]]"
20,"[ 0.04210941  0.81905653  1.25218281 -0.88048505  0.96090961  1.02072779
 -0.89321291  0.85171008 -0.17268007  0.10857727  0.        ]",-0.458954,[ 0.78210045 -0.15312254],-0.0372908673649,[ 1.10227728 -0.30287537],[-0.46577454 -0.46717492],"[[ 1.17172017 -0.98646094  0.10987832  0.11622542]
 [-5.30315085  3.51632505  0.          0.        ]]"
21,"[ 0.14468047  0.88593334  1.20472852 -0.78942109  0.96090808  1.02072605
 -0.4792143   0.74365162 -0.10705971  0.05702548  0.        ]",-0.491727,[ 0.01839307 -0.77395294],-0.0447398796609,[ 0.46171078 -0.49057019],[-0.46577454 -0.46717492],"[[ 1.09776014 -0.92292498  0.10987832  0.11622542]
 [-2.10353114  2.83950958  0.          0.        ]]"
22,"[ 0.19981816  0.91188291  1.1752816  -0.7506391   0.96090654  1.02072432
 -0.46428909  0.245402   -0.07018045  0.01330103  0.        ]",-0.469818,[-0.45491009  0.34799617],-0.0492935739465,[ 0.69949937 -0.06709661],[-0.46577454 -0.46717492],"[[ 1.05684687 -0.89744651  0.10987832  0.11622542]
 [-1.98818409 -0.28126203  0.          0.        ]]"
