timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.9540563   1.64028249 -0.12480049  0.66122275  0.55287291  1.40653365
 -0.23912116  0.30975729  0.77511683 -1.47633509  0.        ]",-1.04898,[ 2.05599786  0.70957565],-0.221268588244,[ 2.3864522  0.1427926],[-0.34772122 -0.30790526],"[[ 0.03455754 -0.09771877  0.06164633  0.16093121]
 [-0.00343102  0.00113471  0.          0.        ]]"
1,"[ 0.9507674   1.64326428 -0.06358848  0.73132392  0.55287184  1.40652744
  0.18214522  0.7167347   0.77513991 -1.36595762  0.        ]",-1.04679,[ 1.82664623  0.53140467],-0.212933042932,[ 2.05779767 -0.17800595],[-0.34772122 -0.30790526],"[[ 0.07416923 -0.06952179  0.06164633  0.16093121]
 [ 3.95143228  2.80921033  0.          0.        ]]"
2,"[ 0.92687734  1.64629011  0.11720571  0.92260339  0.55287077  1.40652122
  0.59510912  1.01341098  0.74475483 -1.04708418  0.        ]",-1.10345,[ 0.95866481 -0.89648886],-0.187747789472,[ 1.45545554 -0.62103736],[-0.34772122 -0.30790526],"[[  1.92096144e-01   7.20088058e-03   6.16463315e-02   1.60931214e-01]
 [  7.82835463e+00   4.85623814e+00   0.00000000e+00   0.00000000e+00]]"
3,"[ 0.84308985  1.64340215  0.40322371  1.07349294  0.5528697   1.40651501
  0.98272277  0.48480064  0.62776215 -0.61313989  0.        ]",-0.921557,[ 0.23680877 -1.03620187],-0.150142550724,[ 0.68562102 -0.68313146],[-0.34772122 -0.30790526],"[[  0.3851739    0.06773111   0.06164633   0.16093121]
 [ 11.46730067   1.20893884   0.           0.        ]]"
4,"[ 0.66929799  1.64459242  0.7230748   1.03415893  0.55286863  1.4065088
  1.05850853 -0.09258441  0.43019063 -0.21486753  0.        ]",-0.424687,[-0.00343573 -1.7043402 ],-0.110978591506,[ 0.11821389 -0.58950001],[-0.34772122 -0.30790526],"[[  0.62165877   0.05193872   0.06164633   0.16093121]
 [ 12.17880899  -2.77489875   0.           0.        ]]"
5,"[ 0.42114291  1.64513645  0.99734643  0.79803811  0.55286756  1.40650259
  1.03155922 -0.65847904  0.20937907  0.070888    0.        ]",-0.224836,[-0.73869331 -0.71493936],-0.0785703971004,[-0.3017754  -0.38193065],[-0.34772122 -0.30790526],"[[  0.86269682  -0.04273507   0.06164633   0.16093121]
 [ 11.92583837  -6.67945782   0.           0.        ]]"
6,"[ 0.16178025  1.62011084  1.17901001  0.40067042  0.55286649  1.40649638
  0.69527888 -1.04940948  0.0405478   0.21720014  0.        ]",-0.191435,[ 0.21040891 -0.21060109],-0.0586185102731,[-0.38745031 -0.1556851 ],[-0.34772122 -0.30790526],"[[ 1.0695386  -0.20338768  0.06164633  0.16093121]
 [ 8.76885023 -9.37681275  0.          0.        ]]"
7,"[-0.09269112  1.54729802  1.29119277 -0.06105522  0.55286542  1.40649017
  0.76550219 -1.1433788  -0.08665852  0.27895918  0.        ]",-0.192692,[-0.47885175 -0.66039455],-0.0452920982441,[-0.71407497 -0.03236556],[-0.34772122 -0.30790526],"[[  1.25153015  -0.39742965   0.06164633   0.16093121]
 [  9.42812363 -10.02520713   0.           0.        ]]"
8,"[-0.34138955  1.40830513  1.35165395 -0.54944825  0.55286435  1.40648396
  0.543954   -1.49345767 -0.18154332  0.27560924  0.        ]",-0.203605,[-0.64966238 -1.02876113],-0.0345703824739,[-0.7499373   0.19510786],[-0.34772122 -0.30790526],"[[  1.41922495  -0.62216933   0.06164633   0.16093121]
 [  7.34824014 -12.44072364   0.           0.        ]]"
9,"[-0.52332823  1.15751986  1.36860784 -1.0624579   0.55286328  1.40647775
  0.25480137 -2.03147157 -0.18113561  0.15254366  0.        ]",-0.14498,[ 0.06010537  1.13512372],-0.0306186234236,[-0.6834802   0.41682237],[-0.34772122 -0.30790526],"[[  1.53895524  -0.9082301    0.06164633   0.16093121]
 [  4.63368337 -16.15301455   0.           0.        ]]"
