timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.97046319  1.41141834 -0.09882291  1.24890267  1.43768248  0.72574151
 -0.20628952  0.295225   -0.09866834 -0.70890888  0.        ]",-0.706438,[ 1.19470026 -0.7141517 ],-0.0843774443991,[ 1.36824024 -0.98310471],[-0.46542361 -0.46312511],"[[ 0.04007542  0.02864873  0.16448811  0.08282763]
 [ 0.00470122  0.00211413  0.          0.        ]]"
1,"[ 0.96680421  1.41194444 -0.03821748  1.17886787  1.43767878  0.72574058
  0.30284531 -0.15561498 -0.10178485 -0.64638299  0.        ]",-0.755298,[ 1.23305708 -1.51030436],-0.0798255446776,[ 0.61801314 -0.87066269],[-0.46542361 -0.46312511],"[[  7.98700431e-02   3.03445311e-04   1.64488108e-01   8.28276253e-02]
 [  3.96158248e+00  -2.82720849e+00   0.00000000e+00   0.00000000e+00]]"
2,"[ 0.94172329  1.40606847  0.14021624  0.94268331  1.43767508  0.72573965
  0.80196409 -0.77787652 -0.11924885 -0.47706403  0.        ]",-0.489294,[-0.77589407  0.35349113],-0.0673782147416,[-0.30672729 -0.53453624],[-0.46542361 -0.46312511],"[[ 0.19802128 -0.09542207  0.16448811  0.08282763]
 [ 7.84062476 -6.73231831  0.          0.        ]]"
3,"[ 0.89264328  1.38230635  0.32359664  0.65171243  1.43767138  0.72573872
  0.38699885 -0.53340254 -0.14986384 -0.32641204  0.        ]",-0.464659,[ 0.73442055  0.23713881],-0.0558742021747,[ 0.00242872 -0.43734372],[-0.46542361 -0.46312511],"[[ 0.32247633 -0.21467491  0.16448811  0.08282763]
 [ 4.61561645 -5.19808635  0.          0.        ]]"
4,"[ 0.82364683  1.35111212  0.49410852  0.42855805  1.43766768  0.72573779
  0.74903569 -0.36754608 -0.19546391 -0.15745725  0.        ]",-0.449379,[-0.9589738   0.07303369],-0.0430019857593,[-0.96937418 -0.60720503],[-0.46542361 -0.46312511],"[[ 0.44301891 -0.30819353  0.16448811  0.08282763]
 [ 7.42928634 -4.15723033  0.          0.        ]]"
5,"[ 0.74387447  1.31617467  0.64024721  0.24415556  1.43766398  0.72573686
  0.24197715 -0.30810825 -0.24887676 -0.00421165  0.        ]",-0.449171,[-1.29649705  0.39823396],-0.0316848325543,[-0.4777478  -0.39632273],[-0.46542361 -0.46312511],"[[ 0.55206623 -0.38759544  0.16448811  0.08282763]
 [ 3.48855377 -3.78422098  0.          0.        ]]"
6,"[ 0.71968417  1.28526873  0.67806504  0.11066697  1.43766028  0.72573593
 -0.2760064  -0.04466872 -0.25910983 -0.01323357  0.        ]",-0.461183,[ 0.66476523 -0.11337617],-0.0309958201776,[ 0.28412837 -0.27621368],[-0.46542361 -0.46312511],"[[ 0.58144696 -0.44669211  0.16448811  0.08282763]
 [-0.53708568 -2.1309677   0.          0.        ]]"
7,"[ 0.70625734  1.25795836  0.6980447   0.00777212  1.43765658  0.725735
  0.06376584 -0.10963312 -0.26350766 -0.03807126  0.        ]",-0.475173,[-0.3535163  -0.87326097],-0.0315189537667,[-0.24666949 -0.28264922],[-0.46542361 -0.46312511],"[[ 0.59719933 -0.49340205  0.16448811  0.08282763]
 [ 2.10353685 -2.53866159  0.          0.        ]]"
8,"[ 0.68194607  1.2019763   0.73257716 -0.17267608  1.43765288  0.72573407
 -0.121387   -0.65252119 -0.2739574  -0.08615676  0.        ]",-0.434999,[-0.77669199  1.05799311],-0.0327342586624,[ 0.14737386  0.28405532],[-0.46542361 -0.46312511],"[[ 0.62483282 -0.57835851  0.16448811  0.08282763]
 [ 0.6645772  -5.94563476  0.          0.        ]]"
9,"[ 0.69761406  1.1437076   0.71055232 -0.32978545  1.43764918  0.72573314
 -0.51864211 -0.00264674 -0.26450317 -0.22932772  0.        ]",-0.468179,[ 1.2939011  -0.68423522],-0.0415817917775,[ 0.99698776  0.21664941],[-0.46542361 -0.46312511],"[[ 0.60714786 -0.65635148  0.16448811  0.08282763]
 [-2.42278611 -1.86726082  0.          0.        ]]"
