timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.01926212  1.22166011  0.02174106  1.31380554 -0.29119646 -1.41683086
 -0.15923067  0.28730235  2.21421866  2.98370951  0.        ]",-4.39121,[-2.43706069 -1.99280119],-0.298077596385,[-2.27477956 -2.17241669],[-0.75758421 -0.93689454],"[[  8.75782038e-02  -8.96812854e-02  -3.37163866e-02  -1.63645557e-01]
 [ -4.00791649e-03  -1.03190975e-04   0.00000000e+00   0.00000000e+00]]"
1,"[ 1.02331049  1.21548754 -0.03727116  1.2093781  -0.29119635 -1.41682939
 -0.81055732 -0.46507567  2.21311312  2.77400091  0.        ]",-4.42184,[-2.1026973  -0.79655267],-0.290850758943,[-1.72515666 -1.31939256],[-0.75758421 -0.93689454],"[[ 0.04782363 -0.12939575 -0.03371639 -0.16364556]
 [-3.95829444 -3.95815682  0.          0.        ]]"
2,"[ 1.02131893  1.18682693 -0.21282161  0.9234367  -0.29119624 -1.41682793
 -1.44907257 -1.04943143  2.15603056  2.17335966  0.        ]",-4.16712,[-1.75481085 -0.8999961 ],-0.268170028543,[-1.25936985 -0.8266663 ],[-0.75758421 -0.93689454],"[[-0.07023612 -0.23940273 -0.03371639 -0.16364556]
 [-7.83480751 -7.03229398  0.          0.        ]]"
3,"[ 0.97244758  1.10704916 -0.49818571  0.4855863  -0.29119613 -1.41682646
 -2.07499286 -1.70006635  1.89967148  1.26829272  0.        ]",-3.66955,[ 0.0805225   0.18525289],-0.226358181422,[-0.27067915 -0.13816285],[-0.75758421 -0.93689454],"[[ -0.2650584   -0.41439106  -0.03371639  -0.16364556]
 [-11.6348701  -10.45511547   0.           0.        ]]"
4,"[ 0.84625403  0.96767009 -0.81162155  0.0264542  -0.29119602 -1.41682499
 -1.98478092 -1.52126939  1.38928972  0.43732468  0.        ]",-2.93705,[-0.19986956  0.96270972],-0.172065633645,[ 0.73066592  0.20898749],[-0.75758421 -0.93689454],"[[ -0.49226074  -0.61405624  -0.03371639  -0.16364556]
 [-11.08720209  -9.51452284   0.           0.        ]]"
5,"[ 0.65156499  0.83207147 -1.08924257 -0.27982594 -0.29119591 -1.41682353
 -2.07922296 -0.76075551  0.78767925 -0.05662658  0.        ]",-2.20641,[ 1.07416263  1.2943931 ],-0.11904340291,[ 1.78546619  0.67545146],[-0.75758421 -0.93689454],"[[ -0.71975843  -0.76420496  -0.03371639  -0.16364556]
 [-11.66059577  -5.51366846   0.           0.        ]]"
6,"[ 0.44228729  0.76132359 -1.28401007 -0.40796388 -0.2911958  -1.41682206
 -1.38981042  0.01246279  0.30255216 -0.25235496  0.        ]",-1.84482,[ 1.28678282  1.02977606],-0.079594369341,[ 1.42598045  0.35700846],[-0.75758421 -0.93689454],"[[-0.91097677 -0.83366559 -0.03371639 -0.16364556]
 [-7.47508162 -1.44597791  0.          0.        ]]"
7,"[ 0.30824769  0.7729303  -1.37573096 -0.38813495 -0.2911957  -1.41682059
 -0.71398072  0.77034533  0.08172294 -0.31521207  0.        ]",-1.80624,[ 0.44154722 -0.38924333],-0.0629769570977,[ 0.73325497 -0.75672001],[-0.75758421 -0.93689454],"[[-1.01931138 -0.82258192 -0.03371639 -0.16364556]
 [-3.37202326  2.54103618  0.          0.        ]]"
8,"[ 0.24417032  0.80864165 -1.41256418 -0.32425396 -0.29119559 -1.41681913
 -0.41516162  0.46770352  0.01577169 -0.34893457  0.        ]",-1.79868,[ 0.43073428 -1.42375199],-0.0588367716421,[ 0.39930567 -0.69178647],[-0.75758421 -0.93689454],"[[-1.06854962 -0.78773535 -0.03371639 -0.16364556]
 [-1.55785027  0.94892202  0.          0.        ]]"
9,"[ 0.22597355  0.78732091 -1.4222786  -0.36292555 -0.29119548 -1.41681766
 -0.12917814 -0.2886436  -0.03961244 -0.34093323  0.        ]",-1.76463,[-0.30021461 -0.37023712],-0.0544383999961,[ 0.18834087 -0.12286475],[-0.75758421 -0.93689454],"[[-1.08228624 -0.80867887 -0.03371639 -0.16364556]
 [ 0.17839605 -3.03001138  0.          0.        ]]"
10,"[ 0.21480583  0.70783382 -1.42808319 -0.49391221 -0.29119537 -1.41681619
 -0.32534023 -0.5558352  -0.14568553 -0.29395502  0.        ]",-1.76991,[ 0.96989103  0.84656592],-0.0451411477714,[ 0.62969434  0.33154398],[-0.75758421 -0.93689454],"[[-1.09066706 -0.88338213 -0.03371639 -0.16364556]
 [-1.01253235 -4.43563329  0.          0.        ]]"
11,"[ 0.23931361  0.64697396 -1.41518408 -0.58186544 -0.29119526 -1.41681473
  0.30986027  0.09782176 -0.16817742 -0.25304528  0.        ]",-1.73103,[-0.74614326 -0.31867611],-0.0421090067802,[-0.29976082 -0.61363471],[-0.75758421 -0.93689454],"[[-1.07222577 -0.93759327 -0.03371639 -0.16364556]
 [ 2.8438589  -0.99692671  0.          0.        ]]"
12,"[ 0.27435617  0.60941818 -1.39572536 -0.6314435  -0.29119515 -1.41681326
 -0.18561136 -0.13811304 -0.14797774 -0.22702822  0.        ]",-1.75347,[ 0.2120815   0.31841551],-0.0427429401641,[ 0.46170941  0.08644484],[-0.75758421 -0.93689454],"[[-1.04552938 -0.96998493 -0.03371639 -0.16364556]
 [-0.16421771 -2.2381135   0.          0.        ]]"
13,"[ 0.28107261  0.57188345 -1.39185424 -0.67770417 -0.29119504 -1.41681179
 -0.04692315  0.10992537 -0.17280164 -0.20142542  0.        ]",-1.74443,[ 0.37894094 -0.6068503 ],-0.0400816573128,[ 0.18432385 -0.28536746],[-0.75758421 -0.93689454],"[[-1.04036583 -1.00165513 -0.03371639 -0.16364556]
 [ 0.67777701 -0.93325354  0.          0.        ]]"
14,"[ 0.31773733  0.52019909 -1.36990397 -0.73638738 -0.29119493 -1.41681033
  0.19794521 -0.34339985 -0.16072678 -0.16525475  0.        ]",-1.71672,[-0.36671821 -0.31253448],-0.0399349680449,[-0.01833368  0.04356374],[-0.75758421 -0.93689454],"[[-1.0118945  -1.0442479  -0.03371639 -0.16364556]
 [ 2.16440589 -3.31806893  0.          0.        ]]"
15,"[ 0.35354409  0.42211288 -1.34706987 -0.83315886 -0.29119483 -1.41680886
 -0.04806234 -0.56606912 -0.18815319 -0.09568946  0.        ]",-1.71585,[-0.34234218 -0.12742669],-0.0359574711807,[ 0.38994214  0.47520179],[-0.75758421 -0.93689454],"[[-0.98359133 -1.12236225 -0.03371639 -0.16364556]
 [ 0.67086171 -4.48946951  0.          0.        ]]"
16,"[ 0.35315926  0.29920982 -1.34732148 -0.930249   -0.29119472 -1.41680739
 -0.27337067 -0.64501708 -0.28733936 -0.00179229  0.        ]",-1.71825,[ 0.29521176  1.46797704],-0.0257963150657,[ 0.82243043  0.85937637],[-0.75758421 -0.93689454],"[[-0.9838982  -1.21631866 -0.03371639 -0.16364556]
 [-0.69701489 -4.90479365  0.          0.        ]]"
17,"[ 0.35053462  0.22191749 -1.34904113 -0.97883791 -0.29119461 -1.41680593
 -0.07885237  0.1260593  -0.34845014  0.06252527  0.        ]",-1.70599,[ 1.15067142  0.61737731],-0.0195520366882,[ 0.40104854  0.13920303],[-0.75758421 -0.93689454],"[[-0.98599008 -1.27371528 -0.03371639 -0.16364556]
 [ 0.48393026 -0.84838341  0.          0.        ]]"
18,"[ 0.41136972  0.2323972  -1.30707275 -0.97278447 -0.2911945  -1.41680446
  0.57126096  0.5937641  -0.24575988  0.04558074  0.        ]",-1.68896,[-0.18107269 -1.30675978],-0.0285506488889,[-0.8647331  -1.02157485],[-0.75758421 -0.93689454],"[[-0.93671069 -1.26599649 -0.03371639 -0.16364556]
 [ 4.43085118  1.61207703  0.          0.        ]]"
19,"[ 0.50608856  0.22180164 -1.23224921 -0.97890249 -0.29119439 -1.41680299
  0.43895671 -0.16492568 -0.09817061  0.05448101  0.        ]",-1.6787,[-1.49918999 -0.49258918],-0.0412225612166,[-0.54119688 -0.11889642],[-0.75758421 -0.93689454],"[[-0.85615291 -1.27380038 -0.03371639 -0.16364556]
 [ 3.62761678 -2.37916874  0.          0.        ]]"
20,"[ 0.54211823  0.13031522 -1.2003397  -1.02485948 -0.29119428 -1.41680153
 -0.22459254 -0.52655203 -0.10720366  0.1241294   0.        ]",-1.70291,[ 1.52572055  0.44340583],-0.0401212036333,[ 0.3891409   0.67162573],[-0.75758421 -0.93689454],"[[-0.82401915 -1.34047105 -0.03371639 -0.16364556]
 [-0.40087211 -4.28157996  0.          0.        ]]"
21,"[ 0.57669349  0.03668065 -1.16769126 -1.05958879 -0.29119417 -1.41680006
  0.42846523 -0.17685684 -0.11748447  0.19733384  0.        ]",-1.6614,[-0.03425726  0.15633501],-0.0393675294239,[-0.59015292  0.05193003],[-0.75758421 -0.93689454],"[[-0.79225709 -1.40764512 -0.03371639 -0.16364556]
 [ 3.56392103 -2.44193704  0.          0.        ]]"
22,"[ 0.64829336 -0.02261998 -1.09289664 -1.0753734  -0.29119406 -1.41679859
  0.39450469 -0.04998017 -0.03536011  0.25197618  0.        ]",-1.66622,[-0.63817894  0.05156826],-0.0468982840749,[-0.7292757  -0.04253329],[-0.75758421 -0.93689454],"[[-0.7230473  -1.449787   -0.03371639 -0.16364556]
 [ 3.35774352 -1.77447664  0.          0.        ]]"
23,"[ 0.68832138 -0.06939205 -1.04616894 -1.08449857 -0.29119396 -1.41679713
 -0.0324359  -0.00438879  0.00340288  0.29560961  0.        ]",-1.69322,[-0.1301381   0.06679367],-0.0506839253214,[-0.34390661  0.20947345],[-0.75758421 -0.93689454],"[[-0.68189871 -1.48286999 -0.03371639 -0.16364556]
 [ 0.76573738 -1.534634    0.          0.        ]]"
24,"[ 0.69774754 -0.10870817 -1.03457568 -1.08992617 -0.29119385 -1.41679566
 -0.11977177  0.05167947 -0.00782091  0.32675764  0.        ]",-1.70497,[-1.20323275  0.15744703],-0.0501118517946,[-0.25591147  0.27440554],[-0.75758421 -0.93689454],"[[-0.67190387 -1.51060324 -0.03371639 -0.16364556]
 [ 0.23551107 -1.23967564  0.          0.        ]]"
25,"[ 0.66418421 -0.13466759 -1.07480734 -1.09239366 -0.29119374 -1.41679419
 -0.77241939  0.17499167 -0.08706768  0.33983433  0.        ]",-1.72984,[ 0.99713761  1.52116749],-0.0435966399609,[ 0.89783698  0.75016296],[-0.75758421 -0.93689454],"[[-0.70694856 -1.5288881  -0.03371639 -0.16364556]
 [-3.72678844 -0.59096708  0.          0.        ]]"
26,"[ 0.63006414 -0.0948996  -1.11293609 -1.08825036 -0.29119363 -1.41679273
 -0.11039956  0.9297533  -0.11913112  0.30447784  0.        ]",-1.71371,[-0.58284009  0.26847113],-0.0403251011577,[-0.3180162  -0.65139025],[-0.75758421 -0.93689454],"[[-0.74115833 -1.50086925 -0.03371639 -0.16364556]
 [ 0.29240745  3.37960757  0.          0.        ]]"
27,"[ 0.61225543  0.01472492 -1.13183162 -1.0659822  -0.29119352 -1.41679126
 -0.49130996  1.1191913  -0.07193154  0.21801923  0.        ]",-1.75258,[ 0.51102431 -0.77684846],-0.0434602432064,[ 0.23143739 -0.66186064],[-0.75758421 -0.93689454],"[[-0.7585129  -1.42327816 -0.03371639 -0.16364556]
 [-2.02014253  4.37618782  0.          0.        ]]"
28,"[ 0.59163593  0.09280549 -1.15291253 -1.04022925 -0.29119341 -1.41678979
 -0.15152103  0.51792719 -0.04999231  0.15794672  0.        ]",-1.72329,[-0.89105184 -0.42521031],-0.0451331243232,[-0.13919932 -0.34102437],[-0.75758421 -0.93689454],"[[-0.77821805 -1.36749043 -0.03371639 -0.16364556]
 [ 0.04275239  1.21312117  0.          0.        ]]"
29,"[ 0.55450676  0.10273438 -1.18886919 -1.03635065 -0.2911933  -1.41678833
 -0.73239975  0.19346529 -0.10674897  0.14566631  0.        ]",-1.74196,[ 0.54311141  1.28431295],-0.0401522907911,[ 0.98444134  0.49999839],[-0.75758421 -0.93689454],"[[-0.81274624 -1.36035391 -0.03371639 -0.16364556]
 [-3.48382609 -0.49377358  0.          0.        ]]"
30,"[ 0.50150171  0.14422689 -1.23615315 -1.01864383 -0.29119319 -1.41678686
 -0.36718018  0.94790984 -0.16502433  0.11141418  0.        ]",-1.74537,[ 0.12029476 -0.78484548],-0.0350896031368,[ 0.28716934 -0.62547868],[-0.75758421 -0.93689454],"[[-0.860176   -1.33040798 -0.03371639 -0.16364556]
 [-1.26654068  3.47513105  0.          0.        ]]"
31,"[ 0.47813771  0.19593293 -1.25561722 -0.99312849 -0.29119309 -1.41678539
 -0.28452539  0.34407775 -0.16486563  0.07169251  0.        ]",-1.72571,[ 0.64907299  0.15252823],-0.0353009513285,[ 0.37703076 -0.03443086],[-0.75758421 -0.93689454],"[[-0.88047208 -1.29277696 -0.03371639 -0.16364556]
 [-0.76473562  0.29855647  0.          0.        ]]"
32,"[ 0.49041925  0.21226144 -1.24548377 -0.98425839 -0.29119298 -1.41678393
  0.14100559  0.45764495 -0.13201217  0.06007733  0.        ]",-1.71527,[-0.44984194 -1.38479863],-0.0382408610229,[-0.39922696 -0.56781602],[-0.75758421 -0.93689454],"[[-0.86984628 -1.28081152 -0.03371639 -0.16364556]
 [ 1.81870631  0.89599944  0.          0.        ]]"
33,"[ 0.51115726  0.18222137 -1.22786712 -1.0002716  -0.29119287 -1.41678246
 -0.15797508 -0.29832045 -0.12023304  0.08343387  0.        ]",-1.70586,[ 1.16851412  0.07531442],-0.0391165678414,[ 0.27587634  0.46255922],[-0.75758421 -0.93689454],"[[-0.8516839  -1.30279302 -0.03371639 -0.16364556]
 [ 0.00356472 -3.08090074  0.          0.        ]]"
34,"[ 0.555419    0.10209181 -1.18800876 -1.03660214 -0.29119276 -1.41678099
  0.49380951 -0.23020153 -0.10573607  0.14623665  0.        ]",-1.66128,[-0.33771378  0.15444684],-0.0402412766778,[-0.62927002 -0.01558158],[-0.75758421 -0.93689454],"[[-0.81191066 -1.3608158  -0.03371639 -0.16364556]
 [ 3.96061342 -2.72254876  0.          0.        ]]"
35,"[ 0.62421284  0.03535967 -1.11920658 -1.05998158 -0.29119265 -1.41677953
  0.26075575 -0.1036418  -0.03553876  0.20511447  0.        ]",-1.67576,[-0.73280577  0.3185493 ],-0.0465549080164,[-0.51035345  0.05806054],[-0.75758421 -0.93689454],"[[-0.74689434 -1.40858658 -0.03371639 -0.16364556]
 [ 2.54572243 -2.05675792  0.          0.        ]]"
36,"[ 0.64575881 -0.00409931 -1.09571065 -1.07094168 -0.29119254 -1.41677806
 -0.22525083  0.14397789 -0.02624579  0.23801772  0.        ]",-1.71099,[ 0.00896681 -0.07727291],-0.0475743330541,[-0.00671852  0.19180904],[-0.75758421 -0.93689454],"[[-0.725584   -1.43665173 -0.03371639 -0.16364556]
 [-0.40486942 -0.75410849  0.          0.        ]]"
37,"[ 0.63807161 -0.02949099 -1.1042078  -1.07688516 -0.29119243 -1.41677659
 -0.21807784  0.0886529  -0.05862846  0.25506989  0.        ]",-1.70502,[ 0.19116603  0.29730222],-0.0449127288704,[ 0.04098117  0.29553622],[-0.75758421 -0.93689454],"[[-0.73324445 -1.45465407 -0.03371639 -0.16364556]
 [-0.36132206 -1.04515555  0.          0.        ]]"
38,"[ 0.63850787 -0.04204433 -1.10372782 -1.07950462 -0.29119232 -1.41677513
 -0.0923285   0.31633003 -0.06694489  0.26455012  0.        ]",-1.70885,[-1.20678974 -0.02598521],-0.044288334443,[-0.20882788 -0.02437894],[-0.75758421 -0.93689454],"[[-0.73281114 -1.4635399  -0.03371639 -0.16364556]
 [ 0.40211326  0.15258187  0.          0.        ]]"
39,"[ 0.60597543 -0.03922222 -1.13832635 -1.07893307 -0.29119222 -1.41677366
 -0.74547976  0.29634712 -0.12155447  0.25842925  0.        ]",-1.73714,[ 0.92918937  0.05024604],-0.0395174431251,[ 0.93967628  0.53712887],[-0.75758421 -0.93689454],"[[-0.76455437 -1.46154307 -0.03371639 -0.16364556]
 [-3.56322754  0.04745876  0.          0.        ]]"
40,"[ 0.5702798  -0.03508408 -1.17388308 -1.07807617 -0.29119211 -1.41677219
 -0.12818579  0.33385168 -0.17894725  0.25365999  0.        ]",-1.70403,[-0.06981844  0.20303634],-0.0345306284851,[ 0.04377477  0.06491695],[-0.75758421 -0.93689454],"[[-0.79821764 -1.45861424 -0.03371639 -0.16364556]
 [ 0.18441726  0.24475886  0.          0.        ]]"
41,"[ 0.57122579 -0.01685563 -1.17296993 -1.074032   -0.291192   -1.41677073
 -0.17432361  0.4857615  -0.16471753  0.23893241  0.        ]",-1.71526,[-0.15539061 -0.38232497],-0.0355901177103,[ 0.05287547 -0.10082866],[-0.75758421 -0.93689454],"[[-0.79733969 -1.44570094 -0.03371639 -0.16364556]
 [-0.09568974  1.04390834  0.          0.        ]]"
42,"[ 0.56250641 -0.00912445 -1.18131409 -1.07218194 -0.29119189 -1.41676926
 -0.27525109  0.1940891  -0.17385263  0.23257779  0.        ]",-1.70806,[ 1.02662595  0.47110429],-0.0347376696708,[ 0.3418127   0.32224882],[-0.75758421 -0.93689454],"[[-0.80540128 -1.44021784 -0.03371639 -0.16364556]
 [-0.70842937 -0.49048499  0.          0.        ]]"
