timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.03474348  1.59366354 -0.13762081  0.61412075  0.65356276 -0.39627944
 -0.05692859  0.27992721  0.64378632  0.2916248   0.        ]",-0.596545,[-1.4251071  -1.04826452],-0.142172185231,[ 0.05746033 -0.77883995],[-0.12567537 -0.12719283],"[[-0.08334591  0.03007619  0.07073556 -0.04513725]
 [ 0.00222172  0.00064461  0.          0.        ]]"
1,"[ 1.02902638  1.59413926 -0.19823897  0.5243327   0.65355876 -0.39627747
 -0.42631677 -0.26669023  0.63554426  0.19490769  0.        ]",-0.445634,[-0.15532221  0.28537123],-0.138760600491,[ 0.19250321 -0.71982902],[-0.12567537 -0.12719283],"[[-0.12297697 -0.00962344  0.07073556 -0.04513725]
 [-3.95216659 -3.9574221   0.          0.        ]]"
2,"[ 1.00960424  1.59055677 -0.32627177  0.37290174  0.65355477 -0.39627551
 -0.4764528  -0.09979057  0.60283867  0.00631107  0.        ]",-0.49419,[-0.25493084 -1.19715366],-0.132861905622,[ 0.29185879 -0.68667793],[-0.12567537 -0.12719283],"[[-0.20740558 -0.07664648  0.07073556 -0.04513725]
 [-4.48890647 -2.74890935  0.          0.        ]]"
3,"[ 0.97442983  1.57622931 -0.47344823  0.16163544  0.65355077 -0.39627354
 -0.56222388 -0.63905315  0.53247784 -0.21789975  0.        ]",-0.348188,[ 0.29152936 -0.04823646],-0.127379491818,[ 0.42596251 -0.62061918],[-0.12567537 -0.12719283],"[[-0.3063963  -0.17080279  0.07073556 -0.04513725]
 [-5.40712859 -6.65370648  0.          0.        ]]"
4,"[ 0.92811701  1.53748488 -0.61114433 -0.13200434  0.65354677 -0.39627158
 -0.44450794 -0.64729746  0.41506797 -0.44648207  0.        ]",-0.327574,[-0.16160786  0.40003853],-0.123669700054,[ 0.49954778 -0.58246225],[-0.12567537 -0.12719283],"[[-0.40189554 -0.30447619  0.07073556 -0.04513725]
 [-4.14699561 -6.71343136  0.          0.        ]]"
5,"[ 0.87468901  1.48631721 -0.73393296 -0.37934482  0.65354278 -0.39626961
 -0.49663636 -0.41015124  0.27862447 -0.62701287  0.        ]",-0.264571,[ 1.18291542  0.07287688],-0.122901564728,[ 0.57436347 -0.54616356],[-0.12567537 -0.12719283],"[[-0.49043472 -0.42151622  0.07073556 -0.04513725]
 [-4.70506042 -4.99629275  0.          0.        ]]"
6,"[ 0.83770405  1.43279864 -0.80540559 -0.57301778  0.65353878 -0.39626765
 -0.11841099 -0.35683835  0.16791207 -0.73206922  0.        ]",-0.209314,[ 2.37153962  0.14712981],-0.123389456614,[ 0.53910094 -0.5457558 ],[-0.12567537 -0.12719283],"[[-0.5439124  -0.51756906  0.07073556 -0.04513725]
 [-0.65616356 -4.61027301  0.          0.        ]]"
7,"[ 0.85659298  1.3768719  -0.76998851 -0.73670814  0.65353478 -0.39626569
  0.25233831 -0.26396858  0.13824886 -0.7372847   0.        ]",-0.48397,[ 0.06941156 -1.10052697],-0.121591506904,[ 0.44922471 -0.57409149],[-0.12567537 -0.12719283],"[[-0.51721514 -0.60302779  0.07073556 -0.04513725]
 [ 3.31270311 -3.93782543  0.          0.        ]]"
8,"[ 0.9009918   1.28782741 -0.6768927  -0.94659597  0.65353079 -0.39626372
  0.27199347 -0.80004389  0.12631511 -0.70805459  0.        ]",-0.492616,[ 0.50828886 -1.82515771],-0.117421995815,[ 0.40405178 -0.56599808],[-0.12567537 -0.12719283],"[[-0.44884966 -0.72073036  0.07073556 -0.04513725]
 [ 3.52312324 -7.81949318  0.          0.        ]]"
9,"[ 0.95041201  1.11323624 -0.54972543 -1.2469949   0.65352679 -0.39626176
  0.4534507  -1.32556781  0.07705461 -0.67483369  0.        ]",-0.228106,[ 0.28706262  0.90588835],-0.109953687429,[ 0.28201574 -0.56500262],[-0.12567537 -0.12719283],"[[ -0.35889745  -0.91530062   0.07073556  -0.04513725]
 [  5.4656242  -11.62482701   0.           0.        ]]"
10,"[ 0.999671    0.91073001 -0.37404278 -1.47934427  0.6535228  -0.39625979
  0.54935572 -0.79842255  0.04720804 -0.60342057  0.        ]",-0.367252,[ 0.23816069 -1.90754377],-0.0996822099819,[ 0.16973096 -0.59825099],[-0.12567537 -0.12719283],"[[-0.23928467 -1.1095008   0.07073556 -0.04513725]
 [ 6.49230418 -7.80789496  0.          0.        ]]"
11,"[ 1.0323498   0.68745965 -0.16501028 -1.63561828  0.6535188  -0.39625783
  0.62549088 -1.32390199  0.0219115  -0.50840975  0.        ]",-0.392905,[-0.28295003 -2.5459097 ],-0.0871576250107,[ 0.03074815 -0.59585273],[-0.12567537 -0.12719283],"[[ -0.10126073  -1.30383585   0.07073556  -0.04513725]
 [  7.30735581 -11.61291279   0.           0.        ]]"
12,"[ 1.03878002  0.35926538  0.03998035 -1.71570386  0.6535148  -0.39625586
  0.50744812 -1.83889424 -0.07582863 -0.41744941  0.        ]",-0.217159,[ 0.62020069  0.46712741],-0.0696231914068,[-0.04451967 -0.55487037],[-0.12567537 -0.12719283],"[[  0.03220962  -1.57351046   0.07073556  -0.04513725]
 [  6.04376414 -15.34214365   0.           0.        ]]"
13,"[ 1.0177642   0.01289443  0.26050056 -1.62255896  0.65351081 -0.3962539
  0.72554877 -1.54149635 -0.19079836 -0.30272788  0.        ]",-0.316372,[-0.45046185 -1.73510719],-0.0491230127055,[-0.1812893  -0.56517398],[-0.12567537 -0.12719283],"[[  0.17650889  -1.85874931   0.07073556  -0.04513725]
 [  8.37852541 -13.18887003   0.           0.        ]]"
14,"[ 0.96647608 -0.32131712  0.48083536 -1.33474663  0.65350681 -0.39625193
  0.54351291 -2.0521698  -0.3273037  -0.16890491  0.        ]",-0.29112,[-0.41692514 -1.45307407],-0.0295312384288,[-0.2016253  -0.52697986],[-0.12567537 -0.12719283],"[[  0.32452989  -2.15963053   0.07073556  -0.04513725]
 [  6.42991531 -16.8869705    0.           0.        ]]"
15,"[ 0.9090478  -0.64824166  0.63894432 -0.74556369  0.65350282 -0.39624997
  0.37740219 -2.55272183 -0.53550372 -0.00476694  0.        ]",-0.231563,[ 1.34437528 -0.43550542],-0.0362791630393,[-0.1752187  -0.47899425],[-0.12567537 -0.12719283],"[[  0.43528878  -2.53374167   0.07073556  -0.04513725]
 [  4.65177224 -20.51209544   0.           0.        ]]"
16,"[ 0.82050756 -0.84794088  0.81661919  0.13150537  0.65349882 -0.396248
  0.73861813 -2.73465672 -0.74751162  0.23652546  0.        ]",-0.292121,[ 0.59781292 -0.96433427],-0.0708638782584,[-0.26299399 -0.49440598],[-0.12567537 -0.12719283],"[[  0.56711928  -2.95720927   0.07073556  -0.04513725]
 [  8.51851305 -21.83024824   0.           0.        ]]"
17,"[ 0.65501932 -0.86863154  1.04944538  0.58447584  0.65349482 -0.39624604
  0.94405694  0.17165134 -0.83720198  0.36439054  0.        ]",-0.222733,[-0.21625717  0.46757794],-0.089653790004,[-0.30196303 -0.56307101],[-0.12567537 -0.12719283],"[[  0.75955612  -3.15851805   0.07073556  -0.04513725]
 [ 10.71774027  -0.78439622   0.           0.        ]]"
18,"[ 0.43927498 -0.86854419  1.25308376  0.4999651   0.65349083 -0.39624408
  0.84426     0.7220776  -0.80115328  0.32827969  0.        ]",-0.298903,[-0.19254617 -0.47343426],-0.0827958623559,[-0.3172031  -0.57698214],[-0.12567537 -0.12719283],"[[ 0.96319373 -3.12115393  0.07073556 -0.04513725]
 [ 9.64951832  3.20149833  0.          0.        ]]"
