timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
20,[ 0.25281274  0.6523065 ],[ 1.09380526  1.00153732],-0.179475070248,-0.179475070248,"[[ 0.42974792  3.02172109 -0.03549232  0.18629148]
 [-8.00218262 -0.67380781  0.          0.        ]]","[ 0.94939285 -0.6483225   0.72742822 -0.39382056 -0.31241582  1.58222803
 -0.36042174 -0.45067383 -0.09895911 -1.51171226  0.        ]",[-0.15017709 -0.13044448]
21,[ 0.18807244  0.61747992],[-0.54060573  0.77746247],-0.176975802339,-0.176975802339,"[[ 0.31101878  3.01208316 -0.03549232  0.18629148]
 [-3.88445685 -0.32574526  0.          0.        ]]","[ 1.00937005 -0.64672671  0.55892764 -0.36562507 -0.31241511  1.58221659
 -0.02548079 -0.40181543 -0.09275109 -1.48987527  0.        ]",[-0.15017709 -0.13044448]
22,[ 0.30028352  0.66243118],[-0.50767376  1.56887801],-0.175388408976,-0.175388408976,"[[ 0.21262579  3.00731598 -0.03549232  0.18629148]
 [-5.94796535 -0.16492884  0.          0.        ]]","[ 1.04491727 -0.64589114  0.41420879 -0.35169131 -0.3124144   1.58220515
 -0.19332905 -0.37924074 -0.08501157 -1.47537891  0.        ]",[-0.15017709 -0.13044448]
23,[ 0.43160224  0.71823502],[-0.11680013 -0.1725919 ],-0.173914809768,-0.173914809768,"[[ 0.0746807   3.00522763 -0.03549232  0.18629148]
 [-7.8402391  -0.06102583  0.          0.        ]]","[ 1.07246881 -0.64551461  0.20640234 -0.34558972 -0.31241369  1.58219371
 -0.34724875 -0.364655   -0.07174743 -1.4608278   0.        ]",[-0.15017709 -0.13044448]
24,[ 0.53384876  0.77234209],[ 0.87475524 -0.7813784 ],-0.172059854766,-0.172059854766,"[[-0.08520696  2.99716202 -0.03549232  0.18629148]
 [-8.14750123 -0.74326214  0.          0.        ]]","[ 1.07129016 -0.64401186 -0.03689634 -0.32204319 -0.31241299  1.58218227
 -0.3722411  -0.46041967 -0.05310065 -1.44184467  0.        ]",[-0.15017709 -0.13044448]
25,[ 0.53784454  0.80618429],[ 0.67503526  2.1357788 ],-0.167369912966,-0.167369912966,"[[-0.21179037  2.95140319 -0.03549232  0.18629148]
 [-4.52291353 -3.82235676  0.          0.        ]]","[ 1.04514899 -0.63387776 -0.22747489 -0.1890272  -0.31241228  1.58217083
 -0.07741025 -0.892631   -0.02428474 -1.39624336  0.        ]",[-0.15017709 -0.13044448]
26,[ 0.42680028  0.71992457],[-0.01773261  0.09976514],-0.164420205424,-0.164420205424,"[[-0.27453288  2.91544417 -0.03549232  0.18629148]
 [-1.76055327  0.21300765  0.          0.        ]]","[  1.02405180e+00  -6.23994187e-01  -3.20225062e-01  -8.53030366e-02
  -3.12411571e-01   1.58215940e+00   1.47285404e-01  -3.26183127e-01
  -1.10693338e-03  -1.36565075e+00   0.00000000e+00]",[-0.15017709 -0.13044448]
27,[ 0.44392216  0.72419637],[-0.18229957  1.43112403],-0.165284536868,-0.165284536868,"[[-0.31009853  2.92362542 -0.03549232  0.18629148]
 [-1.79589443  0.60381487  0.          0.        ]]","[ 1.00973576 -0.62638838 -0.37210166 -0.10883141 -0.31241086  1.58214796
  0.14441037 -0.27132452  0.00217089 -1.37216272  0.        ]",[-0.15017709 -0.13044448]
28,[ 0.43840548  0.68053579],[ 0.82806736 -0.64718732],-0.169678939758,-0.169678939758,"[[-0.3528999   2.97530929 -0.03549232  0.18629148]
 [-2.48195637  4.55141578  0.          0.        ]]","[ 0.99027983 -0.63950832 -0.43374712 -0.25839131 -0.31241016  1.58213652
  0.0886043   0.28280462 -0.01134747 -1.41280461  0.        ]",[-0.15017709 -0.13044448]
29,[ 0.4242292   0.71442544],[ 2.68517267  1.36183005],-0.174549063697,-0.174549063697,"[[-0.36915281  3.02973527 -0.03549232  0.18629148]
 [ 0.84556613  0.61003707  0.          0.        ]]","[ 0.98225856 -0.64953788 -0.45690839 -0.41728716 -0.31240945  1.58212508
  0.35927252 -0.27045219 -0.03098827 -1.45837094  0.        ]",[-0.15017709 -0.13044448]
30,[ 0.28825399  0.67042524],[ 0.17151453  0.13591977],-0.174256254921,-0.174256254921,"[[-0.31268518  3.02738183 -0.03549232  0.18629148]
 [ 4.78807397 -0.47063189  0.          0.        ]]","[ 1.0086168  -0.64918298 -0.37584919 -0.41039172 -0.31240874  1.58211364
  0.67996455 -0.42214662 -0.03534013 -1.45679185  0.        ]",[-0.15017709 -0.13044448]
31,[ 0.20597422  0.63734883],[-0.71045476 -0.91064449],-0.173517174302,-0.173517174302,"[[-0.21106141  3.0168155  -0.03549232  0.18629148]
 [ 5.37235983 -0.49248111  0.          0.        ]]","[ 1.04533733 -0.64750609 -0.22638257 -0.37946001 -0.31240803  1.5821022
  0.72748968 -0.4252126  -0.04306891 -1.45210976  0.        ]",[-0.15017709 -0.13044448]
32,[ 0.29479301  0.70516503],[ 1.48563915  0.84211292],-0.169273179738,-0.169273179738,"[[-0.13290564  2.97088438 -0.03549232  0.18629148]
 [ 2.45294943 -4.08864304  0.          0.        ]]","[ 1.06400643 -0.63851396 -0.10910994 -0.24552573 -0.31240733  1.58209077
  0.49001531 -0.93001049 -0.04142899 -1.41596499  0.        ]",[-0.15017709 -0.13044448]
33,[ 0.03537603  0.57408386],[-1.20923051  1.25727614],-0.164773361611,-0.164773361611,"[[-0.04460785  2.92338051 -0.03549232  0.18629148]
 [ 6.36379113 -0.67313447  0.          0.        ]]","[ 1.07492806 -0.62630659  0.02482583 -0.10812014 -0.31240662  1.58207933
  0.80813199 -0.4505665  -0.04480668 -1.3786669   0.        ]",[-0.15017709 -0.13044448]
34,[ 0.06513134  0.53942329],[ 1.40111123  1.16124375],-0.16779879178,-0.16779879178,"[[ 0.04168105  2.94977747 -0.03549232  0.18629148]
 [ 2.27871565  3.2995952   0.          0.        ]]","[ 1.07509956 -0.63345067  0.15623343 -0.18431533 -0.31240591  1.58206789
  0.47583842  0.1070955  -0.06297884 -1.40774011  0.        ]",[-0.15017709 -0.13044448]
35,[-0.07024892  0.50017416],[ 0.21363116  0.75155416],-0.175097916089,-0.175097916089,"[[ 0.12652858  3.03329681 -0.03549232  0.18629148]
 [ 6.1928667   2.06131058  0.          0.        ]]","[ 1.06514414 -0.65004702  0.28499067 -0.42772173 -0.3124052   1.58205646
  0.79422512 -0.06672589 -0.07698928 -1.47153502  0.        ]",[-0.15017709 -0.13044448]
36,[-0.12287665  0.50435501],[ 0.0530147   0.22627106],-0.179638839218,-0.179638839218,"[[ 0.25764087  3.0403722  -0.03549232  0.18629148]
 [ 6.9159858  -0.55188531  0.          0.        ]]","[ 1.03021056 -0.65102895  0.48090733 -0.44846708 -0.31240449  1.58204502
  0.8530429  -0.43354732 -0.08516019 -1.5109125   0.        ]",[-0.15017709 -0.13044448]
37,[-0.20878977  0.47085834],[-0.60117508  0.15094865],-0.179545390459,-0.179545390459,"[[ 0.39669271  3.02586139 -0.03549232  0.18629148]
 [ 6.98896246 -0.72401028  0.          0.        ]]","[ 0.96785362 -0.64893799  0.68133452 -0.40593467 -0.31240379  1.58203358
  0.85897598 -0.45770794 -0.09599928 -1.51172345  0.        ]",[-0.15017709 -0.13044448]
38,[-0.19597521  0.47017264],[-0.11263743 -0.17063217],-0.179723100417,-0.179723100417,"[[ 0.51120224  3.01385707 -0.03549232  0.18629148]
 [ 4.47038535 -0.46390963  0.          0.        ]]","[ 0.89776484 -0.64699765  0.83801928 -0.37080267 -0.31240308  1.58202215
  0.65410468 -0.42119565 -0.1057084  -1.51454571  0.        ]",[-0.15017709 -0.13044448]
39,[-0.21654579  0.46681026],[ 0.57942701 -0.64705584],-0.179263731925,-0.179263731925,"[[ 0.5952472   2.99789184 -0.03549232  0.18629148]
 [ 3.93589082 -1.13039163  0.          0.        ]]","[ 0.83611103 -0.64412328  0.94691709 -0.32416367 -0.31240237  1.58201071
  0.61062535 -0.51475094 -0.11562609 -1.51198022  0.        ]",[-0.15017709 -0.13044448]
40,[-0.31473216  0.45009947],[-0.15056938  1.39442827],-0.176045115075,-0.176045115075,"[[ 0.69619967  2.94980323 -0.03549232  0.18629148]
 [ 6.15196787 -3.67001076  0.          0.        ]]","[ 0.75130672 -0.63344578  1.06968512 -0.18438293 -0.31240166  1.58199928
  0.79088616 -0.87124439 -0.14004688 -1.48790369  0.        ]",[-0.15017709 -0.13044448]
41,[-0.41985044  0.37541723],[-0.74332825  0.30469345],-0.175136937172,-0.175136937172,"[[ 0.81203725  2.91685925 -0.03549232  0.18629148]
 [ 5.43418642  0.36217524  0.          0.        ]]","[ 0.64061414 -0.62438655  1.19822696 -0.08935404 -0.31240096  1.58198784
  0.73249694 -0.30522916 -0.16301727 -1.48249483  0.        ]",[-0.15017709 -0.13044448]
42,[-0.3615596   0.38759631],[-1.47028949  0.2519223 ],-0.178631096263,-0.178631096263,"[[ 0.89011377  2.93613419 -0.03549232  0.18629148]
 [ 2.38363138  1.56132706  0.          0.        ]]","[ 0.55864152 -0.62985552  1.27660183 -0.14487354 -0.31240025  1.5819764
  0.48435245 -0.13689868 -0.15950269 -1.51130117  0.        ]",[-0.15017709 -0.13044448]
43,[-0.22832417  0.42744708],[ 0.41598011  1.58601132],-0.182426056461,-0.182426056461,"[[ 0.89758874  2.97705724 -0.03549232  0.18629148]
 [-1.62278722  2.52775618  0.          0.        ]]","[  5.50503155e-01  -6.39863037e-01   1.28372785e+00  -2.63463629e-01
  -3.12399541e-01   1.58196497e+00   1.58454921e-01  -1.23651400e-03
  -1.38781410e-01  -1.54098100e+00   0.00000000e+00]",[-0.15017709 -0.13044448]
44,[-0.22033688  0.44539052],[-1.15112597  0.63175799],-0.187209724307,-0.187209724307,"[[ 0.88198024  3.03186614 -0.03549232  0.18629148]
 [ 0.0562529   0.90692186  0.          0.        ]]","[ 0.56743649 -0.64982335  1.26875139 -0.42352476 -0.31239883  1.58195354
  0.29503399 -0.22876056 -0.10718506 -1.57728697  0.        ]",[-0.15017709 -0.13044448]
45,[-0.05973835  0.52498746],[-0.79355655  1.35044848],-0.18633275043,-0.18633275043,"[[ 0.84336837  3.03073297 -0.03549232  0.18629148]
 [-3.90421941 -0.53621465  0.          0.        ]]","[ 0.60839011 -0.64965558  1.23049048 -0.42020297 -0.31239813  1.5819421
 -0.02712696 -0.43134012 -0.10885507 -1.5701562   0.        ]",[-0.15017709 -0.13044448]
46,[ 0.06816284  0.57743883],[ 2.00354927  0.72999625],-0.183596143157,-0.183596143157,"[[ 0.73453553  3.01971366 -0.03549232  0.18629148]
 [-6.96884825 -0.49066798  0.          0.        ]]","[ 0.71618563 -0.64795232  1.11372801 -0.38793237 -0.31239742  1.58193067
 -0.2764163  -0.42494545 -0.11272834 -1.5477569   0.        ]",[-0.15017709 -0.13044448]
47,[-0.01557358  0.53723538],[ 0.69077611  1.01225529],-0.181297172962,-0.181297172962,"[[ 0.63626772  3.011664   -0.03549232  0.18629148]
 [-2.87158732 -0.30846916  0.          0.        ]]","[ 0.80301311 -0.64660625  0.99788027 -0.36438561 -0.31239671  1.58191923
  0.05687286 -0.39936821 -0.1126837  -1.5285237   0.        ]",[-0.15017709 -0.13044448]
48,[-0.09836999  0.50206268],[-0.66759335  0.05810957],-0.180413412132,-0.180413412132,"[[ 0.60684741  3.00737066 -0.03549232  0.18629148]
 [-0.07974887 -0.14091032  0.          0.        ]]","[ 0.82693358 -0.6458525   0.96144222 -0.35183642 -0.312396    1.5819078
  0.28397314 -0.37584609 -0.11291906 -1.52115512  0.        ]",[-0.15017709 -0.13044448]
49,[ 0.00135777  0.54132617],[-0.16217138 -0.65367388],-0.179699988099,-0.179699988099,"[[ 0.57874822  3.00444494 -0.03549232  0.18629148]
 [-2.72136513 -0.13101315  0.          0.        ]]","[ 0.84885294 -0.64532433  0.92593808 -0.34328862 -0.3123953   1.58189637
  0.06909143 -0.37445588 -0.11244027 -1.51511939  0.        ]",[-0.15017709 -0.13044448]
