timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.08544523  1.94866801  0.15631413 -0.68522228  0.57648283 -1.29516782
  0.28773813 -0.34605538  0.75990165  1.29154509  0.        ]",[-0.91207083 -0.61693233],-0.216209368877,-0.216209368877,"[[ 0.05994463  0.00686841  0.06956845 -0.15142155]
 [-0.0034256   0.00453691  0.          0.        ]]",[-0.13599798 -0.13809454],[-1.80754137  0.80537122]
1,"[ 1.087547    1.9484756   0.1012931  -0.75477217  0.57648106 -1.29515982
 -0.0123508  -0.68654296  0.76269732  1.20781941  0.        ]",[-2.25266322  1.24429498],-0.208743134325,-0.208743134325,"[[ 0.02368578 -0.01753705  0.06956845 -0.15142155]
 [-3.61045298 -2.43695123  0.          0.        ]]",[-0.13599798 -0.13809454],[-1.64641595  0.8792156 ]
2,"[ 1.08261104  1.94821062 -0.06742893 -0.77902234  0.57647928 -1.29515182
 -0.33565057 -0.12739878  0.75517576  1.01041786  0.        ]",[-0.44238568  1.44485536],-0.190715748377,-0.190715748377,"[[-0.08751293 -0.02604897  0.06956845 -0.15142155]
 [-7.49647258  1.57239364  0.          0.        ]]",[-0.13599798 -0.13809454],[-1.39638257  0.92369533]
3,"[ 1.04348261  1.94731634 -0.31564056 -0.57709353  0.57647751 -1.29514382
 -0.4690351   0.42055109  0.72333248  0.79333746  0.        ]",[-0.9659846  1.1176417],-0.170017655399,-0.170017655399,"[[-0.25352851  0.04482068  0.06956845 -0.15142155]
 [-9.09974492  5.50147101  0.          0.        ]]",[-0.13599798 -0.13809454],[-1.17565036  0.938003  ]
4,"[ 0.93585903  1.9241215  -0.62535445 -0.15675241  0.57647574 -1.29513582
 -0.77210628  0.95775152  0.65533883  0.56668709  0.        ]",[-0.14017732  0.38445658],-0.146353264417,-0.146353264417,"[[ -0.47207339   0.19349889   0.06956845  -0.15142155]
 [-12.7426299    9.35348457   0.           0.        ]]",[-0.13599798 -0.13809454],[-0.8366766  0.9542886]
5,"[ 0.73365947  1.84805185 -0.94751998  0.38923989  0.57647397 -1.29512782
 -0.79732766  1.14420684  0.53872559  0.34504458  0.        ]",[-0.85315328  2.32053485],-0.119108690061,-0.119108690061,"[[ -0.72996779   0.39398356   0.06956845  -0.15142155]
 [-13.04582138  10.69050148   0.           0.        ]]",[-0.13599798 -0.13809454],[-0.59617805  0.94215393]
6,"[ 0.42266224  1.68460959 -1.23062898  1.00954735  0.5764722  -1.29511983
 -1.05680416  1.66697398  0.3691075   0.1591146   0.        ]",[-0.22881353  2.15132955],-0.0886524684814,-0.0886524684814,"[[ -1.02217641   0.64540533   0.06956845  -0.15142155]
 [-16.16473003  14.43909724   0.           0.        ]]",[-0.13599798 -0.13809454],[-0.27342606  0.87362576]
7,"[  2.30201559e-04   1.37696874e+00  -1.41710014e+00   1.64779754e+00
   5.76470424e-01  -1.29511183e+00  -1.10567844e+00   2.17919170e+00
   1.52737208e-01   5.62135470e-02   0.00000000e+00]",[ 0.65978365  0.4610154 ],-0.0558681673265,-0.0558681673265,"[[ -1.35136554   0.97104098   0.06956845  -0.15142155]
 [-16.75225576  18.11216665   0.           0.        ]]",[-0.13599798 -0.13809454],[-0.09010956  0.71757269]
8,"[-0.42197991  0.92622148 -1.44788233  2.07471979  0.57646865 -1.29510383
 -0.86100308  2.38348609 -0.04369549  0.09986548  0.        ]",[-0.15252468  0.24214575],-0.0323319542558,-0.0323319542558,"[[ -1.65690519   1.34798413   0.06956845  -0.15142155]
 [-13.81135455  19.57733764   0.           0.        ]]",[-0.13599798 -0.13809454],[-0.11889598  0.52550256]
9,"[-0.79953822  0.40844279 -1.35308716  2.10188485  0.57646688 -1.29509583
 -0.88854739  2.46299577 -0.21344742  0.25273389  0.        ]",[ 0.17506736  0.74329431],-0.037224351862,-0.037224351862,"[[ -1.93645445   1.74525426   0.06956845  -0.15142155]
 [-14.14247491  20.14776157   0.           0.        ]]",[-0.13599798 -0.13809454],[-0.02234722  0.47370073]
