timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.06145645  1.34799629  0.15400089 -1.33943064  1.44199642  0.51319903
  0.26564848 -0.31272529  0.02546523 -0.82052673  0.        ]",[ 1.013808    2.75165535],-0.0643282140718,-0.0643282140718,"[[ 0.06107435 -0.01875049  0.16713712  0.05897861]
 [ 0.00248587  0.00378049  0.          0.        ]]",[-0.83915442 -0.75527239],[ 1.34156239  2.59108496]
1,"[ 1.05677767  1.34793588  0.21274135 -1.23752362  1.44199489  0.5131988
  0.69957466  0.37932349  0.01488856 -0.6443326   0.        ]",[-0.30549623  0.02644026],-0.054677044448,-0.054677044448,"[[ 0.10079863  0.02103677  0.16713712  0.05897861]
 [ 3.95678156  3.96175927  0.          0.        ]]",[-0.83915442 -0.75527239],[-0.89698064  0.71568131]
2,"[ 1.04389963  1.3416588   0.31009933 -1.03430867  1.44199336  0.51319858
  0.55837014  0.38400119 -0.02572365 -0.3344358   0.        ]",[-1.10155564  1.42606144],-0.0398325896209,-0.0398325896209,"[[ 0.1670237   0.10054041  0.16713712  0.05897861]
 [ 2.67001231  3.98851294  0.          0.        ]]",[-0.83915442 -0.75527239],[-1.31111515  0.51624668]
3,"[ 1.04058635  1.31710406  0.32933771 -0.73426609  1.44199183  0.51319836
  0.11831125  1.06279407 -0.07642579 -0.12587675  0.        ]",[-1.1427215  -0.02484954],-0.032629414009,-0.032629414009,"[[ 0.1801886   0.21926179  0.16713712  0.05897861]
 [-1.34016441  7.87067961  0.          0.        ]]",[-0.83915442 -0.75527239],[-0.98341441 -0.11451784]
4,"[ 1.0547205   1.25831024  0.2321573  -0.35526817  1.4419903   0.51319813
 -0.31287733  1.01860053 -0.1092121  -0.09450417  0.        ]",[ 0.28191498 -0.36428181],-0.0296364384403,-0.0296364384403,"[[ 0.11396131  0.37413966  0.16713712  0.05897861]
 [-5.26950766  7.61793134  0.          0.        ]]",[-0.83915442 -0.75527239],[ 0.50065118  0.27834529]
5,"[ 1.06385308  1.18250348  0.09431912 -0.03982989  1.44198878  0.51319791
 -0.17899403  0.73994085 -0.1264567  -0.16605579  0.        ]",[ 0.17999251  1.19135725],-0.0277008893685,-0.0277008893685,"[[ 0.02081229  0.51050799  0.16713712  0.05897861]
 [-4.04945471  6.02421896  0.          0.        ]]",[-0.83915442 -0.75527239],[ 0.56523389  0.37652859]
6,"[ 1.0621804   1.06763988 -0.01403187  0.29825352  1.44198725  0.51319769
 -0.09220954  1.41136212 -0.17996547 -0.15727445  0.        ]",[-0.13002982 -0.73983123],-0.022434256497,-0.022434256497,"[[-0.05224237  0.66952041  0.16713712  0.05897861]
 [-3.2586045   9.86422931  0.          0.        ]]",[-0.83915442 -0.75527239],[ 0.09061818 -0.87118912]
7,"[ 1.05335434  0.92041165 -0.11699485  0.60816673  1.44198572  0.51319746
 -0.14147236  0.86502682 -0.25278566 -0.13794157  0.        ]",[ 0.1966973  -0.22573792],-0.0153092871433,-0.0153092871433,"[[-0.12191827  0.83545484  0.16713712  0.05897861]
 [-3.7075275   6.73962267  0.          0.        ]]",[-0.83915442 -0.75527239],[ 0.55207306 -0.50096393]
8,"[ 1.03862967  0.79399131 -0.21314812  0.80681644  1.44198419  0.51319724
 -0.04798964  0.68535906 -0.3077434  -0.16177131  0.        ]",[ 0.59102239 -1.08786134],-0.00993158997061,-0.00993158997061,"[[-0.18752159  0.95993742  0.16713712  0.05897861]
 [-2.85563794  5.71206598  0.          0.        ]]",[-0.83915442 -0.75527239],[ 0.47473425 -0.6404022 ]
9,"[ 1.02886712  0.7139402  -0.26119474  0.90886949  1.44198266  0.51319702
  0.21495354 -0.02686725 -0.34676601 -0.16353305  0.        ]",[-0.3372799   0.02488323],-0.00614609425201,-0.00614609425201,"[[-0.22059304  1.03330911  0.16713712  0.05897861]
 [-0.45948838  1.6386908   0.          0.        ]]",[-0.83915442 -0.75527239],[ 0.04185811 -0.03562441]
