timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.01396357  1.98837766  0.10677597 -0.83988114 -1.14105044 -1.12580677
  0.40485809 -0.3610003   2.30174959  1.0629963   0.        ]",[ 0.4991036   3.38523887],-0.364256242863,-0.364256242863,"[[-0.00672085 -0.00629873 -0.13075022 -0.13086672]
 [-0.00028958 -0.00422662  0.          0.        ]]",[-0.22445971 -0.16794148],[-1.23104286  1.31441617]
1,"[ 1.0138717   1.98765326  0.13739118 -0.72178396 -1.14104722 -1.12580364
  0.56304822  0.20485998  2.30085403  1.13920452  0.        ]",[-1.04724867  0.45907933],-0.367243903304,-0.367243903304,"[[ 0.01306764  0.03333771 -0.13075022 -0.13086672]
 [ 1.972576    3.95467916  0.          0.        ]]",[-0.22445971 -0.16794148],[-1.40225208  1.18232524]
2,"[ 1.01388074  1.97717927  0.13640525 -0.43510366 -1.141044   -1.12580051
  0.24266957  0.45370929  2.29326949  1.23272415  0.        ]",[-1.44146866  1.00810714],-0.370362728132,-0.370362728132,"[[ 0.01243045  0.12989955 -0.13075022 -0.13086672]
 [-2.02299086  5.69569557  0.          0.        ]]",[-0.22445971 -0.16794148],[-1.36589658  1.20009041]
3,"[ 1.01076372  1.93569908  0.01307621  0.00935806 -1.14104078 -1.12579738
 -0.07143964  1.00376061  2.28075167  1.23184481  0.        ]",[ 0.08296915  1.48995617],-0.368819293005,-0.368819293005,"[[-0.06733354  0.28242497 -0.13075022 -0.13086672]
 [-5.94036957  9.54400502  0.          0.        ]]",[-0.22445971 -0.16794148],[-1.30164373  1.19572508]
4,"[ 0.99056555  1.81844195 -0.16237653  0.63658337 -1.14103756 -1.12579426
 -0.0358111   1.54267458  2.24417274  1.23869816  0.        ]",[-1.56868199  1.87995892],-0.364736542531,-0.364736542531,"[[ -0.18168312   0.51113492  -0.13075022  -0.13086672]
 [ -5.49603327  13.31442238   0.           0.        ]]",[-0.22445971 -0.16794148],[-1.32474625  1.12635779]
5,"[ 0.93710395  1.57119642 -0.38449589  1.34648728 -1.14103434 -1.12579113
 -0.34442028  2.07110855  2.16424378  1.25010435  0.        ]",[-1.79529086  1.21615478],-0.355712668369,-0.355712668369,"[[ -0.33021927   0.81451876  -0.13075022  -0.13086672]
 [ -9.34481434  17.01157454   0.           0.        ]]",[-0.22445971 -0.16794148],[-1.18523586  1.12757349]
6,"[ 0.80042093  1.15163953 -0.69805743  1.94659068 -1.14103113 -1.125788
 -0.64696052  2.58898954  2.02352778  1.19518872  0.        ]",[-1.08604281  0.79042167],-0.336382888221,-0.336382888221,"[[ -0.55497114   1.19110631  -0.13075022  -0.13086672]
 [-13.11791164  20.63498706   0.           0.        ]]",[-0.22445971 -0.16794148],[-0.95444041  1.08267927]
7,"[ 0.52539999  0.57877092 -1.04970488  2.15339028 -1.14102791 -1.12578487
 -0.94356376  2.97787416  1.79992688  1.09686513  0.        ]",[ 0.8323933  1.4916857],-0.305162126299,-0.305162126299,"[[ -0.85444154   1.63110842  -0.13075022  -0.13086672]
 [-16.81697706  23.35600454   0.           0.        ]]",[-0.22445971 -0.16794148],[-0.70810783  0.94506836]
8,"[ 0.16657607 -0.0500985  -1.29778541  1.69965736 -1.14102469 -1.12578174
 -0.65276452  3.47748551  1.47769799  1.08029027  0.        ]",[-0.60546093 -0.57056248],-0.266778766198,-0.266778766198,"[[ -1.15439759   2.13330209  -0.13075022  -0.13086672]
 [-13.19033713  26.85187502   0.           0.        ]]",[-0.22445971 -0.16794148],[-0.63444489  0.6884982 ]
9,"[-0.22285897 -0.50826411 -1.41669436  0.60559123 -1.14102147 -1.12577862
 -0.82403481  3.07848047  1.10322665  1.11307617  0.        ]",[-0.07629554  0.47447568],-0.227357387397,-0.227357387397,"[[ -1.43963387   2.64233298  -0.13075022  -0.13086672]
 [-15.32632563  24.06051534   0.           0.        ]]",[-0.22445971 -0.16794148],[-0.58408093  0.56013167]
