timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.07389063  1.3223387   0.04881968 -1.53107635  1.50454566 -0.99707688
  0.25257378 -0.31291293 -0.0358983   1.38533445  0.        ]",[-2.64021754 -0.53707217],-0.111449729818,-0.111449729818,"[[-0.00574974 -0.07853675  0.1744639  -0.11559914]
 [ 0.00354747 -0.00418563  0.          0.        ]]",[-0.900437  -0.8284117],[-2.74900603 -0.51710367]
1,"[ 1.07242267  1.31982945 -0.00985234 -1.58571427  1.50454414 -0.99707626
 -0.19835895 -0.69260916 -0.0449578   1.23148175  0.        ]",[-1.53893832  0.71906014],-0.101127200818,-0.101127200818,"[[-0.04536179 -0.09994092  0.1744639  -0.11559914]
 [-3.9515881  -2.12915404  0.          0.        ]]",[-0.900437  -0.8284117],[-1.46014118  0.59542227]
2,"[ 1.0546247   1.31792646 -0.18357241 -1.62031516  1.50454262 -0.99707565
 -0.64059391 -0.17606196 -0.08931441  0.856866    0.        ]",[-0.47904219  1.50973657],-0.0755023441339,-0.0755023441339,"[[-0.16331124 -0.11351913  0.1744639  -0.11559914]
 [-7.83043609  0.76169705  0.          0.        ]]",[-0.900437  -0.8284117],[-0.260153    0.93046069]
3,"[ 0.9921821   1.32412353 -0.43316305 -1.48035431  1.50454111 -0.99707504
 -0.83916416  0.52888181 -0.17931242  0.43358595  0.        ]",[ 0.45138013  0.10973234],-0.0454050150871,-0.0454050150871,"[[-0.33739467 -0.05870157  0.1744639  -0.11559914]
 [-9.5721006   4.70690806  0.          0.        ]]",[-0.900437  -0.8284117],[ 0.76296526  0.61604369]
4,"[ 0.89012785  1.32539486 -0.66475171 -1.23043128  1.50453959 -0.99707442
 -0.61401217  0.58973161 -0.28830725  0.10008289  0.        ]",[ 1.13350161  0.95719894],-0.0202319091954,-0.0202319091954,"[[-0.50902282  0.03885344  0.1744639  -0.11559914]
 [-7.59729389  5.04745455  0.          0.        ]]",[-0.900437  -0.8284117],[ 1.10359704  0.5053845 ]
5,"[ 0.80428283  1.30588678 -0.80334798 -0.87917739  1.50453807 -0.99707381
 -0.14602385  1.24882007 -0.33628875  0.00344895  0.        ]",[ 0.04066458 -1.36749375],-0.0121334175098,-0.0121334175098,"[[-0.6197849   0.17681123  0.1744639  -0.11559914]
 [-3.49256772  8.7360396   0.          0.        ]]",[-0.900437  -0.8284117],[-0.09258954 -0.86365825]
6,"[ 0.74477465  1.26368291 -0.88277311 -0.54795593  1.50453656 -0.99707319
 -0.11962767  0.51038465 -0.34899806  0.0219217   0.        ]",[-0.12140194 -0.07354781],-0.0127023119062,-0.0127023119062,"[[-0.68731321  0.31006786  0.1744639  -0.11559914]
 [-3.26104721  4.60339634  0.          0.        ]]",[-0.900437  -0.8284117],[ 0.1716418  -0.34455454]
7,"[ 0.6783068   1.22345822 -0.95992151 -0.33591998  1.50453504 -0.99707258
 -0.16701504  0.44208817 -0.38901417 -0.02549759  0.        ]",[ 0.71989998 -1.04693084],-0.00845493117145,-0.00845493117145,"[[-0.7567043   0.39830088  0.1744639  -0.11559914]
 [-3.67668212  4.22117696  0.          0.        ]]",[-0.900437  -0.8284117],[ 0.50077134 -0.39140475]
8,"[ 0.63328712  1.19993926 -1.00654749 -0.23332735  1.50453352 -0.99707196
  0.16614571 -0.28055184 -0.42153328 -0.07163849  0.        ]",[-0.14381536  0.24840451],-0.00550078770843,-0.00550078770843,"[[-0.80091913  0.4421471   0.1744639  -0.11559914]
 [-0.75453066  0.17693276  0.          0.        ]]",[-0.900437  -0.8284117],[ 0.1427491   0.12649214]
9,"[ 0.61157691  1.19230796 -1.02761909 -0.20244473  1.504532   -0.99707135
  0.10294003 -0.10539223 -0.44008846 -0.10307618  0.        ]",[ 0.05739108  0.2043309 ],-0.0047235243117,-0.0047235243117,"[[-0.82157197  0.45552122  0.1744639  -0.11559914]
 [-1.30890686  1.15721037  0.          0.        ]]",[-0.900437  -0.8284117],[ 0.3259092  -0.02680188]
10,"[ 0.58620675  1.17379166 -1.0511732  -0.1315762   1.50453049 -0.99707074
  0.1317446   0.03506403 -0.45532669 -0.11510234  0.        ]",[ 0.09590734  0.14660266],-0.00555052817864,-0.00555052817864,"[[-0.84521527  0.48655222  0.1744639  -0.11559914]
 [-1.05626196  1.94327123  0.          0.        ]]",[-0.900437  -0.8284117],[ 0.19880027 -0.29462355]
11,"[ 0.56751     1.14542214 -1.06783345 -0.03241536  1.50452897 -0.99707012
  0.17736304  0.13188691 -0.4582237  -0.09061995  0.        ]",[ 0.46394404 -1.64928122],-0.00662826168963,-0.00662826168963,"[[-0.86232602  0.53085437  0.1744639  -0.11559914]
 [-0.65614275  2.48513871  0.          0.        ]]",[-0.900437  -0.8284117],[-0.05481783 -0.58341652]
12,"[ 0.57348095  1.13906349 -1.06257406 -0.01153239  1.50452745 -0.99706951
  0.3882662  -0.58453643 -0.44848956 -0.06294317  0.        ]",[-1.15570882 -0.09288864],-0.00729161259215,-0.00729161259215,"[[-0.85688892  0.54032901  0.1744639  -0.11559914]
 [ 1.19368659 -1.52431     0.          0.        ]]",[-0.900437  -0.8284117],[-0.29683453  0.0553948 ]
13,"[ 0.55576868  1.16131411 -1.07800525 -0.08669258  1.50452594 -0.99706889
 -0.06545571 -0.64460947 -0.48035762 -0.15291976  0.        ]",[ 0.76659685  0.98339298],-0.00752155516025,-0.00752155516025,"[[-0.87294367  0.50646967  0.1744639  -0.11559914]
 [-2.78589992 -1.86050894  0.          0.        ]]",[-0.900437  -0.8284117],[ 1.32791507  0.76796651]
14,"[ 0.52799364  1.15989691 -1.10122064 -0.08172862  1.50452442 -0.99706828
  0.28643417  0.05753685 -0.50989342 -0.20908439  0.        ]",[-0.17418314  0.29983615],-0.0112068032639,-0.0112068032639,"[[-0.89769472  0.50868583  0.1744639  -0.11559914]
 [ 0.3005195   2.069036    0.          0.        ]]",[-0.900437  -0.8284117],[ 0.00976945 -0.4828288 ]
15,"[ 0.52689686  1.12444062 -1.10211266  0.0348517   1.5045229  -0.99706766
  0.20714668  0.2624003  -0.48952532 -0.13258337  0.        ]",[-0.09589387 -1.13934782],-0.00844436326141,-0.00844436326141,"[[-0.89866179  0.56156991  0.1744639  -0.11559914]
 [-0.39490861  3.21554946  0.          0.        ]]",[-0.900437  -0.8284117],[-0.08131687 -0.81715649]
