timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.06104104  1.34308555  0.19564994 -1.38803444  0.44073327  0.78288335
  0.26173495 -0.31237959  1.21043909 -1.20101556  0.        ]",[ 2.52936142  4.19619891],-0.174681784368,-0.174681784368,"[[ 0.09094536 -0.03367824  0.05159359  0.09027015]
 [-0.00119274  0.00397327  0.          0.        ]]",[-0.86205095 -0.77157444],[ 2.00132155  3.73303366]
1,"[ 1.05466128  1.34379932  0.25406863 -1.286149    0.44073309  0.78288293
  0.69967347  0.38320793  1.19728129 -1.02362978  0.        ]",[ 0.56909452  3.46410945],-0.168457409878,-0.168457409878,"[[ 0.1305968   0.00611284  0.05159359  0.09027015]
 [ 3.95317519  3.96194871  0.          0.        ]]",[-0.86205095 -0.77157444],[ 0.92030233  2.69380045]
2,"[ 1.02824605  1.3337649   0.40107484 -0.98434303  0.44073292  0.7828825
  0.94017437  1.06514412  1.1186107  -0.5568466   0.        ]",[-0.6267906   1.15131625],-0.151657441845,-0.151657441845,"[[ 0.23144848  0.12428413  0.05159359  0.09027015]
 [ 6.12478234  7.84224894  0.          0.        ]]",[-0.86205095 -0.77157444],[-0.25425714  1.77656865]
3,"[ 0.9895398   1.27791173  0.53836649 -0.49791113  0.44073274  0.78288208
  0.65201235  1.73389828  0.93395654 -0.03335825  0.        ]",[-1.44993282  2.00819205],-0.131099157329,-0.131099157329,"[[  0.32783756   0.31930902   0.05159359   0.09027015]
 [  3.52282758  11.64755089   0.           0.        ]]",[-0.86205095 -0.77157444],[-0.62613285  1.42144156]
4,"[ 0.97483393  1.12360696  0.5803281   0.12231691  0.44073256  0.78288166
  0.2060646   2.3894955   0.68212686  0.32942569  0.        ]",[-0.86108396  1.55673804],-0.111602293583,-0.111602293583,"[[  0.35789295   0.58968913   0.05159359   0.09027015]
 [ -0.50385423  15.37800823   0.           0.        ]]",[-0.86205095 -0.77157444],[-0.49017566  1.02376032]
5,"[ 0.99601282  0.81531192  0.51851766  0.75706698  0.44073239  0.78288123
 -0.17018398  3.03204185  0.39700721  0.48133324  0.        ]",[ 0.85324992 -0.20019225],-0.090393557444,-0.090393557444,"[[  0.31372927   0.93393387   0.05159359   0.09027015]
 [ -3.90118789  19.03423869   0.           0.        ]]",[-0.86205095 -0.77157444],[ 0.06016317  0.03442597]
6,"[ 1.01418137  0.38508773  0.45695848  1.16772495  0.44073221  0.78288081
  0.2124164   2.82633487  0.04903775  0.5029274   0.        ]",[-0.88199099 -1.84710324],-0.0643207822054,-0.0643207822054,"[[  0.27036586   1.30287456   0.05159359   0.09027015]
 [ -0.4465017   17.86378477   0.           0.        ]]",[-0.86205095 -0.77157444],[-0.81337982 -1.50452757]
7,"[ 1.02986982 -0.02016427  0.3939626   1.25636958  0.44073203  0.78288039
 -0.1729831   2.06842513 -0.24078397  0.38623178  0.        ]",[ 0.05033421 -1.40225856],-0.0414384046731,-0.0414384046731,"[[  0.22652321   1.616881     0.05159359   0.09027015]
 [ -3.92646123  13.55117963   0.           0.        ]]",[-0.86205095 -0.77157444],[-0.08770324 -1.29074287]
8,"[ 1.05053728 -0.31377713  0.2836935   1.16307964  0.44073186  0.78287996
 -0.14223004  1.32539235 -0.38800756  0.20107104  0.        ]",[ 0.54840413  0.17536581],-0.0250128484995,-0.0250128484995,"[[ 0.15078082  1.84548393  0.05159359  0.09027015]
 [-3.64877749  9.32320818  0.          0.        ]]",[-0.86205095 -0.77157444],[ 0.14517926 -1.10464871]
9,"[ 1.0597334  -0.54627303  0.20946715  0.9857218   0.44073168  0.78287954
  0.10618282  1.41494186 -0.52130918  0.02710334  0.        ]",[ 0.24873621 -2.25711996],-0.0167832820699,-0.0167832820699,"[[ 0.10030975  2.03706044  0.05159359  0.09027015]
 [-1.40573838  9.83276783  0.          0.        ]]",[-0.86205095 -0.77157444],[-0.22798501 -1.99793994]
10,"[ 1.06211563 -0.71902825  0.18296454  0.78060574  0.4407315   0.78287912
  0.21835499  0.68485441 -0.6439262  -0.123497    0.        ]",[-0.51755106 -2.11390537],-0.0231721427479,-0.0231721427479,"[[ 0.08235768  2.1920341   0.05159359  0.09027015]
 [-0.39288181  5.67844995  0.          0.        ]]",[-0.86205095 -0.77157444],[-0.39593571 -1.8268913 ]
11,"[ 1.06492459 -0.79405238  0.14105882  0.66681448  0.44073133  0.78287869
 -0.00766628 -0.03075559 -0.67938272 -0.20869249  0.        ]",[ 0.60728333 -1.22894151],-0.0268941519137,-0.0268941519137,"[[ 0.05402389  2.26474807  0.05159359  0.09027015]
 [-2.43373481  1.6065099   0.          0.        ]]",[-0.86205095 -0.77157444],[ 0.43364334 -0.96236324]
12,"[ 1.06639428 -0.78608963  0.10540812  0.67972058  0.44073115  0.78287827
  0.26392768 -0.73222498 -0.65150396 -0.20944618  0.        ]",[-0.12638966 -0.45178617],-0.0242214707758,-0.0242214707758,"[[ 0.02995435  2.25683043  0.05159359  0.09027015]
 [ 0.01861558 -2.3849684   0.          0.        ]]",[-0.86205095 -0.77157444],[-0.00657588 -0.32229179]
13,"[ 1.0665805  -0.71862659  0.09851655  0.78116737  0.44073097  0.78287785
  0.20848823 -1.0383051  -0.59022473 -0.14805653  0.        ]",[ 0.1190418   0.61067745],-0.0178607462928,-0.0178607462928,"[[ 0.02530396  2.19165651  0.05159359  0.09027015]
 [-0.48197243 -4.12661848  0.          0.        ]]",[-0.86205095 -0.77157444],[ 0.32835728  0.49987403]
14,"[ 1.06674021 -0.65647594  0.09137801  0.86327289  0.4407308   0.78287742
  0.26172285 -0.5990021  -0.5327574  -0.09931137  0.        ]",[-0.04994492 -0.22497338],-0.012759123372,-0.012759123372,"[[  2.04875022e-02   2.13420450e+00   5.15935940e-02   9.02701457e-02]
 [ -1.29152351e-03  -1.62691406e+00   0.00000000e+00   0.00000000e+00]]",[-0.86205095 -0.77157444],[-0.12707879 -0.13303709]
15,"[ 1.0667964  -0.6105328   0.08840084  0.91770788  0.44073062  0.782877
  0.23983751 -0.74989029 -0.49156488 -0.06659568  0.        ]",[ 0.15621323  0.07934157],-0.0101212843557,-0.0101212843557,"[[ 0.01847892  2.0930518   0.05159359  0.09027015]
 [-0.19890356 -2.48549463  0.          0.        ]]",[-0.86205095 -0.77157444],[ 0.00884165  0.28228563]
16,"[ 1.06673097 -0.55780345  0.09175887  0.97417793  0.44073044  0.78287657
  0.30875478 -0.68603847 -0.44872052 -0.02986363  0.        ]",[ 1.17517862  0.20671148],-0.00941730133939,-0.00941730133939,"[[ 0.0207445   2.04698727  0.05159359  0.09027015]
 [ 0.42338307 -2.12216933  0.          0.        ]]",[-0.86205095 -0.77157444],[-0.24462287  0.22677661]
