timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.06051271  1.34834721 -0.01946814 -1.44774564 -1.63204763  1.17878927
  0.26648228 -0.31419061  3.62465516 -2.29486405  0.        ]",[ 2.04694286  1.29815795],-0.425419277105,-0.425419277105,"[[-0.05640796 -0.06217293 -0.18722291  0.13605728]
 [-0.0003467  -0.00338952  0.          0.        ]]",[-0.83263922 -0.74886763],[ 2.9796803   1.50856614]
1,"[ 1.06262678  1.35052558  0.03934277 -1.34629005 -1.63204556  1.17878829
  0.69910459  0.3766162   3.63311143 -2.11945076  0.        ]",[ 2.55805907  0.43165566],-0.421766493074,-0.421766493074,"[[-0.01673974 -0.02252763 -0.18722291  0.13605728]
 [ 3.95400503  3.95473319  0.          0.        ]]",[-0.83263922 -0.74886763],[ 2.30417395  0.36811841]
2,"[ 1.05536419  1.347403    0.21412674 -1.10198185 -1.63204348  1.17878731
  1.12326936  0.66098895  3.61195906 -1.6320439   0.        ]",[ 2.25015435  0.05006119],-0.409254147843,-0.409254147843,"[[ 0.10123985  0.07291506 -0.18722291  0.13605728]
 [ 7.83105544  5.58410762  0.          0.        ]]",[-0.83263922 -0.74886763],[ 1.97240853  0.23233306]
3,"[ 0.99941842  1.32858152  0.49695294 -0.81624519 -1.6320414   1.17878634
  1.53911801  0.67602328  3.46255317 -0.92587767  0.        ]",[ 2.39543867  0.61899402],-0.384463902146,-0.384463902146,"[[  0.29599779   0.1854616   -0.18722291   0.13605728]
 [ 11.63210188   5.67025187   0.           0.        ]]",[-0.83263922 -0.74886763],[ 1.76161277  0.39761484]
4,"[ 0.83542787  1.28397442  0.85982449 -0.47719407 -1.63203933  1.17878536
  1.94666945  1.08391098  3.06189245 -0.10963631  0.        ]",[ 1.37061304  0.92755893],-0.341020817394,-0.341020817394,"[[  0.56601543   0.3223156   -0.18722291   0.13605728]
 [ 15.35732316   8.00733269   0.           0.        ]]",[-0.83263922 -0.74886763],[ 1.74700427  0.37926427]
5,"[ 0.49985654  1.18066703  1.23534893 -0.02093202 -1.63203725  1.17878438
  2.34617857  1.69691554  2.28138132  0.5671599   0.        ]",[ 0.97125542 -0.91678369],-0.26934478536,-0.26934478536,"[[  0.90979913   0.51770341  -0.18722291   0.13605728]
 [ 19.00905674  11.5196812    0.           0.        ]]",[-0.83263922 -0.74886763],[ 0.44213367 -0.68070811]
6,"[-0.04018317  1.03757338  1.5031649   0.37985811 -1.63203517  1.1787834
  2.72569464  1.02315465  1.244062    0.67224827  0.        ]",[-2.15166416 -1.91284347],-0.172911597779,-0.172911597779,"[[  1.32478603   0.70936479  -0.18722291   0.13605728]
 [ 22.47807504   7.65923161   0.           0.        ]]",[-0.83263922 -0.74886763],[-1.97545791 -1.94182611]
7,"[-0.62675317  0.93691521  1.52902061  0.5865242  -1.6320331   1.17878242
  2.24443463  0.30566094  0.40467236  0.18076118  0.        ]",[-2.93976255 -2.36362224],-0.0834356367734,-0.0834356367734,"[[  1.73021366   0.82130163  -0.18722291   0.13605728]
 [ 18.07917807   3.54820207   0.           0.        ]]",[-0.83263922 -0.74886763],[-2.74733591 -2.30511546]
8,"[-1.06567939  0.90747638  1.38172166  0.63892951 -1.63203102  1.17878144
  1.77261286 -0.39756815 -0.058622   -0.44106665  0.        ]",[-3.39692297 -1.74571527],-0.0403172264168,-0.0403172264168,"[[  2.04852805   0.85183778  -0.18722291   0.13605728]
 [ 13.76652512  -0.48109569   0.           0.        ]]",[-0.83263922 -0.74886763],[-2.89011717 -2.21249199]
9,"[-1.34644824  0.95454507  1.1886985   0.55354758 -1.63202895  1.17878047
  1.31008986 -1.0868111  -0.28516935 -0.89797582  0.        ]",[-2.69546709 -1.76088451],-0.0552961522511,-0.0552961522511,"[[ 2.28144119  0.80259204 -0.18722291  0.13605728]
 [ 9.53885233 -4.43025954  0.          0.        ]]",[-0.83263922 -0.74886763],[-2.6368742  -1.46149158]
