timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.06109226  2.04436714 -0.01568431 -0.86358362 -0.0186699  -0.18852573
  0.3600037  -0.36205145  1.27612863 -0.03998131  0.        ]",[ 1.2852831  -0.35668717],-0.210077522375,-0.210077522375,"[[-0.07768412 -0.03350563 -0.00104619 -0.02222976]
 [ 0.00010095  0.00016655  0.          0.        ]]",[-0.1607575  -0.13360964],[-0.11088132  1.21172345]
1,"[ 1.06430962  2.04357566  0.04475643 -0.90635897 -0.01866987 -0.1885254
  0.68261983 -0.56105722  1.27978644  0.01724944  0.        ]",[ 0.67653995  0.82755281],-0.210763388394,-0.210763388394,"[[ -3.79860990e-02  -4.76881783e-02  -1.04619115e-03  -2.22297558e-02]
 [  3.95652635e+00  -1.41370362e+00   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-0.36123204  1.14256251]
2,"[ 1.06214996  2.0438538   0.20508926 -0.8916592  -0.01866983 -0.18852506
  0.89436531 -0.09604166  1.28135821  0.20882981  0.        ]",[ 0.53243991  2.52559908],-0.213146779429,-0.213146779429,"[[  6.71985905e-02  -4.28146296e-02  -1.04619115e-03  -2.22297558e-02]
 [  6.55329934e+00   1.89005215e+00   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-0.74862295  1.01041186]
3,"[ 1.03206272  2.04427528  0.43265739 -0.6588322  -0.0186698  -0.18852473
  1.05541904  0.45590993  1.24077135  0.54536713  0.        ]",[-1.19494991  0.23190993],-0.217238550201,-0.217238550201,"[[  2.18081529e-01   3.43311501e-02  -1.04619115e-03  -2.22297558e-02]
 [  8.52842687e+00   5.81145625e+00   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-1.221591    0.84173107]
4,"[ 0.98150941  2.02817846  0.62173099 -0.28557214 -0.01866977 -0.1885244
  0.71906617  0.56918641  1.13997797  0.86941546  0.        ]",[-2.77741007  0.6843023 ],-0.220454639084,-0.220454639084,"[[  3.47264285e-01   1.58635097e-01  -1.04619115e-03  -2.22297558e-02]
 [  4.40358907e+00   6.61624886e+00   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-1.24816525  0.82202935]
5,"[ 0.95733233  1.97815046  0.68923656  0.17811651 -0.01866974 -0.18852406
  0.38931296  0.93234386  1.03379876  1.06395643  0.        ]",[-1.6370294   0.71165528],-0.220842512416,-0.220842512416,"[[  3.94762238e-01   3.16847191e-01  -1.04619115e-03  -2.22297558e-02]
 [  3.59676011e-01   9.19635335e+00   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-1.21959865  0.78596032]
6,"[ 0.97422798  1.8625574   0.64306601  0.75643249 -0.01866971 -0.18852373
  0.0660775   1.30354135  0.94084336  1.15356802  0.        ]",[-1.65025811  1.26979975],-0.217536956878,-0.217536956878,"[[  3.62184054e-01   5.27234835e-01  -1.04619115e-03  -2.22297558e-02]
 [ -3.60430904e+00   1.18336000e+01   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-1.11021817  0.74853349]
7,"[ 1.02127253  1.63624847  0.48163952  1.40580642 -0.01866967 -0.1885234
 -0.25080932  1.8280543   0.85793878  1.14954525  0.        ]",[-1.65585118  0.72892649],-0.208739276971,-0.208739276971,"[[  2.51107534e-01   8.01297033e-01  -1.04619115e-03  -2.22297558e-02]
 [ -7.49043811e+00   1.55601474e+01   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-0.92216545  0.68307263]
8,"[ 1.06250563  1.26445815  0.19881166  1.97843784 -0.01866964 -0.18852306
 -0.56143266  2.19103372  0.77194366  1.05200258  0.        ]",[-1.22558438  0.29793363],-0.192218621274,-0.192218621274,"[[  6.30797690e-02   1.13837676e+00  -1.04619115e-03  -2.22297558e-02]
 [ -1.12997591e+01   1.81391330e+01   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-0.6361416   0.62225604]
9,"[ 1.03720314  0.7838408  -0.20090967  2.25058945 -0.01866961 -0.18852273
 -0.86594503  2.30652166  0.67733266  0.86099618  0.        ]",[-0.21292586  1.48547957],-0.167478369429,-0.167478369429,"[[ -2.00381844e-01   1.50939490e+00  -1.04619115e-03  -2.22297558e-02]
 [ -1.50341506e+01   1.89598133e+01   0.00000000e+00   0.00000000e+00]]",[-0.1607575  -0.13360964],[-0.27619371  0.59155273]
