timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
38,"[ 0.70561829 -0.98487344  0.99257146 -0.41604352 -0.23632962  0.00195579
  0.50719374 -0.88077555 -0.39684969  0.07474776  0.        ]",[ 0.176449    0.35272537],-0.0201177946758,-0.0201177946758,"[[  6.63624811e-01   2.86448978e+00  -2.63263594e-02   2.72867989e-04]
 [  1.94882372e+00  -3.42938033e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.29454243  0.26657975]
39,"[ 0.66242588 -0.96459126  1.04513286 -0.28220134 -0.23632949  0.00195578
  0.56971631 -0.64430651 -0.42696214  0.12681342  0.        ]",[ 0.02102991  0.9074697 ],-0.0242321792146,-0.0242321792146,"[[  7.09223990e-01   2.81059658e+00  -2.63263594e-02   2.72867989e-04]
 [  2.60889147e+00  -1.96482234e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.45985925  0.10033652]
40,"[ 0.60978641 -0.96341928  1.10313915 -0.27517739 -0.23632936  0.00195578
  0.57272212 -0.05786552 -0.43983169  0.11336707  0.        ]",[ 0.27312232  0.22665434],-0.023144663926,-0.023144663926,"[[  7.61720210e-01   2.80774214e+00  -2.63263594e-02   2.72867989e-04]
 [  2.64062855e+00   1.66727375e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.51119208 -0.2168619 ]
41,"[ 0.54254217 -0.97967419  1.16913672 -0.37924315 -0.23632924  0.00195578
  0.67020311  0.08171274 -0.43195181  0.04401326  0.        ]",[-0.85165274 -0.39111487],-0.0172857484627,-0.0172857484627,"[[  8.24858353e-01   2.84976115e+00  -2.63263594e-02   2.72867989e-04]
 [  3.66976006e+00   2.53174528e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.75421637 -0.47824502]
42,"[ 0.49915636 -0.99146197  1.20757881 -0.46591653 -0.23632911  0.00195578
  0.34392364 -0.1764489  -0.41840286 -0.00624385  0.        ]",[-0.02000475 -0.10674761],-0.0130869241955,-0.0130869241955,"[[  8.63692898e-01   2.88435363e+00  -2.63263594e-02   2.72867989e-04]
 [  2.25165760e-01   9.32833696e-01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.22990765 -0.07751662]
43,"[ 0.49498632 -0.99588901  1.21111683 -0.5018076  -0.23632898  0.00195578
  0.33599733 -0.24767696 -0.41041241 -0.02254095  0.        ]",[-1.07247365 -0.58423438],-0.0118188416083,-0.0118188416083,"[[  8.67356651e-01   2.89858412e+00  -2.63263594e-02   2.72867989e-04]
 [  1.41488227e-01   4.91685733e-01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.21873097 -0.05378011]
44,"[ 0.53640587 -0.99170093  1.17475353 -0.46781578 -0.23632885  0.00195578
 -0.03930531 -0.62278623 -0.41371874  0.00289802  0.        ]",[ 0.44586181  0.34787679],-0.0138949937936,-0.0138949937936,"[[  8.30432931e-01   2.88510822e+00  -2.63263594e-02   2.72867989e-04]
 [ -3.82065200e+00  -1.83153497e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.28818816  0.53560257]
45,"[ 0.59861131 -0.98423597  1.11468828 -0.41146734 -0.23632872  0.00195578
  0.1350757  -0.39451735 -0.41685382  0.04554746  0.        ]",[ 0.60807267  0.62143677],-0.0174389122942,-0.0174389122942,"[[  7.72491008e-01   2.86266231e+00  -2.63263594e-02   2.72867989e-04]
 [ -1.97967938e+00  -4.17766567e-01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.12145442  0.33128446]
46,"[ 0.61418278 -0.9897541   1.09851259 -0.45264615 -0.23632859  0.00195578
  0.36684105  0.0041294  -0.40647678  0.03105041  0.        ]",[-1.06267729  0.63378312],-0.016335026523,-0.016335026523,"[[  7.57446839e-01   2.87907920e+00  -2.63263594e-02   2.72867989e-04]
 [  4.67110446e-01   2.05122755e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.20215981 -0.05413935]
47,"[ 0.64496853 -1.00857527  1.06504158 -0.61939483 -0.23632846  0.00195578
 -0.00905588  0.40273659 -0.36952084 -0.03599946  0.        ]",[ 0.08730843  0.45812596],-0.0122169120452,-0.0122169120452,"[[  7.26972782e-01   2.94487355e+00  -2.63263594e-02   2.72867989e-04]
 [ -3.50129785e+00   4.51997691e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.21874319  0.18497157]
48,"[ 0.70792576 -1.02562858  0.98960376 -0.85014204 -0.23632833  0.00195578
  0.03024197 -0.00336149 -0.32712387 -0.10303341  0.        ]",[ 0.26252773 -0.21168597],-0.011777679978,-0.011777679978,"[[  6.61110453e-01   3.03457654e+00  -2.63263594e-02   2.72867989e-04]
 [ -3.08642378e+00   2.00483581e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.16941236  0.29108217]
49,"[ 0.75290777 -1.02632167  0.92882645 -0.86386453 -0.23632821  0.00195577
  0.13447515 -0.43426026 -0.31249984 -0.12184491  0.        ]",[ 0.08209431 -0.17443384],-0.0127151621586,-0.0127151621586,"[[  6.10422348e-01   3.03987712e+00  -2.63263594e-02   2.72867989e-04]
 [ -1.98601659e+00  -6.63906989e-01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.13271511  0.33490437]
