timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[  1.01013998e+00   1.52894495e+00  -2.20354413e-03  -1.09494834e+00
  -1.60862621e+00  -1.04804544e+00   3.39418879e-01  -3.32996068e-01
   3.16514579e+00   1.09190549e+00   0.00000000e+00]",[-0.93238723  0.19639332],-0.409249072744,-0.409249072744,"[[-0.05114742 -0.0053882  -0.18465555 -0.12075229]
 [ 0.00404281  0.0008029   0.          0.        ]]",[-0.44727278 -0.30927286],[-1.25362992  0.58527505]
1,"[  1.00628228e+00   1.52895649e+00  -5.72587450e-02  -1.07436881e+00
  -1.60862293e+00  -1.04804419e+00   2.25425062e-03  -2.09265233e-01
   3.16071767e+00   1.01311941e+00   0.00000000e+00]",[-0.69880748 -0.87940822],-0.406996760056,-0.406996760056,"[[ -8.80773193e-02   2.44438040e-03  -1.84655548e-01  -1.20752293e-01]
 [ -3.68474908e+00   7.79854222e-01   0.00000000e+00   0.00000000e+00]]",[-0.44727278 -0.30927286],[-1.19957852  0.54494953]
2,"[ 0.98543104  1.52877547 -0.20623272 -1.12555567 -1.60861965 -1.04804294
 -0.24363303 -0.76458529  3.13057889  0.74905497  0.        ]",[-1.31005315  1.74226696],-0.398570460133,-0.398570460133,"[[-0.18876343 -0.01703993 -0.18465555 -0.12075229]
 [-6.37490975 -2.71663519  0.          0.        ]]",[-0.44727278 -0.30927286],[-0.89873874  0.85732305]
3,"[ 0.9186348   1.52834906 -0.44485656 -1.16245676 -1.60861637 -1.04804169
 -0.59382713 -0.12693447  3.03752922  0.34922443  0.        ]",[-0.93518451 -1.25814484],-0.38295562428,-0.38295562428,"[[ -0.35470269  -0.03109013  -0.18465555  -0.12075229]
 [-10.20625306   1.29823115   0.           0.        ]]",[-0.44727278 -0.30927286],[-0.6829412   0.66931081]
4,"[ 0.75499446  1.52767791 -0.76212521 -1.19922896 -1.60861309 -1.04804044
 -0.91337541 -0.75966896  2.81419247 -0.17158845  0.        ]",[ 0.89298755  2.32743106],-0.355831568475,-0.355831568475,"[[ -0.59390471  -0.04509741  -0.18465555  -0.12075229]
 [-13.70231634  -2.68568282   0.           0.        ]]",[-0.44727278 -0.30927286],[ 0.2867083   1.38283253]
5,"[ 0.52415863  1.52680104 -1.02844283 -1.23456026 -1.60860981 -1.04803919
 -0.5658606  -0.12258083  2.50170725 -0.60243437  0.        ]",[ 0.05011598  1.96508788],-0.32381271367,-0.32381271367,"[[-0.82980435 -0.05856421 -0.18465555 -0.12075229]
 [-9.90029764  1.32563739  0.          0.        ]]",[-0.44727278 -0.30927286],[ 0.17718667  1.01135588]
6,"[ 0.29149806  1.52891134 -1.20229557 -1.06131089 -1.60860653 -1.04803794
 -0.52997945  0.50210051  2.25605022 -0.82930839  0.        ]",[-1.08298474  0.94362469],-0.300254188654,-0.300254188654,"[[ -1.02387169e+00   7.41170078e-03  -1.84655548e-01  -1.20752293e-01]
 [ -9.50774038e+00   5.25884089e+00   0.00000000e+00   0.00000000e+00]]",[-0.44727278 -0.30927286],[ 0.09522656  0.64493644]
7,"[-0.01853878  1.51505449 -1.34492458 -0.69064622 -1.60860325 -1.04803669
 -0.87450001  1.07920745  1.992543   -0.99191628  0.        ]",[-1.18435389 -0.55550832],-0.275318641698,-0.275318641698,"[[ -1.25184458   0.1490465   -0.18465555  -0.12075229]
 [-13.27701148   8.89250466   0.           0.        ]]",[-0.44727278 -0.30927286],[ 0.30126819  0.36516494]
8,"[-0.46478307  1.4718474  -1.42009821 -0.2966622  -1.60859997 -1.04803544
 -1.21200958  0.70208874  1.58447828 -1.12135857  0.        ]",[ 0.07481461  0.30121601],-0.236157857151,-0.236157857151,"[[ -1.55443314   0.30307339  -0.18465555  -0.12075229]
 [-16.96958663   6.51804453   0.           0.        ]]",[-0.44727278 -0.30927286],[ 0.95800388  0.62194747]
9,"[-0.95694733  1.40742449 -1.34597261  0.04800925 -1.60859669 -1.04803419
 -1.15433872  0.8709127   1.09847748 -1.11808254  0.        ]",[ 0.86760514  0.46310372],-0.187095953919,-0.187095953919,"[[ -1.88749434   0.44409966  -0.18465555  -0.12075229]
 [-16.33864957   7.58102105   0.           0.        ]]",[-0.44727278 -0.30927286],[ 1.06723428  0.24833596]
10,"[-1.34430471  1.30114635 -1.15434148  0.42987352 -1.60859341 -1.04803294
 -0.81116145  1.1380217   0.74293154 -0.98128975  0.        ]",[ 1.20211209  0.2982509 ],-0.146990288764,-0.146990288764,"[[ -2.17659701   0.61259395  -0.18465555  -0.12075229]
 [-12.58409155   9.26283614   0.           0.        ]]",[-0.44727278 -0.30927286],[ 0.73571694 -0.34986395]
11,"[-1.58229512  1.14192937 -0.95049786  0.81819831 -1.60859013 -1.04803169
 -0.42685049  1.29618286  0.58426388 -0.8249404   0.        ]",[-0.64634168 -1.13218425],-0.125185750118,-0.125185750118,"[[ -2.38609365   0.8078418   -0.18465555  -0.12075229]
 [ -8.37950182  10.25868316   0.           0.        ]]",[-0.44727278 -0.30927286],[ 0.56209862 -0.80994695]
12,"[-1.75831241  0.98309308 -0.72461049  1.088272   -1.60858685 -1.04803044
 -0.64534968  0.63511962  0.44932427 -0.6509562   0.        ]",[ 1.0889284  -0.37717435],-0.105245732267,-0.105245732267,"[[ -2.57766779   0.97125451  -0.18465555  -0.12075229]
 [-10.77001887   6.09641349   0.           0.        ]]",[-0.44727278 -0.30927286],[ 0.93987608 -0.36851364]
13,"[-1.87783384  0.8700152  -0.49448041  1.23259256 -1.60858357 -1.04802919
 -0.2642008   0.37852301  0.30895338 -0.46848385  0.        ]",[ 1.84595875 -0.43511455],-0.0851157194086,-0.0851157194086,"[[-2.75122989  1.07697219 -0.18465555 -0.12075229]
 [-6.60002615  4.48079843  0.          0.        ]]",[-0.44727278 -0.30927286],[ 0.56377053 -0.3746528 ]
14,"[-1.92399751  0.78978111 -0.36655064  1.31556607 -1.60858029 -1.04802794
  0.10943696  0.09061553  0.26147205 -0.36758061  0.        ]",[ 0.20089007  0.34515372],-0.0776955620431,-0.0776955620431,"[[-2.84221644  1.14839978 -0.18465555 -0.12075229]
 [-2.51220922  2.6680395   0.          0.        ]]",[-0.44727278 -0.30927286],[ 0.1870428  -0.24219322]
15,"[-1.94123311  0.71267169 -0.30652925  1.38187482 -1.60857701 -1.04802669
  0.18660549  0.29924709  0.27568096 -0.32500982  0.        ]",[-0.05421262 -0.67046817],-0.0784580905247,-0.0784580905247,"[[-2.88398995  1.21494043 -0.18465555 -0.12075229]
 [-1.66793953  3.98165217  0.          0.        ]]",[-0.44727278 -0.30927286],[ 0.18015367 -0.49704945]
16,"[-1.9537812   0.65080368 -0.25547156  1.42628085 -1.60857373 -1.04802544
  0.17007323 -0.1349073   0.28508513 -0.28778251  0.        ]",[ 0.82701535 -0.85579035],-0.0789583295251,-0.0789583295251,"[[-2.91916336  1.26714663 -0.18465555 -0.12075229]
 [-1.84881082  1.24807719  0.          0.        ]]",[-0.44727278 -0.30927286],[ 0.15042494 -0.12818199]
17,"[-1.95501297  0.66189541 -0.24997873  1.41887004 -1.60857045 -1.04802419
  0.47261184 -0.67713979  0.27128424 -0.28210916  0.        ]",[-0.65467738 -0.27980085],-0.077389852838,-0.077389852838,"[[-2.92292983  1.25785366 -0.18465555 -0.12075229]
 [ 1.46113714 -2.16599308  0.          0.        ]]",[-0.44727278 -0.30927286],[-0.31221268  0.21041773]
18,"[-1.95404263  0.7256601  -0.25427125  1.37156944 -1.60856717 -1.04802294
  0.23320953 -0.84618702  0.22110202 -0.27773866  0.        ]",[-0.33479532 -0.07769941],-0.0718809217532,-0.0718809217532,"[[-2.91998651  1.2038545  -0.18465555 -0.12075229]
 [-1.1580575  -3.23037259  0.          0.        ]]",[-0.44727278 -0.30927286],[-0.01015528  0.47329679]
19,"[-1.96502733  0.80299129 -0.20125742  1.30290612 -1.60856389 -1.04802169
  0.11423086 -0.8848411   0.11298891 -0.21160201  0.        ]",[ 0.46509163  0.83063577],-0.059459512793,-0.059459512793,"[[-2.95620806  1.13680511 -0.18465555 -0.12075229]
 [-2.45974977 -3.47375643  0.          0.        ]]",[-0.44727278 -0.30927286],[ 0.21978478  0.58790529]
