timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.06843326  2.03270714  0.0340399  -0.94308227  1.11363613 -1.04176748
  0.35425077 -0.36013756  0.32642435  0.83480804  0.        ]",[-2.0651787  -0.30985237],-0.132180309876,-0.132180309876,"[[-0.04162173 -0.06279209  0.1303826  -0.12165119]
 [ 0.00233078  0.00498381  0.          0.        ]]",[-0.15986407 -0.13194752],[-1.67659438  0.74333608]
1,"[ 1.06501831  2.03156359 -0.02624433 -0.97962483  1.11363168 -1.0417636
  0.03195493 -0.53244397  0.31931944  0.7539801   0.        ]",[-1.94970444  2.78476758],-0.123987002456,-0.123987002456,"[[-0.08126134 -0.07498773  0.1303826  -0.12165119]
 [-3.95312398 -1.22046858  0.          0.        ]]",[-0.15986407 -0.13194752],[-1.45742047  0.80514741]
2,"[ 1.041913    2.03294659 -0.20415786 -0.93294048  1.11362723 -1.04175973
 -0.28413006  0.0279141   0.2906672   0.5629881   0.        ]",[-1.37856785 -0.38356705],-0.104442521346,-0.104442521346,"[[-0.19924537 -0.05941162  0.1303826  -0.12165119]
 [-7.83235511  2.76479503  0.          0.        ]]",[-0.15986407 -0.13194752],[-1.1442672   0.83620334]
3,"[ 0.9622455   2.03502727 -0.48754508 -0.81431923  1.11362278 -1.04175586
 -0.59378696 -0.19312335  0.20897572  0.27098588  0.        ]",[-2.27815656  0.94772088],-0.0738240734214,-0.0738240734214,"[[ -0.39402244  -0.01988822   0.1303826   -0.12165119]
 [-11.63270073   1.19277825   0.           0.        ]]",[-0.15986407 -0.13194752],[-0.63888395  0.94832265]
4,"[ 0.77180822  2.03412564 -0.84170767 -0.63027258  1.11361834 -1.04175199
 -0.89748596  0.3314014   0.02884593 -0.09217608  0.        ]",[-1.5019705   1.14708202],-0.037948246126,-0.037948246126,"[[ -0.66407296   0.04139589   0.1303826   -0.12165119]
 [-15.3599403    4.92318681   0.           0.        ]]",[-0.15986407 -0.13194752],[-0.12142067  0.98099291]
5,"[ 0.41601158  2.0139344  -1.19125985 -0.22088431  1.11361389 -1.04174812
 -1.19518746  0.87462335 -0.2632479  -0.42799915  0.        ]",[ 0.91771299  1.36893535],-0.0441263319009,-0.0441263319009,"[[ -1.00792977   0.17862276   0.1303826   -0.12165119]
 [-19.01360122   8.786578     0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.39522645  0.95494777]
6,"[-0.02218952  1.93342962 -1.38867344  0.39386334  1.11360944 -1.04174424
 -0.86886807  1.40664637 -0.56719855 -0.61041007  0.        ]",[ 0.32146916  0.0852975 ],-0.079547455621,-0.079547455621,"[[ -1.34802061   0.39231821   0.1303826   -0.12165119]
 [-15.00881562  12.57035489   0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.42291287  0.77918118]
7,"[-0.41819232  1.76632847 -1.42342533  1.05034906  1.113605   -1.04174037
 -0.74108695  1.41899579 -0.7923094  -0.64636696  0.        ]",[-0.20306457 -0.50627775],-0.103314882657,-0.103314882657,"[[ -1.63246274   0.64460714   0.1303826   -0.12165119]
 [-13.44062259  12.65823777   0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.46208325  0.68758911]
8,"[-0.79373009  1.55399519 -1.34117206  1.55122097  1.11360055 -1.0417365
 -0.78486684  1.10183008 -1.01515397 -0.62244556  0.        ]",[-0.70113429 -0.02979369],-0.126201840908,-0.126201840908,"[[ -1.90666588   0.87514061   0.1303826   -0.12165119]
 [-13.97794697  10.40259243   0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.56660008  0.66101998]
9,"[-1.1693187   1.32684116 -1.12429793  1.89452989  1.1135961  -1.04173263
 -0.98842573  1.0562651  -1.27862688 -0.54610109  0.        ]",[ 0.7759975   1.02093758],-0.15465997975,-0.15465997975,"[[ -2.21128977   1.0799422    0.1303826   -0.12165119]
 [-16.4762014   10.0785634    0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.6445508   0.65467423]
10,"[-1.46022086  1.02874941 -0.80620087  2.15460835  1.11359166 -1.04172875
 -0.71180935  1.58470457 -1.46945555 -0.39122765  0.        ]",[ 0.44362242 -0.07760543],-0.174342740979,-0.174342740979,"[[ -2.50675391   1.31922112   0.1303826   -0.12165119]
 [-13.08140261  13.83688719   0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.48259309  0.53752863]
11,"[-1.62619566  0.66928743 -0.48665981  2.24857734  1.11358721 -1.04172488
 -0.54770928  1.5028275  -1.53336982 -0.20418515  0.        ]",[ 0.95281589  1.03342656],-0.179470994878,-0.179470994878,"[[ -2.74817627   1.59011645   0.1303826   -0.12165119]
 [-11.06747352  13.25463926   0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.44524184  0.54365706]
12,"[-1.7018455   0.27174237 -0.22328726  2.09521579  1.11358276 -1.04172101
 -0.22263988  2.02253131 -1.48696679 -0.00779779  0.        ]",[ 0.16559769 -0.22033758],-0.17229698152,-0.17229698152,"[[ -2.92950075   1.89229417   0.1303826   -0.12165119]
 [ -7.07801683  16.95091344   0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.2934207   0.47834313]
13,"[-1.72891829 -0.11407631 -0.02204143  1.639517    1.11357832 -1.04171714
 -0.15779132  1.85262696 -1.37702707  0.20864144  0.        ]",[ 1.67720528  1.44442714],-0.160123975075,-0.160123975075,"[[ -3.06307598   2.21918931   0.1303826   -0.12165119]
 [ -6.28215826  15.74264779   0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.28617668  0.50651878]
14,"[-1.73319701 -0.43230724  0.10685946  0.86869428  1.11357387 -1.04171327
  0.17494914  2.36550027 -1.24144819  0.46644954  0.        ]",[ 0.5228787   0.90203458],-0.151570426517,-0.151570426517,"[[ -3.14774902   2.57064126   0.1303826   -0.12165119]
 [ -2.19856236  19.39044651   0.           0.        ]]",[-0.15986407 -0.13194752],[ 0.11858025  0.46086442]
15,"[-1.73262546 -0.62957226  0.14153003 -0.3023023   1.11356943 -1.0417094
  0.34723207  2.81368206 -1.12534352  0.82484694  0.        ]",[-0.8398423   1.23726947],-0.16094905821,-0.16094905821,"[[ -3.17050598   2.99043483   0.1303826   -0.12165119]
 [ -0.08419725  22.57829968   0.           0.        ]]",[-0.15986407 -0.13194752],[-0.05364221  0.43655017]
16,"[-1.73033385 -0.64324345  0.19486407 -0.90167116  1.11356498 -1.04170552
  0.07634375 -0.33673869 -1.11132493  1.01650011  0.        ]",[ 1.06699366  0.52090159],-0.175295842871,-0.175295842871,"[[-3.20554654  3.1905727   0.1303826  -0.12165119]
 [-3.40868981  0.17176075  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.05279972  0.60473609]
17,"[-1.7272949  -0.64484886  0.23705633 -0.75537335  1.11356053 -1.04170165
  0.40444284 -0.84645434 -1.11288862  0.96124077  0.        ]",[ 0.09609442  1.11400677],-0.170728044935,-0.170728044935,"[[-3.23332068  3.14184826  0.1303826  -0.12165119]
 [ 0.61793034 -3.45346966  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.11006974  0.61952955]
18,"[-1.72916348 -0.6423048   0.2126794  -0.56966065  1.11355609 -1.04169778
  0.43445013 -0.71676539 -1.11815159  0.9035936   0.        ]",[-0.87422012  2.33659304],-0.166471522732,-0.166471522732,"[[-3.21726712  3.07998219  0.1303826  -0.12165119]
 [ 0.98620688 -2.53110697  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.08210731  0.61607635]
19,"[-1.72737946 -0.63810943  0.23575961 -0.45380264  1.11355164 -1.04169391
  0.15082645 -0.55718082 -1.12428193  0.86672165  0.        ]",[ 0.83826961  1.30588017],-0.164127423069,-0.164127423069,"[[-3.23246667  3.04128189  0.1303826  -0.12165119]
 [-2.49456309 -1.39611658  0.          0.        ]]",[-0.15986407 -0.13194752],[ 0.01806369  0.62623841]
20,"[-1.72513961 -0.63513831  0.26016498 -0.39373839  1.11354719 -1.04169004
  0.42529101 -0.45723169 -1.12911648  0.84737472  0.        ]",[ 0.24033586  1.71796745],-0.163101607869,-0.163101607869,"[[-3.24856191  3.02116284  0.1303826  -0.12165119]
 [ 0.87380998 -0.68526479  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.05172964  0.61163306]
21,"[-1.72864197 -0.63353447  0.2194302  -0.36520548  1.11354275 -1.04168617
  0.50141779 -0.4052457  -1.12793702  0.84051798  0.        ]",[ 0.82765061  1.27704786],-0.162443110999,-0.162443110999,"[[-3.22171178  3.01158895  0.1303826  -0.12165119]
 [ 1.80808716 -0.31553622  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.07659111  0.60308892]
22,"[-1.73303339 -0.63276909  0.11490326 -0.35232623  1.1135383  -1.04168229
  0.76551306 -0.38049999 -1.12114936  0.84143777  0.        ]",[-0.26889627  2.03401801],-0.161808342534,-0.161808342534,"[[-3.15303079  3.00726372  0.1303826  -0.12165119]
 [ 5.04920974 -0.13954569  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.18257058  0.57901794]
23,"[-1.728867   -0.63242623 -0.02105232 -0.34670498  1.11353386 -1.04167842
  0.67061645 -0.36931881 -1.11192764  0.84683837  0.        ]",[ 0.33718698  0.12325362],-0.161278828986,-0.161278828986,"[[-3.06373132  3.00537528  0.1303826  -0.12165119]
 [ 3.88461795 -0.06002852  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.13535196  0.58589798]
24,"[-1.71332926 -0.632107   -0.1575898  -0.34154273  1.11352941 -1.04167455
  0.77313002 -0.37346907 -1.10293518  0.85344588  0.        ]",[-0.04150204  1.60145538],-0.16088022905,-0.16088022905,"[[-2.97341587  3.00364063  0.1303826  -0.12165119]
 [ 5.14273552 -0.08955121  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.17885882  0.57613772]
25,"[-1.6829287  -0.63200179 -0.30656809 -0.33987231  1.11352497 -1.04167068
  0.75144333 -0.35997225 -1.09359022  0.86297981  0.        ]",[ 1.46173179 -0.03824783],-0.160694808071,-0.160694808071,"[[-2.87323124  3.00307939  0.1303826  -0.12165119]
 [ 4.87661304  0.00643507  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.18140921  0.5714587 ]
26,"[-1.61990297 -0.63173499 -0.50244678 -0.33562918  1.11352052 -1.04166681
  1.06618935 -0.38151132 -1.08210197  0.8771657   0.        ]",[-1.31583218  1.19916856],-0.160694006299,-0.160694006299,"[[-2.73694283  3.0016532   0.1303826  -0.12165119]
 [ 8.7393554  -0.14675942  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.32593462  0.54164076]
27,"[-1.53511998 -0.63165072 -0.68332655 -0.3343148   1.11351607 -1.04166294
  0.72947373 -0.35477109 -1.07267877  0.89343774  0.        ]",[-0.03427892  1.2835823 ],-0.16110434729,-0.16110434729,"[[-2.6036163   3.00121151  0.1303826  -0.12165119]
 [ 4.6070663   0.04341553  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.2329793   0.55349505]
28,"[-1.46581395 -0.63184668 -0.79761045 -0.33745949  1.11351163 -1.04165907
  0.7109813  -0.35368326 -1.06793913  0.90639186  0.        ]",[-0.4314756   0.06289107],-0.161724335129,-0.161724335129,"[[-2.51375176  3.00226897  0.1303826  -0.12165119]
 [ 4.38014325  0.05114729  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.25507095  0.54793805]
29,"[-1.4058212  -0.63181529 -0.8811953  -0.33698248  1.11350718 -1.04165519
  0.56471251 -0.36606099 -1.06460573  0.91594448  0.        ]",[-0.60968383 -0.26597611],-0.162206939328,-0.162206939328,"[[-2.44415924  3.00210884  0.1303826  -0.12165119]
 [ 2.58509148 -0.03688977  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.23089385  0.55115896]
30,"[-1.38115394 -0.62962409 -0.91233172 -0.30340155  1.11350274 -1.04165132
  0.36384317 -0.5140518  -1.05854843  0.9109554   0.        ]",[-1.07544466  0.4321971 ],-0.16119682479,-0.16119682479,"[[-2.41719092  2.99081062  0.1303826  -0.12165119]
 [ 0.11995601 -1.08942301  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.18062261  0.56703955]
31,"[-1.41509114 -0.62872329 -0.86901271 -0.29032825  1.11349829 -1.04164745
  0.04103755 -0.27042134 -1.0586195   0.90197411  0.        ]",[ 1.01458653 -0.00356531],-0.160444200353,-0.160444200353,"[[-2.45453967  2.98640709  0.1303826  -0.12165119]
 [-3.84162952  0.64329459  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.07239491  0.57153112]
32,"[-1.44666506 -0.63122597 -0.82556359 -0.32775089  1.11349385 -1.04164358
  0.36985233 -0.27417251 -1.06552187  0.90688955  0.        ]",[-0.17337494 -0.01908535],-0.161532692971,-0.161532692971,"[[-2.49088445  2.99900526  0.1303826  -0.12165119]
 [ 0.19370546  0.61661221  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.15645918  0.55817616]
33,"[-1.44924259 -0.63224681 -0.82185653 -0.3440306   1.1134894  -1.04163971
  0.31360299 -0.35873069 -1.0678988   0.91112479  0.        ]",[-0.76440927 -0.23410088],-0.162122424145,-0.162122424145,"[[-2.4939364   3.00447865  0.1303826  -0.12165119]
 [-0.49659674  0.01522385  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.14282915  0.56471682]
34,"[-1.48230974 -0.63054297 -0.77227183 -0.31726594  1.11348496 -1.04163584
  0.06778707 -0.48912485 -1.06657673  0.89800856  0.        ]",[-0.22191417 -0.11496411],-0.160890473961,-0.160890473961,"[[-2.53413613  2.99547845  0.1303826  -0.12165119]
 [-3.51332168 -0.91215408  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.05676358  0.58540368]
35,"[-1.5414004  -0.62578716 -0.67162382 -0.25013267  1.11348051 -1.04163197
  0.00185945 -0.5505963  -1.06499479  0.86789573  0.        ]",[-1.43507367  0.56748555],-0.158228505085,-0.158228505085,"[[-2.61252036  2.97284884  0.1303826  -0.12165119]
 [-4.32240359 -1.34935084  0.          0.        ]]",[-0.15986407 -0.13194752],[-0.00232028  0.59837115]
36,"[-1.62030735 -0.62483429 -0.50117464 -0.23777123  1.11347606 -1.0416281
 -0.31377994 -0.23092238 -1.07571168  0.84742669  0.        ]",[-0.40910975  0.84660825],-0.15763039187,-0.15763039187,"[[-2.73783363  2.96867294  0.1303826  -0.12165119]
 [-8.19601829  0.92417825  0.          0.        ]]",[-0.15986407 -0.13194752],[ 0.11486635  0.60643315]
