timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.02859931  1.42800368  0.2146898  -1.33764223  0.21224262 -0.01832629
  0.30360925 -0.32165077  1.34315648  0.0392266   0.        ]",[ 0.96318657  2.35630719],-0.184958931384,-0.184958931384,"[[ 0.09818254 -0.06161009  0.02516271 -0.00198372]
 [ 0.00070371 -0.0036132   0.          0.        ]]",[-0.59251845 -0.49309403],[ 0.56186676  3.00088358]
1,"[ 1.02196939  1.43009886  0.27116737 -1.23555545  0.21224252 -0.01832628
  0.6810014   0.33246222  1.33268251  0.19312991  0.        ]",[-0.18303294  1.60593188],-0.185337909158,-0.185337909158,"[[  1.36410410e-01  -2.19686529e-02   2.51627063e-02  -1.98371599e-03]
 [  3.80940515e+00   3.95457029e+00   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[-0.18540122  2.36130166]
2,"[ 1.00483737  1.42456309  0.3710688  -0.93168385  0.21224242 -0.01832627
  0.60164282  0.97391959  1.28121311  0.52678868  0.        ]",[-1.06350782  1.84541021],-0.1860923652,-0.1860923652,"[[  2.04562767e-01   9.60681784e-02   2.51627063e-02  -1.98371599e-03]
 [  3.00851071e+00   7.83617441e+00   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[-0.61405617  1.97470593]
3,"[ 0.99856965  1.37716568  0.39994925 -0.43943425  0.21224232 -0.01832626
  0.20363151  1.60287909  1.18748085  0.82121613  0.        ]",[-0.25941633  1.56394022],-0.185453102625,-0.185453102625,"[[  2.24431231e-01   2.90978483e-01   2.51627063e-02  -1.98371599e-03]
 [ -1.00827463e+00   1.16421617e+01   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[-0.70526654  1.83743978]
4,"[ 1.00788919  1.23612735  0.35589478  0.19298209  0.21224222 -0.01832625
  0.10380801  2.2191887   1.04372355  1.04878559  0.        ]",[-1.2390882   0.43250765],-0.18102499624,-0.18102499624,"[[  1.94157318e-01   5.61240709e-01   2.51627063e-02  -1.98371599e-03]
 [ -2.01570656e+00   1.53716249e+01   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[-0.86012995  1.48583448]
5,"[ 1.02602004  0.96813465  0.238898    0.81236941  0.21224211 -0.01832625
 -0.28427074  2.45210519  0.85989556  1.16273925  0.        ]",[-0.52620361  0.5552046 ],-0.170633864907,-0.170633864907,"[[  1.14548025e-01   8.82815505e-01   2.51627063e-02  -1.98371599e-03]
 [ -5.93224997e+00   1.67811046e+01   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[-0.7523908   1.13309324]
6,"[ 1.03531021  0.57871241  0.03343443  1.25657204  0.21224201 -0.01832624
 -0.47897249  2.76054504  0.66283159  1.12317703  0.        ]",[-0.50274484  1.61297941],-0.152882782174,-0.152882782174,"[[ -2.38116786e-02   1.23716539e+00   2.51627063e-02  -1.98371599e-03]
 [ -7.89720761e+00   1.86476162e+01   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[-0.37238109  0.61392683]
7,"[ 1.00614553  0.06866826 -0.22693205  1.3913892   0.21224191 -0.01832623
 -0.66067371  3.35386271  0.40636444  0.98082903  0.        ]",[ 0.20802246 -0.47260969],-0.125754871896,-0.125754871896,"[[ -2.00154563e-01   1.64614228e+00   2.51627063e-02  -1.98371599e-03]
 [ -9.73096326e+00   2.22380528e+01   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[ 0.34523135 -0.10144427]
8,"[ 0.92749108 -0.43971089 -0.48928226  1.08696262  0.21224181 -0.01832622
 -0.55995801  2.97177081  0.10607031  0.76273038  0.        ]",[ 1.19078443  0.17467558],-0.0921397295767,-0.0921397295767,"[[ -3.84575469e-01   2.06770523e+00   2.51627063e-02  -1.98371599e-03]
 [ -8.71453159e+00   1.99259829e+01   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[ 0.56263661 -0.459609  ]
9,"[ 0.84175566 -0.82675419 -0.66701706  0.42656482  0.21224171 -0.01832621
 -0.15056916  3.02081369 -0.22318788  0.52381234  0.        ]",[-0.13177911 -1.56000249],-0.0584740790941,-0.0584740790941,"[[ -5.17414097e-01   2.46920251e+00   2.51627063e-02  -1.98371599e-03]
 [ -4.58293149e+00   2.02228414e+01   0.00000000e+00   0.00000000e+00]]",[-0.59251845 -0.49309403],[ 0.5952211  -1.02011609]
