timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.03839016  1.40272809 -0.0270027  -1.42235884 -0.47917803 -1.45553081
  0.29423117 -0.31820564  2.13967518  1.71014857  0.        ]",[-2.16893816 -0.60647027],-0.300605304108,-0.300605304108,"[[-0.06438347 -0.08474754 -0.05436945 -0.168467  ]
 [ 0.00450354  0.00113805  0.          0.        ]]",[-0.66699368 -0.55205524],[-3.01931429 -0.41275129]
1,"[ 1.03347713  1.39976661 -0.08567598 -1.48381264 -0.47917778 -1.45552888
 -0.10750742 -0.72004566  2.12417477  1.5714145   0.        ]",[-3.56713363  0.35273045],-0.294094575272,-0.294094575272,"[[-0.10397553 -0.10880334 -0.05436945 -0.168467  ]
 [-3.95054678 -2.39872398  0.          0.        ]]",[-0.66699368 -0.55205524],[-2.88335514 -0.09829047]
2,"[ 1.00526383  1.39442883 -0.25864115 -1.5690396  -0.47917753 -1.45552694
 -0.50145216 -0.47797704  2.05948743  1.21797721  0.        ]",[-3.14752144  0.01881185],-0.276376192714,-0.276376192714,"[[-0.22189883 -0.14227289 -0.05436945 -0.168467  ]
 [-7.82886864 -0.95304939  0.          0.        ]]",[-0.66699368 -0.55205524],[-2.81610918  0.01042923]
3,"[ 0.91522108  1.39095092 -0.53317444 -1.61498734 -0.47917728 -1.455525
 -0.88755223 -0.46208916  1.89697057  0.7145655   0.        ]",[-2.17997337  1.08612862],-0.247531722076,-0.247531722076,"[[ -0.4166137   -0.16038192  -0.05436945  -0.168467  ]
 [-11.62996378  -0.85816567   0.           0.        ]]",[-0.66699368 -0.55205524],[-2.34854269  0.52075487]
4,"[ 0.70705106  1.39524981 -0.87414537 -1.55723748 -0.47917703 -1.45552307
 -1.26616342  0.20402292  1.58940886  0.15502539  0.        ]",[-1.66896153  1.33741265],-0.207841943089,-0.207841943089,"[[ -0.68661101  -0.13763133  -0.05436945  -0.168467  ]
 [-15.35733896   3.11996987   0.           0.        ]]",[-0.66699368 -0.55205524],[-1.92055392  0.69173002]
5,"[ 0.32494097  1.40645926 -1.20669645 -1.29774232 -0.47917678 -1.45552113
 -1.6372773   0.85694204  1.12755876 -0.33094723  0.        ]",[ 0.09214546  0.46525292],-0.159545702073,-0.159545702073,"[[ -1.03041525  -0.03610834  -0.05436945  -0.168467  ]
 [-19.01091695   7.01931653   0.           0.        ]]",[-0.66699368 -0.55205524],[-0.73938084  0.8887738 ]
6,"[-0.18809864  1.39792118 -1.39778089 -0.89432807 -0.47917653 -1.45551919
 -1.5621249   1.14207965  0.5768733  -0.61261814  0.        ]",[ 1.33187608 -0.97618429],-0.108395490822,-0.108395490822,"[[ -1.40321031   0.12136408  -0.05436945  -0.168467  ]
 [-18.27107643   8.72221282   0.           0.        ]]",[-0.66699368 -0.55205524],[ 0.75682801  0.72832829]
7,"[-0.6613433   1.36602098 -1.40089889 -0.55693561 -0.47917628 -1.45551726
 -1.12344582  0.46563536  0.06731875 -0.66658301  0.        ]",[ 2.03106007 -0.00956777],-0.0639310506034,-0.0639310506034,"[[ -1.7253009    0.25527529  -0.05436945  -0.168467  ]
 [-13.95236091   4.68237508   0.           0.        ]]",[-0.66699368 -0.55205524],[ 1.82791734  1.19925475]
8,"[-0.99677937  1.33113052 -1.30631239 -0.33073644 -0.47917602 -1.45551532
 -0.693589    0.44347164 -0.30823547 -0.59090104  0.        ]",[ 2.17903777  1.85475832],-0.0357642737006,-0.0357642737006,"[[-1.96188864  0.34759452 -0.05436945 -0.168467  ]
 [-9.72049227  4.55001099  0.          0.        ]]",[-0.66699368 -0.55205524],[ 1.99939537  1.03306413]
9,"[-1.19787962  1.26491008 -1.20399241 -0.02570939 -0.47917577 -1.45551338
 -0.27237621  1.09112064 -0.46548817 -0.50095773  0.        ]",[ 1.24520368  0.13154399],-0.0272654153674,-0.0272654153674,"[[-2.11469305  0.47740211 -0.05436945 -0.168467  ]
 [-5.57372066  8.41788337  0.          0.        ]]",[-0.66699368 -0.55205524],[ 1.24817598 -0.17981014]
