timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.050233    1.37623551  0.15012115 -1.16955621 -0.83910997 -0.38811799
  0.2809209  -0.31654857  2.62080964  0.64566133  0.        ]",[-1.56336799  1.89815077],-0.311529694542,-0.311529694542,"[[ 0.05511825  0.02860795 -0.09619087 -0.04551293]
 [-0.00099282 -0.00487149  0.          0.        ]]",[-0.72327268 -0.63730592],[-0.4401499   1.54971302]
1,"[ 1.05228524  1.373771    0.09114679 -1.06807564 -0.83910942 -0.38811782
 -0.13490511  0.35949218  2.62219935  0.59283372  0.        ]",[-1.35354517  0.94870896],-0.310923832011,-0.310923832011,"[[ 0.01539264  0.06825476 -0.09619087 -0.04551293]
 [-3.95838804  3.95634515  0.          0.        ]]",[-0.72327268 -0.63730592],[-0.50682306  1.44818985]
2,"[ 1.04473282  1.3550247  -0.08401028 -0.77320977 -0.83910886 -0.38811764
 -0.5424975   0.98747826  2.61726174  0.4332374   0.        ]",[-0.82800374  1.59171103],-0.308485369438,-0.308485369438,"[[-0.1026946   0.1843009  -0.09619087 -0.04551293]
 [-7.83742484  7.63599085  0.          0.        ]]",[-0.72327268 -0.63730592],[-0.54106152  1.42579436]
3,"[ 0.99090705  1.28746381 -0.35761138 -0.30361062 -0.8391083  -0.38811747
 -0.87055048  1.6376221   2.58053485  0.19275234  0.        ]",[-0.60061114  0.73852329],-0.302730918843,-0.302730918843,"[[ -0.29076749   0.37524288  -0.09619087  -0.04551293]
 [-10.95949174  11.4454777    0.           0.        ]]",[-0.72327268 -0.63730592],[-0.67254418  1.28481364]
4,"[ 0.85007402  1.12947442 -0.68481433  0.26951328 -0.83910775 -0.3881173
 -1.0975726   2.09809301  2.48360994 -0.07784471  0.        ]",[-1.55438319  1.54036443],-0.291901025214,-0.291901025214,"[[ -0.53163446   0.63122415  -0.09619087  -0.04551293]
 [-13.12005678  14.14360293   0.           0.        ]]",[-0.72327268 -0.63730592],[-0.76037425  0.90423524]
5,"[ 0.57447911  0.83887085 -1.02910881  0.84325329 -0.83910719 -0.38811712
 -1.4862175   2.72614269  2.29449379 -0.35624083  0.        ]",[-0.14554955  1.01435565],-0.27322884898,-0.27322884898,"[[ -0.83114485   0.95102088  -0.09619087  -0.04551293]
 [-16.81878537  17.82367645   0.           0.        ]]",[-0.72327268 -0.63730592],[-0.684129    0.01381266]
6,"[ 0.15824597  0.38243959 -1.29953903  1.25408654 -0.83910664 -0.38811695
 -1.51198044  3.34148333  2.00392483 -0.520312    0.        ]",[-1.26868985 -1.44070542],-0.245106614194,-0.245106614194,"[[ -1.16998092   1.34367155  -0.09619087  -0.04551293]
 [-17.06398832  21.42933134   0.           0.        ]]",[-0.72327268 -0.63730592],[-0.72998565 -1.1773138 ]
7,"[-0.37983679 -0.10776962 -1.4168783   1.28819402 -0.83910608 -0.38811678
 -1.8924169   2.5931595   1.63808094 -0.61511478  0.        ]",[-0.0385526  -1.56161517],-0.209612381539,-0.209612381539,"[[ -1.54758486   1.72826615  -0.09619087  -0.04551293]
 [-20.68461558  17.044588     0.           0.        ]]",[-0.72327268 -0.63730592],[ 0.04255606 -1.57435977]
8,"[-0.96852207 -0.47074422 -1.30689857  1.05890944 -0.83910553 -0.3881166
 -1.86555464  1.85950977  1.25460287 -0.68109035  0.        ]",[ 0.76033073 -1.73362125],-0.172729351773,-0.172729351773,"[[ -1.95871274   2.0260263   -0.09619087  -0.04551293]
 [-20.42899939  12.74579093   0.           0.        ]]",[-0.72327268 -0.63730592],[ 0.56345999 -1.7924639 ]
9,"[-1.42644073 -0.70128048 -1.00619652  0.76927184 -0.83910497 -0.38811643
 -1.50689809  1.14043723  0.94200932 -0.64820373  0.        ]",[ 0.0149635  -1.98788687],-0.141613214403,-0.141613214403,"[[ -2.33304721   2.2386664   -0.09619087  -0.04551293]
 [-17.01569404   8.53239185   0.           0.        ]]",[-0.72327268 -0.63730592],[ 0.50840098 -1.69837272]
