timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.201251359957,[-0.37535998 -0.21444944],[-0.35748219 -2.44338036],-2.78019,"[ 1.24286531  2.68666028  0.04887389  0.82536535  0.14595336 -0.41617402
 -0.07353552  0.39139253  1.28302432  0.50221852  0.        ]","[[ 0.04150977 -0.01654549  0.01652359 -0.04892171]
 [-0.00035728 -0.00341822  0.          0.        ]]",[-0.03762498 -2.08143576]
1,-0.200027014837,[-0.37535998 -0.21444944],[-0.29887718 -2.40505123],-2.86938,"[ 1.24294671  2.68436712  0.04669876  0.64818198  0.14595326 -0.41617369
 -0.07611008 -0.13724773  1.2832169   0.45979791  0.        ]","[[ 0.04002478 -0.05634043  0.01652359 -0.04892171]
 [-0.14765727 -3.96288076  0.          0.        ]]",[-0.6065746  -1.73338288]
2,-0.194775019585,[-0.37535998 -0.21444944],[-0.09186685 -2.36025429],-3.05201,"[ 1.2439327   2.66297402  0.00715656  0.12538282  0.14595315 -0.41617336
 -0.11797418 -0.65530568  1.27302467  0.29156392  0.        ]","[[ 0.01304057 -0.17452936  0.01652359 -0.04892171]
 [-2.54280945 -7.84308429  0.          0.        ]]",[-0.79232774 -1.4235499 ]
3,-0.182902580217,[-0.37535998 -0.21444944],[ 0.24757136 -2.27340341],-3.2998,"[ 1.24078743  2.58074951 -0.11265835 -0.71027451  0.14595305 -0.41617303
 -0.17185881 -1.1630706   1.20335125 -0.04485735  0.        ]","[[ -0.06874622  -0.36954895   0.01652359  -0.04892171]
 [ -5.62568523 -11.64620183   0.           0.        ]]",[-1.10445274 -1.6236297 ]
4,-0.162876919201,[-0.37535998 -0.21444944],[ 0.50648975 -2.03957629],-3.34659,"[ 1.21082768  2.37596084 -0.33162695 -1.76134963  0.14595295 -0.4161727
 -0.23905211 -1.66073754  0.97615578 -0.51183894  0.        ]","[[ -0.21982874  -0.63987233   0.01652359  -0.04892171]
 [ -9.469983   -15.37370531   0.           0.        ]]",[-0.83630167 -3.00592938]
5,-0.136413588875,[-0.37535998 -0.21444944],[ 0.60324848 -1.66969109],-3.06318,"[ 1.11224383  1.98549972 -0.6370955  -2.81121428  0.14595285 -0.41617237
 -0.29362731 -2.14856373  0.49941615 -0.93111779  0.        ]","[[ -4.40552488e-01  -9.84006776e-01   1.65235887e-02  -4.89217098e-02]
 [ -1.25923694e+01  -1.90275365e+01   0.00000000e+00   0.00000000e+00]]",[ 1.29517408 -2.0453077 ]
6,-0.109876912068,[-0.37535998 -0.21444944],[ 0.16835278 -1.29832935],-3.03204,"[ 0.96238158  1.38173685 -0.89938955 -3.49206523  0.14595275 -0.41617204
 -0.22015474 -2.62699293 -0.08929682 -0.99123264  0.        ]","[[ -6.50223965e-01  -1.40051211e+00   1.65235887e-02  -4.89217098e-02]
 [ -8.38884405e+00  -2.26110379e+01   0.00000000e+00   0.00000000e+00]]",[-0.02144522 -3.2653321 ]
7,-0.0851701370991,[-0.37535998 -0.21444944],[-0.54505998 -1.00619984],-2.49655,"[ 0.80819805  0.62537644 -1.0809944  -3.33424392  0.14595265 -0.41617171
 -0.21880184 -3.09581891 -0.54453657 -0.64106234  0.        ]","[[ -8.17222359e-01  -1.88796638e+00   1.65235887e-02  -4.89217098e-02]
 [ -8.31145065e+00  -2.61226871e+01   0.00000000e+00   0.00000000e+00]]",[-0.10292876 -2.26388696]
8,-0.0668152439016,[-0.37535998 -0.21444944],[-1.18826008 -0.80662799],-1.55582,"[ 0.62576718 -0.08978915 -1.23424068 -1.95978496  0.14595255 -0.41617138
 -0.22312174 -3.55535215 -0.68819527 -0.03083452  0.        ]","[[ -9.85931797e-01  -2.44495613e+00   1.65235887e-02  -4.89217098e-02]
 [ -8.55861094e+00  -2.95648338e+01   0.00000000e+00   0.00000000e+00]]",[-1.98228626  0.78447744]
9,-0.0618477705533,[-0.37535998 -0.21444944],[-1.16733766 -0.8137036 ],-1.31275,"[ 0.37010389 -0.44000793 -1.37568059  0.26684377  0.14595245 -0.41617105
 -0.28940021 -3.06246201 -0.44233284  0.46281378  0.        ]","[[ -1.19515468e+00  -2.99921318e+00   1.65235887e-02  -4.89217098e-02]
 [ -1.23505588e+01  -2.58732222e+01   0.00000000e+00   0.00000000e+00]]",[-0.92845203 -1.43122701]
10,-0.059755031192,[-0.37535998 -0.21444944],[-1.14704132 -1.44900537],-1.4128,"[-0.00644883 -0.45035646 -1.47139321  1.27327515  0.14595235 -0.41617072
 -0.34935968  0.39188686 -0.2340251   0.53433206  0.        ]","[[ -1.47658372e+00  -3.22567571e+00   1.65235887e-02  -4.89217098e-02]
 [ -1.57809841e+01   1.79747858e-04   0.00000000e+00   0.00000000e+00]]",[-1.02718549 -1.60626063]
