timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.57143056 -0.56045336],"[[-0.02894097 -0.08820217  0.1737604   0.09245399]
 [-0.00446841  0.00256189  0.          0.        ]]",[ 1.47160722  1.16166347],"[ 1.26153759  1.6548517  -0.32279497  0.74490105  1.5039691   0.80478838
  0.68981263  0.37735408 -0.0215532  -1.48627211  0.        ]",-2.44518,-0.113861174966,[ 1.39902771  0.81406122]
1,[-0.57143056 -0.56045336],"[[ 0.01064567 -0.04843901  0.1737604   0.09245399]
 [ 3.94996723  3.96056871  0.          0.        ]]",[ 1.00729699 -0.81973042],"[ 1.26203354  1.65827431 -0.26239143  0.85142215  1.50396749  0.80478794
  0.79685382  1.02008758 -0.01569065 -1.3508532   0.        ]",-2.42019,-0.102162612674,[ 0.85975081 -0.21519572]
2,[-0.57143056 -0.56045336],"[[  1.28564555e-01  -2.59558840e-03   1.73760397e-01   9.24539894e-02]
 [  7.82900291e+00   6.34861582e-01   0.00000000e+00   0.00000000e+00]]",[ 1.12368345  0.47609755],"[ 1.25078189  1.6597479  -0.08298469  0.97447596  1.50396587  0.80478751
  0.90185393  0.48003131 -0.02897728 -1.03260252  0.        ]",-1.98793,-0.0743290284914,[ 0.37964109 -0.08480409]
3,[-0.57143056 -0.56045336],"[[  0.32327413   0.028875     0.1737604    0.09245399]
 [ 11.62930524   2.50596354   0.           0.        ]]",[ 0.56110622 -0.77554152],"[ 1.1910077   1.65922416  0.20613807  1.05897375  1.50396426  0.80478707
  1.00472271  0.78387612 -0.11329742 -0.57170275  0.        ]",-1.64437,-0.0332952143142,[-0.48014829 -1.02013266]
4,[-0.57143056 -0.56045336],"[[  0.57583519   0.04767786   0.1737604    0.09245399]
 [ 13.62016604  -0.61527594   0.           0.        ]]",[-1.30384056 -1.68618869],"[ 1.04075552  1.6583143   0.55233478  1.10942734  1.50396265  0.80478663
  1.05861209  0.27702291 -0.31845438 -0.04752705  0.        ]",-1.4789,-0.0262337891634,[-1.37078488 -1.11743927]
5,[-0.57143056 -0.56045336],"[[  8.05860378e-01  -4.21703986e-03   1.73760397e-01   9.24539894e-02]
 [  9.39641195e+00  -4.56106252e+00   0.00000000e+00   0.00000000e+00]]",[-1.2919125   1.28793725],"[ 0.84001225  1.65973478  0.82227387  0.97011967  1.50396103  0.8047862
  0.94427975 -0.36372714 -0.54443339  0.30030518  0.        ]",-1.59078,-0.0650640679494,[-1.57792068 -0.55658764]
6,[-0.57143056 -0.56045336],"[[ 0.95221761 -0.05478821  0.1737604   0.09245399]
 [ 5.25311204 -0.50956177  0.          0.        ]]",[-1.86156601 -1.99216172],"[ 0.68543614  1.6578508   0.96461545  0.83439188  1.50395942  0.80478576
  0.83212533  0.29418989 -0.70239332  0.47453841  0.        ]",-1.51727,-0.0886094787782,[-1.75888193 -1.30365944]
7,[-0.57143056 -0.56045336],"[[ 1.01656223 -0.10459019  0.1737604   0.09245399]
 [ 1.19485479 -4.45748604  0.          0.        ]]",[-1.40281603 -0.07869956],"[ 0.6118827   1.65284737  1.01894159  0.70109433  1.5039578   0.80478532
  0.722273   -0.34690768 -0.75693966  0.52324103  0.        ]",-1.68381,-0.096038286929,[-1.4000423  -0.38590491]
8,[-0.57143056 -0.56045336],"[[ 1.00053228 -0.19596558  0.1737604   0.09245399]
 [-2.7846108  -4.67931984  0.          0.        ]]",[-1.50597723 -0.33938188],"[ 0.63049819  1.63559149  1.00590058  0.45856976  1.50395619  0.80478489
  0.61455353 -0.38293082 -0.67211204  0.43146199  0.        ]",-1.56198,-0.08325176109,[-0.76643521  0.11661643]
9,[-0.57143056 -0.56045336],"[[ 0.90570584 -0.3020902   0.1737604   0.09245399]
 [-6.68507357 -5.9289778   0.          0.        ]]",[ 1.28886115  0.98712118],"[ 0.73656912  1.60260495  0.92212532  0.18250916  1.50395457  0.80478445
  0.50897261 -0.58586082 -0.49071021  0.19270242  0.        ]",-1.67493,-0.0532058382538,[ 0.17961557  1.00006175]
10,[-0.57143056 -0.56045336],"[[ 0.81300631 -0.38029089  0.1737604   0.09245399]
 [-2.5984487  -1.9045028   0.          0.        ]]",[-0.24572706  0.41020223],"[ 0.83291017  1.56959758  0.82979421 -0.01533143  1.50395296  0.80478401
  0.61959224  0.06766834 -0.35619101 -0.04670444  0.        ]",-1.48617,-0.026806442346,[ 0.13462126  0.49834412]
11,[-0.57143056 -0.56045336],"[[ 0.7517933  -0.40170261  0.1737604   0.09245399]
 [-3.51977897 -0.2422082   0.          0.        ]]",[ 1.67676647  1.09924382],"[ 0.89213506  1.55930042  0.76355393 -0.06848885  1.50395134  0.80478358
  0.59465269  0.33760613 -0.29209464 -0.1830021   0.        ]",-1.64203,-0.0138184924456,[ 0.42383918  0.42265791]
12,[-0.57143056 -0.56045336],"[[ 0.72177331 -0.36678576  0.1737604   0.09245399]
 [ 0.50437594  3.72068543  0.          0.        ]]",[ 0.19280039 -0.51542537],"[ 0.91982037  1.57581175  0.72962558  0.01843349  1.50394973  0.80478314
  0.70358132  0.98113496 -0.27698488 -0.20143645  0.        ]",-1.51642,-0.0126538373889,[ 0.00524116 -0.51596481]
13,[-0.57143056 -0.56045336],"[[ 0.73942105 -0.31359069  0.1737604   0.09245399]
 [ 1.25788942  1.60586988  0.          0.        ]]",[ 0.40277163 -0.9910517 ],"[ 0.90365514  1.59820117  0.74968236  0.15307848  1.50394811  0.8047827
  0.72397765  0.63771234 -0.3111433  -0.11020616  0.        ]",-1.51804,-0.0203730979995,[-0.17217526 -0.34314293]
14,[-0.57143056 -0.56045336],"[[ 0.78033074 -0.32117055  0.1737604   0.09245399]
 [ 2.82785072 -2.35066553  0.          0.        ]]",[-1.03229723  0.88149658],"[ 0.86497679  1.5952148   0.79493494  0.13374052  1.5039465   0.80478227
  0.7664742  -0.00478475 -0.34729992 -0.04300935  0.        ]",-1.45724,-0.0269608374169,[-0.35820487  0.24320406]
15,[-0.57143056 -0.56045336],"[[ 0.79662178 -0.33268173  0.1737604   0.09245399]
 [-1.18538209  1.18774709  0.          0.        ]]",[-0.77683109 -0.14640437],"[ 0.84911587  1.59054902  0.81245911  0.10446635  1.50394488  0.80478183
  0.65784052  0.56981382 -0.35876177 -0.02567132  0.        ]",-1.45933,-0.0287950584342,[-0.09394541 -0.22627068]
16,[-0.57143056 -0.56045336],"[[ 0.74231819 -0.31496742  0.1737604   0.09245399]
 [-4.23482151  0.585691    0.          0.        ]]",[-0.12498152 -0.34094394],"[ 0.90096963  1.59765863  0.75294334  0.14956245  1.50394327  0.8047814
  0.5752956   0.4720464  -0.31333699 -0.10626589  0.        ]",-1.49612,-0.0207390535396,[ 0.37661582  0.09188533]
17,[-0.57143056 -0.56045336],"[[ 0.65350669 -0.31691309  0.1737604   0.09245399]
 [-4.64496801 -0.77572065  0.          0.        ]]",[ 0.58021929 -0.06585178],"[ 0.97928203  1.59689403  0.64913737  0.14459619  1.50394165  0.80478096
  0.56419318  0.25096811 -0.23565578 -0.27819658  0.        ]",-1.55083,-0.0105539157614,[ 0.74179375  0.55119401]
18,[-0.57143056 -0.56045336],"[[ 0.58455969 -0.33489841  0.1737604   0.09245399]
 [-2.25767934 -1.02199059  0.          0.        ]]",[ 0.51001353  1.17296689],"[ 1.03418439  1.58962717  0.56346311  0.09884217  1.50394004  0.80478052
  0.62881396  0.21097651 -0.17992203 -0.43625805  0.        ]",-1.57546,-0.0191091543245,[ 0.74595994  0.67312521]
19,[-0.57143056 -0.56045336],"[[ 0.56008228 -0.31541514  0.1737604   0.09245399]
 [-0.19692041  2.95705777  0.          0.        ]]",[ 1.13881039 -0.07533678],"[ 1.0523796   1.59747794  0.53206295  0.14841929  1.50393842  0.80478009
  0.68459594  0.85712989 -0.16788754 -0.46399801  0.        ]",-1.63892,-0.0217652913152,[ 0.49308422 -0.15003592]
20,[-0.57143056 -0.56045336],"[[ 0.59587539 -0.2598694   0.1737604   0.09245399]
 [ 3.76303748  2.59871619  0.          0.        ]]",[-1.02917227 -1.33492024],"[ 1.02553866  1.61735479  0.57780916  0.29143256  1.50393681  0.80477965
  0.79178691  0.7989387  -0.20769276 -0.32891448  0.        ]",-1.47357,-0.0128556932165,[-0.05737139 -0.48279679]
21,[-0.57143056 -0.56045336],"[[ 0.63071357 -0.24812358  0.1737604   0.09245399]
 [-0.26580384 -1.41077965  0.          0.        ]]",[ 0.40538001  1.06933427],"[ 0.99801593  1.62107656  0.62128177  0.32196195  1.5039352   0.80477921
  0.68273058  0.14784031 -0.23909408 -0.24700718  0.        ]",-1.54897,-0.0118067468455,[ 0.30552769  0.332735  ]
22,[-0.57143056 -0.56045336],"[[ 0.6415249  -0.23633727  0.1737604   0.09245399]
 [ 1.34158707  2.57612605  0.          0.        ]]",[-0.80378121 -0.69511855],"[ 0.98919923  1.62464155  0.6345528   0.35268806  1.50393358  0.80477878
  0.7262404   0.79527004 -0.25221687 -0.21321597  0.        ]",-1.47506,-0.0130772947019,[ 0.00158508 -0.52461874]
23,[-0.57143056 -0.56045336],"[[ 0.63619831 -0.21292968  0.1737604   0.09245399]
 [-1.86357421 -0.22603128  0.          0.        ]]",[ 0.31323483  0.83252352],"[ 0.99355826  1.63121782  0.62802715  0.41396497  1.50393197  0.80477834
  0.63948013  0.34022997 -0.25622364 -0.19823693  0.        ]",-1.54289,-0.0140015383703,[ 0.36103579  0.08341521]
