timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.80470812 -0.76318622],"[[-0.06761957 -0.03451733 -0.07773195 -0.18350757]
 [-0.00066821  0.00264889  0.          0.        ]]",[-2.67579606 -3.72366292],"[ 1.23288205  1.42970273 -0.49645289  0.97913994 -0.67509904 -1.58829522
  0.6326471   0.36062283  2.18900879  1.46920841  0.        ]",-4.55486,-0.33125643918,[-2.77276516 -3.92824459]
1,[-0.80470812 -0.76318622],"[[-0.1073079  -0.07417728 -0.07773195 -0.18350757]
 [-3.95500632 -3.95545691  0.          0.        ]]",[-2.28246982 -3.52447963],"[ 1.2281338   1.42704969 -0.5591854   0.87568449 -0.67509883 -1.58829403
  0.52776577 -0.32044212  2.17461545  1.3204727   0.        ]",-4.46721,-0.323756839035,[-2.54173565 -3.25683713]
2,[-0.80470812 -0.76318622],"[[-0.22529909 -0.19221332 -0.07773195 -0.18350757]
 [-7.8312402  -7.83521643  0.          0.        ]]",[-3.36727751 -3.6996526 ],"[ 1.2013994   1.40776149 -0.74372362  0.57021428 -0.67509862 -1.58829283
  0.42495602 -0.98802595  2.08718734  0.89057665  0.        ]",-4.16785,-0.299383606761,[-2.60267234 -2.65058851]
3,[-0.80470812 -0.76318622],"[[ -0.42004902  -0.3870736   -0.07773195  -0.18350757]
 [-11.63121369 -11.63812151   0.           0.        ]]",[-2.26779054 -1.96666796],"[ 1.11695713  1.33935137 -1.03634112  0.08310284 -0.67509841 -1.58829164
  0.32416895 -1.64238467  1.80794643  0.26083993  0.        ]",-3.54063,-0.253151787705,[-2.79022098 -2.06944561]
4,[-0.80470812 -0.76318622],"[[ -0.69005371  -0.65723509  -0.07773195  -0.18350757]
 [-15.35711038 -15.36556011   0.           0.        ]]",[-3.26713777 -1.6240042 ],"[ 0.92268211  1.17396868 -1.39935839 -0.52680493 -0.6750982  -1.58829045
  0.22534663 -2.28375603  1.20761003 -0.33816104  0.        ]",-2.72998,-0.17968052957,[-2.91676497 -1.35427308]
5,[-0.80470812 -0.76318622],"[[ -1.03385628  -1.00120155  -0.07773195  -0.18350757]
 [-19.01143337 -19.01883031   0.           0.        ]]",[-2.84425898 -1.7589804 ],"[ 0.56701656  0.86323835 -1.75273655 -1.13080586 -0.67509799 -1.58828926
  0.12842267 -2.91236194  0.29989979 -0.49610008  0.        ]",-2.51651,-0.0796369937321,[-2.96657968 -0.98628241]
6,[-0.80470812 -0.76318622],"[[ -1.45005046  -1.41750252  -0.07773195  -0.18350757]
 [-22.59664006 -22.59924103   0.           0.        ]]",[-3.04554298 -1.65233512],"[ 0.03146112  0.38728633 -1.96447915 -1.51264414 -0.67509778 -1.58828807
  0.03333188 -3.52842583 -0.57266359  0.1566903   0.        ]",-2.08436,-0.0567985550155,[-3.43041587 -1.10932112]
7,[-0.80470812 -0.76318622],"[[ -1.93727201  -1.9046956   -0.07773195  -0.18350757]
 [-26.11429524 -26.10833158   0.           0.        ]]",[-3.26644106 -0.54238068],"[-0.62423269 -0.20417898 -1.87066085 -1.39899101 -0.67509757 -1.58828688
 -0.05996722 -4.13221054 -0.81043735  1.41609404  0.        ]",-2.46748,-0.166479816101,[-3.45103765 -0.77184176]
8,[-0.80470812 -0.76318622],"[[ -2.49416833  -2.44319353  -0.07773195  -0.18350757]
 [-29.56370439 -27.73615022   0.           0.        ]]",[-3.53462964 -0.36784938],"[-1.22587498 -0.74359129 -1.34628302 -0.61056787 -0.67509736 -1.58828569
 -0.15145624 -4.41228512 -0.22070691  2.23596183  0.        ]",-2.75997,-0.231517987922,[-3.25862336 -0.43247804]
9,[-0.80470812 -0.76318622],"[[ -3.11934605  -3.00700179  -0.07773195  -0.18350757]
 [-32.94179123 -23.76807995   0.           0.        ]]",[-2.72325369 -0.3225749 ],"[-1.50266918 -1.02069905 -0.42452842  0.71873378 -0.67509715 -1.5882845
 -0.24105355 -3.72950218  0.3616239   1.85833297  0.        ]",-3.04095,-0.21645884288,[-3.01026654  0.13239843]
10,[-0.80470812 -0.76318622],"[[ -3.81135346  -3.17969035  -0.07773195  -0.18350757]
 [-36.24806788   0.06838405   0.           0.        ]]",[-1.86471137 -0.36302502],"[-1.20715254 -1.03093923  0.5958521   1.16881165 -0.67509694 -1.58828331
 -0.32874624  0.37193823  0.32303577  1.55993085  0.        ]",-3.01853,-0.19171588615,[-1.99678826 -0.23348853]
11,[-0.80470812 -0.76318622],"[[ -4.56883807  -3.13192418  -0.07773195  -0.18350757]
 [-39.48965423   3.26600515   0.           0.        ]]",[-2.88840656 -0.68694165],"[-0.32941776 -1.03177458  1.18124693  1.04404259 -0.67509673 -1.58828211
 -0.41472313  0.92213924  0.30285146  1.56601772  0.        ]",-2.92941,-0.191244942727,[-1.94704521 -0.8272903 ]
