timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.56703383 -0.55530125],"[[ 0.06849587 -0.02508209 -0.11679125  0.16257283]
 [-0.00379186 -0.00040041  0.          0.        ]]",[ 3.20544136  1.36324414],"[ 1.25869458  1.66451395 -0.17180045  0.91239921 -1.01614938  1.41560634
  0.69078149  0.37719394  2.37286535 -1.93775251  0.        ]",-4.11771,-0.359665010627,[ 3.66501713  1.57451367]
1,[-0.56703383 -0.55530125],"[[ 0.10809584  0.01462238 -0.11679125  0.16257283]
 [ 3.95062767  3.95766128  0.          0.        ]]",[ 3.58499572  0.65191962],"[ 1.25390085  1.66477404 -0.11164327  1.01910251 -1.0161487   1.41560493
  0.79789442  1.01925611  2.36404131 -1.80285565  0.        ]",-4.15828,-0.35356245009,[ 3.50037217  0.60211933]
2,[-0.56703383 -0.55530125],"[[ 0.22600531  0.11887362 -0.11679125  0.16257283]
 [ 7.82742897  6.45912731  0.          0.        ]]",[ 3.95150622 -1.08438832],"[ 1.22700573  1.65599593  0.06558169  1.2985436  -1.01614801  1.41560352
  0.90290481  1.42503369  2.3014528  -1.42535951  0.        ]",-4.12422,-0.334041950726,[ 3.16971588 -0.40169948]
3,[-0.56703383 -0.55530125],"[[  0.42070783   0.20702997  -0.11679125   0.16257283]
 [ 11.63015424   2.37012711   0.           0.        ]]",[ 2.38456198  0.8927385 ],"[ 1.14222244  1.63794103  0.34670015  1.53226243 -1.01614733  1.41560211
  1.00590858  0.76173029  2.13142167 -0.93566066  0.        ]",-3.54715,-0.302543954788,[ 2.75908875 -0.2485992 ]
4,[-0.56703383 -0.55530125],"[[  0.69068147   0.28941229  -0.11679125   0.16257283]
 [ 15.35485503   5.85646486   0.           0.        ]]",[ 2.51286871 -1.59730946],"[ 0.94733376  1.61238977  0.69543735  1.74682941 -1.01614664  1.41560069
  1.10679875  1.32727041  1.78627442 -0.40570768  0.        ]",-3.31957,-0.255250589226,[ 1.9048059  -1.83541548]
5,[-0.56703383 -0.55530125],"[[  1.0344404    0.36563276  -0.11679125   0.16257283]
 [ 19.00884322   1.77913322   0.           0.        ]]",[ 0.62908548 -1.50816305],"[ 0.59073368  1.58143418  1.03480664  1.94074483 -1.01614596  1.41559928
  1.20577336  0.66585999  1.2223558   0.01396477  0.        ]",-2.62915,-0.189269519012,[ 0.51355469 -2.04150653]
6,[-0.56703383 -0.55530125],"[[  1.43582952   0.36112011  -0.11679125   0.16257283]
 [ 21.12298275  -2.21709808   0.           0.        ]]",[-0.7387281  -2.60926894],"[ 0.07403122  1.58345762  1.23510414  1.9294053  -1.01614527  1.41559787
  1.26303797  0.01760558  0.55610428  0.14139682  0.        ]",-2.08875,-0.114274305667,[-1.26433802 -2.08264399]
7,[-0.56703383 -0.55530125],"[[  1.82478892   0.27749751  -0.11679125   0.16257283]
 [ 17.78406673  -6.13206364   0.           0.        ]]",[-1.42565761 -1.75370709],"[-0.4555435   1.61659172  1.20004139  1.71607659 -1.01614458  1.41559646
  1.17259584 -0.61746612 -0.0169696  -0.01532375  0.        ]",-1.65988,-0.0461843874826,[-2.44133615 -1.58580518]
8,[-0.56703383 -0.55530125],"[[  2.13726287   0.11636032  -0.11679125   0.16257283]
 [ 13.47769897  -9.96882063   0.           0.        ]]",[-2.87264813 -0.69040863],"[-0.84725121  1.6563566   1.01074602  1.29182368 -1.0161439   1.41559505
  1.05594856 -1.23985046 -0.36405647 -0.24923762  0.        ]",-1.50641,-0.00951458184444,[-2.99264956 -0.76616848]
9,[-0.56703383 -0.55530125],"[[  2.36446118  -0.10844821  -0.11679125   0.16257283]
 [  9.25620554 -12.50356865   0.           0.        ]]",[-2.94677688  0.19658419],"[-1.08919868  1.65747515  0.79331046  0.68889123 -1.01614321  1.41559364
  0.94160042 -1.65102636 -0.51071715 -0.40327459  0.        ]",-1.51728,-0.0251928635498,[ -3.07407618e+00   1.08912587e-03]
