timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.24986879  1.51590071 -0.2572658   0.89719235 -0.02525906  0.89455599
  0.65490657  0.36718608  1.48616076 -1.5195365   0.        ]","[[ 0.05898344 -0.05315218 -0.00349418  0.10362312]
 [-0.00148886  0.00116859  0.          0.        ]]",[ 2.41092266  0.79378889],-3.43912,-0.234372738572,[-0.7465229  -0.63450187],[ 2.68022037  0.63097298]
1,"[ 1.24559176  1.51736142 -0.19552866  0.98011204 -0.02525905  0.89455559
  0.75997392  0.89406122  1.48058356 -1.38629138  0.        ]","[[  9.86322184e-02  -2.16089479e-02  -3.49417666e-03   1.03623120e-01]
 [  3.95320179e+00   3.14268966e+00   0.00000000e+00   0.00000000e+00]]",[ 2.25414042 -0.71934244],-3.51664,-0.229156587531,[-0.7465229  -0.63450187],[ 2.21566939 -0.33268499]
2,"[ 1.22023271  1.51756    -0.01362605  1.06859461 -0.02525904  0.89455518
  0.86302532  0.40567548  1.44211438 -1.06800621  0.        ]","[[  2.16613576e-01   1.20275241e-02  -3.49417666e-03   1.03623120e-01]
 [  7.83201586e+00   2.30666775e-01   0.00000000e+00   0.00000000e+00]]",[ 1.70751905 -0.21276979],-3.23278,-0.216006339287,[-0.7465229  -0.63450187],[ 1.91472518 -0.19790003]
3,"[ 1.13793767  1.51760748  0.27529586  1.05833407 -0.02525904  0.89455477
  0.9640171   0.26336605  1.33092154 -0.63364773  0.        ]","[[  4.11393415e-01   8.12727168e-03  -3.49417666e-03   1.03623120e-01]
 [  1.16333100e+01  -6.17859455e-01   0.00000000e+00   0.00000000e+00]]",[ 1.32593781 -0.04366794],-2.96569,-0.196517454614,[-0.7465229  -0.63450187],[ 1.56070483 -0.55607164]
4,"[ 0.94626706  1.5176259   0.63460921  1.02154616 -0.02525903  0.89455436
  1.06300416  0.2361762   1.08005013 -0.10173872  0.        ]","[[  6.81442080e-01  -5.85659032e-03  -3.49417666e-03   1.03623120e-01]
 [  1.53591509e+01  -7.79979796e-01   0.00000000e+00   0.00000000e+00]]",[ 0.53606515 -1.06803466],-2.72166,-0.169356890179,[-0.7465229  -0.63450187],[ 0.8134445  -1.21576679]
5,"[ 0.61449956  1.51533642  0.97083841  0.87648352 -0.02525903  0.89455395
  1.1113133  -0.42542351  0.67938246  0.37312088  0.        ]","[[  1.00686918e+00  -6.10359837e-02  -3.49417666e-03   1.03623120e-01]
 [  1.71775051e+01  -4.72479804e+00   0.00000000e+00   0.00000000e+00]]",[ 0.4663109  -1.01670589],-2.37304,-0.140101758107,[-0.7465229  -0.63450187],[-0.19100797 -0.96799487]
6,"[ 0.161441    1.49430089  1.17991054  0.52894624 -0.02525902  0.89455355
  1.15133743 -1.07388052  0.20038245  0.6619144   0.        ]","[[  1.36553433e+00  -1.94325754e-01  -3.49417666e-03   1.03623120e-01]
 [  1.86840172e+01  -8.59125434e+00   0.00000000e+00   0.00000000e+00]]",[-1.33320912 -0.29337992],-1.93634,-0.116561800534,[-0.7465229  -0.63450187],[-1.49484038 -0.66316414]
7,"[-0.28865556  1.43096475  1.20050835  0.07074707 -0.02525901  0.89455314
  1.03643407 -1.23985126 -0.22330722  0.73590521  0.        ]","[[  1.69582191e+00  -3.76079871e-01  -3.49417666e-03   1.03623120e-01]
 [  1.43591365e+01  -9.58086681e+00   0.00000000e+00   0.00000000e+00]]",[-1.59552964 -1.26042452],-1.77249,-0.103782874015,[-0.7465229  -0.63450187],[-2.1858201  -0.44116563]
8,"[-0.6128385   1.29714672  1.10717108 -0.46039318 -0.02525901  0.89455273
  0.92382691 -1.87180637 -0.44503856  0.67283277  0.        ]","[[  1.94047956e+00  -6.05503171e-01  -3.49417666e-03   1.03623120e-01]
 [  1.01206789e+01  -1.33489397e+01   0.00000000e+00   0.00000000e+00]]",[-2.68372461  0.73655622],-1.5913,-0.096826045601,[-0.7465229  -0.63450187],[-2.3087976   0.63563061]
9,"[-0.81087336  1.10470432  0.99809372 -0.92296877 -0.025259    0.89455232
  0.81337254 -1.33808929 -0.50270936  0.56881559  0.        ]","[[  2.10118094e+00  -8.40552308e-01  -3.49417666e-03   1.03623120e-01]
 [  5.96324803e+00  -1.01666317e+01   0.00000000e+00   0.00000000e+00]]",[-2.11340129  1.65395598],-1.49153,-0.0884281569271,[-0.7465229  -0.63450187],[-1.9677043   0.48273495]
