timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.1587162   1.9521728   0.0632388   0.48853532 -1.15508373  0.57851802
  0.3945326   0.35949041  2.21225004 -0.4969101   0.        ]","[[ 0.07822514 -0.07966491 -0.13324858  0.06804662]
 [ 0.00344213 -0.00014085  0.          0.        ]]",[ 0.27286588 -1.97757732],-2.4548,-0.34821929727,[-0.14915664 -0.24993716],[ 1.14372778 -0.94533014]
1,"[ 1.15745519  1.94696083  0.07948752  0.37642986 -1.1550802   0.57851701
  0.43751787 -0.21309054  2.21122466 -0.51443298  0.        ]","[[ 0.08913891 -0.11939975 -0.13324858  0.06804662]
 [ 1.08432984 -3.96014341  0.          0.        ]]",[-0.70706642 -0.64440507],-2.28059,-0.348447193424,[-0.14915664 -0.24993716],[ 1.05951607 -0.89473677]
2,"[ 1.15822972  1.92359592  0.06968799  0.08596792 -1.15507667  0.578516
  0.32546348 -0.57053241  2.20420189 -0.62192361  0.        ]","[[ 0.08255578 -0.22340586 -0.13324858  0.06804662]
 [-1.73327872 -6.43223427  0.          0.        ]]",[ 1.5643246  -0.40751723],-2.37227,-0.350001579363,[-0.14915664 -0.24993716],[ 1.09130168 -0.77329278]
3,"[ 1.15759539  1.86862255  0.07768879 -0.30319427 -1.15507315  0.57851499
  0.48417133 -0.78564862  2.18127975 -0.74254457  0.        ]","[[ 0.08793039 -0.36697789 -0.13324858  0.06804662]
 [ 2.25746319 -7.91999783  0.          0.        ]]",[ 0.85119844 -1.03585017],-2.41163,-0.350252534041,[-0.14915664 -0.24993716],[ 1.09632874 -0.66408253]
4,"[ 1.1438702   1.75265194  0.19399763 -0.80052001 -1.15506962  0.57851398
  0.61636677 -1.33566528  2.14346642 -0.78008193  0.        ]","[[  0.16643116  -0.56354456  -0.13324858   0.06804662]
 [  5.58155348 -11.72396618   0.           0.        ]]",[ 1.23684271 -1.32191807],-2.4244,-0.346315257016,[-0.14915664 -0.24993716],[ 0.90348047 -0.44728109]
5,"[ 1.0943773   1.52281241  0.41173231 -1.3886157  -1.15506609  0.57851297
  0.76936493 -1.87477912  2.07568141 -0.75838784  0.        ]","[[  0.31666167  -0.8354349   -0.13324858   0.06804662]
 [  9.42873837 -15.45257705   0.           0.        ]]",[ 1.18713203 -0.12142148],-2.2204,-0.336469801366,[-0.14915664 -0.24993716],[ 0.53775954 -0.21567589]
6,"[ 0.96458934  1.18177597  0.71856677 -1.86961813 -1.15506256  0.57851196
  0.91931608 -1.90013884  1.97330216 -0.65166271  0.        ]","[[  0.54306628  -1.14624805  -0.13324858   0.06804662]
 [ 13.19931953 -15.62804576   0.           0.        ]]",[ 1.20988899  0.83404677],-1.99516,-0.319318697121,[-0.14915664 -0.24993716],[ 0.23581266 -0.0893575 ]
7,"[ 0.70026734  0.83378896  1.06314813 -2.09023622 -1.15505903  0.57851095
  1.06630251 -1.37787605  1.84735391 -0.43846192  0.        ]","[[  0.84413443  -1.42257008  -0.13324858   0.06804662]
 [ 16.89537122 -12.01606606   0.           0.        ]]",[ 0.33759291 -0.42830328],-1.9529,-0.296645796389,[-0.14915664 -0.24993716],[ 0.09430076 -0.1134131 ]
8,"[ 0.29406646  0.49901331  1.33469805 -2.10518437 -1.1550555   0.57850994
  1.10619548 -1.58851922  1.67420819 -0.21117577  0.        ]","[[  1.19210684  -1.67750911  -0.13324858   0.06804662]
 [ 17.89856195 -13.47294531   0.           0.        ]]",[ 0.09674527 -1.96464821],-1.91022,-0.268817772895,[-0.14915664 -0.24993716],[-0.2695078  0.0279153]
9,"[-0.1874219   0.11044346  1.4402367  -1.88265615 -1.15505198  0.57850893
  1.10740299 -2.12225968  1.44312024 -0.10871173  0.        ]","[[  1.55038398  -1.98400601  -0.13324858   0.06804662]
 [ 17.92900607 -17.1644592    0.           0.        ]]",[ 0.51340613 -0.10810686],-1.50817,-0.23554336725,[-0.14915664 -0.24993716],[-0.56567913  0.21478814]
