timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.26459034  1.6938409  -0.18727602  0.72630203  1.63872646 -0.74304722
  0.68925685  0.37964965 -0.12806105  0.60691714  0.        ]","[[ 0.0497808  -0.08802793  0.18772422 -0.08513959]
 [-0.00071031  0.00178009  0.          0.        ]]",[-0.15927799 -1.68759776],-1.33995,-0.0886993977502,[-0.5162946  -0.52042907],[-0.2881766  -1.38561416]
1,"[ 1.26499371  1.68841779 -0.19686219  0.61957465  1.63872431 -0.74304681
  0.67209388 -0.25752777 -0.13033845  0.5473338   0.        ]","[[ 0.04346029 -0.12771807  0.18772422 -0.08513959]
 [-0.62925558 -3.95759935  0.          0.        ]]",[ 0.22303315  0.09783776],-1.34032,-0.0831359617012,[-0.5162946  -0.52042907],[ 0.09930737 -0.54632354]
2,"[ 1.26519898  1.67290249 -0.20233828  0.42088725  1.63872215 -0.7430464
  0.6965196  -0.18263065 -0.13880441  0.45411518  0.        ]","[[ 0.03985049 -0.20220051  0.18772422 -0.08513959]
 [ 0.26529845 -3.49219407  0.          0.        ]]",[-0.11371026 -0.63953024],-1.28856,-0.0742987084798,[-0.5162946  -0.52042907],[ 0.08841237 -0.47987184]
3,"[ 1.26515642  1.6432942  -0.20120138  0.17313342  1.63872    -0.74304599
  0.68411814 -0.57899214 -0.15624336  0.34908781  0.        ]","[[ 0.04059982 -0.29675611  0.18772422 -0.08513959]
 [-0.18886547 -5.9551585   0.          0.        ]]",[ 0.94946529 -0.03833436],-1.31719,-0.064089645359,[-0.5162946  -0.52042907],[ 0.36100349  0.22906342]
4,"[ 1.26247282  1.59043608 -0.14974805 -0.12949297  1.63871784 -0.74304558
  0.78678028 -0.58467076 -0.18034743  0.29032169  0.        ]","[[ 0.07454548 -0.41621348  0.18772422 -0.08513959]
 [ 3.57093402 -5.99044679  0.          0.        ]]",[ 0.03907179  1.13659829],-1.26585,-0.0578804563362,[-0.5162946  -0.52042907],[ 0.06516921  0.28383747]
5,"[ 1.25151585  1.54640312 -0.04074857 -0.3210645   1.63871568 -0.74304517
  0.78903173  0.07162606 -0.18884314  0.3584228   0.        ]","[[ 0.1467915  -0.4951047   0.18772422 -0.08513959]
 [ 3.65340514 -1.91226583  0.          0.        ]]",[ 0.4758744  -0.49074736],-1.29041,-0.0639085088751,[-0.5162946  -0.52042907],[-0.21556374 -0.40696701]
6,"[ 1.22756145  1.51000486  0.09517992 -0.45541683  1.63871353 -0.74304475
  0.83848301 -0.23508863 -0.19316082  0.48929574  0.        ]","[[ 0.23803051 -0.55247268  0.18772422 -0.08513959]
 [ 5.4644714  -3.81816854  0.          0.        ]]",[-0.72129795  0.7771366 ],-1.28091,-0.076008628465,[-0.5162946  -0.52042907],[-0.42069826 -0.17704913]
7,"[ 1.19760066  1.47916017  0.21132199 -0.55693079  1.63871137 -0.74304434
  0.75758396  0.27245134 -0.20178053  0.60799348  0.        ]","[[ 0.31759397 -0.59719264  0.18772422 -0.08513959]
 [ 2.50173226 -0.6643535   0.          0.        ]]",[ 0.19288783 -1.50036283],-1.34098,-0.0869894211492,[-0.5162946  -0.52042907],[-0.42960784 -0.67617536]
8,"[ 1.17094306  1.43998206  0.29301945 -0.67303929  1.63870922 -0.74304393
  0.77710698 -0.3626809  -0.21649204  0.66923276  0.        ]","[[ 0.37480252 -0.6500779   0.18772422 -0.08513959]
 [ 3.21673739 -4.61101603  0.          0.        ]]",[-0.46301696  0.88578078],-1.38018,-0.0925297650057,[-0.5162946  -0.52042907],[-0.397246    0.03856644]
9,"[ 1.14686022  1.39533248  0.35644041 -0.79121054  1.63870706 -0.74304352
  0.72531776  0.2165465  -0.23343024  0.70105811  0.        ]","[[ 0.42010756 -0.70618546  0.18772422 -0.08513959]
 [ 1.32008288 -1.01174329  0.          0.        ]]",[-0.01464857 -0.79007985],-1.37539,-0.0953205825906,[-0.5162946  -0.52042907],[-0.43822736 -0.5054487 ]
10,"[ 1.13212891  1.35174035  0.39168026 -0.89466977  1.63870491 -0.74304311
  0.72305004 -0.28367368 -0.2489505   0.69691249  0.        ]","[[ 0.44567621 -0.75760719  0.18772422 -0.08513959]
 [ 1.2370471  -4.12007066  0.          0.        ]]",[ 0.29740242 -0.21197624],-1.42601,-0.0947630673464,[-0.5162946  -0.52042907],[-0.30044681  0.14890918]
11,"[ 1.10982407  1.26964656  0.4409746  -1.06377819  1.63870275 -0.7430427
  0.75451642 -0.40567868 -0.27811196  0.6725082   0.        ]","[[ 0.48197951 -0.84761523  0.18772422 -0.08513959]
 [ 2.38945075 -4.87820044  0.          0.        ]]",[-0.50773032  0.04065445],-1.37985,-0.0922334357139,[-0.5162946  -0.52042907],[-0.38145989  0.36180857]
12,"[ 1.09208736  1.17566866  0.4772487  -1.2243888   1.63870059 -0.74304228
  0.69837002 -0.3641281  -0.31219541  0.62551838  0.        ]","[[ 0.50913798 -0.94258861  0.18772422 -0.08513959]
 [ 0.33322391 -4.62000961  0.          0.        ]]",[-0.90842035  0.85943159],-1.36423,-0.0876849479334,[-0.5162946  -0.52042907],[-0.18714204  0.55264807]
13,"[ 1.1112938   1.11563168  0.43785565 -1.31187527  1.63869844 -0.74304187
  0.600017    0.19840419 -0.33644583  0.50934484  0.        ]","[[ 0.47966293 -0.99991702  0.18772422 -0.08513959]
 [-3.26873094 -1.12448351  0.          0.        ]]",[ 0.3795047  -0.22819431],-1.37599,-0.0766907557241,[-0.5162946  -0.52042907],[ 0.10920057  0.26230803]
14,"[ 1.14125036  1.08184959  0.37013003 -1.35655188  1.63869628 -0.74304146
  0.64278952  0.05651007 -0.35721367  0.38341117  0.        ]","[[ 0.43000511 -1.03125322  0.18772422 -0.08513959]
 [-1.70226876 -2.00620052  0.          0.        ]]",[ 0.28414009  1.74642849],-1.36388,-0.0648914288773,[-0.5162946  -0.52042907],[ 0.13142249  0.50809467]
15,"[ 1.15378087  1.0818478   0.33900477 -1.35655172  1.63869413 -0.74304105
  0.67437627  0.70006387 -0.36134171  0.34070682  0.        ]","[[ 0.40756625 -1.0312541   0.18772422 -0.08513959]
 [-0.54546051  1.99278517  0.          0.        ]]",[-0.08973493 -0.31624531],-1.3047,-0.0608928394885,[-0.5162946  -0.52042907],[-0.13816541 -0.29367369]
16,"[ 1.16146661  1.11088289  0.31892629 -1.31833851  1.63869197 -0.74304064
  0.66498577  0.49221469 -0.35028877  0.33866368  0.        ]","[[ 0.39320662 -1.00435698  0.18772422 -0.08513959]
 [-0.88935456  0.7012313   0.          0.        ]]",[ 0.27587029  0.89382611],-1.32034,-0.0605658859661,[-0.5162946  -0.52042907],[-0.01964591 -0.04244924]
17,"[ 1.16494687  1.16290388  0.30955972 -1.24388879  1.63868981 -0.74304023
  0.69524164  1.05948658 -0.32699336  0.37312583  0.        ]","[[ 0.38653729 -0.95496508  0.18772422 -0.08513959]
 [ 0.21871384  4.22620936  0.          0.        ]]",[-0.93244407  0.09542918],-1.24756,-0.0636671338107,[-0.5162946  -0.52042907],[-0.3298285  -0.88856316]
18,"[ 1.18118617  1.25058415  0.26329498 -1.09892275  1.63868766 -0.74303981
  0.59438375  1.10701219 -0.29213689  0.3954115   0.        ]","[[ 0.35385133 -0.86747793  0.18772422 -0.08513959]
 [-3.47497322  4.52153443  0.          0.        ]]",[ 0.05016697 -0.71674586],-1.29997,-0.0657734898435,[-0.5162946  -0.52042907],[ 0.0098215  -0.88719904]
