timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.320350162553,[-0.80344981 -0.5227617 ],[-3.62950683 -4.50553179],-4.57638,"[ 1.03510075  1.03229476 -0.35287083  1.60551449 -0.71410284 -1.08143215
 -0.09171841  0.27743866  2.85344212  2.27339171  0.        ]","[[ 0.02318364  0.0787311  -0.08030176 -0.12322302]
 [ 0.0010738   0.0037825   0.          0.        ]]",[-3.52056215 -4.74460313]
1,-0.315664635689,[-0.80344981 -0.5227617 ],[-2.96514344 -3.98904061],-4.49061,"[ 1.0352907   1.03567596 -0.41730536  1.50312861 -0.71410239 -1.08143117
 -0.77793637 -0.55295332  2.86068668  2.01512368  0.        ]","[[-0.0164702   0.03909357 -0.08030176 -0.12322302]
 [-3.95329361 -3.95434917  0.          0.        ]]",[-2.54876249 -3.62538337]
2,-0.299672740852,[-0.80344981 -0.5227617 ],[-1.2774179  -2.64706564],-4.21546,"[ 1.02254792  1.03227134 -0.60833405  1.19798454 -0.71410194 -1.08143019
 -1.45058746 -1.36690911  2.81690631  1.24958277  0.        ]","[[-0.13442691 -0.07892062 -0.08030176 -0.12322302]
 [-7.82948844 -7.83414165  0.          0.        ]]",[-1.3472901  -1.62644373]
3,-0.267071019338,[-0.80344981 -0.5227617 ],[ 0.87974548 -0.63200688],-3.78144,"[ 0.95851151  0.98281203 -0.91580408  0.70241004 -0.71410149 -1.08142921
 -2.10997961 -2.16474028  2.53804893  0.06654222  0.        ]","[[ -0.32914041  -0.27375984  -0.08030176  -0.12322302]
 [-11.62929655 -11.63709294   0.           0.        ]]",[ 0.89197759 -1.73340075]
4,-0.221115759219,[-0.80344981 -0.5227617 ],[ 1.38840151  0.43470019],-3.29688,"[ 0.84308137  0.82762215 -1.20363732  0.06286981 -0.71410103 -1.08142823
 -1.45760621 -2.94734924  1.94224411 -0.9884696   0.        ]","[[ -0.52400697  -0.5439305   -0.08030176  -0.12322302]
 [ -7.86996753 -15.36752438   0.           0.        ]]",[ 1.94027891  0.50688871]
5,-0.177791401906,[-0.80344981 -0.5227617 ],[ 0.73722982  0.06536133],-2.97997,"[ 0.75155911  0.56760928 -1.36122842 -0.50420852 -0.71410058 -1.08142725
 -0.74435051 -2.46271601  1.31389747 -1.45221377  0.        ]","[[ -0.64016877  -0.82810396  -0.08030176  -0.12322302]
 [ -3.75979062 -13.05750456   0.           0.        ]]",[ 0.30391759  0.98817672]
6,-0.145725506007,[-0.80344981 -0.5227617 ],[ 0.69723099 -0.09198628],-2.83148,"[ 0.69590344  0.31187708 -1.44061536 -0.83925577 -0.71410013 -1.08142627
 -0.52310242 -1.58768196  0.86042171 -1.52767695  0.        ]","[[-0.70257374 -1.04740572 -0.08030176 -0.12322302]
 [-2.48483676 -8.88656651  0.          0.        ]]",[ 0.98943527  0.28668641]
7,-0.126290259506,[-0.80344981 -0.5227617 ],[-0.15144709 -0.51621246],-2.65988,"[ 0.68664831  0.096418   -1.45287674 -1.02087834 -0.71409968 -1.08142529
  0.16471325 -1.31284014  0.61057393 -1.44011579  0.        ]","[[-0.71250374 -1.21199303 -0.08030176 -0.12322302]
 [ 1.47874175 -7.57650807  0.          0.        ]]",[-0.66160504 -1.35462515]
8,-0.105970940329,[-0.80344981 -0.5227617 ],[ 0.33864534  0.77002096],-2.48882,"[ 0.68947383 -0.16865851 -1.44915634 -1.14877555 -0.71409923 -1.08142431
 -0.29460092 -2.11193011  0.37183709 -1.25460661  0.        ]","[[ -0.70948378  -1.40173973  -0.08030176  -0.12322302]
 [ -1.16808276 -11.38548765   0.           0.        ]]",[ 0.26015481  0.10292234]
9,-0.0812893038862,[-0.80344981 -0.5227617 ],[ 0.14788738  1.17252505],-2.30114,"[ 0.6774209  -0.48827417 -1.46485766 -1.1821254  -0.71409878 -1.08142333
 -0.11204844 -1.97918051  0.09530585 -0.95395508  0.        ]","[[ -0.7222912   -1.62310099  -0.08030176  -0.12322302]
 [ -0.11611453 -10.75273949   0.           0.        ]]",[ 0.56722996  0.04827655]
10,-0.0663202135537,[-0.80344981 -0.5227617 ],[-0.36593303  1.35043955],-2.0199,"[ 0.69636774 -0.78971946 -1.43998383 -1.09647702 -0.71409833 -1.08142235
  0.27786115 -1.8944765  -0.06381823 -0.59608314  0.        ]","[[ -0.70207068  -1.83410519  -0.08030176  -0.12322302]
 [  2.13076034 -10.34900407   0.           0.        ]]",[-0.87526765  2.42118789]
11,-0.0591184875398,[-0.80344981 -0.5227617 ],[ 0.39267588  1.57055151],-1.95166,"[ 0.7032133  -1.01469385 -1.43074006 -0.9517103  -0.71409788 -1.08142137
 -0.33077359 -1.0207317  -0.17127415 -0.27876554  0.        ]","[[-0.69464514 -1.99929805 -0.08030176 -0.12322302]
 [-1.37652831 -6.18418488  0.          0.        ]]",[ 0.95509805  1.86868298]
12,-0.0588638820762,[-0.80344981 -0.5227617 ],[-0.18596339  0.39511317],-1.8961,"[ 0.71294439 -1.12156849 -1.41735692 -0.85480981 -0.71409743 -1.08142039
  0.32996269 -0.16441415 -0.20384159 -0.11382442  0.        ]","[[-0.68397433 -2.08202831 -0.08030176 -0.12322302]
 [ 2.43099662 -2.10243122  0.          0.        ]]",[-0.00584396  1.2240063 ]
13,-0.063237722705,[-0.80344981 -0.5227617 ],[-0.20361325 -0.62796265],-1.91736,"[ 0.75505525 -1.12397137 -1.35586639 -0.85239601 -0.71409698 -1.08141942
  0.31755376  0.67501159 -0.13985763 -0.13176287  0.        ]","[[-0.63607173 -2.08393121 -0.08030176 -0.12322302]
 [ 2.35949048  1.89880606  0.          0.        ]]",[-0.63323009 -0.92618708]
14,-0.0652962336636,[-0.80344981 -0.5227617 ],[ 0.14835157  0.58071244],-1.91103,"[ 0.77316188 -1.12295324 -1.32743983 -0.85341768 -0.71409653 -1.08141844
 -0.12548974 -0.10221119 -0.10986628 -0.14173518  0.        ]","[[-0.61449761 -2.08312588 -0.08030176 -0.12322302]
 [-0.19356706 -1.80592986  0.          0.        ]]",[ 0.09142956  0.21214055]
15,-0.0649075142302,[-0.80344981 -0.5227617 ],[ 0.11250463  0.39643288],-1.89784,"[ 0.77299408 -1.15720866 -1.32770689 -0.81790825 -0.71409608 -1.08141746
 -0.06203005  0.08150764 -0.12653372 -0.08588512  0.        ]","[[-0.61469991 -2.11045809 -0.08030176 -0.12322302]
 [ 0.17212184 -0.93020984  0.          0.        ]]",[ 0.33026009  0.17158201]
16,-0.0662878231029,[-0.80344981 -0.5227617 ],[-0.10336924  0.06266826],-1.89256,"[ 0.78649829 -1.17158399 -1.30564078 -0.80232977 -0.71409563 -1.08141648
  0.1642387   0.22788705 -0.11137177 -0.0682782   0.        ]","[[-0.59817523 -2.12206169 -0.08030176 -0.12322302]
 [ 1.47600456 -0.232473    0.          0.        ]]",[ 0.77344916  0.27687459]
17,-0.0719441330468,[-0.80344981 -0.5227617 ],[-0.79209924 -0.74358469],-1.91594,"[ 0.83274569 -1.16367237 -1.22354509 -0.81095117 -0.71409518 -1.0814155
  0.6904651   0.45881991 -0.0274756  -0.09893793  0.        ]","[[-0.53823002 -2.11566685 -0.08030176 -0.12322302]
 [ 4.50840553  0.86829892  0.          0.        ]]",[-0.30761535 -0.96663237]
18,-0.0787946422113,[-0.80344981 -0.5227617 ],[-0.61337388  0.21516456],-1.92719,"[ 0.885677   -1.18978509 -1.11366089 -0.7820118  -0.71409473 -1.08141452
  0.46371024 -0.34773048  0.06027885 -0.07006486  0.        ]","[[-0.46117233 -2.13687417 -0.08030176 -0.12322302]
 [ 3.20172416 -2.97622556  0.          0.        ]]",[-0.67686565  0.87692245]
19,-0.0815873850034,[-0.80344981 -0.5227617 ],[-0.17183986 -0.2439274 ],-1.93802,"[ 0.9081144  -1.21902678 -1.06005221 -0.74794308 -0.71409428 -1.08141354
 -0.01228496  0.39311453  0.09000484 -0.0264826   0.        ]","[[-0.42465854 -2.1609676  -0.08030176 -0.12322302]
 [ 0.4587862   0.55510483  0.          0.        ]]",[-0.02740668 -0.62814622]
