timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.111621907449,"[[ -6.14222267e-02  -4.95634243e-02   1.34388657e-01   6.45787374e-02]
 [  3.50746063e-03   5.22499275e-05   0.00000000e+00   0.00000000e+00]]",[ 0.27271056  2.13123083],-0.431134,"[ 1.22616161  2.5908566  -0.01066566 -1.12469347  1.16695308  0.55844781
 -0.50931856 -0.40095938  0.36850226 -0.75494983  0.        ]",[-0.44755661 -0.54020303],[-0.35019536  1.58225014]
1,-0.11067229417,"[[-0.07526765 -0.00982914  0.13438866  0.06457874]
 [-1.3834265   3.96017632  0.          0.        ]]",[ 0.26016995  2.07143378],-0.420341,"[ 1.22484824  2.59266026 -0.03092867 -0.95626099  1.16695199  0.55844752
 -0.53961359  0.14577887  0.36990181 -0.74183681  0.        ]",[-0.44755661 -0.54020303],[ 0.31016292  2.39488835]
2,-0.1038462387,"[[-0.09036621  0.10831069  0.13438866  0.06457874]
 [-0.13059056  7.84087478  0.          0.        ]]",[ 0.02756852  1.92715538],-0.399032,"[ 1.22311375  2.58372785 -0.05300144 -0.45611602  1.16695089  0.55844723
 -0.51224717  0.68155143  0.37184373 -0.6531967   0.        ]",[-0.44755661 -0.54020303],[-0.07228128  2.59844724]
3,-0.0891645865485,"[[ -0.09583512   0.30329961   0.13438866   0.06457874]
 [ -0.41532017  11.645338     0.           0.        ]]",[-0.28083059  1.62513328],-0.359904,"[ 1.22240698  2.52262646 -0.06098931  0.35211845  1.16694979  0.55844694
 -0.51846637  1.2067982   0.35366377 -0.47132552  0.        ]",[-0.44755661 -0.54020303],[-1.46540955  2.04810762]
4,-0.0725434800532,"[[ -0.14376287   0.57363568   0.13438866   0.06457874]
 [ -4.3643054   15.37580773   0.           0.        ]]",[-0.40291664  1.14509201],-0.254989,"[ 1.21445753  2.34690814 -0.13078656  1.38702494  1.1669487   0.55844665
 -0.60472526  1.72182773  0.29116344 -0.30489838  0.        ]",[-0.44755661 -0.54020303],[ 0.11619423  1.08097862]
5,-0.0506069499712,"[[ -0.22557915   0.9178231    0.13438866   0.06457874]
 [ -3.81900945  19.0307573    0.           0.        ]]",[-0.34616581  0.54751927],-0.208528,"[ 1.19361346  1.99004816 -0.24873374  2.45404384  1.1669476   0.55844636
 -0.59281383  2.22642792  0.16335619 -0.15750644  0.        ]",[-0.44755661 -0.54020303],[-0.02048297 -0.16932945]
6,-0.0219702260679,"[[ -0.30200379   1.28793037   0.13438866   0.06457874]
 [ -3.82344903  17.98345781   0.           0.        ]]",[-0.234835    0.11515105],-0.169651,"[ 1.1659651   1.48567892 -0.35694079  3.15796074  1.16694651  0.55844607
 -0.59291048  2.08183267 -0.03385545 -0.02988957  0.        ]",[-0.44755661 -0.54020303],[ 0.07697207  0.83693759]
7,-0.0131235094283,"[[ -0.37465422   1.67727565   0.13438866   0.06457874]
 [ -3.44272337  20.94122057   0.           0.        ]]",[ 0.31442335 -0.27358985],-0.165168,"[ 1.13250785  0.89386393 -0.45745189  3.30246821  1.16694541  0.55844577
 -0.58459383  2.49017561 -0.29224845  0.03783016  0.        ]",[-0.44755661 -0.54020303],[ 0.73416254 -0.14808379]
8,-0.0541799966839,"[[ -0.41365536   2.08605343   0.13438866   0.06457874]
 [ -0.46720701  19.9399453    0.           0.        ]]",[ 0.74369013 -0.35832989],-0.185219,"[ 1.11172308  0.30037056 -0.51027432  2.77584428  1.16694431  0.55844548
 -0.51959813  2.35193326 -0.61001344  0.03569203  0.        ]",[-0.44755661 -0.54020303],[ 1.11027958  0.59114506]
9,-0.0995115743332,"[[ -0.38317367   2.50437472   0.13438866   0.06457874]
 [  3.50229799  21.88573956   0.           0.        ]]",[ 1.18076766 -0.33983159],-0.26032,"[ 1.12813243 -0.17720552 -0.46906254  1.60868591  1.16694322  0.55844519
 -0.43289037  2.62056126 -0.95354887 -0.0805062   0.        ]",[-0.44755661 -0.54020303],[ 2.05151549 -0.38741052]
