timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-2.19824,"[ 0.96215574  2.08144879  0.04046848  0.76993637 -0.89689643  1.39363005
 -0.64739488  0.34608941  2.08450022 -1.31405723  0.        ]",[ 1.32024696 -2.61118683],-0.350171099753,[ 2.04818583 -1.58380198],[-0.26733363 -0.21782765],"[[ 0.03190392 -0.01820957 -0.10413113  0.15955056]
 [ 0.00212559  0.00424083  0.          0.        ]]"
1,-2.21065,"[ 0.95921116  2.07936786  0.10288588  0.65516376 -0.89689456  1.39362532
 -0.48125211 -0.19460396  2.0829509  -1.27754962  0.        ]",[ 1.25202036 -1.27601022],-0.348245068796,[ 2.00956345 -1.38352394],[-0.26733363 -0.21782765],"[[ 0.07165197 -0.05786888 -0.10413113  0.15955056]
 [ 3.95949783 -3.95696387  0.          0.        ]]"
2,-2.1749,"[ 0.93720172  2.06047499  0.28692712  0.31566311 -0.8968927   1.3936206
 -0.31839596 -0.72458493  2.07144854 -1.17011821  0.        ]",[ 1.63177162 -1.70703199],-0.341930268518,[ 1.98604965 -1.18993664],[-0.26733363 -0.21782765],"[[ 0.18976195 -0.17596497 -0.10413113  0.15955056]
 [ 7.83858866 -7.8396911   0.          0.        ]]"
3,-2.10519,"[ 0.85833584  1.98837027  0.58042841 -0.22719447 -0.89689083  1.39361587
 -0.15875724 -1.2440507   2.03026129 -0.99887203  0.        ]",[ 1.48728149 -2.16250256],-0.329632847687,[ 1.90542543 -1.00199056],[-0.26733363 -0.21782765],"[[  0.38468459  -0.37094309  -0.10413113   0.15955056]
 [ 11.64104421 -11.64539788   0.           0.        ]]"
4,-1.96459,"[ 0.66692488  1.80919482  0.94811349 -0.90990337 -0.89688897  1.39361115
 -0.00226285 -1.7531761   1.93031248 -0.78438691  0.        ]",[ 1.12724755 -0.47351976],-0.309094878953,[ 1.78093314 -0.8234055 ],[-0.26733363 -0.21782765],"[[  0.6549044   -0.64127613  -0.10413113   0.15955056]
 [ 15.3686048  -15.37538546   0.           0.        ]]"
5,-1.68973,"[ 0.30658214  1.4916718   1.3126434  -1.55741182 -0.8968871   1.39360642
  0.15113529 -1.96757271  1.74175022 -0.55068227  0.        ]",[ 0.62138624 -0.5882338 ],-0.277601372171,[ 1.63694596 -0.6940937 ],[-0.26733363 -0.21782765],"[[  0.99893469  -0.96454553  -0.10413113   0.15955056]
 [ 19.02241544 -16.94617114   0.           0.        ]]"
6,-1.28589,"[-0.22486469  1.04603285  1.54003526 -1.98540077 -0.89688524  1.3936017
  0.23864845 -2.23954358  1.46231725 -0.37516834  0.        ]",[ 2.0918694  -1.28974864],-0.236684117536,[ 1.49680066 -0.56806302],[-0.26733363 -0.21782765],"[[  1.4002961   -1.32346285  -0.10413113   0.15955056]
 [ 21.10690495 -18.9387947    0.           0.        ]]"
7,-0.910908,"[-0.87275353  0.4818299   1.49842963 -2.03304206 -0.89688337  1.39359697
  0.38738364 -2.72858524  1.12057045 -0.35628835  0.        ]",[ 2.10437082 -0.65932345],-0.191787378565,[ 1.38526189 -0.52400559],[-0.26733363 -0.21782765],"[[  1.8579779   -1.73819017  -0.10413113   0.15955056]
 [ 24.64964843 -22.52181724   0.           0.        ]]"
8,-0.706654,"[-1.50857255 -0.10811171  1.06881894 -1.50116636 -0.89688151  1.39359224
  0.53320361 -3.0236959   0.78185053 -0.55140141  0.        ]",[ 2.37096424 -0.19443836],-0.157024485942,[ 1.28849399 -0.48824716],[-0.26733363 -0.21782765],"[[  2.38581869  -2.21032263  -0.10413113   0.15955056]
 [ 28.1229572  -24.68413853   0.           0.        ]]"
9,-0.863425,"[-1.87993833 -0.53341408  0.23951179 -0.39725597 -0.89687964  1.39358752
  0.67613639 -3.06171843  0.56954568 -0.93692467  0.        ]",[ 1.61742317 -0.16039543],-0.159114718363,[ 1.25489831 -0.45331481],[-0.26733363 -0.21782765],"[[  2.98243762  -2.70680185  -0.10413113   0.15955056]
 [ 31.52750149 -24.96297292   0.           0.        ]]"
10,-0.997968,"[-1.71954132 -0.66099967 -0.77033919  0.81664635 -0.89687778  1.39358279
  0.8162184  -0.92181772  0.5522193  -1.25210372  0.        ]",[ 1.72277441 -1.0080469 ],-0.183846992053,[ 1.38094568 -0.52092975],[-0.26733363 -0.21782765],"[[  3.64646414  -3.13950818  -0.10413113   0.15955056]
 [ 34.86415137  -9.2851842    0.           0.        ]]"
11,-0.959829,"[-0.93897385 -0.66038306 -1.49439536  0.90965678 -0.89687591  1.39357807
  0.95348686  0.68250935  0.56864833 -1.28301605  0.        ]",[ 2.19496473 -1.14511759],-0.187864087337,[ 1.52327514 -0.79388928],[-0.26733363 -0.21782765],"[[  4.37655413  -3.17162794  -0.10413113   0.15955056]
 [ 38.13379667   2.46878996   0.           0.        ]]"
12,-0.899517,"[ 0.16619359 -0.66027583 -1.4194807   0.72853897 -0.89687405  1.39357334
  1.08801607  0.76528783  0.46045312 -1.28929997  0.        ]",[ 1.75395875 -0.11906743],-0.180253450941,[ 1.42660272 -0.83648378],[-0.26733363 -0.21782765],"[[  5.17138143  -3.10908191  -0.10413113   0.15955056]
 [ 41.33821078   3.07526929   0.           0.        ]]"
13,-0.928301,"[ 0.91716172 -0.65561074 -0.40412395  0.56617876 -0.89687218  1.39356862
  1.2198763   0.69271305  0.42899482 -1.42166     0.        ]",[ 1.11739217 -0.79629646],-0.190504337441,[ 1.34276235 -0.79770637],[-0.26733363 -0.21782765],"[[  6.02965902  -3.05291214  -0.10413113   0.15955056]
 [ 44.47907115   2.54356556   0.           0.        ]]"
14,-0.95144,"[ 0.65636373 -0.65105277  0.96304951  0.47450089 -0.89687031  1.39356389
  1.34912284  0.47043501  0.52375823 -1.50502863  0.        ]",[ 1.85399386 -0.58969556],-0.204712685845,[ 1.35351217 -0.66689336],[-0.26733363 -0.21782765],"[[  6.95012912  -3.02108265  -0.10413113   0.15955056]
 [ 47.55769896   0.91507208   0.           0.        ]]"
15,-0.97682,"[-0.57842555 -0.6490347   1.55809932  0.44096394 -0.89686845  1.39355916
  1.47581287  0.39255739  0.62972166 -1.42950253  0.        ]",[ 1.52953028  1.06615528],-0.205591588357,[ 1.39133251 -0.62039649],[-0.26733363 -0.21782765],"[[  7.9315612   -3.00941016  -0.10413113   0.15955056]
 [ 50.57546062   0.34451359   0.           0.        ]]"
16,-0.856069,"[-1.75433663 -0.63914665  0.67716056  0.30773341 -0.89686658  1.39355444
  1.59999569  0.93233597  0.63563393 -1.22872325  0.        ]",[ 0.6215684  -0.73156272],-0.188706918571,[ 1.38700366 -0.84808779],[-0.26733363 -0.21782765],"[[  8.97275033  -2.96284291  -0.10413113   0.15955056]
 [ 53.53353434   4.29915605   0.           0.        ]]"
17,-0.76937,"[-1.62111534 -0.62335414 -0.93958252  0.1487612  -0.89686472  1.39354971
  1.65879802  0.52571449  0.44541296 -1.12977484  0.        ]",[ 1.99696496 -2.20196029],-0.164680078454,[ 1.38383126 -0.85102355],[-0.26733363 -0.21782765],"[[ 10.05747521  -2.90675108  -0.10413113   0.15955056]
 [ 54.93432378   1.32009515   0.           0.        ]]"
18,-0.85295,"[-0.19824467 -0.62755581 -1.55411689  0.18700277 -0.89686285  1.39354499
  1.77935136 -0.01785631  0.32901588 -1.33286961  0.        ]",[ 2.78653859 -0.52034551],-0.175692787859,[ 1.34579778 -0.71696317],[-0.26733363 -0.21782765],"[[ 11.18497345  -2.92030621  -0.10413113   0.15955056]
 [ 57.80600493  -2.66231209   0.           0.        ]]"
19,-1.00676,"[ 0.93521555 -0.6460165  -0.31754067  0.39580846 -0.89686099  1.39354026
  1.89753069 -0.29148372  0.4282665  -1.48722241  0.        ]",[ 0.44950218  0.36137275],-0.196738430351,[ 1.27683246 -0.56274021],[-0.26733363 -0.21782765],"[[ 12.36933901  -2.99366487  -0.10413113   0.15955056]
 [ 60.62118234  -4.66701126   0.           0.        ]]"
20,-0.971055,"[ 0.27961395 -0.65306974  1.33126093  0.51180939 -0.89685912  1.39353554
  1.92186853  0.33472147  0.55346212 -1.48604441  0.        ]",[ 0.32819365 -1.19468047],-0.205031434453,[ 1.30957329 -0.66399109],[-0.26733363 -0.21782765],"[[ 13.58758244  -3.03404929  -0.10413113   0.15955056]
 [ 61.20113972  -0.07920014   0.           0.        ]]"
21,-0.855672,"[-1.36179312 -0.65194391  1.21766593  0.49054189 -0.89685726  1.39353081
  1.92554645  0.42067433  0.63300462 -1.35146601  0.        ]",[ 1.11339576 -1.19661008],-0.19899490825,[ 1.38291073 -0.67613733],[-0.26733363 -0.21782765],"[[ 14.81248689  -3.02666068  -0.10413113   0.15955056]
 [ 61.28899419   0.55052549   0.           0.        ]]"
22,-0.795863,"[-1.80737349 -0.65029447 -0.56051158  0.46165822 -0.89685539  1.39352609
  2.04081622  0.40232707  0.5445279  -1.20989175  0.        ]",[ 2.41857028 -1.68005992],-0.179546891698,[ 1.38558185 -0.77635676],[-0.26733363 -0.21782765],"[[ 16.06581779  -3.01661584  -0.10413113   0.15955056]
 [ 64.0349434    0.416111     0.           0.        ]]"
23,-0.90613,"[-0.33219734 -0.64917225 -1.57518045  0.44328502 -0.89685353  1.39352136
  2.15380183  0.37717719  0.40287061 -1.28689331  0.        ]",[ 0.55361165  0.05398621],-0.17601914677,[ 1.33095193 -0.83525574],[-0.26733363 -0.21782765],"[[ 17.37352228  -3.01021975  -0.10413113   0.15955056]
 [ 66.72653876   0.23185793   0.           0.        ]]"
24,-0.927473,"[ 0.95030748 -0.64792537 -0.21786633  0.42387713 -0.89685166  1.39351664
  2.19035131  0.4060902   0.43516322 -1.48399314  0.        ]",[ 0.67119522 -1.87972921],-0.196865996588,[ 1.16657567 -0.8075211 ],[-0.26733363 -0.21782765],"[[ 18.71679155  -3.00345756  -0.10413113   0.15955056]
 [ 67.59748195   0.44368837   0.           0.        ]]"
25,-0.977081,"[ 0.00729323 -0.64736167  1.47365656  0.41542035 -0.8968498   1.39351191
  2.24571975  0.34020186  0.6031968  -1.48128576  0.        ]",[ 0.87483789 -0.21013374],-0.208221763594,[ 1.2901814  -0.70941544],[-0.26733363 -0.21782765],"[[  2.00819774e+01  -3.00050915e+00  -1.04131131e-01   1.59550564e-01]
 [  6.89167150e+01  -3.90281407e-02   0.00000000e+00   0.00000000e+00]]"
26,-0.859108,"[-1.71611593 -0.64744109  0.7576551   0.41661843 -0.89684793  1.39350719
  2.33384046  0.34458688  0.63073007 -1.27345479  0.        ]",[ 1.58016958  1.27709976],-0.192086678076,[ 1.35561013 -0.72058034],[-0.26733363 -0.21782765],"[[  2.14813760e+01  -3.00092715e+00  -1.04131131e-01   1.59550564e-01]
 [  7.10161481e+01  -6.89879816e-03   0.00000000e+00   0.00000000e+00]]"
27,-0.778696,"[-1.31561766 -0.63875771 -1.27605431  0.3033354  -0.89684607  1.39350246
  2.44101612  0.88555443  0.43417325 -1.18901471  0.        ]",[ 1.51009752 -1.65915496],-0.169174736423,[ 1.31405818 -1.03615737],[-0.26733363 -0.21782765],"[[ 22.92731867  -2.96130183  -0.10413113   0.15955056]
 [ 73.56953337   3.95641303   0.           0.        ]]"
28,-0.965501,"[ 0.61825226 -0.62824346 -1.033449    0.1935869  -0.8968442   1.39349774
  2.54605029  0.33509481  0.35842014 -1.47946987  0.        ]",[ 0.17274628 -0.75379642],-0.191769603703,[ 1.13306844 -0.88060713],[-0.26733363 -0.21782765],"[[ 24.42381637  -2.92263842  -0.10413113   0.15955056]
 [ 76.07197935  -0.07642321   0.           0.        ]]"
29,-1.05881,"[ 0.52466719 -0.63693592  1.12302529  0.28267422 -0.89684234  1.39349301
  2.51152427 -0.07140143  0.58494744 -1.54098631  0.        ]",[-0.25360439 -0.50622634],-0.212347711015,[ 1.25094497 -0.66118687],[-0.26733363 -0.21782765],"[[ 25.93700883  -2.95404583  -0.10413113   0.15955056]
 [ 75.25006522  -3.05453937   0.           0.        ]]"
