timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-4.65285,"[ 0.89675567  0.92884468  0.08729233 -0.54672262 -0.93451774  0.06786352
  0.43642885 -0.24418373  2.6422075  -0.16858427  0.        ]",[ 2.02023289  3.91626474],-0.316277239667,[ 1.39324379  3.66230583],[-0.86109358 -0.87921393],"[[ 0.04902461 -0.06636748 -0.10638509  0.00726395]
 [-0.00390233 -0.00249323  0.          0.        ]]"
1,-4.38036,"[ 0.89221045  0.93115337  0.14767362 -0.46791295 -0.93451747  0.06786351
  0.63988896  0.56502317  2.63680824  0.041228    0.        ]",[-0.49536804  2.81023712],-0.315893611506,[-0.41350928  2.71759272],[-0.86109358 -0.87921393],"[[ 0.08862242 -0.02670443 -0.10638509  0.00726395]
 [ 3.95052     3.95561199  0.          0.        ]]"
2,-4.1887,"[ 0.88071661  0.92638031  0.23653799 -0.23331514 -0.9345172   0.0678635
  0.5349668   1.35868366  2.5952203   0.45561802  0.        ]",[-1.28055655  1.72847439],-0.313970196397,[-1.03937185  1.89187312],[-0.86109358 -0.87921393],"[[  1.47172317e-01   9.13578665e-02  -1.06385088e-01   7.26395284e-03]
 [  1.91127106e+00   7.83767637e+00   0.00000000e+00   0.00000000e+00]]"
3,-4.03966,"[ 0.88116847  0.88065834  0.23372706  0.14697574 -0.93451693  0.06786348
  0.32941348  2.13678178  2.51481022  0.78452013  0.        ]",[-1.8287046   2.20600054],-0.309850430098,[-0.87042189  1.30320001],[-0.86109358 -0.87921393],"[[  1.45313591e-01   2.86297846e-01  -1.06385088e-01   7.26395284e-03]
 [ -2.08383000e+00   1.16436265e+01   0.00000000e+00   0.00000000e+00]]"
4,-3.94731,"[ 0.89530583  0.74269437  0.11067445  0.63613436 -0.93451666  0.06786347
  0.12792682  2.8994474   2.40369872  0.94912516  0.        ]",[-0.93631674  1.39778453],-0.302316797362,[-0.67673606  1.04731536],[-0.86109358 -0.87921393],"[[  6.43460678e-02   5.56599818e-01  -1.06385088e-01   7.26395284e-03]
 [ -5.99989230e+00   1.53741047e+01   0.00000000e+00   0.00000000e+00]]"
5,-3.71945,"[ 0.89175628  0.45729546 -0.12749791  1.1443924  -0.93451639  0.06786346
 -0.05661987  3.64692755  2.24437492  0.94954585  0.        ]",[-0.74484588  0.60875461],-0.28887630541,[-0.44621587  0.818048  ],[-0.86109358 -0.87921393],"[[ -9.16389512e-02   9.00766727e-01  -1.06385088e-01   7.26395284e-03]
 [ -9.58671204e+00   1.90303285e+01   0.00000000e+00   0.00000000e+00]]"
6,-3.41712,"[ 0.81866361  0.01273199 -0.45544712  1.50291612 -0.93451612  0.06786345
 -0.19853571  4.06273796  2.01281226  0.79950317  0.        ]",[-0.20983796  0.35323129],-0.267412547118,[-0.25222737  0.56949449],[-0.86109358 -0.87921393],"[[ -3.11046632e-01   1.30178132e+00  -1.06385088e-01   7.26395284e-03]
 [ -1.23449656e+01   2.10642588e+01   0.00000000e+00   0.00000000e+00]]"
7,-2.97295,"[ 0.64039781 -0.5218877  -0.80453575  1.54838029 -0.93451585  0.06786344
 -0.22872122  4.26329145  1.68919398  0.57405085  0.        ]",[-1.88290198 -0.36678842],-0.237403149022,[-0.56487447 -0.20266539],[-0.86109358 -0.87921393],"[[ -5.63832206e-01   1.73290984e+00  -1.06385088e-01   7.26395284e-03]
 [ -1.29316469e+01   2.20453013e+01   0.00000000e+00   0.00000000e+00]]"
8,-2.67551,"[ 0.31911448 -1.00998734 -1.14565687  1.2446991  -0.93451558  0.06786343
 -0.41923586  3.87702798  1.31495142  0.28057089  0.        ]",[-0.62071781 -0.71220602],-0.202873688624,[-0.72362709 -0.51036435],[-0.86109358 -0.87921393],"[[ -8.59614284e-01   2.15486078e+00  -1.06385088e-01   7.26395284e-03]
 [ -1.66344585e+01   2.01559866e+01   0.00000000e+00   0.00000000e+00]]"
9,-2.34608,"[-0.18687028 -1.34141087 -1.41974967  0.73441556 -0.93451531  0.06786342
 -0.52877103  3.21872212  0.94347383 -0.00856489  0.        ]",[-1.06526024  0.22883078],-0.169577820216,[-0.79571402 -0.6079995 ],[-0.86109358 -0.87921393],"[[ -1.21366290e+00   2.52567316e+00  -1.06385088e-01   7.26395284e-03]
 [ -1.87633671e+01   1.69359827e+01   0.00000000e+00   0.00000000e+00]]"
10,-2.08594,"[-0.86070735 -1.52554439 -1.51395875  0.11863983 -0.93451504  0.06786341
 -0.71340075  3.3352316   0.55767995 -0.14581674  0.        ]",[-0.48257179 -0.36679258],-0.136193510976,[-0.55762988 -0.97728336],[-0.86109358 -0.87921393],"[[ -1.62493434e+00   2.87011075e+00  -1.06385088e-01   7.26395284e-03]
 [ -2.23518012e+01   1.75059074e+01   0.00000000e+00   0.00000000e+00]]"
11,-2.36777,"[-1.59382429 -1.57109376 -1.31724192 -0.3722612  -0.93451477  0.0678634
 -0.78898314  0.48597719  0.27966394 -0.0818632   0.        ]",[-0.05773293 -0.03793034],-0.112148350241,[-0.80997831 -0.12021178],[-0.86109358 -0.87921393],"[[ -2.08670856e+00   3.12020719e+00  -1.06385088e-01   7.26395284e-03]
 [ -2.38208110e+01   3.56904832e+00   0.00000000e+00   0.00000000e+00]]"
12,-2.48667,"[-2.16573765 -1.57091809 -0.82646758 -0.36081032 -0.9345145   0.06786339
 -0.77649431 -0.6934314   0.32622661 -0.16409729  0.        ]",[-0.52853202  1.1649444 ],-0.116235747959,[-0.69509274  0.64049882],[-0.86109358 -0.87921393],"[[ -2.56069035e+00   3.11444917e+00  -1.06385088e-01   7.26395284e-03]
 [ -2.35780841e+01  -2.19991775e+00   0.00000000e+00   0.00000000e+00]]"
13,-2.57165,"[-2.43231131 -1.56808552 -0.12960983 -0.27059222 -0.93451423  0.06786338
 -0.86014487 -0.65811243  0.33347659 -0.33383691  0.        ]",[-0.29702932  0.53470921],-0.117658332617,[-0.55603516  0.58859235],[-0.86109358 -0.87921393],"[[ -3.04856462e+00   3.06903634e+00  -1.06385088e-01   7.26395284e-03]
 [ -2.52039058e+01  -2.02715910e+00   0.00000000e+00   0.00000000e+00]]"
14,-2.60957,"[-2.29592404 -1.56446472  0.6326699  -0.20600569 -0.93451396  0.06786337
 -0.89497774 -0.49491274  0.25815708 -0.4562004   0.        ]",[-0.37638175  0.13359921],-0.1123862288,[-0.58274674  0.37098703],[-0.86109358 -0.87921393],"[[ -3.55943539e+00   3.03643874e+00  -1.06385088e-01   7.26395284e-03]
 [ -2.58809161e+01  -1.22888388e+00   0.00000000e+00   0.00000000e+00]]"
15,-2.58114,"[-1.7477031  -1.56173901  1.25154163 -0.16839965 -0.93451369  0.06786336
 -0.94528694 -0.38252551  0.14718258 -0.47339358  0.        ]",[-0.71061062  0.0255605 ],-0.103217337614,[-0.65542817  0.2514376 ],[-0.86109358 -0.87921393],"[[ -4.08686434e+00   3.01740899e+00  -1.06385088e-01   7.26395284e-03]
 [ -2.68587219e+01  -6.79152905e-01   0.00000000e+00   0.00000000e+00]]"
16,-2.51008,"[-0.8795598  -1.55971411  1.53769552 -0.14386751 -0.93451342  0.06786335
 -1.06268745 -0.35919638  0.04675375 -0.38286672  0.        ]",[-1.04318202  0.04972318],-0.0936161900508,[-0.72210389  0.20039478],[-0.86109358 -0.87921393],"[[ -4.64693264e+00   3.00497104e+00  -1.06385088e-01   7.26395284e-03]
 [ -2.91405040e+01  -5.65041001e-01   0.00000000e+00   0.00000000e+00]]"
17,-2.38238,"[ 0.10389327 -1.55808903  1.31450783 -0.1257087  -0.93451315  0.06786334
 -1.23671534 -0.31680754  0.00182744 -0.20411442  0.        ]",[-0.10394994  0.17263839],-0.0883744231709,[-0.65932769  0.50927579],[-0.86109358 -0.87921393],"[[ -5.26367927e+00   2.99575081e+00  -1.06385088e-01   7.26395284e-03]
 [ -3.25228879e+01  -3.57700405e-01   0.00000000e+00   0.00000000e+00]]"
18,-2.41904,"[ 0.78497193 -1.55804616  0.56710898 -0.12525403 -0.93451288  0.06786333
 -1.22476272 -0.17574334  0.05052006 -0.02401011  0.        ]",[-1.52264434  0.62676282],-0.0924552208575,[-0.86585796  0.89355415],[-0.86109358 -0.87921393],"[[ -5.91180624e+00   2.99551980e+00  -1.06385088e-01   7.26395284e-03]
 [ -3.22905881e+01   3.32301142e-01   0.00000000e+00   0.00000000e+00]]"
19,-2.50284,"[ 0.82034356 -1.55993488 -0.45063748 -0.14646118 -0.93451261  0.06786332
 -1.3955846  -0.19407189  0.16547191  0.06034508  0.        ]",[-1.59541216  1.29643105],-0.102723024057,[-1.37677109  1.09405804],[-0.86109358 -0.87921393],"[[ -6.59092922e+00   3.00628705e+00  -1.06385088e-01   7.26395284e-03]
 [ -3.56106643e+01   2.42648731e-01   0.00000000e+00   0.00000000e+00]]"
20,-2.65486,"[ 0.05635449 -1.56013097 -1.31552372 -0.14877053 -0.93451234  0.06786331
 -1.56302406 -0.25217696  0.30909465  0.03223795  0.        ]",[-1.80757091  0.50476702],-0.114954872231,[-1.68437707  0.69476521],[-0.86109358 -0.87921393],"[[ -7.33579442e+00   3.00745858e+00  -1.06385088e-01   7.26395284e-03]
 [ -3.88650046e+01  -4.15666284e-02   0.00000000e+00   0.00000000e+00]]"
21,-2.51758,"[-1.24946575 -1.55983579 -1.45188039 -0.14532594 -0.93451207  0.0678633
 -1.72714768 -0.26407404  0.40801431 -0.14636165  0.        ]",[-1.29743416  0.05128303],-0.123267556846,[-1.312693    0.50677192],[-0.86109358 -0.87921393],"[[ -8.14509983e+00   3.00571111e+00  -1.06385088e-01   7.26395284e-03]
 [ -4.20549040e+01  -9.97602165e-02   0.00000000e+00   0.00000000e+00]]"
22,-2.47697,"[-2.30303774 -1.55946045 -0.5930059  -0.14100712 -0.9345118   0.06786329
 -1.88802167 -0.26434058  0.37755675 -0.38977174  0.        ]",[-1.32058461  0.96390135],-0.121881269956,[-0.88387996  0.46195507],[-0.86109358 -0.87921393],"[[ -9.01756958e+00   3.00351953e+00  -1.06385088e-01   7.26395284e-03]
 [ -4.51816504e+01  -1.01064186e-01   0.00000000e+00   0.00000000e+00]]"
23,-2.61277,"[-2.21290477 -1.55934702  0.78140703 -0.13972218 -0.93451153  0.06786327
 -2.04571048 -0.24245958  0.21385176 -0.51070718  0.        ]",[-1.16823096 -0.56699781],-0.109334785141,[-1.00203288  0.32070357],[-0.86109358 -0.87921393],"[[ -9.95195317e+00   3.00286736e+00  -1.06385088e-01   7.26395284e-03]
 [ -4.82464972e+01   5.96427238e-03   0.00000000e+00   0.00000000e+00]]"
24,-2.51242,"[-0.85138256 -1.55515434  1.53916746 -0.09561668 -0.93451126  0.06786326
 -2.20027857 -0.70181506  0.01377334 -0.37434273  0.        ]",[-1.78550082  0.64963928],-0.0907209900697,[-1.16834939  0.61019731],[-0.86109358 -0.87921393],"[[ -1.09470255e+01   2.98044357e+00  -1.06385088e-01   7.26395284e-03]
 [ -5.12506984e+01  -2.24092678e+00   0.00000000e+00   0.00000000e+00]]"
25,-2.45881,"[ 0.63954747 -1.5512082   0.83053912 -0.05918008 -0.934511    0.06786325
 -2.35177543 -0.16731608  0.01071356 -0.01585805  0.        ]",[-1.96627738  0.91044608],-0.0890463806074,[-1.14404833  1.14665747],[-0.86109358 -0.87921393],"[[ -1.20015825e+01   2.96185738e+00  -1.06385088e-01   7.26395284e-03]
 [ -5.41952168e+01   3.73519916e-01   0.00000000e+00   0.00000000e+00]]"
26,-2.54963,"[ 0.65427997 -1.55977886 -0.78407748 -0.14471252 -0.93451073  0.06786324
 -2.50028478  0.37027421  0.21435213  0.07067007  0.        ]",[-0.81687779  1.11872964],-0.106985767742,[-1.67928946  1.00312018],[-0.86109358 -0.87921393],"[[ -1.31144468e+01   3.00539990e+00  -1.06385088e-01   7.26395284e-03]
 [ -5.70816807e+01   3.00308747e+00   0.00000000e+00   0.00000000e+00]]"
27,-2.58164,"[-1.00334455 -1.56316424 -1.50123588 -0.18741873 -0.93451046  0.06786323
 -2.60855769 -0.24799547  0.37050029 -0.09439047  0.        ]",[-0.83680605  0.56825793],-0.119991984926,[-1.18887866  0.73150659],[-0.86109358 -0.87921393],"[[ -1.42771956e+01   3.02703849e+00  -1.06385088e-01   7.26395284e-03]
 [ -5.91861225e+01  -2.11144618e-02   0.00000000e+00   0.00000000e+00]]"
28,-2.54714,"[-2.39723865 -1.56217365 -0.32948366 -0.17413846 -0.93451019  0.06786322
 -2.71873594 -0.33646606  0.3511138  -0.3985035   0.        ]",[-1.07939982  0.61870686],-0.119699973803,[-0.83494204  0.62925756],[-0.86109358 -0.87921393],"[[ -1.54824044e+01   3.02031585e+00  -1.06385088e-01   7.26395284e-03]
 [ -6.13276055e+01  -4.53859381e-01   0.00000000e+00   0.00000000e+00]]"
29,-2.59964,"[-1.63177575 -1.56091246  1.32168522 -0.15823419 -0.93450992  0.06786321
 -2.85997492 -0.31066339  0.12664351 -0.46842782  0.        ]",[-1.9750685   0.76175565],-0.101420527945,[-1.1592766   0.45833111],[-0.86109358 -0.87921393],"[[ -1.67364999e+01   3.01225762e+00  -1.06385088e-01   7.26395284e-03]
 [ -6.40727952e+01  -3.27648579e-01   0.00000000e+00   0.00000000e+00]]"
30,-2.41269,"[ 0.38700077 -1.56011509  1.11381274 -0.1486803  -0.93450965  0.0678632
 -2.99841744 -0.27829577  0.01792666 -0.1566693   0.        ]",[-1.20651734  0.74105263],-0.0896026590504,[-0.99194562  1.10620463],[-0.86109358 -0.87921393],"[[ -1.80449540e+01   3.00741292e+00  -1.06385088e-01   7.26395284e-03]
 [ -6.67636470e+01  -1.69326011e-01   0.00000000e+00   0.00000000e+00]]"
31,-2.5677,"[ 0.64634407 -1.55970519 -0.79586317 -0.1439071  -0.93450938  0.06786319
 -3.13411897 -0.26040917  0.21651004  0.07121035  0.        ]",[-0.53825437  1.91597413],-0.107174462084,[-1.17001998  1.35295165],[-0.86109358 -0.87921393],"[[ -1.94066908e+01   3.00499129e+00  -1.06385088e-01   7.26395284e-03]
 [ -6.94012405e+01  -8.18358509e-02   0.00000000e+00   0.00000000e+00]]"
32,-2.55395,"[-1.3925339  -1.55955672 -1.40604113 -0.14220519 -0.93450911  0.06786318
 -3.17307222 -0.24743116  0.41359739 -0.17349213  0.        ]",[-0.9531319  0.1067031],-0.123799338477,[-0.86588854  0.79246831],[-0.86109358 -0.87921393],"[[ -2.08023128e+01   3.00412766e+00  -1.06385088e-01   7.26395284e-03]
 [ -7.01584411e+01  -1.83554885e-02   0.00000000e+00   0.00000000e+00]]"
33,-2.58027,"[-2.39236228 -1.55936361  0.37315101 -0.14000473 -0.93450884  0.06786317
 -3.29576794 -0.25756     0.27212985 -0.49784132  0.        ]",[-0.57388825  0.83578646],-0.114076125635,[-0.71751291  0.61286867],[-0.86109358 -0.87921393],"[[ -2.22294094e+01   3.00301089e+00  -1.06385088e-01   7.26395284e-03]
 [ -7.25432756e+01  -6.78998315e-02   0.00000000e+00   0.00000000e+00]]"
34,-2.48542,"[-0.55943077 -1.5592917   1.5287117  -0.13919584 -0.93450857  0.06786316
 -3.33877892 -0.24246946  0.02489265 -0.33322238  0.        ]",[-1.013765    0.25316414],-0.0912464549951,[-0.92347527  0.69539809],[-0.86109358 -0.87921393],"[[ -2.36886637e+01   3.00260032e+00  -1.06385088e-01   7.26395284e-03]
 [ -7.33793612e+01   5.91371676e-03   0.00000000e+00   0.00000000e+00]]"
35,-2.46931,"[ 0.89678697 -1.55922514 -0.06196582 -0.13844989 -0.9345083   0.06786315
 -3.46774021 -0.24963793  0.11831375  0.04194101  0.        ]",[-0.5190012   0.68882451],-0.0985661406277,[-0.92654002  1.55192959],[-0.86109358 -0.87921393],"[[ -2.51814008e+01   3.00222169e+00  -1.06385088e-01   7.26395284e-03]
 [ -7.58859997e+01  -2.91502743e-02   0.00000000e+00   0.00000000e+00]]"
36,-2.60851,"[-0.77225874 -1.55921158 -1.51619642 -0.13830564 -0.93450803  0.06786314
 -3.49616472 -0.24170369  0.39011602 -0.07043501  0.        ]",[-0.82255006  1.46989736],-0.121697658812,[-0.76419133  1.06158924],[-0.86109358 -0.87921393],"[[ -2.67046652e+01   3.00214847e+00  -1.06385088e-01   7.26395284e-03]
 [ -7.64386004e+01   9.65897235e-03   0.00000000e+00   0.00000000e+00]]"
37,-2.5758,"[-2.43905627 -1.55930808 -0.02338547 -0.13941005 -0.93450776  0.06786313
 -3.58586115 -0.23675606  0.32058657 -0.46708072  0.        ]",[-0.69233553  1.19783595],-0.117805877353,[-0.53511161  0.66237772],[-0.86109358 -0.87921393],"[[ -2.82509303e+01   3.00270909e+00  -1.06385088e-01   7.26395284e-03]
 [ -7.81821029e+01   3.38595592e-02   0.00000000e+00   0.00000000e+00]]"
38,-2.50585,"[-0.80139198 -1.55940914  1.54070392 -0.14057107 -0.93450749  0.06786312
 -3.64725568 -0.23884888  0.03942819 -0.37116869  0.        ]",[-0.76353915  0.02666604],-0.092866319597,[-0.79285991  0.73309952],[-0.86109358 -0.87921393],"[[ -2.98265465e+01   3.00329839e+00  -1.06385088e-01   7.26395284e-03]
 [ -7.93755350e+01   2.36225710e-02   0.00000000e+00   0.00000000e+00]]"
39,-2.48504,"[ 0.89862852 -1.5592917  -0.00702171 -0.13924258 -0.93450722  0.06786311
 -3.72193856 -0.25564211  0.11176035  0.03612116  0.        ]",[-0.82253402  1.12503206],-0.0979724976388,[-0.7877093   1.63971603],[-0.86109358 -0.87921393],"[[ -3.14286228e+01   3.00262410e+00  -1.06385088e-01   7.26395284e-03]
 [ -8.08272542e+01  -5.85198257e-02   0.00000000e+00   0.00000000e+00]]"
40,-2.60922,"[-0.89555248 -1.55927955 -1.51189258 -0.13911387 -0.93450695  0.0678631
 -3.80715951 -0.2385605   0.39677356 -0.08942148  0.        ]",[-0.64455926  1.25891735],-0.122262667898,[-0.55068064  1.12734902],[-0.86109358 -0.87921393],"[[ -3.30617886e+01   3.00255878e+00  -1.06385088e-01   7.26395284e-03]
 [ -8.24838080e+01   2.50327618e-02   0.00000000e+00   0.00000000e+00]]"
41,-2.59367,"[-2.41734089 -1.55937641  0.26069497 -0.14022572 -0.93450668  0.06786309
 -3.85443855 -0.23828994  0.2866376  -0.49059469  0.        ]",[-0.40211261  0.46086562],-0.115210690441,[-0.48131657  0.68564957],[-0.86109358 -0.87921393],"[[ -3.47206865e+01   3.00312314e+00  -1.06385088e-01   7.26395284e-03]
 [ -8.34029210e+01   2.63559624e-02   0.00000000e+00   0.00000000e+00]]"
42,-2.4334,"[-0.34153314 -1.55935011  1.48965581 -0.13993535 -0.93450641  0.06786308
 -3.85139361 -0.24848052  0.01640653 -0.29676377  0.        ]",[-0.28174568  0.27780087],-0.0902033640161,[-0.62240034  0.98675156],[-0.86109358 -0.87921393],"[[ -3.63881530e+01   3.00297577e+00  -1.06385088e-01   7.26395284e-03]
 [ -8.33439211e+01  -2.34902896e-02   0.00000000e+00   0.00000000e+00]]"
