timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.46259004 -0.18308343],-1.11164,"[ 0.92810685  1.08491036 -0.16577262  0.14857336  0.06038967 -0.75779875
  0.42507586 -0.204866    1.19302245  0.93369442  0.        ]",-0.221809578013,[-2.10408616 -0.23954952],[-2.5823548  -0.06877922],"[[-0.04211603  0.07987158  0.00630275 -0.08823394]
 [ 0.00132564  0.00482523  0.          0.        ]]"
1,[-0.46259004 -0.18308343],-0.960717,"[ 0.92428346  1.08514842 -0.22679705  0.14339433  0.06038965 -0.75779831
  0.13488375 -0.24864305  1.19133978  0.82912139  0.        ]",-0.218374887966,[-1.0118947  -0.03890207],[-0.08241479  2.17230617],"[[-0.08177927  0.07725009  0.00630275 -0.08823394]
 [-3.95447882 -0.26607783  0.          0.        ]]"
2,[-0.46259004 -0.18308343],-1.06455,"[ 0.90875514  1.08137218 -0.35160176  0.21137557  0.06038963 -0.75779787
  0.11659225  0.39208074  1.17990452  0.66770524  0.        ]",-0.212806348329,[-0.72651184 -0.04793721],[-0.69478134 -1.02222805],"[[-0.16337062  0.11171013  0.00630275 -0.08823394]
 [-4.20382195  3.69886743  0.          0.        ]]"
3,[-0.46259004 -0.18308343],-1.22027,"[ 0.87133308  1.07638321 -0.51826132  0.2772611   0.06038961 -0.75779742
 -0.07881922 -0.25944816  1.1482051   0.43354613  0.        ]",-0.204527720581,[ 0.38721499  0.1127615 ],[ 0.44083833 -3.07753328],"[[ -2.74173555e-01   1.45235105e-01   6.30275246e-03  -8.82339372e-02]
 [ -6.86760653e+00  -3.32940654e-01   0.00000000e+00   0.00000000e+00]]"
4,[-0.46259004 -0.18308343],-0.89592,"[ 0.81099981  1.08293339 -0.69074843  0.18614429  0.06038958 -0.75779698
  0.05918951 -0.89836154  1.07144347  0.08237345  0.        ]",-0.192231429056,[ 0.71240747  0.15031207],[ 0.18222146  1.30033087],"[[-0.39265015  0.09890705  0.00630275 -0.08823394]
 [-4.98631782 -4.2866827   0.          0.        ]]"
5,[-0.46259004 -0.18308343],-1.10431,"[ 0.7505332   1.08693132 -0.81844969  0.09692382  0.06038956 -0.75779654
  0.11919079 -0.24484072  0.97936061 -0.18904574  0.        ]",-0.182217969768,[ 0.97276056 -0.04039273],[ 0.17636193 -0.558209  ],"[[-0.4841701   0.05374947  0.00630275 -0.08823394]
 [-4.16840033 -0.24255111  0.          0.        ]]"
6,[-0.46259004 -0.18308343],-1.15407,"[ 0.69191679  1.08819162 -0.91936389  0.04349792  0.06038954 -0.7577961
  0.17648175 -0.60128875  0.88948615 -0.38995345  0.        ]",-0.174422063892,[ 1.15202606  0.23837864],[ 0.0944469  -0.70207911],"[[-0.55970237  0.02676711  0.00630275 -0.08823394]
 [-3.38742898 -2.4483319   0.          0.        ]]"
7,[-0.46259004 -0.18308343],-0.994845,"[ 0.6369679   1.08717807 -1.00038473 -0.10780574  0.06038952 -0.75779566
  0.20888259 -1.04271427  0.76712476 -0.60751369  0.        ]",-0.165525881076,[ 1.50652456  0.84173918],[ 0.92562014  0.73305247],"[[-0.6230194  -0.049607    0.00630275 -0.08823394]
 [-2.94575108 -5.17997457  0.          0.        ]]"
8,[-0.46259004 -0.18308343],-1.12299,"[ 0.61704791  1.07982186 -1.02721966 -0.25281111  0.06038949 -0.75779522
  0.48168468 -0.55732394  0.68533525 -0.72420761  0.        ]",-0.160212205522,[ 0.61363494  0.30399057],[ 1.2535401  -0.45294258],"[[-0.64462325 -0.12306944  0.00630275 -0.08823394]
 [ 0.77299247 -2.17627458  0.          0.        ]]"
9,[-0.46259004 -0.18308343],-1.06157,"[ 0.66659888  1.06896408 -0.95807292 -0.37245386  0.06038947 -0.75779478
  0.77081224 -0.84042472  0.71250794 -0.67553302  0.        ]",-0.161662990041,[-0.28179836  0.4180766 ],[-1.24285677  0.31716384],"[[-0.58961932 -0.18417233  0.00630275 -0.08823394]
 [ 4.71428113 -3.92816706  0.          0.        ]]"
10,[-0.46259004 -0.18308343],-1.0249,"[ 0.71116377  1.05268948 -0.8881233  -0.498551    0.06038945 -0.75779434
  0.47373328 -0.62466522  0.73226694 -0.63128547  0.        ]",-0.162616775077,[ 0.53529942  0.3724061 ],[ 0.30669419  0.30170665],"[[-0.53596518 -0.24933943  0.00630275 -0.08823394]
 [ 0.66461157 -2.59300247  0.          0.        ]]"
