timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.78372443 -0.40201125],-1.96485,"[ 0.9114787   0.99691564 -0.06656742  0.16084196  0.35222206 -1.12045721
  0.38475287 -0.1845191   0.90724639  1.93106964  0.        ]",-0.223149990614,[-3.21762776 -2.02953982],[-3.6780789  -3.01601572],"[[ 0.02791894  0.09619884  0.04047394 -0.12972804]
 [-0.00385525  0.00194146  0.          0.        ]]"
1,[-0.78372443 -0.40201125],-1.78873,"[ 0.91196772  1.00052277 -0.1290281   0.08482671  0.35222196 -1.12045662
  0.10763479 -0.84645092  0.9156683   1.75250597  0.        ]",-0.215666968825,[-2.16669202 -1.90558958],[-2.91563678 -2.32558603],"[[-0.01183253  0.05652485  0.04047394 -0.12972804]
 [-3.9581273  -3.95615532  0.          0.        ]]"
2,[-0.78372443 -0.40201125],-1.42105,"[ 0.8991802   1.00017069 -0.3139667  -0.14190015  0.35222187 -1.12045603
 -0.1640043  -1.49528124  0.88569952  1.22257362  0.        ]",-0.192272850274,[-0.37602645 -1.62041545],[-0.72881081 -1.8620925 ],"[[-0.1298849  -0.06152514  0.04047394 -0.12972804]
 [-7.83421817 -7.83591473  0.          0.        ]]"
3,[-0.78372443 -0.40201125],-1.07687,"[ 0.83726035  0.96345616 -0.59568893 -0.51109596  0.35222178 -1.12045545
 -0.35510587 -2.13133023  0.67250197  0.42799553  0.        ]",-0.152426911547,[ 1.96868014  0.05970538],[ 1.32276113 -0.10880522],"[[ -0.31392809  -0.25640373   0.04047394  -0.12972804]
 [-10.56109787 -11.63925753   0.           0.        ]]"
4,[-0.78372443 -0.40201125],-0.897633,"[ 0.73669698  0.86148083 -0.84077882 -0.93021039  0.35222169 -1.12045486
 -0.06325823 -2.16508064  0.26249392 -0.23753306  0.        ]",-0.110108547065,[ 2.2360158  1.8056488],[ 2.48682707  1.62444232],"[[ -0.48336684  -0.49121404   0.04047394  -0.12972804]
 [ -6.39664835 -11.8410892    0.           0.        ]]"
5,[-0.78372443 -0.40201125],-0.857413,"[ 0.66975923  0.73279416 -0.95890266 -1.2410043   0.35222159 -1.12045427
  0.22272758 -1.46392589 -0.08963461 -0.53485261  0.        ]",-0.0829069509927,[ 1.56884718  2.20674229],[ 1.31261917  1.86310796],"[[-0.57035699 -0.68596984  0.04047394 -0.12972804]
 [-2.3158429  -7.64845501  0.          0.        ]]"
6,[-0.78372443 -0.40201125],-0.817588,"[ 0.66462843  0.64285058 -0.96705707 -1.39922186  0.3522215  -1.12045368
  0.50309827 -0.77664233 -0.2308189  -0.58832061  0.        ]",-0.0726041773433,[ 0.38301033  1.8908813 ],[ 0.34113649  2.13094906],"[[-0.57653461 -0.79770516  0.04047394 -0.12972804]
 [ 1.68483949 -3.53875948  0.          0.        ]]"
7,[-0.78372443 -0.40201125],-0.844242,"[ 0.70233289  0.61657764 -0.90436209 -1.43931002  0.35222141 -1.12045309
  0.59525946 -0.10281294 -0.18426002 -0.52687518  0.        ]",-0.0746604532923,[-0.46854994  0.77065122],[-0.47789857  0.60226656],"[[-0.52964338 -0.82805367  0.04047394 -0.12972804]
 [ 2.99991323  0.49048635  0.          0.        ]]"
8,[-0.78372443 -0.40201125],-0.928855,"[ 0.73250923  0.64565863 -0.84890746 -1.39478775  0.35222132 -1.1204525
  0.45853884  0.29447867 -0.07608533 -0.44871844  0.        ]",-0.0821677086954,[-0.33769548  0.04667258],[-0.03314199 -0.81230728],"[[-0.48921905 -0.79440818  0.04047394 -0.12972804]
 [ 1.04901465  2.86614048  0.          0.        ]]"
9,[-0.78372443 -0.40201125],-0.821885,"[ 0.74625627  0.66622746 -0.82176614 -1.36141159  0.35222122 -1.12045191
  0.44796892 -0.25289599 -0.01573699 -0.40366115  0.        ]",-0.0866928166115,[-0.11765754  0.47752282],[-0.05472301  1.24651963],"[[-0.46975207 -0.76992538  0.04047394 -0.12972804]
 [ 0.89819173 -0.4069528   0.          0.        ]]"
