timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.92435783 -0.46896136],-3.32749,"[ 0.90509499  0.98378177 -0.17085482 -0.0476318  -0.71836908  1.10039987
  0.3695814  -0.17844256  2.3587545  -2.13778402  0.        ]",-0.322288541678,[ 4.52007484  4.77916288],[ 3.95974588  5.73954019],"[[-0.03391545 -0.00165012 -0.0832021   0.12677579]
 [ 0.0017618  -0.00110984  0.          0.        ]]"
1,[-0.92435783 -0.46896136],-3.46043,"[ 0.90594408  0.98290641 -0.10798936  0.02695746 -0.71836887  1.10039941
  0.64012727  0.49247496  2.35897805 -1.94672375  0.        ]",-0.317235036941,[ 3.40259099  3.62588549],[ 3.63249916  3.57252807],"[[ 0.0057945   0.0380403  -0.0832021   0.12677579]
 [ 3.95607307  3.9569654   0.          0.        ]]"
2,[-0.92435783 -0.46896136],-3.10066,"[ 0.89432381  0.96904773  0.07836782  0.24771416 -0.71836866  1.10039896
  0.90532787  1.15011254  2.30276136 -1.38484384  0.        ]",-0.300162066457,[ 2.14746046  2.50919771],[ 2.02137439  3.04911814],"[[ 0.1238066   0.15610622 -0.0832021   0.12677579]
 [ 7.83225919  7.8366974   0.          0.        ]]"
3,[-0.92435783 -0.46896136],-2.61806,"[ 0.82941364  0.90990157  0.37877242  0.60177681 -0.71836846  1.1003985
  1.16530802  1.79472269  2.0325902  -0.52930029  0.        ]",-0.265816567177,[ 0.27470335  1.0837543 ],[ 0.63008837  0.8230622 ],"[[  0.31857612   0.35099589  -0.0832021    0.12677579]
 [ 11.63214602  11.63957983   0.           0.        ]]"
4,[-0.92435783 -0.46896136],-1.99249,"[ 0.66220396  0.76233839  0.74249212  1.038699   -0.71836825  1.10039804
  1.32010466  2.30788162  1.39329522  0.32457615  0.        ]",-0.210348385276,[-2.32096386 -1.05514395],[-2.22511913  0.04218712],"[[  0.57391765   0.61416268  -0.0832021    0.12677579]
 [ 13.89466949  14.66697558   0.           0.        ]]"
5,[-0.92435783 -0.46896136],-2.03883,"[ 0.43424651  0.51928877  1.02897237  1.43519972 -0.71836805  1.10039758
  1.03072848  2.28713895  0.57432203  0.69929277  0.        ]",-0.146791419884,[-2.8076365  -2.55126357],[-2.3697103  -2.90540519],"[[  0.80937534   0.90627464  -0.0832021    0.12677579]
 [  9.66514171  14.54461997   0.           0.        ]]"
6,[-0.92435783 -0.46896136],-1.83493,"[ 0.25574731  0.26195514  1.18091057  1.67468343 -0.71836784  1.10039712
  0.7471039   1.56731636 -0.02747837  0.6213213   0.        ]",-0.0969116005165,[-2.31513834 -2.84148264],[-2.2404109  -3.80498401],"[[  0.96108786   1.15455961  -0.0832021    0.12677579]
 [  5.51967692  10.29802802   0.           0.        ]]"
7,[-0.92435783 -0.46896136],-1.55131,"[ 0.1668792   0.07420174  1.24083202  1.77578915 -0.71836764  1.10039667
  0.46900352  0.86174149 -0.32440245  0.44097626  0.        ]",-0.0684203263161,[-1.63044488 -2.33525825],[-1.50980632 -2.32518253],"[[ 1.03070058  1.31875609 -0.0832021   0.12677579]
 [ 1.45495285  6.13548501  0.          0.        ]]"
8,[-0.92435783 -0.46896136],-1.3916,"[ 0.18103449 -0.02265934  1.23188965  1.80799404 -0.71836743  1.10039621
  0.19635189  0.17012328 -0.37473323  0.34717592  0.        ]",-0.0613804205355,[-0.75817597 -1.09429729],[-0.90995416  0.51268948],"[[ 1.01981687  1.40052791 -0.0832021   0.12677579]
 [-2.5301327   2.05527822  0.          0.        ]]"
9,[-0.92435783 -0.46896136],-1.39741,"[ 0.28972145 -0.09593206  1.15548186  1.82397887 -0.71836723  1.10039575
 -0.04662921  0.50743639 -0.27228966  0.30552515  0.        ]",-0.0680968908305,[ 0.181896 -0.790066],[ 0.08573744 -0.89970996],"[[ 0.93358202  1.46159994 -0.0832021   0.12677579]
 [-6.08155256  4.04525985  0.          0.        ]]"
10,[-0.92435783 -0.46896136],-1.33203,"[ 0.42629737 -0.14947334  1.03679832  1.83122287 -0.71836702  1.10039529
 -0.01514054 -0.11003949 -0.10595089  0.27795949  0.        ]",-0.0809980864828,[ 0.58729112  0.5353294 ],[ 0.65806062  0.64021436],"[[ 0.81656855  1.50595566 -0.0832021   0.12677579]
 [-5.62131331  0.40245718  0.          0.        ]]"
11,[-0.92435783 -0.46896136],-1.30601,"[ 0.51686206 -0.18989478  0.94036849  1.83424228 -0.71836682  1.10039483
  0.17061471  0.31820661  0.01034518  0.24323721  0.        ]",-0.0900695025315,[ 0.4096007  -0.04003599],[ 0.84329816  0.50772748],"[[ 0.73138268  1.53935319 -0.0832021   0.12677579]
 [-2.90630887  2.92889748  0.          0.        ]]"
12,[-0.92435783 -0.46896136],-1.22138,"[ 0.54098803 -0.28458129  0.91170315  1.833119   -0.71836661  1.10039437
  0.40286965  0.64905068 -0.02220604  0.1564907   0.        ]",-0.0859023369054,[-0.29865986 -1.17478883],[-0.2277683  -1.67454896],"[[ 0.7073155   1.61751418 -0.0832021   0.12677579]
 [ 0.48833646  4.88071433  0.          0.        ]]"
13,[-0.92435783 -0.46896136],-1.12749,"[ 0.54036254 -0.35334932  0.91246366  1.82508299 -0.71836641  1.10039392
  0.34057884 -0.03847772 -0.07380588  0.09000776  0.        ]",-0.0805982038178,[-0.16012999 -0.33915362],[-0.28451516 -1.12349961],"[[ 0.70794783  1.67443255 -0.0832021   0.12677579]
 [-0.42210645  0.82463835  0.          0.        ]]"
14,[-0.92435783 -0.46896136],-1.03721,"[ 0.55957912 -0.32511748  0.8886291   1.82911911 -0.7183662   1.10039346
  0.26415106 -0.71239044 -0.0214967   0.1179733   0.        ]",-0.0854522996976,[ 0.07418245  0.93537235],[-0.70863497  2.17645966],"[[ 0.68829762  1.65103532 -0.0832021   0.12677579]
 [-1.53917565 -3.15111231  0.          0.        ]]"
15,[-0.92435783 -0.46896136],-1.11222,"[ 0.61418448 -0.29771907  0.81525299  1.83205082 -0.718366    1.100393
  0.07431087 -0.03057512  0.09534713  0.13777062  0.        ]",-0.0957848703399,[ 1.06679654  0.87540412],[ 0.68719607  2.76346619],"[[ 0.62967476  1.62837094 -0.0832021   0.12677579]
 [-4.31388299  0.87125815  0.          0.        ]]"
16,[-0.92435783 -0.46896136],-1.22088,"[ 0.66416778 -0.36649504  0.73931675  1.82284503 -0.71836579  1.10039254
  0.26618739  0.63759436  0.13390916  0.06682104  0.        ]",-0.0984138158573,[ 0.67508447 -0.34738669],[ 0.92039167 -0.18566034],"[[ 0.5715349   1.68534596 -0.0832021   0.12677579]
 [-1.50941215  4.81312525  0.          0.        ]]"
17,[-0.92435783 -0.46896136],-1.12548,"[ 0.65865622 -0.47167101  0.74816994  1.79676369 -0.71836559  1.10039208
  0.51747756  0.49674574  0.04181401 -0.02955014  0.        ]",-0.0897379072477,[-0.26700172 -1.1012584 ],[-0.37216678 -1.77134414],"[[ 0.57819725  1.7732713  -0.0832021   0.12677579]
 [ 2.16344988  3.98218951  0.          0.        ]]"
18,[-0.92435783 -0.46896136],-1.03521,"[ 0.63482077 -0.51791673  0.78503929  1.78056704 -0.71836538  1.10039163
  0.41380341 -0.18776162 -0.03380235 -0.07539379  0.        ]",-0.0829461640969,[-0.08914211 -0.2557362 ],[-0.31240981 -0.30568668],"[[ 0.60626311  1.81239799 -0.0832021   0.12677579]
 [ 0.6481488  -0.05606108  0.          0.        ]]"
19,[-0.92435783 -0.46896136],-1.03884,"[ 0.63444824 -0.50229856  0.78559768  1.78636543 -0.71836518  1.10039117
  0.32833581 -0.39271685 -0.0233697  -0.05902156  0.        ]",-0.0839077444882,[ 0.16946182  0.25711095],[ 0.00226841  0.21740033],"[[ 0.6066925   1.79914514 -0.0832021   0.12677579]
 [-0.6010453  -1.26519449  0.          0.        ]]"
