timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.91389185 -0.45990321],-1.80784,"[ 0.90400524  0.98042293 -0.05635331 -0.19360008  0.02965831 -0.75217919
  0.36539506 -0.17798835  1.36379325  1.15373304  0.        ]",-0.222797763324,[-2.77693152 -0.48908728],[-2.33172128 -0.66998923],"[[ 0.04216627 -0.08303942  0.00452198 -0.08683506]
 [-0.00162665  0.00326939  0.          0.        ]]"
1,[-0.91389185 -0.45990321],-1.7092,"[ 0.90535697  0.9773372  -0.11918923 -0.24341581  0.02965831 -0.75217896
  0.09038581 -0.62681302  1.35869069  0.98616551  0.        ]",-0.218257243362,[-1.2980572  -0.14181566],[-1.40513785  0.16984242],"[[  2.45379948e-03  -1.09576483e-01   4.52198417e-03  -8.68350589e-02]
 [ -3.95645877e+00  -2.64814371e+00   0.00000000e+00   0.00000000e+00]]"
2,[-0.91389185 -0.45990321],-1.6724,"[ 0.89517743  0.9700461  -0.30560857 -0.32879615  0.0296583  -0.75217873
 -0.17927621 -0.50384087  1.3127961   0.5468243   0.        ]",-0.205975599413,[ 0.57072473  0.23778327],[ 0.60272452 -0.64627026],"[[ -1.15583826e-01  -1.55250626e-01   4.52198417e-03  -8.68350589e-02]
 [ -7.83439397e+00  -1.92169190e+00   0.00000000e+00   0.00000000e+00]]"
3,[-0.91389185 -0.45990321],-1.60258,"[ 0.85911944  0.95571163 -0.50972407 -0.44688547  0.02965829 -0.7521785
 -0.00263628 -0.93073512  1.19855233  0.0563696   0.        ]",-0.191173009322,[ 1.349576    0.23624168],[ 0.89420004  0.91915338],"[[ -2.46784943e-01  -2.18987134e-01   4.52198417e-03  -8.68350589e-02]
 [ -5.29418458e+00  -4.44355228e+00   0.00000000e+00   0.00000000e+00]]"
4,[-0.91389185 -0.45990321],-1.73826,"[ 0.82972244  0.94062916 -0.61515786 -0.54108506  0.02965829 -0.75217827
  0.2505266  -0.29999509  1.10099583 -0.21444837  0.        ]",-0.182202823234,[ 0.45994183 -0.3398028 ],[ 0.43592717 -0.25231677],"[[-0.31614097 -0.27047335  0.00452198 -0.08683506]
 [-1.65352023 -0.71748466  0.          0.        ]]"
5,[-0.91389185 -0.45990321],-1.66053,"[ 0.82222495  0.9324569  -0.63831914 -0.58498357  0.02965828 -0.75217804
  0.37274436 -0.46682343  1.06723164 -0.28972762  0.        ]",-0.179443380939,[ 0.16340902 -0.27910864],[-0.19663793  0.64306884],"[[-0.33157705 -0.29471122  0.00452198 -0.08683506]
 [ 0.10405969 -1.70301597  0.          0.        ]]"
6,[-0.91389185 -0.45990321],-1.77947,"[ 0.81934187  0.92954811 -0.64692172 -0.59971174  0.02965828 -0.75217781
  0.31844069 -0.03003637  1.054807   -0.3162495   0.        ]",-0.178460322222,[ 0.20276281 -0.55712646],[ 0.46613875 -0.4583111 ],"[[-0.33733114 -0.30288255  0.00452198 -0.08683506]
 [-0.67686477  0.87728279  0.          0.        ]]"
7,[-0.91389185 -0.45990321],-1.76197,"[ 0.82190193  0.92924319 -0.63928912 -0.60122961  0.02965827 -0.75217758
  0.44764873 -0.34028742  1.05987876 -0.3034422   0.        ]",-0.178851070736,[-0.19060035 -0.45075351],[-0.26807221 -0.20777948],"[[-0.3322255  -0.30372593  0.00452198 -0.08683506]
 [ 1.18124    -0.95551064  0.          0.        ]]"
8,[-0.91389185 -0.45990321],-1.68982,"[ 0.82813259  0.91899248 -0.62016571 -0.64991435  0.02965827 -0.75217735
  0.37230144 -0.47628414  1.05373079 -0.3043222   0.        ]",-0.178313859723,[ 0.17502823 -0.28504527],[ 0.37119049  0.28669497],"[[-0.31947221 -0.33089685  0.00452198 -0.08683506]
 [ 0.09769382 -1.7589052   0.          0.        ]]"
9,[-0.91389185 -0.45990321],-1.71966,"[ 0.83591822  0.90946885 -0.5950582  -0.69155981  0.02965826 -0.75217713
  0.47424704 -0.27831915  1.05435281 -0.28952964  0.        ]",-0.178309262871,[-0.39784282 -0.57606459],[ 0.64874396 -0.06003028],"[[-0.30280904 -0.35434133  0.00452198 -0.08683506]
 [ 1.56374512 -0.58943736  0.          0.        ]]"
