timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.19450474 -0.05464517],-1.4731,"[ 1.02033473  1.5593907   0.04439714 -0.50109027 -1.67717569 -0.27051469
  0.54413799 -0.28273485  2.70116348  0.2832316   0.        ]",-0.404639050484,[ 0.11964953  2.12367845],[ 0.29631334  2.80217167],"[[ 0.09757848 -0.09848537 -0.19299671 -0.03170511]
 [ 0.0003307  -0.00286508  0.          0.        ]]"
1,[-0.19450474 -0.05464517],-1.64892,"[ 1.01856219  1.56316433  0.06206295 -0.41633359 -1.67716785 -0.27051434
  0.63034567  0.27792717  2.69911443  0.34306677  0.        ]",-0.405133098115,[-0.11065477  2.02959752],[ 0.79436097 -0.10626968],"[[ 0.10933045 -0.05881883 -0.19299671 -0.03170511]
 [ 1.17097178  3.95632603  0.          0.        ]]"
2,[-0.19450474 -0.05464517],-1.49979,"[ 1.00768685  1.56511364  0.14397684 -0.25756094 -1.67716001 -0.27051398
  0.86006585  0.20707628  2.68076834  0.51405061  0.        ]",-0.405573171529,[-0.63274896  1.93172884],[-1.27985878  2.83910858],"[[ 0.164048    0.01528778 -0.19299671 -0.03170511]
 [ 4.29039754  3.45600559  0.          0.        ]]"
3,[-0.19450474 -0.05464517],-1.66255,"[ 0.99543719  1.55601539  0.21117136 -0.02635518 -1.67715217 -0.27051362
  0.56238493  0.75832691  2.64122419  0.69620581  0.        ]",-0.404559675228,[-0.45402452  1.90421665],[-0.962508   0.0913734],"[[ 0.20929892  0.12346499 -0.19299671 -0.03170511]
 [ 0.24816244  7.34873569  0.          0.        ]]"
4,[-0.19450474 -0.05464517],-1.4777,"[ 1.00473     1.52044379  0.16179345  0.28682659 -1.67714433 -0.27051327
  0.28161766  0.78916376  2.60861005  0.77089522  0.        ]",-0.402413267707,[-0.12156381  1.97295475],[ 0.01122097  2.77553565],"[[ 0.17600968  0.27262476 -0.19299671 -0.03170511]
 [-3.56440415  7.56650461  0.          0.        ]]"
5,[-0.19450474 -0.05464517],-1.49712,"[ 1.01909576  1.43797383  0.0568475   0.66545042 -1.6771365  -0.27051291
  0.28997664  1.32865747  2.56681602  0.81053709  0.        ]",-0.398299281143,[-0.11218408  1.94087827],[ 0.0141007   2.03845982],"[[  0.1058602    0.46217908  -0.19299671  -0.03170511]
 [ -3.45089148  11.3762296    0.           0.        ]]"
6,[-0.19450474 -0.05464517],-1.43808,"[ 1.02620044  1.25841715 -0.04531278  1.13457041 -1.67712866 -0.27051256
  0.29903077  1.85746276  2.4670128   0.90056765  0.        ]",-0.388658565958,[-0.18647401  1.90200186],[ 0.65821455  2.3083503 ],"[[  0.03807528   0.72717104  -0.19299671  -0.03170511]
 [ -3.32793936  15.11052042   0.           0.        ]]"
7,[-0.19450474 -0.05464517],-1.43626,"[ 1.0272528   0.93877386 -0.10541198  1.58590141 -1.67712082 -0.2705122
  0.49563502  2.3756798   2.26667954  1.04110905  0.        ]",-0.369153399672,[-0.58556187  1.80400002],[-1.27920724  1.43380797],"[[ -1.69984255e-03   1.06609905e+00  -1.92996711e-01  -3.17051075e-02]
 [ -6.58225878e-01   1.87701171e+01   0.00000000e+00   0.00000000e+00]]"
8,[-0.19450474 -0.05464517],-1.3185,"[ 1.02509234  0.46523242 -0.1850658   1.84381975 -1.67711299 -0.27051184
  0.20521561  2.88386512  1.97814647  1.10551537  0.        ]",-0.337265789868,[-0.3801398   1.83089375],[ 0.54096463  1.80545293],"[[ -0.05443136   1.47751047  -0.19299671  -0.03170511]
 [ -4.60184455  22.35898988   0.           0.        ]]"
9,[-0.19450474 -0.05464517],-1.21763,"[ 1.01604026 -0.10799829 -0.28986189  1.69284617 -1.67710515 -0.27051149
  0.36968775  3.38178684  1.62531767  1.02144923  0.        ]",-0.291772329023,[-0.49112993  1.75321448],[  6.77312027e-04   1.51698684e+00],"[[ -0.12406301   1.95997253  -0.19299671  -0.03170511]
 [ -2.3684633   25.87554733   0.           0.        ]]"
